Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6294
2048.0,0,Male,[0:5),6294
2048.0,1,Male,[0:200),69720
2048.0,0,Male,[0:200),69720
2048.0,1,Male,[5:10),6053
2048.0,0,Male,[5:10),6053
2048.0,1,Male,[10:15),6299
2048.0,0,Male,[10:15),6299
2048.0,1,Male,[15:20),6261
2048.0,0,Male,[15:20),6261
2048.0,1,Male,[20:25),6054
2048.0,0,Male,[20:25),6054
2048.0,1,Male,[25:30),5709
2048.0,0,Male,[25:30),5709
2048.0,1,Male,[30:35),5554
2048.0,0,Male,[30:35),5554
2048.0,1,Male,[35:40),5163
2048.0,0,Male,[35:40),5163
2048.0,1,Male,[40:45),4748
2048.0,0,Male,[40:45),4748
2048.0,1,Male,[45:50),4238
2048.0,0,Male,[45:50),4238
2048.0,1,Male,[50:55),4004
2048.0,0,Male,[50:55),4004
2048.0,1,Male,[55:60),3380
2048.0,0,Male,[55:60),3380
2048.0,1,Male,[60:65),2614
2048.0,0,Male,[60:65),2614
2048.0,1,Male,[65:70),1617
2048.0,0,Male,[65:70),1617
2048.0,1,Male,[70:75),941
2048.0,0,Male,[70:75),941
2048.0,1,Male,[75:80),493
2048.0,0,Male,[75:80),493
2048.0,1,Female,[0:5),6241
2048.0,0,Female,[0:5),6241
2048.0,1,Female,[0:200),74623
2048.0,0,Female,[0:200),74623
2048.0,1,Female,[5:10),6259
2048.0,0,Female,[5:10),6259
2048.0,1,Female,[10:15),6383
2048.0,0,Female,[10:15),6383
2048.0,1,Female,[15:20),6218
2048.0,0,Female,[15:20),6218
2048.0,1,Female,[20:25),6121
2048.0,0,Female,[20:25),6121
2048.0,1,Female,[25:30),5924
2048.0,0,Female,[25:30),5924
2048.0,1,Female,[30:35),5766
2048.0,0,Female,[30:35),5766
2048.0,1,Female,[35:40),5376
2048.0,0,Female,[35:40),5376
2048.0,1,Female,[40:45),5032
2048.0,0,Female,[40:45),5032
2048.0,1,Female,[45:50),4642
2048.0,0,Female,[45:50),4642
2048.0,1,Female,[50:55),4375
2048.0,0,Female,[50:55),4375
2048.0,1,Female,[55:60),3895
2048.0,0,Female,[55:60),3895
2048.0,1,Female,[60:65),3069
2048.0,0,Female,[60:65),3069
2048.0,1,Female,[65:70),2090
2048.0,0,Female,[65:70),2090
2048.0,1,Female,[70:75),1408
2048.0,0,Female,[70:75),1408
2048.0,1,Female,[75:80),932
2048.0,0,Female,[75:80),932
2049.0,1,Male,[0:5),6329
2049.0,0,Male,[0:5),6329
2049.0,1,Male,[0:200),70388
2049.0,0,Male,[0:200),70388
2049.0,1,Male,[5:10),6023
2049.0,0,Male,[5:10),6023
2049.0,1,Male,[10:15),6264
2049.0,0,Male,[10:15),6264
2049.0,1,Male,[15:20),6313
2049.0,0,Male,[15:20),6313
2049.0,1,Male,[20:25),6048
2049.0,0,Male,[20:25),6048
2049.0,1,Male,[25:30),5791
2049.0,0,Male,[25:30),5791
2049.0,1,Male,[30:35),5537
2049.0,0,Male,[30:35),5537
2049.0,1,Male,[35:40),5234
2049.0,0,Male,[35:40),5234
2049.0,1,Male,[40:45),4830
2049.0,0,Male,[40:45),4830
2049.0,1,Male,[45:50),4277
2049.0,0,Male,[45:50),4277
2049.0,1,Male,[50:55),3996
2049.0,0,Male,[50:55),3996
2049.0,1,Male,[55:60),3417
2049.0,0,Male,[55:60),3417
2049.0,1,Male,[60:65),2752
2049.0,0,Male,[60:65),2752
2049.0,1,Male,[65:70),1760
2049.0,0,Male,[65:70),1760
2049.0,1,Male,[70:75),961
2049.0,0,Male,[70:75),961
2049.0,1,Male,[75:80),523
2049.0,0,Male,[75:80),523
2049.0,1,Female,[0:5),6182
2049.0,0,Female,[0:5),6182
2049.0,1,Female,[0:200),75413
2049.0,0,Female,[0:200),75413
2049.0,1,Female,[5:10),6266
2049.0,0,Female,[5:10),6266
2049.0,1,Female,[10:15),6404
2049.0,0,Female,[10:15),6404
2049.0,1,Female,[15:20),6134
2049.0,0,Female,[15:20),6134
2049.0,1,Female,[20:25),6201
2049.0,0,Female,[20:25),6201
2049.0,1,Female,[25:30),5941
2049.0,0,Female,[25:30),5941
2049.0,1,Female,[30:35),5837
2049.0,0,Female,[30:35),5837
2049.0,1,Female,[35:40),5422
2049.0,0,Female,[35:40),5422
2049.0,1,Female,[40:45),5144
2049.0,0,Female,[40:45),5144
2049.0,1,Female,[45:50),4626
2049.0,0,Female,[45:50),4626
2049.0,1,Female,[50:55),4470
2049.0,0,Female,[50:55),4470
2049.0,1,Female,[55:60),3995
2049.0,0,Female,[55:60),3995
2049.0,1,Female,[60:65),3181
2049.0,0,Female,[60:65),3181
2049.0,1,Female,[65:70),2203
2049.0,0,Female,[65:70),2203
2049.0,1,Female,[70:75),1492
2049.0,0,Female,[70:75),1492
2049.0,1,Female,[75:80),978
2049.0,0,Female,[75:80),978
2050.0,1,Male,[0:5),6217
2050.0,0,Male,[0:5),6217
2050.0,1,Male,[0:200),70997
2050.0,0,Male,[0:200),70997
2050.0,1,Male,[5:10),6145
2050.0,0,Male,[5:10),6145
2050.0,1,Male,[10:15),6269
2050.0,0,Male,[10:15),6269
2050.0,1,Male,[15:20),6223
2050.0,0,Male,[15:20),6223
2050.0,1,Male,[20:25),6077
2050.0,0,Male,[20:25),6077
2050.0,1,Male,[25:30),5850
2050.0,0,Male,[25:30),5850
2050.0,1,Male,[30:35),5586
2050.0,0,Male,[30:35),5586
2050.0,1,Male,[35:40),5267
2050.0,0,Male,[35:40),5267
2050.0,1,Male,[40:45),4897
2050.0,0,Male,[40:45),4897
2050.0,1,Male,[45:50),4369
2050.0,0,Male,[45:50),4369
2050.0,1,Male,[50:55),4015
2050.0,0,Male,[50:55),4015
2050.0,1,Male,[55:60),3427
2050.0,0,Male,[55:60),3427
2050.0,1,Male,[60:65),2824
2050.0,0,Male,[60:65),2824
2050.0,1,Male,[65:70),1901
2050.0,0,Male,[65:70),1901
2050.0,1,Male,[70:75),1027
2050.0,0,Male,[70:75),1027
2050.0,1,Male,[75:80),548
2050.0,0,Male,[75:80),548
2050.0,1,Female,[0:5),6298
2050.0,0,Female,[0:5),6298
2050.0,1,Female,[0:200),76287
2050.0,0,Female,[0:200),76287
2050.0,1,Female,[5:10),6140
2050.0,0,Female,[5:10),6140
2050.0,1,Female,[10:15),6417
2050.0,0,Female,[10:15),6417
2050.0,1,Female,[15:20),6137
2050.0,0,Female,[15:20),6137
2050.0,1,Female,[20:25),6217
2050.0,0,Female,[20:25),6217
2050.0,1,Female,[25:30),5934
2050.0,0,Female,[25:30),5934
2050.0,1,Female,[30:35),5935
2050.0,0,Female,[30:35),5935
2050.0,1,Female,[35:40),5474
2050.0,0,Female,[35:40),5474
2050.0,1,Female,[40:45),5228
2050.0,0,Female,[40:45),5228
2050.0,1,Female,[45:50),4662
2050.0,0,Female,[45:50),4662
2050.0,1,Female,[50:55),4491
2050.0,0,Female,[50:55),4491
2050.0,1,Female,[55:60),4066
2050.0,0,Female,[55:60),4066
2050.0,1,Female,[60:65),3334
2050.0,0,Female,[60:65),3334
2050.0,1,Female,[65:70),2371
2050.0,0,Female,[65:70),2371
2050.0,1,Female,[70:75),1558
2050.0,0,Female,[70:75),1558
2050.0,1,Female,[75:80),1027
2050.0,0,Female,[75:80),1027
2039.0,1,Male,[0:5),6219
