Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6205
2048.0,0,Male,[0:5),6205
2048.0,1,Male,[0:200),69146
2048.0,0,Male,[0:200),69146
2048.0,1,Male,[5:10),6151
2048.0,0,Male,[5:10),6151
2048.0,1,Male,[10:15),6247
2048.0,0,Male,[10:15),6247
2048.0,1,Male,[15:20),6029
2048.0,0,Male,[15:20),6029
2048.0,1,Male,[20:25),6006
2048.0,0,Male,[20:25),6006
2048.0,1,Male,[25:30),5673
2048.0,0,Male,[25:30),5673
2048.0,1,Male,[30:35),5478
2048.0,0,Male,[30:35),5478
2048.0,1,Male,[35:40),5241
2048.0,0,Male,[35:40),5241
2048.0,1,Male,[40:45),4630
2048.0,0,Male,[40:45),4630
2048.0,1,Male,[45:50),4290
2048.0,0,Male,[45:50),4290
2048.0,1,Male,[50:55),4028
2048.0,0,Male,[50:55),4028
2048.0,1,Male,[55:60),3397
2048.0,0,Male,[55:60),3397
2048.0,1,Male,[60:65),2538
2048.0,0,Male,[60:65),2538
2048.0,1,Male,[65:70),1539
2048.0,0,Male,[65:70),1539
2048.0,1,Male,[70:75),919
2048.0,0,Male,[70:75),919
2048.0,1,Male,[75:80),476
2048.0,0,Male,[75:80),476
2048.0,1,Female,[0:5),6201
2048.0,0,Female,[0:5),6201
2048.0,1,Female,[0:200),74396
2048.0,0,Female,[0:200),74396
2048.0,1,Female,[5:10),6293
2048.0,0,Female,[5:10),6293
2048.0,1,Female,[10:15),6292
2048.0,0,Female,[10:15),6292
2048.0,1,Female,[15:20),6133
2048.0,0,Female,[15:20),6133
2048.0,1,Female,[20:25),6139
2048.0,0,Female,[20:25),6139
2048.0,1,Female,[25:30),5928
2048.0,0,Female,[25:30),5928
2048.0,1,Female,[30:35),5787
2048.0,0,Female,[30:35),5787
2048.0,1,Female,[35:40),5458
2048.0,0,Female,[35:40),5458
2048.0,1,Female,[40:45),4955
2048.0,0,Female,[40:45),4955
2048.0,1,Female,[45:50),4509
2048.0,0,Female,[45:50),4509
2048.0,1,Female,[50:55),4372
2048.0,0,Female,[50:55),4372
2048.0,1,Female,[55:60),4000
2048.0,0,Female,[55:60),4000
2048.0,1,Female,[60:65),3004
2048.0,0,Female,[60:65),3004
2048.0,1,Female,[65:70),2022
2048.0,0,Female,[65:70),2022
2048.0,1,Female,[70:75),1365
2048.0,0,Female,[70:75),1365
2048.0,1,Female,[75:80),984
2048.0,0,Female,[75:80),984
2049.0,1,Male,[0:5),6212
2049.0,0,Male,[0:5),6212
2049.0,1,Male,[0:200),69824
2049.0,0,Male,[0:200),69824
2049.0,1,Male,[5:10),6099
2049.0,0,Male,[5:10),6099
2049.0,1,Male,[10:15),6350
2049.0,0,Male,[10:15),6350
2049.0,1,Male,[15:20),6044
2049.0,0,Male,[15:20),6044
2049.0,1,Male,[20:25),5970
2049.0,0,Male,[20:25),5970
2049.0,1,Male,[25:30),5733
2049.0,0,Male,[25:30),5733
2049.0,1,Male,[30:35),5517
2049.0,0,Male,[30:35),5517
2049.0,1,Male,[35:40),5258
2049.0,0,Male,[35:40),5258
2049.0,1,Male,[40:45),4768
2049.0,0,Male,[40:45),4768
2049.0,1,Male,[45:50),4297
2049.0,0,Male,[45:50),4297
2049.0,1,Male,[50:55),4039
2049.0,0,Male,[50:55),4039
2049.0,1,Male,[55:60),3453
2049.0,0,Male,[55:60),3453
2049.0,1,Male,[60:65),2653
2049.0,0,Male,[60:65),2653
2049.0,1,Male,[65:70),1651
2049.0,0,Male,[65:70),1651
2049.0,1,Male,[70:75),969
2049.0,0,Male,[70:75),969
2049.0,1,Male,[75:80),481
2049.0,0,Male,[75:80),481
2049.0,1,Female,[0:5),6209
2049.0,0,Female,[0:5),6209
2049.0,1,Female,[0:200),75170
2049.0,0,Female,[0:200),75170
2049.0,1,Female,[5:10),6207
