Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[15:20),0.0023221098026206667
2048.0,0,Male,[15:20),0.0023221098026206667
2048.0,1,Male,[20:25),0.021312021312021312
2048.0,0,Male,[20:25),0.021312021312021312
2048.0,1,Male,[25:30),0.05587872377930548
2048.0,0,Male,[25:30),0.05587872377930548
2048.0,1,Male,[30:35),0.09930631617378605
2048.0,0,Male,[30:35),0.09930631617378605
2048.0,1,Male,[35:40),0.14730013356229726
2048.0,0,Male,[35:40),0.14730013356229726
2048.0,1,Male,[40:45),0.20647948164146868
2048.0,0,Male,[40:45),0.20647948164146868
2048.0,1,Male,[45:50),0.24195804195804196
2048.0,0,Male,[45:50),0.24195804195804196
2048.0,1,Male,[50:55),0.33962264150943394
2048.0,0,Male,[50:55),0.33962264150943394
2048.0,1,Male,[55:60),0.44156608772446276
2048.0,0,Male,[55:60),0.44156608772446276
2048.0,1,Male,[60:65),0.5295508274231678
2048.0,0,Male,[60:65),0.5295508274231678
2048.0,1,Male,[65:200),0.5932570368079183
2048.0,0,Male,[65:200),0.5932570368079183
2048.0,1,Female,[15:20),0.0389695092124572
2048.0,0,Female,[15:20),0.0389695092124572
2048.0,1,Female,[20:25),0.11565401531194006
2048.0,0,Female,[20:25),0.11565401531194006
2048.0,1,Female,[25:30),0.173582995951417
2048.0,0,Female,[25:30),0.173582995951417
2048.0,1,Female,[30:35),0.22878866424745117
2048.0,0,Female,[30:35),0.22878866424745117
2048.0,1,Female,[35:40),0.27995602784902895
2048.0,0,Female,[35:40),0.27995602784902895
2048.0,1,Female,[40:45),0.3243188698284561
2048.0,0,Female,[40:45),0.3243188698284561
2048.0,1,Female,[45:50),0.35972499445553335
2048.0,0,Female,[45:50),0.35972499445553335
2048.0,1,Female,[50:55),0.4515096065873742
2048.0,0,Female,[50:55),0.4515096065873742
2048.0,1,Female,[55:60),0.51875
2048.0,0,Female,[55:60),0.51875
2048.0,1,Female,[60:65),0.5882157123834887
2048.0,0,Female,[60:65),0.5882157123834887
2048.0,1,Female,[65:200),0.5406572769953052
2048.0,0,Female,[65:200),0.5406572769953052
2049.0,1,Male,[15:20),0.00314361350099272
2049.0,0,Male,[15:20),0.00314361350099272
2049.0,1,Male,[20:25),0.019262981574539362
2049.0,0,Male,[20:25),0.019262981574539362
2049.0,1,Male,[25:30),0.05930577359148788
2049.0,0,Male,[25:30),0.05930577359148788
2049.0,1,Male,[30:35),0.09751676635852818
2049.0,0,Male,[30:35),0.09751676635852818
2049.0,1,Male,[35:40),0.14777481932293648
2049.0,0,Male,[35:40),0.14777481932293648
2049.0,1,Male,[40:45),0.20469798657718122
2049.0,0,Male,[40:45),0.20469798657718122
2049.0,1,Male,[45:50),0.2392366767512218
2049.0,0,Male,[45:50),0.2392366767512218
2049.0,1,Male,[50:55),0.3253280514978955
2049.0,0,Male,[50:55),0.3253280514978955
2049.0,1,Male,[55:60),0.4280335939762525
2049.0,0,Male,[55:60),0.4280335939762525
2049.0,1,Male,[60:65),0.5212966453071994
2049.0,0,Male,[60:65),0.5212966453071994
2049.0,1,Male,[65:200),0.5913727776158554
2049.0,0,Male,[65:200),0.5913727776158554
2049.0,1,Female,[15:20),0.040321258810031145
2049.0,0,Female,[15:20),0.040321258810031145
2049.0,1,Female,[20:25),0.11588754494932985
2049.0,0,Female,[20:25),0.11588754494932985
2049.0,1,Female,[25:30),0.17314487632508835
2049.0,0,Female,[25:30),0.17314487632508835
2049.0,1,Female,[30:35),0.22586148072330262
2049.0,0,Female,[30:35),0.22586148072330262
2049.0,1,Female,[35:40),0.2781130005485464
2049.0,0,Female,[35:40),0.2781130005485464
2049.0,1,Female,[40:45),0.31882077313549395
2049.0,0,Female,[40:45),0.31882077313549395
2049.0,1,Female,[45:50),0.3546905751148043
2049.0,0,Female,[45:50),0.3546905751148043
2049.0,1,Female,[50:55),0.43325635103926097
2049.0,0,Female,[50:55),0.43325635103926097
2049.0,1,Female,[55:60),0.5135332845647403
2049.0,0,Female,[55:60),0.5135332845647403
2049.0,1,Female,[60:65),0.5735015772870663
2049.0,0,Female,[60:65),0.5735015772870663
2049.0,1,Female,[65:200),0.5570710696338838
2049.0,0,Female,[65:200),0.5570710696338838
2050.0,1,Male,[15:20),0.0034965034965034965
2050.0,0,Male,[15:20),0.0034965034965034965
2050.0,1,Male,[20:25),0.019785378940308518
2050.0,0,Male,[20:25),0.019785378940308518
2050.0,1,Male,[25:30),0.05950327699206623
2050.0,0,Male,[25:30),0.05950327699206623
2050.0,1,Male,[30:35),0.09819494584837545
2050.0,0,Male,[30:35),0.09819494584837545
2050.0,1,Male,[35:40),0.1482810729127314
2050.0,0,Male,[35:40),0.1482810729127314
2050.0,1,Male,[40:45),0.19829164124466137
2050.0,0,Male,[40:45),0.19829164124466137
2050.0,1,Male,[45:50),0.2399441990234829
2050.0,0,Male,[45:50),0.2399441990234829
2050.0,1,Male,[50:55),0.3108641975308642
2050.0,0,Male,[50:55),0.3108641975308642
2050.0,1,Male,[55:60),0.4238636363636364
2050.0,0,Male,[55:60),0.4238636363636364
2050.0,1,Male,[60:65),0.4976111723631018
2050.0,0,Male,[60:65),0.4976111723631018
