Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6329
2048.0,0,Male,[0:5),6329
2048.0,1,Male,[0:200),69405
2048.0,0,Male,[0:200),69405
2048.0,1,Male,[5:10),6112
2048.0,0,Male,[5:10),6112
2048.0,1,Male,[10:15),6307
2048.0,0,Male,[10:15),6307
2048.0,1,Male,[15:20),6069
2048.0,0,Male,[15:20),6069
2048.0,1,Male,[20:25),5990
2048.0,0,Male,[20:25),5990
2048.0,1,Male,[25:30),5883
2048.0,0,Male,[25:30),5883
2048.0,1,Male,[30:35),5576
2048.0,0,Male,[30:35),5576
2048.0,1,Male,[35:40),5152
2048.0,0,Male,[35:40),5152
2048.0,1,Male,[40:45),4719
2048.0,0,Male,[40:45),4719
2048.0,1,Male,[45:50),4125
2048.0,0,Male,[45:50),4125
2048.0,1,Male,[50:55),3957
2048.0,0,Male,[50:55),3957
2048.0,1,Male,[55:60),3395
2048.0,0,Male,[55:60),3395
2048.0,1,Male,[60:65),2572
2048.0,0,Male,[60:65),2572
2048.0,1,Male,[65:70),1597
2048.0,0,Male,[65:70),1597
2048.0,1,Male,[70:75),879
2048.0,0,Male,[70:75),879
2048.0,1,Male,[75:80),458
2048.0,0,Male,[75:80),458
2048.0,1,Female,[0:5),6433
2048.0,0,Female,[0:5),6433
2048.0,1,Female,[0:200),74793
2048.0,0,Female,[0:200),74793
2048.0,1,Female,[5:10),6049
2048.0,0,Female,[5:10),6049
2048.0,1,Female,[10:15),6431
2048.0,0,Female,[10:15),6431
2048.0,1,Female,[15:20),6151
2048.0,0,Female,[15:20),6151
2048.0,1,Female,[20:25),6111
2048.0,0,Female,[20:25),6111
2048.0,1,Female,[25:30),6078
2048.0,0,Female,[25:30),6078
2048.0,1,Female,[30:35),5919
2048.0,0,Female,[30:35),5919
2048.0,1,Female,[35:40),5282
2048.0,0,Female,[35:40),5282
2048.0,1,Female,[40:45),4895
2048.0,0,Female,[40:45),4895
2048.0,1,Female,[45:50),4632
2048.0,0,Female,[45:50),4632
2048.0,1,Female,[50:55),4469
2048.0,0,Female,[50:55),4469
2048.0,1,Female,[55:60),4007
2048.0,0,Female,[55:60),4007
2048.0,1,Female,[60:65),3085
2048.0,0,Female,[60:65),3085
2048.0,1,Female,[65:70),2020
2048.0,0,Female,[65:70),2020
2048.0,1,Female,[70:75),1342
2048.0,0,Female,[70:75),1342
2048.0,1,Female,[75:80),949
2048.0,0,Female,[75:80),949
2049.0,1,Male,[0:5),6349
2049.0,0,Male,[0:5),6349
2049.0,1,Male,[0:200),70118
2049.0,0,Male,[0:200),70118
2049.0,1,Male,[5:10),6111
2049.0,0,Male,[5:10),6111
2049.0,1,Male,[10:15),6316
2049.0,0,Male,[10:15),6316
2049.0,1,Male,[15:20),6077
2049.0,0,Male,[15:20),6077
2049.0,1,Male,[20:25),5946
2049.0,0,Male,[20:25),5946
2049.0,1,Male,[25:30),5951
2049.0,0,Male,[25:30),5951
2049.0,1,Male,[30:35),5669
2049.0,0,Male,[30:35),5669
2049.0,1,Male,[35:40),5164
2049.0,0,Male,[35:40),5164
2049.0,1,Male,[40:45),4860
2049.0,0,Male,[40:45),4860
2049.0,1,Male,[45:50),4141
2049.0,0,Male,[45:50),4141
2049.0,1,Male,[50:55),3969
2049.0,0,Male,[50:55),3969
2049.0,1,Male,[55:60),3443
2049.0,0,Male,[55:60),3443
2049.0,1,Male,[60:65),2711
2049.0,0,Male,[60:65),2711
2049.0,1,Male,[65:70),1708
2049.0,0,Male,[65:70),1708
2049.0,1,Male,[70:75),915
2049.0,0,Male,[70:75),915
2049.0,1,Male,[75:80),485
2049.0,0,Male,[75:80),485
2049.0,1,Female,[0:5),6343
2049.0,0,Female,[0:5),6343
2049.0,1,Female,[0:200),75638
2049.0,0,Female,[0:200),75638
2049.0,1,Female,[5:10),6166
2049.0,0,Female,[5:10),6166
2049.0,1,Female,[10:15),6349
2049.0,0,Female,[10:15),6349
