Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),5987
2048.0,0,Male,[0:5),5987
2048.0,1,Male,[0:200),67993
2048.0,0,Male,[0:200),67993
2048.0,1,Male,[5:10),5948
2048.0,0,Male,[5:10),5948
2048.0,1,Male,[10:15),6107
2048.0,0,Male,[10:15),6107
2048.0,1,Male,[15:20),5975
2048.0,0,Male,[15:20),5975
2048.0,1,Male,[20:25),5955
2048.0,0,Male,[20:25),5955
2048.0,1,Male,[25:30),5633
2048.0,0,Male,[25:30),5633
2048.0,1,Male,[30:35),5473
2048.0,0,Male,[30:35),5473
2048.0,1,Male,[35:40),5162
2048.0,0,Male,[35:40),5162
2048.0,1,Male,[40:45),4611
2048.0,0,Male,[40:45),4611
2048.0,1,Male,[45:50),4049
2048.0,0,Male,[45:50),4049
2048.0,1,Male,[50:55),3933
2048.0,0,Male,[50:55),3933
2048.0,1,Male,[55:60),3375
2048.0,0,Male,[55:60),3375
2048.0,1,Male,[60:65),2511
2048.0,0,Male,[60:65),2511
2048.0,1,Male,[65:70),1584
2048.0,0,Male,[65:70),1584
2048.0,1,Male,[70:75),890
2048.0,0,Male,[70:75),890
2048.0,1,Male,[75:80),499
2048.0,0,Male,[75:80),499
2048.0,1,Female,[0:5),6047
2048.0,0,Female,[0:5),6047
2048.0,1,Female,[0:200),72507
2048.0,0,Female,[0:200),72507
2048.0,1,Female,[5:10),5861
2048.0,0,Female,[5:10),5861
2048.0,1,Female,[10:15),6200
2048.0,0,Female,[10:15),6200
2048.0,1,Female,[15:20),6123
2048.0,0,Female,[15:20),6123
2048.0,1,Female,[20:25),6066
2048.0,0,Female,[20:25),6066
2048.0,1,Female,[25:30),5837
2048.0,0,Female,[25:30),5837
2048.0,1,Female,[30:35),5512
2048.0,0,Female,[30:35),5512
2048.0,1,Female,[35:40),5221
2048.0,0,Female,[35:40),5221
2048.0,1,Female,[40:45),4822
2048.0,0,Female,[40:45),4822
2048.0,1,Female,[45:50),4458
2048.0,0,Female,[45:50),4458
2048.0,1,Female,[50:55),4395
2048.0,0,Female,[50:55),4395
2048.0,1,Female,[55:60),3901
2048.0,0,Female,[55:60),3901
2048.0,1,Female,[60:65),2891
2048.0,0,Female,[60:65),2891
2048.0,1,Female,[65:70),1999
2048.0,0,Female,[65:70),1999
2048.0,1,Female,[70:75),1294
2048.0,0,Female,[70:75),1294
2048.0,1,Female,[75:80),949
2048.0,0,Female,[75:80),949
2049.0,1,Male,[0:5),5968
2049.0,0,Male,[0:5),5968
2049.0,1,Male,[0:200),68586
2049.0,0,Male,[0:200),68586
2049.0,1,Male,[5:10),5871
2049.0,0,Male,[5:10),5871
2049.0,1,Male,[10:15),6136
2049.0,0,Male,[10:15),6136
2049.0,1,Male,[15:20),5907
2049.0,0,Male,[15:20),5907
2049.0,1,Male,[20:25),5962
2049.0,0,Male,[20:25),5962
2049.0,1,Male,[25:30),5750
2049.0,0,Male,[25:30),5750
2049.0,1,Male,[30:35),5471
2049.0,0,Male,[30:35),5471
2049.0,1,Male,[35:40),5202
2049.0,0,Male,[35:40),5202
2049.0,1,Male,[40:45),4813
2049.0,0,Male,[40:45),4813
2049.0,1,Male,[45:50),4046
2049.0,0,Male,[45:50),4046
2049.0,1,Male,[50:55),3945
2049.0,0,Male,[50:55),3945
2049.0,1,Male,[55:60),3413
2049.0,0,Male,[55:60),3413
2049.0,1,Male,[60:65),2637
2049.0,0,Male,[60:65),2637
2049.0,1,Male,[65:70),1642
2049.0,0,Male,[65:70),1642
2049.0,1,Male,[70:75),975
2049.0,0,Male,[70:75),975
2049.0,1,Male,[75:80),517
2049.0,0,Male,[75:80),517
2049.0,1,Female,[0:5),6058
2049.0,0,Female,[0:5),6058
2049.0,1,Female,[0:200),73304
2049.0,0,Female,[0:200),73304
2049.0,1,Female,[5:10),5824
2049.0,0,Female,[5:10),5824
2049.0,1,Female,[10:15),6145
2049.0,0,Female,[10:15),6145
2049.0,1,Female,[15:20),6238
2049.0,0,Female,[15:20),6238
2049.0,1,Female,[20:25),5979
2049.0,0,Female,[20:25),5979
2049.0,1,Female,[25:30),5918
2049.0,0,Female,[25:30),5918
2049.0,1,Female,[30:35),5574
2049.0,0,Female,[30:35),5574
2049.0,1,Female,[35:40),5278
2049.0,0,Female,[35:40),5278
2049.0,1,Female,[40:45),4886
2049.0,0,Female,[40:45),4886
2049.0,1,Female,[45:50),4465
2049.0,0,Female,[45:50),4465
2049.0,1,Female,[50:55),4402
2049.0,0,Female,[50:55),4402
2049.0,1,Female,[55:60),4025
2049.0,0,Female,[55:60),4025
2049.0,1,Female,[60:65),3107
2049.0,0,Female,[60:65),3107
2049.0,1,Female,[65:70),2069
2049.0,0,Female,[65:70),2069
2049.0,1,Female,[70:75),1412
2049.0,0,Female,[70:75),1412
2049.0,1,Female,[75:80),914
2049.0,0,Female,[75:80),914
2050.0,1,Male,[0:5),6028
2050.0,0,Male,[0:5),6028
2050.0,1,Male,[0:200),69229
2050.0,0,Male,[0:200),69229
2050.0,1,Male,[5:10),5823
2050.0,0,Male,[5:10),5823
2050.0,1,Male,[10:15),6156
2050.0,0,Male,[10:15),6156
2050.0,1,Male,[15:20),5880
2050.0,0,Male,[15:20),5880
2050.0,1,Male,[20:25),6008
2050.0,0,Male,[20:25),6008
2050.0,1,Male,[25:30),5762
2050.0,0,Male,[25:30),5762
2050.0,1,Male,[30:35),5504
2050.0,0,Male,[30:35),5504
2050.0,1,Male,[35:40),5237
2050.0,0,Male,[35:40),5237
2050.0,1,Male,[40:45),4916
2050.0,0,Male,[40:45),4916
2050.0,1,Male,[45:50),4182
2050.0,0,Male,[45:50),4182
2050.0,1,Male,[50:55),3862
2050.0,0,Male,[50:55),3862
2050.0,1,Male,[55:60),3439
2050.0,0,Male,[55:60),3439
2050.0,1,Male,[60:65),2769
2050.0,0,Male,[60:65),2769
2050.0,1,Male,[65:70),1755
2050.0,0,Male,[65:70),1755
2050.0,1,Male,[70:75),1031
2050.0,0,Male,[70:75),1031
2050.0,1,Male,[75:80),515
2050.0,0,Male,[75:80),515
2050.0,1,Female,[0:5),6107
2050.0,0,Female,[0:5),6107
2050.0,1,Female,[0:200),74096
2050.0,0,Female,[0:200),74096
2050.0,1,Female,[5:10),5798
2050.0,0,Female,[5:10),5798
2050.0,1,Female,[10:15),6100
2050.0,0,Female,[10:15),6100
2050.0,1,Female,[15:20),6264
2050.0,0,Female,[15:20),6264
2050.0,1,Female,[20:25),5948
2050.0,0,Female,[20:25),5948
2050.0,1,Female,[25:30),5917
2050.0,0,Female,[25:30),5917
2050.0,1,Female,[30:35),5677
2050.0,0,Female,[30:35),5677
2050.0,1,Female,[35:40),5322
2050.0,0,Female,[35:40),5322
2050.0,1,Female,[40:45),5025
2050.0,0,Female,[40:45),5025
2050.0,1,Female,[45:50),4489
2050.0,0,Female,[45:50),4489
2050.0,1,Female,[50:55),4400
2050.0,0,Female,[50:55),4400
2050.0,1,Female,[55:60),4106
2050.0,0,Female,[55:60),4106
2050.0,1,Female,[60:65),3263
2050.0,0,Female,[60:65),3263
2050.0,1,Female,[65:70),2225
2050.0,0,Female,[65:70),2225
2050.0,1,Female,[70:75),1487
2050.0,0,Female,[70:75),1487
2050.0,1,Female,[75:80),927
2050.0,0,Female,[75:80),927
2039.0,1,Male,[0:5),6086
2039.0,0,Male,[0:5),6086
2039.0,1,Male,[0:200),61589
2039.0,0,Male,[0:200),61589
2039.0,1,Male,[5:10),5856
2039.0,0,Male,[5:10),5856
2039.0,1,Male,[10:15),6145
2039.0,0,Male,[10:15),6145
2039.0,1,Male,[15:20),5931
2039.0,0,Male,[15:20),5931
2039.0,1,Male,[20:25),5613
2039.0,0,Male,[20:25),5613
2039.0,1,Male,[25:30),5262
2039.0,0,Male,[25:30),5262
2039.0,1,Male,[30:35),5018
2039.0,0,Male,[30:35),5018
2039.0,1,Male,[35:40),4306
2039.0,0,Male,[35:40),4306
2039.0,1,Male,[40:45),4246
2039.0,0,Male,[40:45),4246
2039.0,1,Male,[45:50),3911
2039.0,0,Male,[45:50),3911
2039.0,1,Male,[50:55),3327
2039.0,0,Male,[50:55),3327
2039.0,1,Male,[55:60),2216
2039.0,0,Male,[55:60),2216
2039.0,1,Male,[60:65),1558
2039.0,0,Male,[60:65),1558
2039.0,1,Male,[65:70),1038
2039.0,0,Male,[65:70),1038
2039.0,1,Male,[70:75),636
2039.0,0,Male,[70:75),636
2039.0,1,Male,[75:80),287
2039.0,0,Male,[75:80),287
2039.0,1,Female,[0:5),6067
2039.0,0,Female,[0:5),6067
2039.0,1,Female,[0:200),64916
2039.0,0,Female,[0:200),64916
2039.0,1,Female,[5:10),6207
2039.0,0,Female,[5:10),6207
2039.0,1,Female,[10:15),6144
2039.0,0,Female,[10:15),6144
2039.0,1,Female,[15:20),6075
2039.0,0,Female,[15:20),6075
2039.0,1,Female,[20:25),5661
2039.0,0,Female,[20:25),5661
2039.0,1,Female,[25:30),5276
2039.0,0,Female,[25:30),5276
2039.0,1,Female,[30:35),4989
2039.0,0,Female,[30:35),4989
2039.0,1,Female,[35:40),4604
2039.0,0,Female,[35:40),4604
2039.0,1,Female,[40:45),4518
2039.0,0,Female,[40:45),4518
2039.0,1,Female,[45:50),4257
2039.0,0,Female,[45:50),4257
2039.0,1,Female,[50:55),3492
2039.0,0,Female,[50:55),3492
2039.0,1,Female,[55:60),2413
2039.0,0,Female,[55:60),2413
2039.0,1,Female,[60:65),1740
2039.0,0,Female,[60:65),1740
2039.0,1,Female,[65:70),1278
2039.0,0,Female,[65:70),1278
2039.0,1,Female,[70:75),1035
2039.0,0,Female,[70:75),1035
2039.0,1,Female,[75:80),648
2039.0,0,Female,[75:80),648
2040.0,1,Male,[0:5),6135
2040.0,0,Male,[0:5),6135
2040.0,1,Male,[0:200),62411
2040.0,0,Male,[0:200),62411
2040.0,1,Male,[5:10),5845
2040.0,0,Male,[5:10),5845
2040.0,1,Male,[10:15),6172
2040.0,0,Male,[10:15),6172
2040.0,1,Male,[15:20),5949
2040.0,0,Male,[15:20),5949
2040.0,1,Male,[20:25),5648
2040.0,0,Male,[20:25),5648
2040.0,1,Male,[25:30),5281
2040.0,0,Male,[25:30),5281
2040.0,1,Male,[30:35),5109
2040.0,0,Male,[30:35),5109
2040.0,1,Male,[35:40),4451
2040.0,0,Male,[35:40),4451
2040.0,1,Male,[40:45),4172
2040.0,0,Male,[40:45),4172
2040.0,1,Male,[45:50),3958
2040.0,0,Male,[45:50),3958
2040.0,1,Male,[50:55),3482
2040.0,0,Male,[50:55),3482
2040.0,1,Male,[55:60),2362
2040.0,0,Male,[55:60),2362
2040.0,1,Male,[60:65),1629
2040.0,0,Male,[60:65),1629
2040.0,1,Male,[65:70),1061
2040.0,0,Male,[65:70),1061
2040.0,1,Male,[70:75),664
2040.0,0,Male,[70:75),664
2040.0,1,Male,[75:80),342
2040.0,0,Male,[75:80),342
2040.0,1,Female,[0:5),6037
2040.0,0,Female,[0:5),6037
2040.0,1,Female,[0:200),65855
2040.0,0,Female,[0:200),65855
2040.0,1,Female,[5:10),6215
2040.0,0,Female,[5:10),6215
2040.0,1,Female,[10:15),6129
2040.0,0,Female,[10:15),6129
2040.0,1,Female,[15:20),6086
2040.0,0,Female,[15:20),6086
2040.0,1,Female,[20:25),5753
2040.0,0,Female,[20:25),5753
2040.0,1,Female,[25:30),5311
2040.0,0,Female,[25:30),5311
2040.0,1,Female,[30:35),5135
2040.0,0,Female,[30:35),5135
2040.0,1,Female,[35:40),4613
2040.0,0,Female,[35:40),4613
2040.0,1,Female,[40:45),4511
2040.0,0,Female,[40:45),4511
2040.0,1,Female,[45:50),4365
2040.0,0,Female,[45:50),4365
2040.0,1,Female,[50:55),3645
2040.0,0,Female,[50:55),3645
2040.0,1,Female,[55:60),2590
2040.0,0,Female,[55:60),2590
2040.0,1,Female,[60:65),1831
2040.0,0,Female,[60:65),1831
2040.0,1,Female,[65:70),1311
2040.0,0,Female,[65:70),1311
2040.0,1,Female,[70:75),1053
2040.0,0,Female,[70:75),1053
2040.0,1,Female,[75:80),749
2040.0,0,Female,[75:80),749
2041.0,1,Male,[0:5),6132
2041.0,0,Male,[0:5),6132
2041.0,1,Male,[0:200),63203
2041.0,0,Male,[0:200),63203
2041.0,1,Male,[5:10),5858
2041.0,0,Male,[5:10),5858
2041.0,1,Male,[10:15),6160
2041.0,0,Male,[10:15),6160
2041.0,1,Male,[15:20),5957
2041.0,0,Male,[15:20),5957
2041.0,1,Male,[20:25),5666
2041.0,0,Male,[20:25),5666
2041.0,1,Male,[25:30),5382
2041.0,0,Male,[25:30),5382
2041.0,1,Male,[30:35),5175
2041.0,0,Male,[30:35),5175
2041.0,1,Male,[35:40),4561
2041.0,0,Male,[35:40),4561
2041.0,1,Male,[40:45),4114
2041.0,0,Male,[40:45),4114
2041.0,1,Male,[45:50),4046
2041.0,0,Male,[45:50),4046
2041.0,1,Male,[50:55),3589
2041.0,0,Male,[50:55),3589
2041.0,1,Male,[55:60),2499
2041.0,0,Male,[55:60),2499
2041.0,1,Male,[60:65),1743
2041.0,0,Male,[60:65),1743
2041.0,1,Male,[65:70),1098
2041.0,0,Male,[65:70),1098
2041.0,1,Male,[70:75),684
2041.0,0,Male,[70:75),684
2041.0,1,Male,[75:80),363
2041.0,0,Male,[75:80),363
2041.0,1,Female,[0:5),6053
2041.0,0,Female,[0:5),6053
2041.0,1,Female,[0:200),66707
2041.0,0,Female,[0:200),66707
2041.0,1,Female,[5:10),6128
2041.0,0,Female,[5:10),6128
2041.0,1,Female,[10:15),6157
2041.0,0,Female,[10:15),6157
2041.0,1,Female,[15:20),6062
2041.0,0,Female,[15:20),6062
2041.0,1,Female,[20:25),5844
2041.0,0,Female,[20:25),5844
2041.0,1,Female,[25:30),5355
2041.0,0,Female,[25:30),5355
2041.0,1,Female,[30:35),5207
2041.0,0,Female,[30:35),5207
2041.0,1,Female,[35:40),4690
2041.0,0,Female,[35:40),4690
