Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[15:20),0.006192468619246862
2048.0,0,Male,[15:20),0.006192468619246862
2048.0,1,Male,[20:25),0.02065491183879093
2048.0,0,Male,[20:25),0.02065491183879093
2048.0,1,Male,[25:30),0.054855316882655776
2048.0,0,Male,[25:30),0.054855316882655776
2048.0,1,Male,[30:35),0.09464644619038919
2048.0,0,Male,[30:35),0.09464644619038919
2048.0,1,Male,[35:40),0.15091049980627663
2048.0,0,Male,[35:40),0.15091049980627663
2048.0,1,Male,[40:45),0.20212535241813057
2048.0,0,Male,[40:45),0.20212535241813057
2048.0,1,Male,[45:50),0.26722647567300567
2048.0,0,Male,[45:50),0.26722647567300567
2048.0,1,Male,[50:55),0.3704551233155352
2048.0,0,Male,[50:55),0.3704551233155352
2048.0,1,Male,[55:60),0.4405925925925926
2048.0,0,Male,[55:60),0.4405925925925926
2048.0,1,Male,[60:65),0.5583432895260853
2048.0,0,Male,[60:65),0.5583432895260853
2048.0,1,Male,[65:200),0.611484422724496
2048.0,0,Male,[65:200),0.611484422724496
2048.0,1,Female,[15:20),0.03560346235505471
2048.0,0,Female,[15:20),0.03560346235505471
2048.0,1,Female,[20:25),0.11984833498186614
2048.0,0,Female,[20:25),0.11984833498186614
2048.0,1,Female,[25:30),0.19119410656158986
2048.0,0,Female,[25:30),0.19119410656158986
2048.0,1,Female,[30:35),0.24310595065312046
2048.0,0,Female,[30:35),0.24310595065312046
2048.0,1,Female,[35:40),0.30243248419842944
2048.0,0,Female,[35:40),0.30243248419842944
2048.0,1,Female,[40:45),0.3490253007051016
2048.0,0,Female,[40:45),0.3490253007051016
2048.0,1,Female,[45:50),0.4167788245850157
2048.0,0,Female,[45:50),0.4167788245850157
2048.0,1,Female,[50:55),0.4837315130830489
2048.0,0,Female,[50:55),0.4837315130830489
2048.0,1,Female,[55:60),0.5639579594975648
2048.0,0,Female,[55:60),0.5639579594975648
2048.0,1,Female,[60:65),0.6447595987547562
2048.0,0,Female,[60:65),0.6447595987547562
2048.0,1,Female,[65:200),0.6002319737096462
2048.0,0,Female,[65:200),0.6002319737096462
2049.0,1,Male,[15:20),0.005417301506686982
2049.0,0,Male,[15:20),0.005417301506686982
2049.0,1,Male,[20:25),0.019792016101979202
2049.0,0,Male,[20:25),0.019792016101979202
2049.0,1,Male,[25:30),0.05443478260869565
2049.0,0,Male,[25:30),0.05443478260869565
2049.0,1,Male,[30:35),0.09084262474867483
2049.0,0,Male,[30:35),0.09084262474867483
2049.0,1,Male,[35:40),0.1451364859669358
2049.0,0,Male,[35:40),0.1451364859669358
2049.0,1,Male,[40:45),0.19925202576355702
2049.0,0,Male,[40:45),0.19925202576355702
2049.0,1,Male,[45:50),0.25753830944142364
2049.0,0,Male,[45:50),0.25753830944142364
2049.0,1,Male,[50:55),0.355893536121673
2049.0,0,Male,[50:55),0.355893536121673
2049.0,1,Male,[55:60),0.43920304717257547
2049.0,0,Male,[55:60),0.43920304717257547
2049.0,1,Male,[60:65),0.5373530527114145
2049.0,0,Male,[60:65),0.5373530527114145
2049.0,1,Male,[65:200),0.615007215007215
2049.0,0,Male,[65:200),0.615007215007215
2049.0,1,Female,[15:20),0.03382494389227316
2049.0,0,Female,[15:20),0.03382494389227316
2049.0,1,Female,[20:25),0.11674193008864359
2049.0,0,Female,[20:25),0.11674193008864359
2049.0,1,Female,[25:30),0.18773234200743494
2049.0,0,Female,[25:30),0.18773234200743494
2049.0,1,Female,[30:35),0.24076067456045927
2049.0,0,Female,[30:35),0.24076067456045927
2049.0,1,Female,[35:40),0.28950359984842744
2049.0,0,Female,[35:40),0.28950359984842744
2049.0,1,Female,[40:45),0.35161686451084734
2049.0,0,Female,[40:45),0.35161686451084734
2049.0,1,Female,[45:50),0.40358342665173574
2049.0,0,Female,[45:50),0.40358342665173574
2049.0,1,Female,[50:55),0.4716038164470695
2049.0,0,Female,[50:55),0.4716038164470695
2049.0,1,Female,[55:60),0.5483229813664596
2049.0,0,Female,[55:60),0.5483229813664596
2049.0,1,Female,[60:65),0.6385580946250402
2049.0,0,Female,[60:65),0.6385580946250402
2049.0,1,Female,[65:200),0.6125809435707678
2049.0,0,Female,[65:200),0.6125809435707678
2050.0,1,Male,[15:20),0.004251700680272109
2050.0,0,Male,[15:20),0.004251700680272109
2050.0,1,Male,[20:25),0.020639147802929428
2050.0,0,Male,[20:25),0.020639147802929428
2050.0,1,Male,[25:30),0.047726483859770914
2050.0,0,Male,[25:30),0.047726483859770914
2050.0,1,Male,[30:35),0.09375
2050.0,0,Male,[30:35),0.09375
2050.0,1,Male,[35:40),0.1359556998281459
2050.0,0,Male,[35:40),0.1359556998281459
2050.0,1,Male,[40:45),0.19792514239218878
2050.0,0,Male,[40:45),0.19792514239218878
