Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6152
2048.0,0,Male,[0:5),6152
2048.0,1,Male,[0:200),69392
2048.0,0,Male,[0:200),69392
2048.0,1,Male,[5:10),6049
2048.0,0,Male,[5:10),6049
2048.0,1,Male,[10:15),6275
2048.0,0,Male,[10:15),6275
2048.0,1,Male,[15:20),6153
2048.0,0,Male,[15:20),6153
2048.0,1,Male,[20:25),6111
2048.0,0,Male,[20:25),6111
2048.0,1,Male,[25:30),5802
2048.0,0,Male,[25:30),5802
2048.0,1,Male,[30:35),5444
2048.0,0,Male,[30:35),5444
2048.0,1,Male,[35:40),5103
2048.0,0,Male,[35:40),5103
2048.0,1,Male,[40:45),4692
2048.0,0,Male,[40:45),4692
2048.0,1,Male,[45:50),4365
2048.0,0,Male,[45:50),4365
2048.0,1,Male,[50:55),3961
2048.0,0,Male,[50:55),3961
2048.0,1,Male,[55:60),3503
2048.0,0,Male,[55:60),3503
2048.0,1,Male,[60:65),2487
2048.0,0,Male,[60:65),2487
2048.0,1,Male,[65:70),1598
2048.0,0,Male,[65:70),1598
2048.0,1,Male,[70:75),918
2048.0,0,Male,[70:75),918
2048.0,1,Male,[75:80),476
2048.0,0,Male,[75:80),476
2048.0,1,Female,[0:5),6293
2048.0,0,Female,[0:5),6293
2048.0,1,Female,[0:200),74153
2048.0,0,Female,[0:200),74153
2048.0,1,Female,[5:10),6055
2048.0,0,Female,[5:10),6055
2048.0,1,Female,[10:15),6374
2048.0,0,Female,[10:15),6374
2048.0,1,Female,[15:20),6127
2048.0,0,Female,[15:20),6127
2048.0,1,Female,[20:25),6073
2048.0,0,Female,[20:25),6073
2048.0,1,Female,[25:30),5865
2048.0,0,Female,[25:30),5865
2048.0,1,Female,[30:35),5755
2048.0,0,Female,[30:35),5755
2048.0,1,Female,[35:40),5345
2048.0,0,Female,[35:40),5345
2048.0,1,Female,[40:45),4974
2048.0,0,Female,[40:45),4974
2048.0,1,Female,[45:50),4703
2048.0,0,Female,[45:50),4703
2048.0,1,Female,[50:55),4423
2048.0,0,Female,[50:55),4423
2048.0,1,Female,[55:60),3953
2048.0,0,Female,[55:60),3953
2048.0,1,Female,[60:65),3053
2048.0,0,Female,[60:65),3053
2048.0,1,Female,[65:70),1996
2048.0,0,Female,[65:70),1996
2048.0,1,Female,[70:75),1388
2048.0,0,Female,[70:75),1388
2048.0,1,Female,[75:80),886
2048.0,0,Female,[75:80),886
2049.0,1,Male,[0:5),6124
2049.0,0,Male,[0:5),6124
2049.0,1,Male,[0:200),70065
2049.0,0,Male,[0:200),70065
2049.0,1,Male,[5:10),6061
2049.0,0,Male,[5:10),6061
2049.0,1,Male,[10:15),6313
2049.0,0,Male,[10:15),6313
2049.0,1,Male,[15:20),6156
2049.0,0,Male,[15:20),6156
2049.0,1,Male,[20:25),6055
2049.0,0,Male,[20:25),6055
2049.0,1,Male,[25:30),5937
2049.0,0,Male,[25:30),5937
2049.0,1,Male,[30:35),5473
2049.0,0,Male,[30:35),5473
2049.0,1,Male,[35:40),5173
2049.0,0,Male,[35:40),5173
2049.0,1,Male,[40:45),4717
2049.0,0,Male,[40:45),4717
2049.0,1,Male,[45:50),4384
2049.0,0,Male,[45:50),4384
2049.0,1,Male,[50:55),4059
2049.0,0,Male,[50:55),4059
2049.0,1,Male,[55:60),3517
2049.0,0,Male,[55:60),3517
2049.0,1,Male,[60:65),2643
2049.0,0,Male,[60:65),2643
2049.0,1,Male,[65:70),1661
2049.0,0,Male,[65:70),1661
2049.0,1,Male,[70:75),988
2049.0,0,Male,[70:75),988
2049.0,1,Male,[75:80),494
2049.0,0,Male,[75:80),494
2049.0,1,Female,[0:5),6183
2049.0,0,Female,[0:5),6183
2049.0,1,Female,[0:200),74891
2049.0,0,Female,[0:200),74891
2049.0,1,Female,[5:10),6118
2049.0,0,Female,[5:10),6118
2049.0,1,Female,[10:15),6346
2049.0,0,Female,[10:15),6346
2049.0,1,Female,[15:20),6207
2049.0,0,Female,[15:20),6207
2049.0,1,Female,[20:25),6025
2049.0,0,Female,[20:25),6025
2049.0,1,Female,[25:30),5769
2049.0,0,Female,[25:30),5769
2049.0,1,Female,[30:35),5851
2049.0,0,Female,[30:35),5851
2049.0,1,Female,[35:40),5442
2049.0,0,Female,[35:40),5442
2049.0,1,Female,[40:45),5118
2049.0,0,Female,[40:45),5118
2049.0,1,Female,[45:50),4677
2049.0,0,Female,[45:50),4677
2049.0,1,Female,[50:55),4472
2049.0,0,Female,[50:55),4472
2049.0,1,Female,[55:60),4010
2049.0,0,Female,[55:60),4010
2049.0,1,Female,[60:65),3222
2049.0,0,Female,[60:65),3222
2049.0,1,Female,[65:70),2133
2049.0,0,Female,[65:70),2133
2049.0,1,Female,[70:75),1446
2049.0,0,Female,[70:75),1446
2049.0,1,Female,[75:80),926
2049.0,0,Female,[75:80),926
2050.0,1,Male,[0:5),6096
2050.0,0,Male,[0:5),6096
2050.0,1,Male,[0:200),70649
2050.0,0,Male,[0:200),70649
2050.0,1,Male,[5:10),6081
2050.0,0,Male,[5:10),6081
2050.0,1,Male,[10:15),6276
2050.0,0,Male,[10:15),6276
2050.0,1,Male,[15:20),6119
2050.0,0,Male,[15:20),6119
2050.0,1,Male,[20:25),6110
2050.0,0,Male,[20:25),6110
2050.0,1,Male,[25:30),5963
2050.0,0,Male,[25:30),5963
2050.0,1,Male,[30:35),5496
2050.0,0,Male,[30:35),5496
2050.0,1,Male,[35:40),5277
2050.0,0,Male,[35:40),5277
2050.0,1,Male,[40:45),4780
2050.0,0,Male,[40:45),4780
2050.0,1,Male,[45:50),4400
2050.0,0,Male,[45:50),4400
2050.0,1,Male,[50:55),4065
2050.0,0,Male,[50:55),4065
2050.0,1,Male,[55:60),3580
2050.0,0,Male,[55:60),3580
2050.0,1,Male,[60:65),2808
2050.0,0,Male,[60:65),2808
2050.0,1,Male,[65:70),1714
2050.0,0,Male,[65:70),1714
2050.0,1,Male,[70:75),1019
2050.0,0,Male,[70:75),1019
2050.0,1,Male,[75:80),538
2050.0,0,Male,[75:80),538
2050.0,1,Female,[0:5),6185
2050.0,0,Female,[0:5),6185
2050.0,1,Female,[0:200),75655
2050.0,0,Female,[0:200),75655
2050.0,1,Female,[5:10),6028
2050.0,0,Female,[5:10),6028
2050.0,1,Female,[10:15),6387
2050.0,0,Female,[10:15),6387
2050.0,1,Female,[15:20),6177
2050.0,0,Female,[15:20),6177
2050.0,1,Female,[20:25),6062
2050.0,0,Female,[20:25),6062
2050.0,1,Female,[25:30),5818
2050.0,0,Female,[25:30),5818
2050.0,1,Female,[30:35),5900
2050.0,0,Female,[30:35),5900
2050.0,1,Female,[35:40),5466
2050.0,0,Female,[35:40),5466
2050.0,1,Female,[40:45),5209
2050.0,0,Female,[40:45),5209
2050.0,1,Female,[45:50),4707
2050.0,0,Female,[45:50),4707
2050.0,1,Female,[50:55),4485
2050.0,0,Female,[50:55),4485
2050.0,1,Female,[55:60),4107
2050.0,0,Female,[55:60),4107
2050.0,1,Female,[60:65),3375
2050.0,0,Female,[60:65),3375
2050.0,1,Female,[65:70),2326
2050.0,0,Female,[65:70),2326
2050.0,1,Female,[70:75),1495
2050.0,0,Female,[70:75),1495
2050.0,1,Female,[75:80),964
2050.0,0,Female,[75:80),964
2039.0,1,Male,[0:5),6273
2039.0,0,Male,[0:5),6273
2039.0,1,Male,[0:200),62701
2039.0,0,Male,[0:200),62701
2039.0,1,Male,[5:10),6113
2039.0,0,Male,[5:10),6113
2039.0,1,Male,[10:15),6236
2039.0,0,Male,[10:15),6236
2039.0,1,Male,[15:20),6103
2039.0,0,Male,[15:20),6103
2039.0,1,Male,[20:25),5595
2039.0,0,Male,[20:25),5595
2039.0,1,Male,[25:30),5244
2039.0,0,Male,[25:30),5244
2039.0,1,Male,[30:35),4889
2039.0,0,Male,[30:35),4889
2039.0,1,Male,[35:40),4632
2039.0,0,Male,[35:40),4632
2039.0,1,Male,[40:45),4329
2039.0,0,Male,[40:45),4329
2039.0,1,Male,[45:50),4012
2039.0,0,Male,[45:50),4012
2039.0,1,Male,[50:55),3297
2039.0,0,Male,[50:55),3297
2039.0,1,Male,[55:60),2293
2039.0,0,Male,[55:60),2293
2039.0,1,Male,[60:65),1597
2039.0,0,Male,[60:65),1597
2039.0,1,Male,[65:70),968
2039.0,0,Male,[65:70),968
2039.0,1,Male,[70:75),648
2039.0,0,Male,[70:75),648
2039.0,1,Male,[75:80),309
2039.0,0,Male,[75:80),309
2039.0,1,Female,[0:5),6280
2039.0,0,Female,[0:5),6280
2039.0,1,Female,[0:200),66036
2039.0,0,Female,[0:200),66036
2039.0,1,Female,[5:10),6151
2039.0,0,Female,[5:10),6151
2039.0,1,Female,[10:15),6197
2039.0,0,Female,[10:15),6197
2039.0,1,Female,[15:20),5933
2039.0,0,Female,[15:20),5933
2039.0,1,Female,[20:25),5946
2039.0,0,Female,[20:25),5946
2039.0,1,Female,[25:30),5401
2039.0,0,Female,[25:30),5401
2039.0,1,Female,[30:35),5231
2039.0,0,Female,[30:35),5231
2039.0,1,Female,[35:40),4811
2039.0,0,Female,[35:40),4811
2039.0,1,Female,[40:45),4586
2039.0,0,Female,[40:45),4586
2039.0,1,Female,[45:50),4287
2039.0,0,Female,[45:50),4287
2039.0,1,Female,[50:55),3567
2039.0,0,Female,[50:55),3567
2039.0,1,Female,[55:60),2460
2039.0,0,Female,[55:60),2460
2039.0,1,Female,[60:65),1783
2039.0,0,Female,[60:65),1783
2039.0,1,Female,[65:70),1330
2039.0,0,Female,[65:70),1330
2039.0,1,Female,[70:75),1017
2039.0,0,Female,[70:75),1017
2039.0,1,Female,[75:80),617
2039.0,0,Female,[75:80),617
2040.0,1,Male,[0:5),6240
2040.0,0,Male,[0:5),6240
2040.0,1,Male,[0:200),63502
2040.0,0,Male,[0:200),63502
2040.0,1,Male,[5:10),6090
2040.0,0,Male,[5:10),6090
2040.0,1,Male,[10:15),6276
2040.0,0,Male,[10:15),6276
2040.0,1,Male,[15:20),6148
2040.0,0,Male,[15:20),6148
2040.0,1,Male,[20:25),5629
2040.0,0,Male,[20:25),5629
2040.0,1,Male,[25:30),5317
2040.0,0,Male,[25:30),5317
2040.0,1,Male,[30:35),4951
2040.0,0,Male,[30:35),4951
2040.0,1,Male,[35:40),4653
2040.0,0,Male,[35:40),4653
2040.0,1,Male,[40:45),4328
2040.0,0,Male,[40:45),4328
2040.0,1,Male,[45:50),4088
2040.0,0,Male,[45:50),4088
2040.0,1,Male,[50:55),3505
2040.0,0,Male,[50:55),3505
2040.0,1,Male,[55:60),2416
2040.0,0,Male,[55:60),2416
2040.0,1,Male,[60:65),1672
2040.0,0,Male,[60:65),1672
2040.0,1,Male,[65:70),1035
2040.0,0,Male,[65:70),1035
2040.0,1,Male,[70:75),638
2040.0,0,Male,[70:75),638
2040.0,1,Male,[75:80),364
2040.0,0,Male,[75:80),364
2040.0,1,Female,[0:5),6301
2040.0,0,Female,[0:5),6301
2040.0,1,Female,[0:200),67013
2040.0,0,Female,[0:200),67013
2040.0,1,Female,[5:10),6138
2040.0,0,Female,[5:10),6138
2040.0,1,Female,[10:15),6226
2040.0,0,Female,[10:15),6226
2040.0,1,Female,[15:20),5978
2040.0,0,Female,[15:20),5978
2040.0,1,Female,[20:25),5957
2040.0,0,Female,[20:25),5957
2040.0,1,Female,[25:30),5461
2040.0,0,Female,[25:30),5461
2040.0,1,Female,[30:35),5320
2040.0,0,Female,[30:35),5320
2040.0,1,Female,[35:40),4851
2040.0,0,Female,[35:40),4851
2040.0,1,Female,[40:45),4587
2040.0,0,Female,[40:45),4587
2040.0,1,Female,[45:50),4385
2040.0,0,Female,[45:50),4385
