Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6271
2048.0,0,Male,[0:5),6271
2048.0,1,Male,[0:200),70647
2048.0,0,Male,[0:200),70647
2048.0,1,Male,[5:10),6094
2048.0,0,Male,[5:10),6094
2048.0,1,Male,[10:15),6385
2048.0,0,Male,[10:15),6385
2048.0,1,Male,[15:20),6182
2048.0,0,Male,[15:20),6182
2048.0,1,Male,[20:25),6061
2048.0,0,Male,[20:25),6061
2048.0,1,Male,[25:30),5827
2048.0,0,Male,[25:30),5827
2048.0,1,Male,[30:35),5685
2048.0,0,Male,[30:35),5685
2048.0,1,Male,[35:40),5241
2048.0,0,Male,[35:40),5241
2048.0,1,Male,[40:45),4818
2048.0,0,Male,[40:45),4818
2048.0,1,Male,[45:50),4314
2048.0,0,Male,[45:50),4314
2048.0,1,Male,[50:55),4115
2048.0,0,Male,[50:55),4115
2048.0,1,Male,[55:60),3671
2048.0,0,Male,[55:60),3671
2048.0,1,Male,[60:65),2705
2048.0,0,Male,[60:65),2705
2048.0,1,Male,[65:70),1634
2048.0,0,Male,[65:70),1634
2048.0,1,Male,[70:75),864
2048.0,0,Male,[70:75),864
2048.0,1,Male,[75:80),477
2048.0,0,Male,[75:80),477
2048.0,1,Female,[0:5),6362
2048.0,0,Female,[0:5),6362
2048.0,1,Female,[0:200),75408
2048.0,0,Female,[0:200),75408
2048.0,1,Female,[5:10),6208
2048.0,0,Female,[5:10),6208
2048.0,1,Female,[10:15),6422
2048.0,0,Female,[10:15),6422
2048.0,1,Female,[15:20),6243
2048.0,0,Female,[15:20),6243
2048.0,1,Female,[20:25),6302
2048.0,0,Female,[20:25),6302
2048.0,1,Female,[25:30),5967
2048.0,0,Female,[25:30),5967
2048.0,1,Female,[30:35),5795
2048.0,0,Female,[30:35),5795
2048.0,1,Female,[35:40),5399
2048.0,0,Female,[35:40),5399
2048.0,1,Female,[40:45),5139
2048.0,0,Female,[40:45),5139
2048.0,1,Female,[45:50),4604
2048.0,0,Female,[45:50),4604
2048.0,1,Female,[50:55),4576
2048.0,0,Female,[50:55),4576
2048.0,1,Female,[55:60),3980
2048.0,0,Female,[55:60),3980
2048.0,1,Female,[60:65),3090
2048.0,0,Female,[60:65),3090
2048.0,1,Female,[65:70),2024
2048.0,0,Female,[65:70),2024
2048.0,1,Female,[70:75),1394
2048.0,0,Female,[70:75),1394
2048.0,1,Female,[75:80),932
2048.0,0,Female,[75:80),932
2049.0,1,Male,[0:5),6243
2049.0,0,Male,[0:5),6243
2049.0,1,Male,[0:200),71350
2049.0,0,Male,[0:200),71350
2049.0,1,Male,[5:10),6170
2049.0,0,Male,[5:10),6170
2049.0,1,Male,[10:15),6346
2049.0,0,Male,[10:15),6346
2049.0,1,Male,[15:20),6159
2049.0,0,Male,[15:20),6159
2049.0,1,Male,[20:25),6032
2049.0,0,Male,[20:25),6032
2049.0,1,Male,[25:30),5916
2049.0,0,Male,[25:30),5916
2049.0,1,Male,[30:35),5754
2049.0,0,Male,[30:35),5754
2049.0,1,Male,[35:40),5305
2049.0,0,Male,[35:40),5305
2049.0,1,Male,[40:45),4852
2049.0,0,Male,[40:45),4852
2049.0,1,Male,[45:50),4411
2049.0,0,Male,[45:50),4411
2049.0,1,Male,[50:55),4093
2049.0,0,Male,[50:55),4093
2049.0,1,Male,[55:60),3768
2049.0,0,Male,[55:60),3768
2049.0,1,Male,[60:65),2823
2049.0,0,Male,[60:65),2823
2049.0,1,Male,[65:70),1728
2049.0,0,Male,[65:70),1728
2049.0,1,Male,[70:75),940
2049.0,0,Male,[70:75),940
2049.0,1,Male,[75:80),483
2049.0,0,Male,[75:80),483
2049.0,1,Female,[0:5),6393
2049.0,0,Female,[0:5),6393
2049.0,1,Female,[0:200),76239
2049.0,0,Female,[0:200),76239
2049.0,1,Female,[5:10),6115
2049.0,0,Female,[5:10),6115
2049.0,1,Female,[10:15),6492
2049.0,0,Female,[10:15),6492
2049.0,1,Female,[15:20),6288
2049.0,0,Female,[15:20),6288
2049.0,1,Female,[20:25),6326
2049.0,0,Female,[20:25),6326
2049.0,1,Female,[25:30),5954
2049.0,0,Female,[25:30),5954
2049.0,1,Female,[30:35),5842
2049.0,0,Female,[30:35),5842
2049.0,1,Female,[35:40),5474
2049.0,0,Female,[35:40),5474
2049.0,1,Female,[40:45),5192
2049.0,0,Female,[40:45),5192
2049.0,1,Female,[45:50),4689
2049.0,0,Female,[45:50),4689
2049.0,1,Female,[50:55),4557
2049.0,0,Female,[50:55),4557
2049.0,1,Female,[55:60),4078
2049.0,0,Female,[55:60),4078
2049.0,1,Female,[60:65),3261
2049.0,0,Female,[60:65),3261
2049.0,1,Female,[65:70),2142
2049.0,0,Female,[65:70),2142
2049.0,1,Female,[70:75),1487
2049.0,0,Female,[70:75),1487
2049.0,1,Female,[75:80),915
2049.0,0,Female,[75:80),915
2050.0,1,Male,[0:5),6205
2050.0,0,Male,[0:5),6205
2050.0,1,Male,[0:200),71977
2050.0,0,Male,[0:200),71977
2050.0,1,Male,[5:10),6167
2050.0,0,Male,[5:10),6167
2050.0,1,Male,[10:15),6372
2050.0,0,Male,[10:15),6372
2050.0,1,Male,[15:20),6087
2050.0,0,Male,[15:20),6087
2050.0,1,Male,[20:25),6119
2050.0,0,Male,[20:25),6119
2050.0,1,Male,[25:30),5968
2050.0,0,Male,[25:30),5968
2050.0,1,Male,[30:35),5690
2050.0,0,Male,[30:35),5690
2050.0,1,Male,[35:40),5439
2050.0,0,Male,[35:40),5439
2050.0,1,Male,[40:45),4902
2050.0,0,Male,[40:45),4902
2050.0,1,Male,[45:50),4479
2050.0,0,Male,[45:50),4479
2050.0,1,Male,[50:55),4125
2050.0,0,Male,[50:55),4125
2050.0,1,Male,[55:60),3729
2050.0,0,Male,[55:60),3729
2050.0,1,Male,[60:65),2977
2050.0,0,Male,[60:65),2977
2050.0,1,Male,[65:70),1869
2050.0,0,Male,[65:70),1869
2050.0,1,Male,[70:75),996
2050.0,0,Male,[70:75),996
2050.0,1,Male,[75:80),504
2050.0,0,Male,[75:80),504
2050.0,1,Female,[0:5),6365
2050.0,0,Female,[0:5),6365
2050.0,1,Female,[0:200),77080
2050.0,0,Female,[0:200),77080
2050.0,1,Female,[5:10),6114
2050.0,0,Female,[5:10),6114
2050.0,1,Female,[10:15),6532
2050.0,0,Female,[10:15),6532
2050.0,1,Female,[15:20),6268
2050.0,0,Female,[15:20),6268
2050.0,1,Female,[20:25),6261
2050.0,0,Female,[20:25),6261
2050.0,1,Female,[25:30),6052
2050.0,0,Female,[25:30),6052
2050.0,1,Female,[30:35),5844
2050.0,0,Female,[30:35),5844
2050.0,1,Female,[35:40),5559
2050.0,0,Female,[35:40),5559
2050.0,1,Female,[40:45),5270
2050.0,0,Female,[40:45),5270
2050.0,1,Female,[45:50),4796
2050.0,0,Female,[45:50),4796
2050.0,1,Female,[50:55),4545
2050.0,0,Female,[50:55),4545
2050.0,1,Female,[55:60),4122
2050.0,0,Female,[55:60),4122
2050.0,1,Female,[60:65),3438
2050.0,0,Female,[60:65),3438
2050.0,1,Female,[65:70),2314
2050.0,0,Female,[65:70),2314
2050.0,1,Female,[70:75),1556
2050.0,0,Female,[70:75),1556
2050.0,1,Female,[75:80),979
2050.0,0,Female,[75:80),979
2039.0,1,Male,[0:5),6328
2039.0,0,Male,[0:5),6328
2039.0,1,Male,[0:200),63787
2039.0,0,Male,[0:200),63787
2039.0,1,Male,[5:10),6084
2039.0,0,Male,[5:10),6084
2039.0,1,Male,[10:15),6240
2039.0,0,Male,[10:15),6240
2039.0,1,Male,[15:20),6104
2039.0,0,Male,[15:20),6104
2039.0,1,Male,[20:25),5846
2039.0,0,Male,[20:25),5846
2039.0,1,Male,[25:30),5380
2039.0,0,Male,[25:30),5380
2039.0,1,Male,[30:35),5061
2039.0,0,Male,[30:35),5061
2039.0,1,Male,[35:40),4644
2039.0,0,Male,[35:40),4644
2039.0,1,Male,[40:45),4376
2039.0,0,Male,[40:45),4376
2039.0,1,Male,[45:50),4251
2039.0,0,Male,[45:50),4251
2039.0,1,Male,[50:55),3525
2039.0,0,Male,[50:55),3525
2039.0,1,Male,[55:60),2377
2039.0,0,Male,[55:60),2377
2039.0,1,Male,[60:65),1498
2039.0,0,Male,[60:65),1498
2039.0,1,Male,[65:70),986
2039.0,0,Male,[65:70),986
2039.0,1,Male,[70:75),679
2039.0,0,Male,[70:75),679
2039.0,1,Male,[75:80),273
2039.0,0,Male,[75:80),273
2039.0,1,Female,[0:5),6404
2039.0,0,Female,[0:5),6404
2039.0,1,Female,[0:200),67435
2039.0,0,Female,[0:200),67435
2039.0,1,Female,[5:10),6237
2039.0,0,Female,[5:10),6237
2039.0,1,Female,[10:15),6488
2039.0,0,Female,[10:15),6488
2039.0,1,Female,[15:20),6119
2039.0,0,Female,[15:20),6119
2039.0,1,Female,[20:25),5891
2039.0,0,Female,[20:25),5891
2039.0,1,Female,[25:30),5473
2039.0,0,Female,[25:30),5473
2039.0,1,Female,[30:35),5310
2039.0,0,Female,[30:35),5310
2039.0,1,Female,[35:40),4842
2039.0,0,Female,[35:40),4842
2039.0,1,Female,[40:45),4691
2039.0,0,Female,[40:45),4691
2039.0,1,Female,[45:50),4338
2039.0,0,Female,[45:50),4338
2039.0,1,Female,[50:55),3667
2039.0,0,Female,[50:55),3667
2039.0,1,Female,[55:60),2482
2039.0,0,Female,[55:60),2482
2039.0,1,Female,[60:65),1835
2039.0,0,Female,[60:65),1835
2039.0,1,Female,[65:70),1368
2039.0,0,Female,[65:70),1368
2039.0,1,Female,[70:75),1116
2039.0,0,Female,[70:75),1116
2039.0,1,Female,[75:80),659
2039.0,0,Female,[75:80),659
2040.0,1,Male,[0:5),6359
2040.0,0,Male,[0:5),6359
2040.0,1,Male,[0:200),64613
2040.0,0,Male,[0:200),64613
2040.0,1,Male,[5:10),6032
2040.0,0,Male,[5:10),6032
2040.0,1,Male,[10:15),6300
2040.0,0,Male,[10:15),6300
2040.0,1,Male,[15:20),6143
2040.0,0,Male,[15:20),6143
2040.0,1,Male,[20:25),5810
2040.0,0,Male,[20:25),5810
2040.0,1,Male,[25:30),5506
2040.0,0,Male,[25:30),5506
2040.0,1,Male,[30:35),5103
2040.0,0,Male,[30:35),5103
2040.0,1,Male,[35:40),4713
2040.0,0,Male,[35:40),4713
2040.0,1,Male,[40:45),4413
2040.0,0,Male,[40:45),4413
2040.0,1,Male,[45:50),4225
2040.0,0,Male,[45:50),4225
2040.0,1,Male,[50:55),3687
2040.0,0,Male,[50:55),3687
2040.0,1,Male,[55:60),2551
2040.0,0,Male,[55:60),2551
2040.0,1,Male,[60:65),1595
2040.0,0,Male,[60:65),1595
2040.0,1,Male,[65:70),1020
2040.0,0,Male,[65:70),1020
2040.0,1,Male,[70:75),708
2040.0,0,Male,[70:75),708
2040.0,1,Male,[75:80),316
2040.0,0,Male,[75:80),316
2040.0,1,Female,[0:5),6469
2040.0,0,Female,[0:5),6469
2040.0,1,Female,[0:200),68466
2040.0,0,Female,[0:200),68466
2040.0,1,Female,[5:10),6222
2040.0,0,Female,[5:10),6222
2040.0,1,Female,[10:15),6420
2040.0,0,Female,[10:15),6420
2040.0,1,Female,[15:20),6194
2040.0,0,Female,[15:20),6194
2040.0,1,Female,[20:25),5935
2040.0,0,Female,[20:25),5935
2040.0,1,Female,[25:30),5530
2040.0,0,Female,[25:30),5530
2040.0,1,Female,[30:35),5384
2040.0,0,Female,[30:35),5384
2040.0,1,Female,[35:40),4953
2040.0,0,Female,[35:40),4953
2040.0,1,Female,[40:45),4666
2040.0,0,Female,[40:45),4666
2040.0,1,Female,[45:50),4427
2040.0,0,Female,[45:50),4427
2040.0,1,Female,[50:55),3828
2040.0,0,Female,[50:55),3828
2040.0,1,Female,[55:60),2681
2040.0,0,Female,[55:60),2681
2040.0,1,Female,[60:65),1923
2040.0,0,Female,[60:65),1923
2040.0,1,Female,[65:70),1434
2040.0,0,Female,[65:70),1434
2040.0,1,Female,[70:75),1146
2040.0,0,Female,[70:75),1146
2040.0,1,Female,[75:80),735
2040.0,0,Female,[75:80),735
2041.0,1,Male,[0:5),6301
2041.0,0,Male,[0:5),6301
2041.0,1,Male,[0:200),65449
2041.0,0,Male,[0:200),65449
2041.0,1,Male,[5:10),6157
2041.0,0,Male,[5:10),6157
2041.0,1,Male,[10:15),6286
2041.0,0,Male,[10:15),6286
2041.0,1,Male,[15:20),6130
2041.0,0,Male,[15:20),6130
2041.0,1,Male,[20:25),5912
2041.0,0,Male,[20:25),5912
2041.0,1,Male,[25:30),5486
2041.0,0,Male,[25:30),5486
2041.0,1,Male,[30:35),5219
2041.0,0,Male,[30:35),5219
2041.0,1,Male,[35:40),4794
2041.0,0,Male,[35:40),4794
2041.0,1,Male,[40:45),4418
2041.0,0,Male,[40:45),4418
2041.0,1,Male,[45:50),4251
2041.0,0,Male,[45:50),4251
2041.0,1,Male,[50:55),3825
2041.0,0,Male,[50:55),3825
2041.0,1,Male,[55:60),2720
2041.0,0,Male,[55:60),2720
2041.0,1,Male,[60:65),1700
2041.0,0,Male,[60:65),1700
2041.0,1,Male,[65:70),1034
2041.0,0,Male,[65:70),1034
2041.0,1,Male,[70:75),723
2041.0,0,Male,[70:75),723
2041.0,1,Male,[75:80),351
2041.0,0,Male,[75:80),351
2041.0,1,Female,[0:5),6471
2041.0,0,Female,[0:5),6471
2041.0,1,Female,[0:200),69394
2041.0,0,Female,[0:200),69394
2041.0,1,Female,[5:10),6246
2041.0,0,Female,[5:10),6246
2041.0,1,Female,[10:15),6377
2041.0,0,Female,[10:15),6377
2041.0,1,Female,[15:20),6202
2041.0,0,Female,[15:20),6202
2041.0,1,Female,[20:25),6048
2041.0,0,Female,[20:25),6048
2041.0,1,Female,[25:30),5556
2041.0,0,Female,[25:30),5556
2041.0,1,Female,[30:35),5468
2041.0,0,Female,[30:35),5468
2041.0,1,Female,[35:40),4979
2041.0,0,Female,[35:40),4979
