Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[15:20),0.004367518602394047
2048.0,0,Male,[15:20),0.004367518602394047
2048.0,1,Male,[20:25),0.017158884672496287
2048.0,0,Male,[20:25),0.017158884672496287
2048.0,1,Male,[25:30),0.044276643212630855
2048.0,0,Male,[25:30),0.044276643212630855
2048.0,1,Male,[30:35),0.08425681618293755
2048.0,0,Male,[30:35),0.08425681618293755
2048.0,1,Male,[35:40),0.1389047891623736
2048.0,0,Male,[35:40),0.1389047891623736
2048.0,1,Male,[40:45),0.18306351183063513
2048.0,0,Male,[40:45),0.18306351183063513
2048.0,1,Male,[45:50),0.23759851645804358
2048.0,0,Male,[45:50),0.23759851645804358
2048.0,1,Male,[50:55),0.3487241798298906
2048.0,0,Male,[50:55),0.3487241798298906
2048.0,1,Male,[55:60),0.4135113048215745
2048.0,0,Male,[55:60),0.4135113048215745
2048.0,1,Male,[60:65),0.5316081330868762
2048.0,0,Male,[60:65),0.5316081330868762
2048.0,1,Male,[65:200),0.6015863331299572
2048.0,0,Male,[65:200),0.6015863331299572
2048.0,1,Female,[15:20),0.028992471568156337
2048.0,0,Female,[15:20),0.028992471568156337
2048.0,1,Female,[20:25),0.09568390986988258
2048.0,0,Female,[20:25),0.09568390986988258
2048.0,1,Female,[25:30),0.16272833919892743
2048.0,0,Female,[25:30),0.16272833919892743
2048.0,1,Female,[30:35),0.2258843830888697
2048.0,0,Female,[30:35),0.2258843830888697
2048.0,1,Female,[35:40),0.3013521022411558
2048.0,0,Female,[35:40),0.3013521022411558
2048.0,1,Female,[40:45),0.3448141661801907
2048.0,0,Female,[40:45),0.3448141661801907
2048.0,1,Female,[45:50),0.4137706342311034
2048.0,0,Female,[45:50),0.4137706342311034
2048.0,1,Female,[50:55),0.49344405594405594
2048.0,0,Female,[50:55),0.49344405594405594
2048.0,1,Female,[55:60),0.5831658291457287
2048.0,0,Female,[55:60),0.5831658291457287
2048.0,1,Female,[60:65),0.6401294498381876
2048.0,0,Female,[60:65),0.6401294498381876
2048.0,1,Female,[65:200),0.6199962413080248
2048.0,0,Female,[65:200),0.6199962413080248
2049.0,1,Male,[15:20),0.002597824322130216
2049.0,0,Male,[15:20),0.002597824322130216
2049.0,1,Male,[20:25),0.016909814323607428
2049.0,0,Male,[20:25),0.016909814323607428
2049.0,1,Male,[25:30),0.04513184584178499
2049.0,0,Male,[25:30),0.04513184584178499
2049.0,1,Male,[30:35),0.08359402155022592
2049.0,0,Male,[30:35),0.08359402155022592
2049.0,1,Male,[35:40),0.13308199811498586
2049.0,0,Male,[35:40),0.13308199811498586
2049.0,1,Male,[40:45),0.18301731244847486
2049.0,0,Male,[40:45),0.18301731244847486
2049.0,1,Male,[45:50),0.22670596236681026
2049.0,0,Male,[45:50),0.22670596236681026
2049.0,1,Male,[50:55),0.33593940874664063
2049.0,0,Male,[50:55),0.33593940874664063
2049.0,1,Male,[55:60),0.4148089171974522
