Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6172
2048.0,0,Male,[0:5),6172
2048.0,1,Male,[0:200),69206
2048.0,0,Male,[0:200),69206
2048.0,1,Male,[5:10),6012
2048.0,0,Male,[5:10),6012
2048.0,1,Male,[10:15),6169
2048.0,0,Male,[10:15),6169
2048.0,1,Male,[15:20),5907
2048.0,0,Male,[15:20),5907
2048.0,1,Male,[20:25),5860
2048.0,0,Male,[20:25),5860
2048.0,1,Male,[25:30),5815
2048.0,0,Male,[25:30),5815
2048.0,1,Male,[30:35),5609
2048.0,0,Male,[30:35),5609
2048.0,1,Male,[35:40),5239
2048.0,0,Male,[35:40),5239
2048.0,1,Male,[40:45),4676
2048.0,0,Male,[40:45),4676
2048.0,1,Male,[45:50),4350
2048.0,0,Male,[45:50),4350
2048.0,1,Male,[50:55),4006
2048.0,0,Male,[50:55),4006
2048.0,1,Male,[55:60),3435
2048.0,0,Male,[55:60),3435
2048.0,1,Male,[60:65),2627
2048.0,0,Male,[60:65),2627
2048.0,1,Male,[65:70),1632
2048.0,0,Male,[65:70),1632
2048.0,1,Male,[70:75),900
2048.0,0,Male,[70:75),900
2048.0,1,Male,[75:80),492
2048.0,0,Male,[75:80),492
2048.0,1,Female,[0:5),6282
2048.0,0,Female,[0:5),6282
2048.0,1,Female,[0:200),74111
2048.0,0,Female,[0:200),74111
2048.0,1,Female,[5:10),5974
2048.0,0,Female,[5:10),5974
2048.0,1,Female,[10:15),6333
2048.0,0,Female,[10:15),6333
2048.0,1,Female,[15:20),6261
2048.0,0,Female,[15:20),6261
2048.0,1,Female,[20:25),6205
2048.0,0,Female,[20:25),6205
2048.0,1,Female,[25:30),5971
2048.0,0,Female,[25:30),5971
2048.0,1,Female,[30:35),5597
2048.0,0,Female,[30:35),5597
2048.0,1,Female,[35:40),5183
2048.0,0,Female,[35:40),5183
2048.0,1,Female,[40:45),4963
2048.0,0,Female,[40:45),4963
2048.0,1,Female,[45:50),4624
2048.0,0,Female,[45:50),4624
2048.0,1,Female,[50:55),4477
2048.0,0,Female,[50:55),4477
2048.0,1,Female,[55:60),3973
2048.0,0,Female,[55:60),3973
2048.0,1,Female,[60:65),3084
2048.0,0,Female,[60:65),3084
2048.0,1,Female,[65:70),2027
2048.0,0,Female,[65:70),2027
2048.0,1,Female,[70:75),1335
2048.0,0,Female,[70:75),1335
2048.0,1,Female,[75:80),952
2048.0,0,Female,[75:80),952
2049.0,1,Male,[0:5),6166
2049.0,0,Male,[0:5),6166
2049.0,1,Male,[0:200),69876
2049.0,0,Male,[0:200),69876
2049.0,1,Male,[5:10),6044
2049.0,0,Male,[5:10),6044
2049.0,1,Male,[10:15),6129
2049.0,0,Male,[10:15),6129
2049.0,1,Male,[15:20),5962
2049.0,0,Male,[15:20),5962
2049.0,1,Male,[20:25),5834
2049.0,0,Male,[20:25),5834
2049.0,1,Male,[25:30),5758
2049.0,0,Male,[25:30),5758
2049.0,1,Male,[30:35),5723
2049.0,0,Male,[30:35),5723
2049.0,1,Male,[35:40),5236
2049.0,0,Male,[35:40),5236
2049.0,1,Male,[40:45),4857
2049.0,0,Male,[40:45),4857
2049.0,1,Male,[45:50),4449
2049.0,0,Male,[45:50),4449
2049.0,1,Male,[50:55),3964
2049.0,0,Male,[50:55),3964
2049.0,1,Male,[55:60),3469
2049.0,0,Male,[55:60),3469
2049.0,1,Male,[60:65),2739
2049.0,0,Male,[60:65),2739
2049.0,1,Male,[65:70),1753
2049.0,0,Male,[65:70),1753
2049.0,1,Male,[70:75),976
2049.0,0,Male,[70:75),976
2049.0,1,Male,[75:80),502
2049.0,0,Male,[75:80),502
2049.0,1,Female,[0:5),6249
2049.0,0,Female,[0:5),6249
2049.0,1,Female,[0:200),74892
2049.0,0,Female,[0:200),74892
2049.0,1,Female,[5:10),6034
2049.0,0,Female,[5:10),6034
2049.0,1,Female,[10:15),6249
2049.0,0,Female,[10:15),6249
2049.0,1,Female,[15:20),6213
2049.0,0,Female,[15:20),6213
2049.0,1,Female,[20:25),6241
2049.0,0,Female,[20:25),6241
2049.0,1,Female,[25:30),6020
2049.0,0,Female,[25:30),6020
2049.0,1,Female,[30:35),5713
2049.0,0,Female,[30:35),5713
2049.0,1,Female,[35:40),5229
2049.0,0,Female,[35:40),5229
2049.0,1,Female,[40:45),5051
2049.0,0,Female,[40:45),5051
2049.0,1,Female,[45:50),4648
2049.0,0,Female,[45:50),4648
2049.0,1,Female,[50:55),4459
2049.0,0,Female,[50:55),4459
2049.0,1,Female,[55:60),4077
2049.0,0,Female,[55:60),4077
2049.0,1,Female,[60:65),3275
2049.0,0,Female,[60:65),3275
2049.0,1,Female,[65:70),2154
2049.0,0,Female,[65:70),2154
2049.0,1,Female,[70:75),1384
2049.0,0,Female,[70:75),1384
2049.0,1,Female,[75:80),960
2049.0,0,Female,[75:80),960
2050.0,1,Male,[0:5),6212
2050.0,0,Male,[0:5),6212
2050.0,1,Male,[0:200),70575
2050.0,0,Male,[0:200),70575
2050.0,1,Male,[5:10),6042
2050.0,0,Male,[5:10),6042
2050.0,1,Male,[10:15),6105
2050.0,0,Male,[10:15),6105
2050.0,1,Male,[15:20),5995
2050.0,0,Male,[15:20),5995
2050.0,1,Male,[20:25),5830
2050.0,0,Male,[20:25),5830
2050.0,1,Male,[25:30),5770
2050.0,0,Male,[25:30),5770
2050.0,1,Male,[30:35),5781
2050.0,0,Male,[30:35),5781
2050.0,1,Male,[35:40),5225
2050.0,0,Male,[35:40),5225
2050.0,1,Male,[40:45),4952
2050.0,0,Male,[40:45),4952
2050.0,1,Male,[45:50),4485
2050.0,0,Male,[45:50),4485
2050.0,1,Male,[50:55),4033
2050.0,0,Male,[50:55),4033
2050.0,1,Male,[55:60),3506
2050.0,0,Male,[55:60),3506
2050.0,1,Male,[60:65),2893
2050.0,0,Male,[60:65),2893
2050.0,1,Male,[65:70),1885
2050.0,0,Male,[65:70),1885
2050.0,1,Male,[70:75),995
2050.0,0,Male,[70:75),995
2050.0,1,Male,[75:80),535
2050.0,0,Male,[75:80),535
2050.0,1,Female,[0:5),6260
2050.0,0,Female,[0:5),6260
2050.0,1,Female,[0:200),75692
2050.0,0,Female,[0:200),75692
2050.0,1,Female,[5:10),6010
2050.0,0,Female,[5:10),6010
2050.0,1,Female,[10:15),6190
2050.0,0,Female,[10:15),6190
2050.0,1,Female,[15:20),6275
2050.0,0,Female,[15:20),6275
2050.0,1,Female,[20:25),6216
2050.0,0,Female,[20:25),6216
2050.0,1,Female,[25:30),6033
2050.0,0,Female,[25:30),6033
2050.0,1,Female,[30:35),5783
2050.0,0,Female,[30:35),5783
2050.0,1,Female,[35:40),5301
2050.0,0,Female,[35:40),5301
2050.0,1,Female,[40:45),5119
2050.0,0,Female,[40:45),5119
2050.0,1,Female,[45:50),4715
2050.0,0,Female,[45:50),4715
2050.0,1,Female,[50:55),4448
2050.0,0,Female,[50:55),4448
2050.0,1,Female,[55:60),4167
2050.0,0,Female,[55:60),4167
2050.0,1,Female,[60:65),3389
2050.0,0,Female,[60:65),3389
2050.0,1,Female,[65:70),2363
2050.0,0,Female,[65:70),2363
2050.0,1,Female,[70:75),1486
2050.0,0,Female,[70:75),1486
2050.0,1,Female,[75:80),950
2050.0,0,Female,[75:80),950
2039.0,1,Male,[0:5),6116
2039.0,0,Male,[0:5),6116
2039.0,1,Male,[0:200),62400
2039.0,0,Male,[0:200),62400
2039.0,1,Male,[5:10),5914
2039.0,0,Male,[5:10),5914
2039.0,1,Male,[10:15),6022
2039.0,0,Male,[10:15),6022
2039.0,1,Male,[15:20),5965
2039.0,0,Male,[15:20),5965
2039.0,1,Male,[20:25),5820
2039.0,0,Male,[20:25),5820
2039.0,1,Male,[25:30),5270
2039.0,0,Male,[25:30),5270
2039.0,1,Male,[30:35),5028
2039.0,0,Male,[30:35),5028
2039.0,1,Male,[35:40),4697
2039.0,0,Male,[35:40),4697
2039.0,1,Male,[40:45),4224
2039.0,0,Male,[40:45),4224
2039.0,1,Male,[45:50),3964
2039.0,0,Male,[45:50),3964
2039.0,1,Male,[50:55),3402
2039.0,0,Male,[50:55),3402
2039.0,1,Male,[55:60),2364
2039.0,0,Male,[55:60),2364
2039.0,1,Male,[60:65),1563
2039.0,0,Male,[60:65),1563
2039.0,1,Male,[65:70),1046
2039.0,0,Male,[65:70),1046
2039.0,1,Male,[70:75),597
2039.0,0,Male,[70:75),597
2039.0,1,Male,[75:80),273
2039.0,0,Male,[75:80),273
2039.0,1,Female,[0:5),6181
2039.0,0,Female,[0:5),6181
2039.0,1,Female,[0:200),66061
2039.0,0,Female,[0:200),66061
2039.0,1,Female,[5:10),6167
2039.0,0,Female,[5:10),6167
2039.0,1,Female,[10:15),6398
2039.0,0,Female,[10:15),6398
2039.0,1,Female,[15:20),6184
2039.0,0,Female,[15:20),6184
2039.0,1,Female,[20:25),5774
2039.0,0,Female,[20:25),5774
2039.0,1,Female,[25:30),5238
2039.0,0,Female,[25:30),5238
2039.0,1,Female,[30:35),5163
2039.0,0,Female,[30:35),5163
2039.0,1,Female,[35:40),4779
2039.0,0,Female,[35:40),4779
2039.0,1,Female,[40:45),4578
2039.0,0,Female,[40:45),4578
2039.0,1,Female,[45:50),4336
2039.0,0,Female,[45:50),4336
2039.0,1,Female,[50:55),3669
2039.0,0,Female,[50:55),3669
2039.0,1,Female,[55:60),2469
2039.0,0,Female,[55:60),2469
2039.0,1,Female,[60:65),1713
2039.0,0,Female,[60:65),1713
2039.0,1,Female,[65:70),1324
2039.0,0,Female,[65:70),1324
2039.0,1,Female,[70:75),969
2039.0,0,Female,[70:75),969
2039.0,1,Female,[75:80),638
2039.0,0,Female,[75:80),638
2040.0,1,Male,[0:5),6072
2040.0,0,Male,[0:5),6072
2040.0,1,Male,[0:200),63196
2040.0,0,Male,[0:200),63196
2040.0,1,Male,[5:10),5927
2040.0,0,Male,[5:10),5927
2040.0,1,Male,[10:15),6036
2040.0,0,Male,[10:15),6036
2040.0,1,Male,[15:20),5957
2040.0,0,Male,[15:20),5957
2040.0,1,Male,[20:25),5895
2040.0,0,Male,[20:25),5895
2040.0,1,Male,[25:30),5278
2040.0,0,Male,[25:30),5278
2040.0,1,Male,[30:35),5146
2040.0,0,Male,[30:35),5146
2040.0,1,Male,[35:40),4701
2040.0,0,Male,[35:40),4701
