Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6117
2048.0,0,Male,[0:5),6117
2048.0,1,Male,[0:200),68702
2048.0,0,Male,[0:200),68702
2048.0,1,Male,[5:10),6056
2048.0,0,Male,[5:10),6056
2048.0,1,Male,[10:15),6102
2048.0,0,Male,[10:15),6102
2048.0,1,Male,[15:20),6173
2048.0,0,Male,[15:20),6173
2048.0,1,Male,[20:25),6006
2048.0,0,Male,[20:25),6006
2048.0,1,Male,[25:30),5714
2048.0,0,Male,[25:30),5714
2048.0,1,Male,[30:35),5557
2048.0,0,Male,[30:35),5557
2048.0,1,Male,[35:40),5122
2048.0,0,Male,[35:40),5122
2048.0,1,Male,[40:45),4746
2048.0,0,Male,[40:45),4746
2048.0,1,Male,[45:50),4212
2048.0,0,Male,[45:50),4212
2048.0,1,Male,[50:55),3807
2048.0,0,Male,[50:55),3807
2048.0,1,Male,[55:60),3346
2048.0,0,Male,[55:60),3346
2048.0,1,Male,[60:65),2547
2048.0,0,Male,[60:65),2547
2048.0,1,Male,[65:70),1610
2048.0,0,Male,[65:70),1610
2048.0,1,Male,[70:75),832
2048.0,0,Male,[70:75),832
2048.0,1,Male,[75:80),446
2048.0,0,Male,[75:80),446
2048.0,1,Female,[0:5),6303
2048.0,0,Female,[0:5),6303
2048.0,1,Female,[0:200),74272
2048.0,0,Female,[0:200),74272
2048.0,1,Female,[5:10),6048
2048.0,0,Female,[5:10),6048
2048.0,1,Female,[10:15),6463
2048.0,0,Female,[10:15),6463
2048.0,1,Female,[15:20),6088
2048.0,0,Female,[15:20),6088
2048.0,1,Female,[20:25),6142
2048.0,0,Female,[20:25),6142
2048.0,1,Female,[25:30),5961
2048.0,0,Female,[25:30),5961
2048.0,1,Female,[30:35),5653
2048.0,0,Female,[30:35),5653
2048.0,1,Female,[35:40),5346
2048.0,0,Female,[35:40),5346
2048.0,1,Female,[40:45),4882
2048.0,0,Female,[40:45),4882
2048.0,1,Female,[45:50),4629
2048.0,0,Female,[45:50),4629
2048.0,1,Female,[50:55),4449
2048.0,0,Female,[50:55),4449
2048.0,1,Female,[55:60),3960
2048.0,0,Female,[55:60),3960
2048.0,1,Female,[60:65),3143
2048.0,0,Female,[60:65),3143
2048.0,1,Female,[65:70),2033
2048.0,0,Female,[65:70),2033
2048.0,1,Female,[70:75),1321
2048.0,0,Female,[70:75),1321
2048.0,1,Female,[75:80),931
2048.0,0,Female,[75:80),931
2049.0,1,Male,[0:5),6117
2049.0,0,Male,[0:5),6117
2049.0,1,Male,[0:200),69365
2049.0,0,Male,[0:200),69365
2049.0,1,Male,[5:10),5967
2049.0,0,Male,[5:10),5967
2049.0,1,Male,[10:15),6170
2049.0,0,Male,[10:15),6170
2049.0,1,Male,[15:20),6134
2049.0,0,Male,[15:20),6134
2049.0,1,Male,[20:25),6038
2049.0,0,Male,[20:25),6038
2049.0,1,Male,[25:30),5746
2049.0,0,Male,[25:30),5746
2049.0,1,Male,[30:35),5623
2049.0,0,Male,[30:35),5623
2049.0,1,Male,[35:40),5121
2049.0,0,Male,[35:40),5121
2049.0,1,Male,[40:45),4851
2049.0,0,Male,[40:45),4851
2049.0,1,Male,[45:50),4268
2049.0,0,Male,[45:50),4268
2049.0,1,Male,[50:55),3848
2049.0,0,Male,[50:55),3848
2049.0,1,Male,[55:60),3429
2049.0,0,Male,[55:60),3429
2049.0,1,Male,[60:65),2644
2049.0,0,Male,[60:65),2644
2049.0,1,Male,[65:70),1746
2049.0,0,Male,[65:70),1746
2049.0,1,Male,[70:75),881
2049.0,0,Male,[70:75),881
2049.0,1,Male,[75:80),463
2049.0,0,Male,[75:80),463
2049.0,1,Female,[0:5),6249
2049.0,0,Female,[0:5),6249
2049.0,1,Female,[0:200),75047
2049.0,0,Female,[0:200),75047
2049.0,1,Female,[5:10),6162
2049.0,0,Female,[5:10),6162
2049.0,1,Female,[10:15),6352
2049.0,0,Female,[10:15),6352
2049.0,1,Female,[15:20),6120
2049.0,0,Female,[15:20),6120
2049.0,1,Female,[20:25),6129
2049.0,0,Female,[20:25),6129
2049.0,1,Female,[25:30),5986
2049.0,0,Female,[25:30),5986
2049.0,1,Female,[30:35),5752
2049.0,0,Female,[30:35),5752
2049.0,1,Female,[35:40),5316
2049.0,0,Female,[35:40),5316
2049.0,1,Female,[40:45),4989
2049.0,0,Female,[40:45),4989
2049.0,1,Female,[45:50),4669
2049.0,0,Female,[45:50),4669
2049.0,1,Female,[50:55),4476
2049.0,0,Female,[50:55),4476
2049.0,1,Female,[55:60),4037
2049.0,0,Female,[55:60),4037
2049.0,1,Female,[60:65),3257
2049.0,0,Female,[60:65),3257
2049.0,1,Female,[65:70),2233
2049.0,0,Female,[65:70),2233
2049.0,1,Female,[70:75),1423
2049.0,0,Female,[70:75),1423
2049.0,1,Female,[75:80),926
2049.0,0,Female,[75:80),926
2050.0,1,Male,[0:5),6074
2050.0,0,Male,[0:5),6074
2050.0,1,Male,[0:200),69962
2050.0,0,Male,[0:200),69962
2050.0,1,Male,[5:10),6016
2050.0,0,Male,[5:10),6016
2050.0,1,Male,[10:15),6140
2050.0,0,Male,[10:15),6140
2050.0,1,Male,[15:20),6053
2050.0,0,Male,[15:20),6053
2050.0,1,Male,[20:25),6084
2050.0,0,Male,[20:25),6084
2050.0,1,Male,[25:30),5772
2050.0,0,Male,[25:30),5772
2050.0,1,Male,[30:35),5595
2050.0,0,Male,[30:35),5595
2050.0,1,Male,[35:40),5316
2050.0,0,Male,[35:40),5316
2050.0,1,Male,[40:45),4909
2050.0,0,Male,[40:45),4909
2050.0,1,Male,[45:50),4269
2050.0,0,Male,[45:50),4269
2050.0,1,Male,[50:55),3913
2050.0,0,Male,[50:55),3913
