Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),5997
2048.0,0,Male,[0:5),5997
2048.0,1,Male,[0:200),67725
2048.0,0,Male,[0:200),67725
2048.0,1,Male,[5:10),5840
2048.0,0,Male,[5:10),5840
2048.0,1,Male,[10:15),6082
2048.0,0,Male,[10:15),6082
2048.0,1,Male,[15:20),5912
2048.0,0,Male,[15:20),5912
2048.0,1,Male,[20:25),5721
2048.0,0,Male,[20:25),5721
2048.0,1,Male,[25:30),5755
2048.0,0,Male,[25:30),5755
2048.0,1,Male,[30:35),5448
2048.0,0,Male,[30:35),5448
2048.0,1,Male,[35:40),5055
2048.0,0,Male,[35:40),5055
2048.0,1,Male,[40:45),4486
2048.0,0,Male,[40:45),4486
2048.0,1,Male,[45:50),4193
2048.0,0,Male,[45:50),4193
2048.0,1,Male,[50:55),3980
2048.0,0,Male,[50:55),3980
2048.0,1,Male,[55:60),3398
2048.0,0,Male,[55:60),3398
2048.0,1,Male,[60:65),2566
2048.0,0,Male,[60:65),2566
2048.0,1,Male,[65:70),1588
2048.0,0,Male,[65:70),1588
2048.0,1,Male,[70:75),934
2048.0,0,Male,[70:75),934
2048.0,1,Male,[75:80),475
2048.0,0,Male,[75:80),475
2048.0,1,Female,[0:5),6033
2048.0,0,Female,[0:5),6033
2048.0,1,Female,[0:200),72119
2048.0,0,Female,[0:200),72119
2048.0,1,Female,[5:10),6014
2048.0,0,Female,[5:10),6014
2048.0,1,Female,[10:15),6150
2048.0,0,Female,[10:15),6150
2048.0,1,Female,[15:20),5891
2048.0,0,Female,[15:20),5891
2048.0,1,Female,[20:25),5907
2048.0,0,Female,[20:25),5907
2048.0,1,Female,[25:30),5749
2048.0,0,Female,[25:30),5749
2048.0,1,Female,[30:35),5645
2048.0,0,Female,[30:35),5645
2048.0,1,Female,[35:40),5236
2048.0,0,Female,[35:40),5236
2048.0,1,Female,[40:45),4846
2048.0,0,Female,[40:45),4846
2048.0,1,Female,[45:50),4346
2048.0,0,Female,[45:50),4346
2048.0,1,Female,[50:55),4338
2048.0,0,Female,[50:55),4338
2048.0,1,Female,[55:60),3903
2048.0,0,Female,[55:60),3903
2048.0,1,Female,[60:65),2971
2048.0,0,Female,[60:65),2971
2048.0,1,Female,[65:70),1994
2048.0,0,Female,[65:70),1994
2048.0,1,Female,[70:75),1288
2048.0,0,Female,[70:75),1288
2048.0,1,Female,[75:80),923
2048.0,0,Female,[75:80),923
2049.0,1,Male,[0:5),6017
2049.0,0,Male,[0:5),6017
2049.0,1,Male,[0:200),68371
2049.0,0,Male,[0:200),68371
2049.0,1,Male,[5:10),5878
2049.0,0,Male,[5:10),5878
2049.0,1,Male,[10:15),6017
2049.0,0,Male,[10:15),6017
2049.0,1,Male,[15:20),5996
2049.0,0,Male,[15:20),5996
2049.0,1,Male,[20:25),5723
2049.0,0,Male,[20:25),5723
2049.0,1,Male,[25:30),5684
2049.0,0,Male,[25:30),5684
2049.0,1,Male,[30:35),5575
2049.0,0,Male,[30:35),5575
2049.0,1,Male,[35:40),5133
2049.0,0,Male,[35:40),5133
2049.0,1,Male,[40:45),4542
2049.0,0,Male,[40:45),4542
2049.0,1,Male,[45:50),4162
2049.0,0,Male,[45:50),4162
2049.0,1,Male,[50:55),4047
2049.0,0,Male,[50:55),4047
2049.0,1,Male,[55:60),3421
2049.0,0,Male,[55:60),3421
2049.0,1,Male,[60:65),2678
2049.0,0,Male,[60:65),2678
2049.0,1,Male,[65:70),1725
2049.0,0,Male,[65:70),1725
2049.0,1,Male,[70:75),970
2049.0,0,Male,[70:75),970
2049.0,1,Male,[75:80),495
2049.0,0,Male,[75:80),495
2049.0,1,Female,[0:5),6027
2049.0,0,Female,[0:5),6027
2049.0,1,Female,[0:200),72886
2049.0,0,Female,[0:200),72886
2049.0,1,Female,[5:10),5949
2049.0,0,Female,[5:10),5949
2049.0,1,Female,[10:15),6150
2049.0,0,Female,[10:15),6150
2049.0,1,Female,[15:20),5929
2049.0,0,Female,[15:20),5929
2049.0,1,Female,[20:25),5969
2049.0,0,Female,[20:25),5969
2049.0,1,Female,[25:30),5745
2049.0,0,Female,[25:30),5745
2049.0,1,Female,[30:35),5724
2049.0,0,Female,[30:35),5724
2049.0,1,Female,[35:40),5230
2049.0,0,Female,[35:40),5230
2049.0,1,Female,[40:45),4925
2049.0,0,Female,[40:45),4925
2049.0,1,Female,[45:50),4444
2049.0,0,Female,[45:50),4444
2049.0,1,Female,[50:55),4299
2049.0,0,Female,[50:55),4299
2049.0,1,Female,[55:60),3961
2049.0,0,Female,[55:60),3961
2049.0,1,Female,[60:65),3141
2049.0,0,Female,[60:65),3141
2049.0,1,Female,[65:70),2146
2049.0,0,Female,[65:70),2146
2049.0,1,Female,[70:75),1371
2049.0,0,Female,[70:75),1371
2049.0,1,Female,[75:80),960
2049.0,0,Female,[75:80),960
2050.0,1,Male,[0:5),6003
2050.0,0,Male,[0:5),6003
2050.0,1,Male,[0:200),69015
2050.0,0,Male,[0:200),69015
2050.0,1,Male,[5:10),5876
2050.0,0,Male,[5:10),5876
2050.0,1,Male,[10:15),6015
2050.0,0,Male,[10:15),6015
2050.0,1,Male,[15:20),6017
2050.0,0,Male,[15:20),6017
2050.0,1,Male,[20:25),5763
2050.0,0,Male,[20:25),5763
2050.0,1,Male,[25:30),5622
2050.0,0,Male,[25:30),5622
2050.0,1,Male,[30:35),5682
2050.0,0,Male,[30:35),5682
2050.0,1,Male,[35:40),5182
2050.0,0,Male,[35:40),5182
2050.0,1,Male,[40:45),4627
2050.0,0,Male,[40:45),4627
2050.0,1,Male,[45:50),4167
2050.0,0,Male,[45:50),4167
2050.0,1,Male,[50:55),4078
2050.0,0,Male,[50:55),4078
2050.0,1,Male,[55:60),3452
2050.0,0,Male,[55:60),3452
2050.0,1,Male,[60:65),2810
2050.0,0,Male,[60:65),2810
2050.0,1,Male,[65:70),1835
2050.0,0,Male,[65:70),1835
2050.0,1,Male,[70:75),1038
2050.0,0,Male,[70:75),1038
2050.0,1,Male,[75:80),526
2050.0,0,Male,[75:80),526
2050.0,1,Female,[0:5),5981
2050.0,0,Female,[0:5),5981
2050.0,1,Female,[0:200),73645
2050.0,0,Female,[0:200),73645
2050.0,1,Female,[5:10),5922
2050.0,0,Female,[5:10),5922
2050.0,1,Female,[10:15),6212
2050.0,0,Female,[10:15),6212
2050.0,1,Female,[15:20),5891
2050.0,0,Female,[15:20),5891
2050.0,1,Female,[20:25),6043
2050.0,0,Female,[20:25),6043
2050.0,1,Female,[25:30),5708
2050.0,0,Female,[25:30),5708
2050.0,1,Female,[30:35),5781
2050.0,0,Female,[30:35),5781
2050.0,1,Female,[35:40),5279
2050.0,0,Female,[35:40),5279
2050.0,1,Female,[40:45),4981
2050.0,0,Female,[40:45),4981
2050.0,1,Female,[45:50),4550
2050.0,0,Female,[45:50),4550
2050.0,1,Female,[50:55),4308
2050.0,0,Female,[50:55),4308
2050.0,1,Female,[55:60),3993
2050.0,0,Female,[55:60),3993
2050.0,1,Female,[60:65),3332
2050.0,0,Female,[60:65),3332
2050.0,1,Female,[65:70),2307
2050.0,0,Female,[65:70),2307
2050.0,1,Female,[70:75),1417
2050.0,0,Female,[70:75),1417
2050.0,1,Female,[75:80),1018
2050.0,0,Female,[75:80),1018
2039.0,1,Male,[0:5),5977
2039.0,0,Male,[0:5),5977
2039.0,1,Male,[0:200),61287
2039.0,0,Male,[0:200),61287
2039.0,1,Male,[5:10),5939
2039.0,0,Male,[5:10),5939
2039.0,1,Male,[10:15),5897
2039.0,0,Male,[10:15),5897
2039.0,1,Male,[15:20),5883
2039.0,0,Male,[15:20),5883
2039.0,1,Male,[20:25),5685
2039.0,0,Male,[20:25),5685
2039.0,1,Male,[25:30),5196
2039.0,0,Male,[25:30),5196
2039.0,1,Male,[30:35),4764
2039.0,0,Male,[30:35),4764
2039.0,1,Male,[35:40),4404
2039.0,0,Male,[35:40),4404
2039.0,1,Male,[40:45),4336
2039.0,0,Male,[40:45),4336
2039.0,1,Male,[45:50),3920
2039.0,0,Male,[45:50),3920
2039.0,1,Male,[50:55),3328
2039.0,0,Male,[50:55),3328
2039.0,1,Male,[55:60),2322
2039.0,0,Male,[55:60),2322
2039.0,1,Male,[60:65),1579
2039.0,0,Male,[60:65),1579
2039.0,1,Male,[65:70),991
2039.0,0,Male,[65:70),991
2039.0,1,Male,[70:75),601
2039.0,0,Male,[70:75),601
2039.0,1,Male,[75:80),303
2039.0,0,Male,[75:80),303
2039.0,1,Female,[0:5),6057
2039.0,0,Female,[0:5),6057
2039.0,1,Female,[0:200),64412
2039.0,0,Female,[0:200),64412
2039.0,1,Female,[5:10),5876
2039.0,0,Female,[5:10),5876
2039.0,1,Female,[10:15),6132
2039.0,0,Female,[10:15),6132
2039.0,1,Female,[15:20),5885
2039.0,0,Female,[15:20),5885
2039.0,1,Female,[20:25),5782
2039.0,0,Female,[20:25),5782
2039.0,1,Female,[25:30),5219
2039.0,0,Female,[25:30),5219
2039.0,1,Female,[30:35),5039
2039.0,0,Female,[30:35),5039
2039.0,1,Female,[35:40),4567
2039.0,0,Female,[35:40),4567
2039.0,1,Female,[40:45),4427
2039.0,0,Female,[40:45),4427
2039.0,1,Female,[45:50),4225
2039.0,0,Female,[45:50),4225
2039.0,1,Female,[50:55),3536
2039.0,0,Female,[50:55),3536
2039.0,1,Female,[55:60),2474
2039.0,0,Female,[55:60),2474
2039.0,1,Female,[60:65),1709
2039.0,0,Female,[60:65),1709
2039.0,1,Female,[65:70),1355
2039.0,0,Female,[65:70),1355
2039.0,1,Female,[70:75),1016
2039.0,0,Female,[70:75),1016
2039.0,1,Female,[75:80),626
2039.0,0,Female,[75:80),626
2040.0,1,Male,[0:5),5998
2040.0,0,Male,[0:5),5998
2040.0,1,Male,[0:200),62154
2040.0,0,Male,[0:200),62154
2040.0,1,Male,[5:10),5984
2040.0,0,Male,[5:10),5984
2040.0,1,Male,[10:15),5918
2040.0,0,Male,[10:15),5918
2040.0,1,Male,[15:20),5831
2040.0,0,Male,[15:20),5831
2040.0,1,Male,[20:25),5795
2040.0,0,Male,[20:25),5795
2040.0,1,Male,[25:30),5250
2040.0,0,Male,[25:30),5250
2040.0,1,Male,[30:35),4837
2040.0,0,Male,[30:35),4837
2040.0,1,Male,[35:40),4417
2040.0,0,Male,[35:40),4417
2040.0,1,Male,[40:45),4369
2040.0,0,Male,[40:45),4369
2040.0,1,Male,[45:50),3948
2040.0,0,Male,[45:50),3948
2040.0,1,Male,[50:55),3482
2040.0,0,Male,[50:55),3482
2040.0,1,Male,[55:60),2457
2040.0,0,Male,[55:60),2457
2040.0,1,Male,[60:65),1685
2040.0,0,Male,[60:65),1685
2040.0,1,Male,[65:70),1064
2040.0,0,Male,[65:70),1064
2040.0,1,Male,[70:75),627
2040.0,0,Male,[70:75),627
2040.0,1,Male,[75:80),328
2040.0,0,Male,[75:80),328
2040.0,1,Female,[0:5),6161
2040.0,0,Female,[0:5),6161
2040.0,1,Female,[0:200),65427
2040.0,0,Female,[0:200),65427
2040.0,1,Female,[5:10),5848
2040.0,0,Female,[5:10),5848
2040.0,1,Female,[10:15),6197
2040.0,0,Female,[10:15),6197
2040.0,1,Female,[15:20),5864
2040.0,0,Female,[15:20),5864
2040.0,1,Female,[20:25),5841
2040.0,0,Female,[20:25),5841
2040.0,1,Female,[25:30),5257
2040.0,0,Female,[25:30),5257
2040.0,1,Female,[30:35),5087
2040.0,0,Female,[30:35),5087
2040.0,1,Female,[35:40),4672
2040.0,0,Female,[35:40),4672
2040.0,1,Female,[40:45),4423
2040.0,0,Female,[40:45),4423
2040.0,1,Female,[45:50),4263
2040.0,0,Female,[45:50),4263
2040.0,1,Female,[50:55),3746
2040.0,0,Female,[50:55),3746
2040.0,1,Female,[55:60),2663
2040.0,0,Female,[55:60),2663
2040.0,1,Female,[60:65),1772
2040.0,0,Female,[60:65),1772
2040.0,1,Female,[65:70),1415
2040.0,0,Female,[65:70),1415
2040.0,1,Female,[70:75),1030
2040.0,0,Female,[70:75),1030
2040.0,1,Female,[75:80),695
2040.0,0,Female,[75:80),695
2041.0,1,Male,[0:5),6002
2041.0,0,Male,[0:5),6002
2041.0,1,Male,[0:200),62953
2041.0,0,Male,[0:200),62953
2041.0,1,Male,[5:10),5917
2041.0,0,Male,[5:10),5917
2041.0,1,Male,[10:15),5938
2041.0,0,Male,[10:15),5938
2041.0,1,Male,[15:20),5787
2041.0,0,Male,[15:20),5787
2041.0,1,Male,[20:25),5885
2041.0,0,Male,[20:25),5885
2041.0,1,Male,[25:30),5358
2041.0,0,Male,[25:30),5358
2041.0,1,Male,[30:35),4972
2041.0,0,Male,[30:35),4972
2041.0,1,Male,[35:40),4444
2041.0,0,Male,[35:40),4444
2041.0,1,Male,[40:45),4324
2041.0,0,Male,[40:45),4324
2041.0,1,Male,[45:50),4034
2041.0,0,Male,[45:50),4034
2041.0,1,Male,[50:55),3619
2041.0,0,Male,[50:55),3619
2041.0,1,Male,[55:60),2615
2041.0,0,Male,[55:60),2615
2041.0,1,Male,[60:65),1759
2041.0,0,Male,[60:65),1759
2041.0,1,Male,[65:70),1113
2041.0,0,Male,[65:70),1113
2041.0,1,Male,[70:75),651
2041.0,0,Male,[70:75),651
2041.0,1,Male,[75:80),366
2041.0,0,Male,[75:80),366
2041.0,1,Female,[0:5),6140
2041.0,0,Female,[0:5),6140
2041.0,1,Female,[0:200),66313
2041.0,0,Female,[0:200),66313
2041.0,1,Female,[5:10),5864
2041.0,0,Female,[5:10),5864
2041.0,1,Female,[10:15),6145
2041.0,0,Female,[10:15),6145
2041.0,1,Female,[15:20),5857
2041.0,0,Female,[15:20),5857
2041.0,1,Female,[20:25),5951
2041.0,0,Female,[20:25),5951
2041.0,1,Female,[25:30),5271
2041.0,0,Female,[25:30),5271
2041.0,1,Female,[30:35),5168
2041.0,0,Female,[30:35),5168
2041.0,1,Female,[35:40),4813
2041.0,0,Female,[35:40),4813
2041.0,1,Female,[40:45),4420
2041.0,0,Female,[40:45),4420
2041.0,1,Female,[45:50),4250
2041.0,0,Female,[45:50),4250
2041.0,1,Female,[50:55),3923
2041.0,0,Female,[50:55),3923
2041.0,1,Female,[55:60),2827
2041.0,0,Female,[55:60),2827
2041.0,1,Female,[60:65),1926
2041.0,0,Female,[60:65),1926
2041.0,1,Female,[65:70),1407
2041.0,0,Female,[65:70),1407
2041.0,1,Female,[70:75),1069
2041.0,0,Female,[70:75),1069
2041.0,1,Female,[75:80),765
2041.0,0,Female,[75:80),765
2042.0,1,Male,[0:5),5983
2042.0,0,Male,[0:5),5983
2042.0,1,Male,[0:200),63646
2042.0,0,Male,[0:200),63646
2042.0,1,Male,[5:10),5915
2042.0,0,Male,[5:10),5915
2042.0,1,Male,[10:15),5966
2042.0,0,Male,[10:15),5966
2042.0,1,Male,[15:20),5737
2042.0,0,Male,[15:20),5737
2042.0,1,Male,[20:25),5916
2042.0,0,Male,[20:25),5916
2042.0,1,Male,[25:30),5412
2042.0,0,Male,[25:30),5412
2042.0,1,Male,[30:35),5044
2042.0,0,Male,[30:35),5044
2042.0,1,Male,[35:40),4538
2042.0,0,Male,[35:40),4538
2042.0,1,Male,[40:45),4352
2042.0,0,Male,[40:45),4352
2042.0,1,Male,[45:50),4100
2042.0,0,Male,[45:50),4100
2042.0,1,Male,[50:55),3687
2042.0,0,Male,[50:55),3687
2042.0,1,Male,[55:60),2736
2042.0,0,Male,[55:60),2736
2042.0,1,Male,[60:65),1823
2042.0,0,Male,[60:65),1823
2042.0,1,Male,[65:70),1184
2042.0,0,Male,[65:70),1184
2042.0,1,Male,[70:75),673
2042.0,0,Male,[70:75),673
2042.0,1,Male,[75:80),386
2042.0,0,Male,[75:80),386
2042.0,1,Female,[0:5),6160
2042.0,0,Female,[0:5),6160
2042.0,1,Female,[0:200),67203
2042.0,0,Female,[0:200),67203
2042.0,1,Female,[5:10),5946
2042.0,0,Female,[5:10),5946
2042.0,1,Female,[10:15),6042
2042.0,0,Female,[10:15),6042
2042.0,1,Female,[15:20),5873
2042.0,0,Female,[15:20),5873
2042.0,1,Female,[20:25),5992
2042.0,0,Female,[20:25),5992
2042.0,1,Female,[25:30),5354
2042.0,0,Female,[25:30),5354
2042.0,1,Female,[30:35),5266
2042.0,0,Female,[30:35),5266
2042.0,1,Female,[35:40),4859
2042.0,0,Female,[35:40),4859
2042.0,1,Female,[40:45),4448
2042.0,0,Female,[40:45),4448
2042.0,1,Female,[45:50),4288
2042.0,0,Female,[45:50),4288
2042.0,1,Female,[50:55),4039
2042.0,0,Female,[50:55),4039
2042.0,1,Female,[55:60),2970
2042.0,0,Female,[55:60),2970
2042.0,1,Female,[60:65),2038
2042.0,0,Female,[60:65),2038
2042.0,1,Female,[65:70),1454
2042.0,0,Female,[65:70),1454
2042.0,1,Female,[70:75),1081
2042.0,0,Female,[70:75),1081
2042.0,1,Female,[75:80),815
2042.0,0,Female,[75:80),815
2043.0,1,Male,[0:5),5995
2043.0,0,Male,[0:5),5995
2043.0,1,Male,[0:200),64416
2043.0,0,Male,[0:200),64416
2043.0,1,Male,[5:10),5890
2043.0,0,Male,[5:10),5890
2043.0,1,Male,[10:15),6069
2043.0,0,Male,[10:15),6069
2043.0,1,Male,[15:20),5751
2043.0,0,Male,[15:20),5751
2043.0,1,Male,[20:25),5894
2043.0,0,Male,[20:25),5894
2043.0,1,Male,[25:30),5443
2043.0,0,Male,[25:30),5443
2043.0,1,Male,[30:35),5135
2043.0,0,Male,[30:35),5135
2043.0,1,Male,[35:40),4616
2043.0,0,Male,[35:40),4616
2043.0,1,Male,[40:45),4337
2043.0,0,Male,[40:45),4337
2043.0,1,Male,[45:50),4141
2043.0,0,Male,[45:50),4141
2043.0,1,Male,[50:55),3746
2043.0,0,Male,[50:55),3746
2043.0,1,Male,[55:60),2915
2043.0,0,Male,[55:60),2915
2043.0,1,Male,[60:65),1922
2043.0,0,Male,[60:65),1922
2043.0,1,Male,[65:70),1227
2043.0,0,Male,[65:70),1227
2043.0,1,Male,[70:75),725
2043.0,0,Male,[70:75),725
2043.0,1,Male,[75:80),394
2043.0,0,Male,[75:80),394
2043.0,1,Female,[0:5),6145
2043.0,0,Female,[0:5),6145
2043.0,1,Female,[0:200),68021
2043.0,0,Female,[0:200),68021
2043.0,1,Female,[5:10),5952
2043.0,0,Female,[5:10),5952
2043.0,1,Female,[10:15),6022
2043.0,0,Female,[10:15),6022
2043.0,1,Female,[15:20),5931
2043.0,0,Female,[15:20),5931
2043.0,1,Female,[20:25),5873
2043.0,0,Female,[20:25),5873
2043.0,1,Female,[25:30),5578
2043.0,0,Female,[25:30),5578
2043.0,1,Female,[30:35),5271
2043.0,0,Female,[30:35),5271
2043.0,1,Female,[35:40),4913
2043.0,0,Female,[35:40),4913
2043.0,1,Female,[40:45),4424
2043.0,0,Female,[40:45),4424
2043.0,1,Female,[45:50),4385
2043.0,0,Female,[45:50),4385
2043.0,1,Female,[50:55),4119
