Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6197
2048.0,0,Male,[0:5),6197
2048.0,1,Male,[0:200),69467
2048.0,0,Male,[0:200),69467
2048.0,1,Male,[5:10),6023
2048.0,0,Male,[5:10),6023
2048.0,1,Male,[10:15),6331
2048.0,0,Male,[10:15),6331
2048.0,1,Male,[15:20),6085
2048.0,0,Male,[15:20),6085
2048.0,1,Male,[20:25),5981
2048.0,0,Male,[20:25),5981
2048.0,1,Male,[25:30),5831
2048.0,0,Male,[25:30),5831
2048.0,1,Male,[30:35),5590
2048.0,0,Male,[30:35),5590
2048.0,1,Male,[35:40),5142
2048.0,0,Male,[35:40),5142
2048.0,1,Male,[40:45),4686
2048.0,0,Male,[40:45),4686
2048.0,1,Male,[45:50),4183
2048.0,0,Male,[45:50),4183
2048.0,1,Male,[50:55),4098
2048.0,0,Male,[50:55),4098
2048.0,1,Male,[55:60),3438
2048.0,0,Male,[55:60),3438
2048.0,1,Male,[60:65),2553
2048.0,0,Male,[60:65),2553
2048.0,1,Male,[65:70),1604
2048.0,0,Male,[65:70),1604
2048.0,1,Male,[70:75),897
2048.0,0,Male,[70:75),897
2048.0,1,Male,[75:80),495
2048.0,0,Male,[75:80),495
2048.0,1,Female,[0:5),6322
2048.0,0,Female,[0:5),6322
2048.0,1,Female,[0:200),74490
2048.0,0,Female,[0:200),74490
2048.0,1,Female,[5:10),6144
2048.0,0,Female,[5:10),6144
2048.0,1,Female,[10:15),6304
2048.0,0,Female,[10:15),6304
2048.0,1,Female,[15:20),6174
2048.0,0,Female,[15:20),6174
2048.0,1,Female,[20:25),6216
2048.0,0,Female,[20:25),6216
2048.0,1,Female,[25:30),5902
2048.0,0,Female,[25:30),5902
2048.0,1,Female,[30:35),5751
2048.0,0,Female,[30:35),5751
2048.0,1,Female,[35:40),5367
2048.0,0,Female,[35:40),5367
2048.0,1,Female,[40:45),5016
2048.0,0,Female,[40:45),5016
2048.0,1,Female,[45:50),4522
2048.0,0,Female,[45:50),4522
2048.0,1,Female,[50:55),4419
2048.0,0,Female,[50:55),4419
2048.0,1,Female,[55:60),4036
2048.0,0,Female,[55:60),4036
2048.0,1,Female,[60:65),2968
2048.0,0,Female,[60:65),2968
2048.0,1,Female,[65:70),2023
2048.0,0,Female,[65:70),2023
2048.0,1,Female,[70:75),1358
2048.0,0,Female,[70:75),1358
2048.0,1,Female,[75:80),973
2048.0,0,Female,[75:80),973
2049.0,1,Male,[0:5),6192
2049.0,0,Male,[0:5),6192
2049.0,1,Male,[0:200),70179
2049.0,0,Male,[0:200),70179
2049.0,1,Male,[5:10),6056
2049.0,0,Male,[5:10),6056
2049.0,1,Male,[10:15),6326
2049.0,0,Male,[10:15),6326
2049.0,1,Male,[15:20),6075
2049.0,0,Male,[15:20),6075
2049.0,1,Male,[20:25),6023
2049.0,0,Male,[20:25),6023
2049.0,1,Male,[25:30),5887
2049.0,0,Male,[25:30),5887
2049.0,1,Male,[30:35),5647
2049.0,0,Male,[30:35),5647
2049.0,1,Male,[35:40),5205
2049.0,0,Male,[35:40),5205
2049.0,1,Male,[40:45),4754
2049.0,0,Male,[40:45),4754
2049.0,1,Male,[45:50),4195
2049.0,0,Male,[45:50),4195
2049.0,1,Male,[50:55),4137
2049.0,0,Male,[50:55),4137
2049.0,1,Male,[55:60),3496
2049.0,0,Male,[55:60),3496
2049.0,1,Male,[60:65),2684
2049.0,0,Male,[60:65),2684
2049.0,1,Male,[65:70),1707
2049.0,0,Male,[65:70),1707
2049.0,1,Male,[70:75),966
2049.0,0,Male,[70:75),966
2049.0,1,Male,[75:80),494
2049.0,0,Male,[75:80),494
2049.0,1,Female,[0:5),6266
2049.0,0,Female,[0:5),6266
2049.0,1,Female,[0:200),75242
2049.0,0,Female,[0:200),75242
2049.0,1,Female,[5:10),6175
2049.0,0,Female,[5:10),6175
2049.0,1,Female,[10:15),6302
2049.0,0,Female,[10:15),6302
2049.0,1,Female,[15:20),6129
2049.0,0,Female,[15:20),6129
2049.0,1,Female,[20:25),6215
2049.0,0,Female,[20:25),6215
2049.0,1,Female,[25:30),5939
2049.0,0,Female,[25:30),5939
2049.0,1,Female,[30:35),5826
2049.0,0,Female,[30:35),5826
2049.0,1,Female,[35:40),5390
2049.0,0,Female,[35:40),5390
2049.0,1,Female,[40:45),5115
2049.0,0,Female,[40:45),5115
2049.0,1,Female,[45:50),4595
2049.0,0,Female,[45:50),4595
2049.0,1,Female,[50:55),4436
2049.0,0,Female,[50:55),4436
2049.0,1,Female,[55:60),4093
2049.0,0,Female,[55:60),4093
2049.0,1,Female,[60:65),3167
2049.0,0,Female,[60:65),3167
2049.0,1,Female,[65:70),2120
2049.0,0,Female,[65:70),2120
2049.0,1,Female,[70:75),1430
2049.0,0,Female,[70:75),1430
2049.0,1,Female,[75:80),1028
2049.0,0,Female,[75:80),1028
2050.0,1,Male,[0:5),6204
2050.0,0,Male,[0:5),6204
2050.0,1,Male,[0:200),70861
2050.0,0,Male,[0:200),70861
2050.0,1,Male,[5:10),6066
2050.0,0,Male,[5:10),6066
2050.0,1,Male,[10:15),6279
2050.0,0,Male,[10:15),6279
2050.0,1,Male,[15:20),6080
2050.0,0,Male,[15:20),6080
2050.0,1,Male,[20:25),6093
2050.0,0,Male,[20:25),6093
2050.0,1,Male,[25:30),5935
2050.0,0,Male,[25:30),5935
2050.0,1,Male,[30:35),5675
2050.0,0,Male,[30:35),5675
2050.0,1,Male,[35:40),5218
2050.0,0,Male,[35:40),5218
2050.0,1,Male,[40:45),4849
2050.0,0,Male,[40:45),4849
2050.0,1,Male,[45:50),4253
2050.0,0,Male,[45:50),4253
2050.0,1,Male,[50:55),4097
2050.0,0,Male,[50:55),4097
2050.0,1,Male,[55:60),3577
2050.0,0,Male,[55:60),3577
2050.0,1,Male,[60:65),2849
2050.0,0,Male,[60:65),2849
2050.0,1,Male,[65:70),1839
2050.0,0,Male,[65:70),1839
2050.0,1,Male,[70:75),1001
2050.0,0,Male,[70:75),1001
2050.0,1,Male,[75:80),503
2050.0,0,Male,[75:80),503
2050.0,1,Female,[0:5),6143
2050.0,0,Female,[0:5),6143
2050.0,1,Female,[0:200),76009
2050.0,0,Female,[0:200),76009
2050.0,1,Female,[5:10),6189
2050.0,0,Female,[5:10),6189
2050.0,1,Female,[10:15),6353
2050.0,0,Female,[10:15),6353
