Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6088
2048.0,0,Male,[0:5),6088
2048.0,1,Male,[0:200),68168
2048.0,0,Male,[0:200),68168
2048.0,1,Male,[5:10),5915
2048.0,0,Male,[5:10),5915
2048.0,1,Male,[10:15),6118
2048.0,0,Male,[10:15),6118
2048.0,1,Male,[15:20),6016
2048.0,0,Male,[15:20),6016
2048.0,1,Male,[20:25),5942
2048.0,0,Male,[20:25),5942
2048.0,1,Male,[25:30),5712
2048.0,0,Male,[25:30),5712
2048.0,1,Male,[30:35),5531
2048.0,0,Male,[30:35),5531
2048.0,1,Male,[35:40),5021
2048.0,0,Male,[35:40),5021
2048.0,1,Male,[40:45),4526
2048.0,0,Male,[40:45),4526
2048.0,1,Male,[45:50),4135
2048.0,0,Male,[45:50),4135
2048.0,1,Male,[50:55),3953
2048.0,0,Male,[50:55),3953
2048.0,1,Male,[55:60),3411
2048.0,0,Male,[55:60),3411
2048.0,1,Male,[60:65),2542
2048.0,0,Male,[60:65),2542
2048.0,1,Male,[65:70),1590
2048.0,0,Male,[65:70),1590
2048.0,1,Male,[70:75),912
2048.0,0,Male,[70:75),912
2048.0,1,Male,[75:80),454
2048.0,0,Male,[75:80),454
2048.0,1,Female,[0:5),6125
2048.0,0,Female,[0:5),6125
2048.0,1,Female,[0:200),73014
2048.0,0,Female,[0:200),73014
2048.0,1,Female,[5:10),5959
2048.0,0,Female,[5:10),5959
2048.0,1,Female,[10:15),6279
2048.0,0,Female,[10:15),6279
2048.0,1,Female,[15:20),6153
2048.0,0,Female,[15:20),6153
2048.0,1,Female,[20:25),6033
2048.0,0,Female,[20:25),6033
2048.0,1,Female,[25:30),5815
2048.0,0,Female,[25:30),5815
2048.0,1,Female,[30:35),5512
2048.0,0,Female,[30:35),5512
2048.0,1,Female,[35:40),5259
2048.0,0,Female,[35:40),5259
2048.0,1,Female,[40:45),4970
2048.0,0,Female,[40:45),4970
2048.0,1,Female,[45:50),4518
2048.0,0,Female,[45:50),4518
2048.0,1,Female,[50:55),4324
2048.0,0,Female,[50:55),4324
2048.0,1,Female,[55:60),3875
2048.0,0,Female,[55:60),3875
2048.0,1,Female,[60:65),2943
2048.0,0,Female,[60:65),2943
2048.0,1,Female,[65:70),2017
2048.0,0,Female,[65:70),2017
2048.0,1,Female,[70:75),1284
2048.0,0,Female,[70:75),1284
2048.0,1,Female,[75:80),943
2048.0,0,Female,[75:80),943
2049.0,1,Male,[0:5),6082
2049.0,0,Male,[0:5),6082
2049.0,1,Male,[0:200),68773
2049.0,0,Male,[0:200),68773
2049.0,1,Male,[5:10),5893
2049.0,0,Male,[5:10),5893
2049.0,1,Male,[10:15),6099
2049.0,0,Male,[10:15),6099
2049.0,1,Male,[15:20),6078
2049.0,0,Male,[15:20),6078
2049.0,1,Male,[20:25),5915
2049.0,0,Male,[20:25),5915
2049.0,1,Male,[25:30),5726
2049.0,0,Male,[25:30),5726
2049.0,1,Male,[30:35),5620
2049.0,0,Male,[30:35),5620
2049.0,1,Male,[35:40),5030
2049.0,0,Male,[35:40),5030
2049.0,1,Male,[40:45),4652
2049.0,0,Male,[40:45),4652
2049.0,1,Male,[45:50),4177
2049.0,0,Male,[45:50),4177
2049.0,1,Male,[50:55),3954
2049.0,0,Male,[50:55),3954
2049.0,1,Male,[55:60),3427
2049.0,0,Male,[55:60),3427
2049.0,1,Male,[60:65),2707
2049.0,0,Male,[60:65),2707
2049.0,1,Male,[65:70),1680
2049.0,0,Male,[65:70),1680
2049.0,1,Male,[70:75),951
2049.0,0,Male,[70:75),951
2049.0,1,Male,[75:80),466
2049.0,0,Male,[75:80),466
2049.0,1,Female,[0:5),6181
2049.0,0,Female,[0:5),6181
2049.0,1,Female,[0:200),73873
2049.0,0,Female,[0:200),73873
2049.0,1,Female,[5:10),5931
2049.0,0,Female,[5:10),5931
2049.0,1,Female,[10:15),6247
2049.0,0,Female,[10:15),6247
2049.0,1,Female,[15:20),6220
2049.0,0,Female,[15:20),6220
2049.0,1,Female,[20:25),6034
2049.0,0,Female,[20:25),6034
2049.0,1,Female,[25:30),5867
2049.0,0,Female,[25:30),5867
2049.0,1,Female,[30:35),5503
2049.0,0,Female,[30:35),5503
2049.0,1,Female,[35:40),5346
2049.0,0,Female,[35:40),5346
2049.0,1,Female,[40:45),5044
2049.0,0,Female,[40:45),5044
2049.0,1,Female,[45:50),4569
2049.0,0,Female,[45:50),4569
2049.0,1,Female,[50:55),4343
2049.0,0,Female,[50:55),4343
2049.0,1,Female,[55:60),3965
2049.0,0,Female,[55:60),3965
2049.0,1,Female,[60:65),3106
2049.0,0,Female,[60:65),3106
2049.0,1,Female,[65:70),2150
2049.0,0,Female,[65:70),2150
2049.0,1,Female,[70:75),1381
2049.0,0,Female,[70:75),1381
2049.0,1,Female,[75:80),944
2049.0,0,Female,[75:80),944
2050.0,1,Male,[0:5),6030
2050.0,0,Male,[0:5),6030
2050.0,1,Male,[0:200),69376
2050.0,0,Male,[0:200),69376
2050.0,1,Male,[5:10),5960
2050.0,0,Male,[5:10),5960
2050.0,1,Male,[10:15),6118
2050.0,0,Male,[10:15),6118
2050.0,1,Male,[15:20),6018
2050.0,0,Male,[15:20),6018
2050.0,1,Male,[20:25),5945
2050.0,0,Male,[20:25),5945
2050.0,1,Male,[25:30),5750
2050.0,0,Male,[25:30),5750
2050.0,1,Male,[30:35),5583
2050.0,0,Male,[30:35),5583
2050.0,1,Male,[35:40),5204
2050.0,0,Male,[35:40),5204
2050.0,1,Male,[40:45),4682
2050.0,0,Male,[40:45),4682
2050.0,1,Male,[45:50),4271
2050.0,0,Male,[45:50),4271
2050.0,1,Male,[50:55),3919
2050.0,0,Male,[50:55),3919
2050.0,1,Male,[55:60),3512
2050.0,0,Male,[55:60),3512
2050.0,1,Male,[60:65),2748
2050.0,0,Male,[60:65),2748
2050.0,1,Male,[65:70),1800
2050.0,0,Male,[65:70),1800
2050.0,1,Male,[70:75),1016
2050.0,0,Male,[70:75),1016
2050.0,1,Male,[75:80),483
2050.0,0,Male,[75:80),483
2050.0,1,Female,[0:5),6164
2050.0,0,Female,[0:5),6164
2050.0,1,Female,[0:200),74638
