Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[15:20),0.0029920212765957447
2048.0,0,Male,[15:20),0.0029920212765957447
2048.0,1,Male,[20:25),0.013126893301918546
2048.0,0,Male,[20:25),0.013126893301918546
2048.0,1,Male,[25:30),0.04376750700280112
2048.0,0,Male,[25:30),0.04376750700280112
2048.0,1,Male,[30:35),0.08154040860603869
2048.0,0,Male,[30:35),0.08154040860603869
2048.0,1,Male,[35:40),0.12587134037044415
2048.0,0,Male,[35:40),0.12587134037044415
2048.0,1,Male,[40:45),0.17962881131241715
2048.0,0,Male,[40:45),0.17962881131241715
2048.0,1,Male,[45:50),0.2328899637243047
2048.0,0,Male,[45:50),0.2328899637243047
2048.0,1,Male,[50:55),0.32481659499114596
2048.0,0,Male,[50:55),0.32481659499114596
2048.0,1,Male,[55:60),0.4075051304602756
2048.0,0,Male,[55:60),0.4075051304602756
2048.0,1,Male,[60:65),0.5106215578284815
2048.0,0,Male,[60:65),0.5106215578284815
2048.0,1,Male,[65:200),0.5825659914057704
2048.0,0,Male,[65:200),0.5825659914057704
2048.0,1,Female,[15:20),0.02762879895985698
2048.0,0,Female,[15:20),0.02762879895985698
2048.0,1,Female,[20:25),0.08901044256588762
2048.0,0,Female,[20:25),0.08901044256588762
2048.0,1,Female,[25:30),0.1475494411006019
2048.0,0,Female,[25:30),0.1475494411006019
2048.0,1,Female,[30:35),0.20936139332365747
2048.0,0,Female,[30:35),0.20936139332365747
2048.0,1,Female,[35:40),0.263928503517779
2048.0,0,Female,[35:40),0.263928503517779
2048.0,1,Female,[40:45),0.3114688128772636
2048.0,0,Female,[40:45),0.3114688128772636
2048.0,1,Female,[45:50),0.3767153607791058
2048.0,0,Female,[45:50),0.3767153607791058
2048.0,1,Female,[50:55),0.4627659574468085
2048.0,0,Female,[50:55),0.4627659574468085
2048.0,1,Female,[55:60),0.5476129032258065
2048.0,0,Female,[55:60),0.5476129032258065
2048.0,1,Female,[60:65),0.618416581719334
2048.0,0,Female,[60:65),0.618416581719334
2048.0,1,Female,[65:200),0.5694417984377976
2048.0,0,Female,[65:200),0.5694417984377976
2049.0,1,Male,[15:20),0.003290556103981573
2049.0,0,Male,[15:20),0.003290556103981573
2049.0,1,Male,[20:25),0.013186813186813187
2049.0,0,Male,[20:25),0.013186813186813187
2049.0,1,Male,[25:30),0.04121550820817325
2049.0,0,Male,[25:30),0.04121550820817325
2049.0,1,Male,[30:35),0.08416370106761566
2049.0,0,Male,[30:35),0.08416370106761566
2049.0,1,Male,[35:40),0.12465208747514911
2049.0,0,Male,[35:40),0.12465208747514911
2049.0,1,Male,[40:45),0.1734737747205503
2049.0,0,Male,[40:45),0.1734737747205503
2049.0,1,Male,[45:50),0.23126645918123054
2049.0,0,Male,[45:50),0.23126645918123054
2049.0,1,Male,[50:55),0.3118361153262519
2049.0,0,Male,[50:55),0.3118361153262519
2049.0,1,Male,[55:60),0.3878027429238401
2049.0,0,Male,[55:60),0.3878027429238401
2049.0,1,Male,[60:65),0.49685999261174735
2049.0,0,Male,[60:65),0.49685999261174735
2049.0,1,Male,[65:200),0.583357749780252
2049.0,0,Male,[65:200),0.583357749780252
2049.0,1,Female,[15:20),0.028617363344051447
2049.0,0,Female,[15:20),0.028617363344051447
2049.0,1,Female,[20:25),0.09115014915478953
2049.0,0,Female,[20:25),0.09115014915478953
2049.0,1,Female,[25:30),0.1428327935912732
2049.0,0,Female,[25:30),0.1428327935912732
2049.0,1,Female,[30:35),0.20897692167908413
2049.0,0,Female,[30:35),0.20897692167908413
2049.0,1,Female,[35:40),0.25738870183314627
2049.0,0,Female,[35:40),0.25738870183314627
2049.0,1,Female,[40:45),0.3110626486915147
2049.0,0,Female,[40:45),0.3110626486915147
2049.0,1,Female,[45:50),0.36638214051214707
2049.0,0,Female,[45:50),0.36638214051214707
