Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6080
2048.0,0,Male,[0:5),6080
2048.0,1,Male,[0:200),68483
2048.0,0,Male,[0:200),68483
2048.0,1,Male,[5:10),5873
2048.0,0,Male,[5:10),5873
2048.0,1,Male,[10:15),6098
2048.0,0,Male,[10:15),6098
2048.0,1,Male,[15:20),6113
2048.0,0,Male,[15:20),6113
2048.0,1,Male,[20:25),5954
2048.0,0,Male,[20:25),5954
2048.0,1,Male,[25:30),5706
2048.0,0,Male,[25:30),5706
2048.0,1,Male,[30:35),5616
2048.0,0,Male,[30:35),5616
2048.0,1,Male,[35:40),5122
2048.0,0,Male,[35:40),5122
2048.0,1,Male,[40:45),4603
2048.0,0,Male,[40:45),4603
2048.0,1,Male,[45:50),4236
2048.0,0,Male,[45:50),4236
2048.0,1,Male,[50:55),3882
2048.0,0,Male,[50:55),3882
2048.0,1,Male,[55:60),3460
2048.0,0,Male,[55:60),3460
2048.0,1,Male,[60:65),2428
2048.0,0,Male,[60:65),2428
2048.0,1,Male,[65:70),1616
2048.0,0,Male,[65:70),1616
2048.0,1,Male,[70:75),898
2048.0,0,Male,[70:75),898
2048.0,1,Male,[75:80),506
2048.0,0,Male,[75:80),506
2048.0,1,Female,[0:5),6168
2048.0,0,Female,[0:5),6168
2048.0,1,Female,[0:200),73188
2048.0,0,Female,[0:200),73188
2048.0,1,Female,[5:10),6146
2048.0,0,Female,[5:10),6146
2048.0,1,Female,[10:15),6136
2048.0,0,Female,[10:15),6136
2048.0,1,Female,[15:20),5971
2048.0,0,Female,[15:20),5971
2048.0,1,Female,[20:25),6081
2048.0,0,Female,[20:25),6081
2048.0,1,Female,[25:30),5792
2048.0,0,Female,[25:30),5792
2048.0,1,Female,[30:35),5706
2048.0,0,Female,[30:35),5706
2048.0,1,Female,[35:40),5284
2048.0,0,Female,[35:40),5284
2048.0,1,Female,[40:45),4923
2048.0,0,Female,[40:45),4923
2048.0,1,Female,[45:50),4516
2048.0,0,Female,[45:50),4516
2048.0,1,Female,[50:55),4260
2048.0,0,Female,[50:55),4260
2048.0,1,Female,[55:60),3913
2048.0,0,Female,[55:60),3913
2048.0,1,Female,[60:65),3112
2048.0,0,Female,[60:65),3112
2048.0,1,Female,[65:70),2008
2048.0,0,Female,[65:70),2008
2048.0,1,Female,[70:75),1310
2048.0,0,Female,[70:75),1310
2048.0,1,Female,[75:80),962
2048.0,0,Female,[75:80),962
2049.0,1,Male,[0:5),6014
2049.0,0,Male,[0:5),6014
2049.0,1,Male,[0:200),69077
2049.0,0,Male,[0:200),69077
2049.0,1,Male,[5:10),5961
2049.0,0,Male,[5:10),5961
2049.0,1,Male,[10:15),6025
2049.0,0,Male,[10:15),6025
2049.0,1,Male,[15:20),6062
2049.0,0,Male,[15:20),6062
2049.0,1,Male,[20:25),5920
2049.0,0,Male,[20:25),5920
2049.0,1,Male,[25:30),5897
2049.0,0,Male,[25:30),5897
2049.0,1,Male,[30:35),5557
2049.0,0,Male,[30:35),5557
2049.0,1,Male,[35:40),5239
2049.0,0,Male,[35:40),5239
2049.0,1,Male,[40:45),4704
2049.0,0,Male,[40:45),4704
2049.0,1,Male,[45:50),4239
2049.0,0,Male,[45:50),4239
2049.0,1,Male,[50:55),3940
2049.0,0,Male,[50:55),3940
2049.0,1,Male,[55:60),3454
2049.0,0,Male,[55:60),3454
2049.0,1,Male,[60:65),2587
2049.0,0,Male,[60:65),2587
2049.0,1,Male,[65:70),1712
2049.0,0,Male,[65:70),1712
2049.0,1,Male,[70:75),925
2049.0,0,Male,[70:75),925
2049.0,1,Male,[75:80),536
2049.0,0,Male,[75:80),536
2049.0,1,Female,[0:5),6132
