Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6096
2048.0,0,Male,[0:5),6096
2048.0,1,Male,[0:200),68872
2048.0,0,Male,[0:200),68872
2048.0,1,Male,[5:10),6021
2048.0,0,Male,[5:10),6021
2048.0,1,Male,[10:15),6123
2048.0,0,Male,[10:15),6123
2048.0,1,Male,[15:20),5985
2048.0,0,Male,[15:20),5985
2048.0,1,Male,[20:25),5929
2048.0,0,Male,[20:25),5929
2048.0,1,Male,[25:30),5818
2048.0,0,Male,[25:30),5818
2048.0,1,Male,[30:35),5567
2048.0,0,Male,[30:35),5567
2048.0,1,Male,[35:40),5152
2048.0,0,Male,[35:40),5152
2048.0,1,Male,[40:45),4766
2048.0,0,Male,[40:45),4766
2048.0,1,Male,[45:50),4157
2048.0,0,Male,[45:50),4157
2048.0,1,Male,[50:55),3918
2048.0,0,Male,[50:55),3918
2048.0,1,Male,[55:60),3404
2048.0,0,Male,[55:60),3404
2048.0,1,Male,[60:65),2535
2048.0,0,Male,[60:65),2535
2048.0,1,Male,[65:70),1668
2048.0,0,Male,[65:70),1668
2048.0,1,Male,[70:75),945
2048.0,0,Male,[70:75),945
2048.0,1,Male,[75:80),518
2048.0,0,Male,[75:80),518
2048.0,1,Female,[0:5),6208
2048.0,0,Female,[0:5),6208
2048.0,1,Female,[0:200),73347
2048.0,0,Female,[0:200),73347
2048.0,1,Female,[5:10),6047
2048.0,0,Female,[5:10),6047
2048.0,1,Female,[10:15),6180
2048.0,0,Female,[10:15),6180
2048.0,1,Female,[15:20),5957
2048.0,0,Female,[15:20),5957
2048.0,1,Female,[20:25),6048
2048.0,0,Female,[20:25),6048
2048.0,1,Female,[25:30),5940
2048.0,0,Female,[25:30),5940
2048.0,1,Female,[30:35),5617
2048.0,0,Female,[30:35),5617
2048.0,1,Female,[35:40),5207
2048.0,0,Female,[35:40),5207
2048.0,1,Female,[40:45),4873
2048.0,0,Female,[40:45),4873
2048.0,1,Female,[45:50),4513
2048.0,0,Female,[45:50),4513
2048.0,1,Female,[50:55),4446
2048.0,0,Female,[50:55),4446
2048.0,1,Female,[55:60),3919
2048.0,0,Female,[55:60),3919
2048.0,1,Female,[60:65),3051
2048.0,0,Female,[60:65),3051
2048.0,1,Female,[65:70),2052
2048.0,0,Female,[65:70),2052
2048.0,1,Female,[70:75),1363
2048.0,0,Female,[70:75),1363
2048.0,1,Female,[75:80),937
2048.0,0,Female,[75:80),937
2049.0,1,Male,[0:5),6067
2049.0,0,Male,[0:5),6067
2049.0,1,Male,[0:200),69560
2049.0,0,Male,[0:200),69560
2049.0,1,Male,[5:10),6086
2049.0,0,Male,[5:10),6086
2049.0,1,Male,[10:15),6072
2049.0,0,Male,[10:15),6072
2049.0,1,Male,[15:20),6015
2049.0,0,Male,[15:20),6015
2049.0,1,Male,[20:25),5952
2049.0,0,Male,[20:25),5952
2049.0,1,Male,[25:30),5812
2049.0,0,Male,[25:30),5812
2049.0,1,Male,[30:35),5627
2049.0,0,Male,[30:35),5627
2049.0,1,Male,[35:40),5199
2049.0,0,Male,[35:40),5199
2049.0,1,Male,[40:45),4826
2049.0,0,Male,[40:45),4826
2049.0,1,Male,[45:50),4222
2049.0,0,Male,[45:50),4222
2049.0,1,Male,[50:55),3935
2049.0,0,Male,[50:55),3935
2049.0,1,Male,[55:60),3427
2049.0,0,Male,[55:60),3427
2049.0,1,Male,[60:65),2700
2049.0,0,Male,[60:65),2700
2049.0,1,Male,[65:70),1786
2049.0,0,Male,[65:70),1786
2049.0,1,Male,[70:75),991
2049.0,0,Male,[70:75),991
2049.0,1,Male,[75:80),554
2049.0,0,Male,[75:80),554
2049.0,1,Female,[0:5),6132
2049.0,0,Female,[0:5),6132
2049.0,1,Female,[0:200),74048
2049.0,0,Female,[0:200),74048
2049.0,1,Female,[5:10),6006
2049.0,0,Female,[5:10),6006
2049.0,1,Female,[10:15),6202
2049.0,0,Female,[10:15),6202
2049.0,1,Female,[15:20),6009
2049.0,0,Female,[15:20),6009
2049.0,1,Female,[20:25),5996
2049.0,0,Female,[20:25),5996
2049.0,1,Female,[25:30),5970
2049.0,0,Female,[25:30),5970
2049.0,1,Female,[30:35),5708
2049.0,0,Female,[30:35),5708
2049.0,1,Female,[35:40),5285
2049.0,0,Female,[35:40),5285
2049.0,1,Female,[40:45),4953
2049.0,0,Female,[40:45),4953
2049.0,1,Female,[45:50),4559
2049.0,0,Female,[45:50),4559
2049.0,1,Female,[50:55),4407
2049.0,0,Female,[50:55),4407
2049.0,1,Female,[55:60),4005
2049.0,0,Female,[55:60),4005
2049.0,1,Female,[60:65),3230
2049.0,0,Female,[60:65),3230
2049.0,1,Female,[65:70),2178
2049.0,0,Female,[65:70),2178
2049.0,1,Female,[70:75),1413
2049.0,0,Female,[70:75),1413
2049.0,1,Female,[75:80),968
2049.0,0,Female,[75:80),968
2050.0,1,Male,[0:5),6105
2050.0,0,Male,[0:5),6105
2050.0,1,Male,[0:200),70199
2050.0,0,Male,[0:200),70199
2050.0,1,Male,[5:10),6027
2050.0,0,Male,[5:10),6027
2050.0,1,Male,[10:15),6133
2050.0,0,Male,[10:15),6133
2050.0,1,Male,[15:20),5930
2050.0,0,Male,[15:20),5930
2050.0,1,Male,[20:25),5979
2050.0,0,Male,[20:25),5979
2050.0,1,Male,[25:30),5822
2050.0,0,Male,[25:30),5822
2050.0,1,Male,[30:35),5722
2050.0,0,Male,[30:35),5722
2050.0,1,Male,[35:40),5255
2050.0,0,Male,[35:40),5255
2050.0,1,Male,[40:45),4867
2050.0,0,Male,[40:45),4867
