Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[15:20),0.004511278195488722
2048.0,0,Male,[15:20),0.004511278195488722
2048.0,1,Male,[20:25),0.012312362961713612
2048.0,0,Male,[20:25),0.012312362961713612
2048.0,1,Male,[25:30),0.04107940873152286
2048.0,0,Male,[25:30),0.04107940873152286
2048.0,1,Male,[30:35),0.07634273396802586
2048.0,0,Male,[30:35),0.07634273396802586
2048.0,1,Male,[35:40),0.11937111801242237
2048.0,0,Male,[35:40),0.11937111801242237
2048.0,1,Male,[40:45),0.18212337389844732
2048.0,0,Male,[40:45),0.18212337389844732
2048.0,1,Male,[45:50),0.234784700505172
2048.0,0,Male,[45:50),0.234784700505172
2048.0,1,Male,[50:55),0.3335885655946912
2048.0,0,Male,[50:55),0.3335885655946912
2048.0,1,Male,[55:60),0.42538190364277323
2048.0,0,Male,[55:60),0.42538190364277323
2048.0,1,Male,[60:65),0.5207100591715976
2048.0,0,Male,[60:65),0.5207100591715976
2048.0,1,Male,[65:200),0.5607174360482211
2048.0,0,Male,[65:200),0.5607174360482211
2048.0,1,Female,[15:20),0.02786637569246265
2048.0,0,Female,[15:20),0.02786637569246265
2048.0,1,Female,[20:25),0.082010582010582
2048.0,0,Female,[20:25),0.082010582010582
2048.0,1,Female,[25:30),0.1425925925925926
2048.0,0,Female,[25:30),0.1425925925925926
2048.0,1,Female,[30:35),0.1965461990386327
2048.0,0,Female,[30:35),0.1965461990386327
2048.0,1,Female,[35:40),0.23929325907432303
2048.0,0,Female,[35:40),0.23929325907432303
2048.0,1,Female,[40:45),0.29899445926533963
2048.0,0,Female,[40:45),0.29899445926533963
2048.0,1,Female,[45:50),0.3614003988477731
2048.0,0,Female,[45:50),0.3614003988477731
2048.0,1,Female,[50:55),0.4559154295996401
2048.0,0,Female,[50:55),0.4559154295996401
2048.0,1,Female,[55:60),0.5315131411074253
2048.0,0,Female,[55:60),0.5315131411074253
2048.0,1,Female,[60:65),0.6011143887250082
2048.0,0,Female,[60:65),0.6011143887250082
2048.0,1,Female,[65:200),0.5652499531922861
2048.0,0,Female,[65:200),0.5652499531922861
2049.0,1,Male,[15:20),0.0043225270157938485
2049.0,0,Male,[15:20),0.0043225270157938485
2049.0,1,Male,[20:25),0.014112903225806451
2049.0,0,Male,[20:25),0.014112903225806451
2049.0,1,Male,[25:30),0.036132140399174124
2049.0,0,Male,[25:30),0.036132140399174124
2049.0,1,Male,[30:35),0.07357384041229785
2049.0,0,Male,[30:35),0.07357384041229785
2049.0,1,Male,[35:40),0.11963839199846124
2049.0,0,Male,[35:40),0.11963839199846124
2049.0,1,Male,[40:45),0.17302113551595524
2049.0,0,Male,[40:45),0.17302113551595524
2049.0,1,Male,[45:50),0.2273803884414969
2049.0,0,Male,[45:50),0.2273803884414969
2049.0,1,Male,[50:55),0.3204574332909784
2049.0,0,Male,[50:55),0.3204574332909784
2049.0,1,Male,[55:60),0.415815582141815
2049.0,0,Male,[55:60),0.415815582141815
2049.0,1,Male,[60:65),0.5077777777777778
2049.0,0,Male,[60:65),0.5077777777777778
2049.0,1,Male,[65:200),0.5643646408839779
2049.0,0,Male,[65:200),0.5643646408839779
2049.0,1,Female,[15:20),0.02779164586453653
2049.0,0,Female,[15:20),0.02779164586453653
2049.0,1,Female,[20:25),0.08055370246831221
2049.0,0,Female,[20:25),0.08055370246831221
2049.0,1,Female,[25:30),0.1355108877721943
2049.0,0,Female,[25:30),0.1355108877721943
2049.0,1,Female,[30:35),0.1913104414856342
2049.0,0,Female,[30:35),0.1913104414856342
2049.0,1,Female,[35:40),0.2412488174077578
2049.0,0,Female,[35:40),0.2412488174077578
2049.0,1,Female,[40:45),0.2881082172420755
2049.0,0,Female,[40:45),0.2881082172420755
2049.0,1,Female,[45:50),0.3551217372230752
2049.0,0,Female,[45:50),0.3551217372230752
2049.0,1,Female,[50:55),0.43680508282278196
2049.0,0,Female,[50:55),0.43680508282278196
2049.0,1,Female,[55:60),0.5181023720349563
2049.0,0,Female,[55:60),0.5181023720349563
2049.0,1,Female,[60:65),0.586687306501548
2049.0,0,Female,[60:65),0.586687306501548
2049.0,1,Female,[65:200),0.5789473684210527
2049.0,0,Female,[65:200),0.5789473684210527
2050.0,1,Male,[15:20),0.004384485666104553
2050.0,0,Male,[15:20),0.004384485666104553
2050.0,1,Male,[20:25),0.015219936444221442
2050.0,0,Male,[20:25),0.015219936444221442
2050.0,1,Male,[25:30),0.03452421848162143
2050.0,0,Male,[25:30),0.03452421848162143
2050.0,1,Male,[30:35),0.06885704299196085
2050.0,0,Male,[30:35),0.06885704299196085
2050.0,1,Male,[35:40),0.11779257849666984
2050.0,0,Male,[35:40),0.11779257849666984
2050.0,1,Male,[40:45),0.1592356687898089
2050.0,0,Male,[40:45),0.1592356687898089
2050.0,1,Male,[45:50),0.2264018691588785
2050.0,0,Male,[45:50),0.2264018691588785
2050.0,1,Male,[50:55),0.3122948750315577
2050.0,0,Male,[50:55),0.3122948750315577
2050.0,1,Male,[55:60),0.3969575200918484
2050.0,0,Male,[55:60),0.3969575200918484
2050.0,1,Male,[60:65),0.49857448325017817
2050.0,0,Male,[60:65),0.49857448325017817
2050.0,1,Male,[65:200),0.5679205851619644
2050.0,0,Male,[65:200),0.5679205851619644
2050.0,1,Female,[15:20),0.027183822310624897
2050.0,0,Female,[15:20),0.027183822310624897
2050.0,1,Female,[20:25),0.08256880733944955
2050.0,0,Female,[20:25),0.08256880733944955
2050.0,1,Female,[25:30),0.13089622641509435
2050.0,0,Female,[25:30),0.13089622641509435
2050.0,1,Female,[30:35),0.1859270672829995
2050.0,0,Female,[30:35),0.1859270672829995
2050.0,1,Female,[35:40),0.2369757381982321
2050.0,0,Female,[35:40),0.2369757381982321
2050.0,1,Female,[40:45),0.2761605035405193
2050.0,0,Female,[40:45),0.2761605035405193
2050.0,1,Female,[45:50),0.34551784160139254
2050.0,0,Female,[45:50),0.34551784160139254
2050.0,1,Female,[50:55),0.4288003663003663
2050.0,0,Female,[50:55),0.4288003663003663
2050.0,1,Female,[55:60),0.49915192633874483
2050.0,0,Female,[55:60),0.49915192633874483
2050.0,1,Female,[60:65),0.5782131196200653
2050.0,0,Female,[60:65),0.5782131196200653
2050.0,1,Female,[65:200),0.585104574052032
2050.0,0,Female,[65:200),0.585104574052032
2011.5,1,Male,[15:20),0.019140885822390385
2011.5,0,Male,[15:20),0.019140885822390385
2011.5,1,Male,[20:25),0.0908886894075404
2011.5,0,Male,[20:25),0.0908886894075404
2011.5,1,Male,[25:30),0.2165693633583542
2011.5,0,Male,[25:30),0.2165693633583542
2011.5,1,Male,[30:35),0.34053097345132743
2011.5,0,Male,[30:35),0.34053097345132743
2011.5,1,Male,[35:40),0.421173235563703
2011.5,0,Male,[35:40),0.421173235563703
2011.5,1,Male,[40:45),0.4399770246984492
2011.5,0,Male,[40:45),0.4399770246984492
2011.5,1,Male,[45:50),0.37631975867269984
2011.5,0,Male,[45:50),0.37631975867269984
2011.5,1,Male,[50:55),0.2778581765557164
2011.5,0,Male,[50:55),0.2778581765557164
2011.5,1,Male,[55:60),0.15308151093439365
2011.5,0,Male,[55:60),0.15308151093439365
2011.5,1,Male,[60:65),0.1
2011.5,0,Male,[60:65),0.1
2011.5,1,Male,[65:200),0.07361268403171008
2011.5,0,Male,[65:200),0.07361268403171008
2011.5,1,Female,[15:20),0.10153654485049834
2011.5,0,Female,[15:20),0.10153654485049834
2011.5,1,Female,[20:25),0.30367328313940223
2011.5,0,Female,[20:25),0.30367328313940223
2011.5,1,Female,[25:30),0.44476744186046513
2011.5,0,Female,[25:30),0.44476744186046513
2011.5,1,Female,[30:35),0.5084811102544333
2011.5,0,Female,[30:35),0.5084811102544333
2011.5,1,Female,[35:40),0.4887254901960784
2011.5,0,Female,[35:40),0.4887254901960784
