Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6094
2048.0,0,Male,[0:5),6094
2048.0,1,Male,[0:200),68350
2048.0,0,Male,[0:200),68350
2048.0,1,Male,[5:10),5950
2048.0,0,Male,[5:10),5950
2048.0,1,Male,[10:15),6032
2048.0,0,Male,[10:15),6032
2048.0,1,Male,[15:20),5868
2048.0,0,Male,[15:20),5868
2048.0,1,Male,[20:25),5982
2048.0,0,Male,[20:25),5982
2048.0,1,Male,[25:30),5686
2048.0,0,Male,[25:30),5686
2048.0,1,Male,[30:35),5402
2048.0,0,Male,[30:35),5402
2048.0,1,Male,[35:40),5245
2048.0,0,Male,[35:40),5245
2048.0,1,Male,[40:45),4613
2048.0,0,Male,[40:45),4613
2048.0,1,Male,[45:50),4122
2048.0,0,Male,[45:50),4122
2048.0,1,Male,[50:55),3965
2048.0,0,Male,[50:55),3965
2048.0,1,Male,[55:60),3430
2048.0,0,Male,[55:60),3430
2048.0,1,Male,[60:65),2572
2048.0,0,Male,[60:65),2572
2048.0,1,Male,[65:70),1668
2048.0,0,Male,[65:70),1668
2048.0,1,Male,[70:75),937
2048.0,0,Male,[70:75),937
2048.0,1,Male,[75:80),481
2048.0,0,Male,[75:80),481
2048.0,1,Female,[0:5),6082
2048.0,0,Female,[0:5),6082
2048.0,1,Female,[0:200),72604
2048.0,0,Female,[0:200),72604
2048.0,1,Female,[5:10),5924
2048.0,0,Female,[5:10),5924
2048.0,1,Female,[10:15),6178
2048.0,0,Female,[10:15),6178
2048.0,1,Female,[15:20),6052
2048.0,0,Female,[15:20),6052
2048.0,1,Female,[20:25),5980
2048.0,0,Female,[20:25),5980
2048.0,1,Female,[25:30),5767
2048.0,0,Female,[25:30),5767
2048.0,1,Female,[30:35),5642
2048.0,0,Female,[30:35),5642
2048.0,1,Female,[35:40),5213
2048.0,0,Female,[35:40),5213
2048.0,1,Female,[40:45),4889
2048.0,0,Female,[40:45),4889
2048.0,1,Female,[45:50),4402
2048.0,0,Female,[45:50),4402
2048.0,1,Female,[50:55),4397
2048.0,0,Female,[50:55),4397
2048.0,1,Female,[55:60),3920
2048.0,0,Female,[55:60),3920
2048.0,1,Female,[60:65),3033
2048.0,0,Female,[60:65),3033
2048.0,1,Female,[65:70),1947
2048.0,0,Female,[65:70),1947
2048.0,1,Female,[70:75),1317
2048.0,0,Female,[70:75),1317
2048.0,1,Female,[75:80),901
2048.0,0,Female,[75:80),901
2049.0,1,Male,[0:5),6056
