Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[15:20),0.004430811179277437
2048.0,0,Male,[15:20),0.004430811179277437
2048.0,1,Male,[20:25),0.017385489802741558
2048.0,0,Male,[20:25),0.017385489802741558
2048.0,1,Male,[25:30),0.04678156876538867
2048.0,0,Male,[25:30),0.04678156876538867
2048.0,1,Male,[30:35),0.09977786005183266
2048.0,0,Male,[30:35),0.09977786005183266
2048.0,1,Male,[35:40),0.13536701620591038
2048.0,0,Male,[35:40),0.13536701620591038
2048.0,1,Male,[40:45),0.1794927379145892
2048.0,0,Male,[40:45),0.1794927379145892
2048.0,1,Male,[45:50),0.250121300339641
2048.0,0,Male,[45:50),0.250121300339641
2048.0,1,Male,[50:55),0.3472887767969735
2048.0,0,Male,[50:55),0.3472887767969735
2048.0,1,Male,[55:60),0.4521865889212828
2048.0,0,Male,[55:60),0.4521865889212828
2048.0,1,Male,[60:65),0.5458786936236392
2048.0,0,Male,[60:65),0.5458786936236392
2048.0,1,Male,[65:200),0.6078489229861316
2048.0,0,Male,[65:200),0.6078489229861316
2048.0,1,Female,[15:20),0.03189028420356907
2048.0,0,Female,[15:20),0.03189028420356907
2048.0,1,Female,[20:25),0.10635451505016723
2048.0,0,Female,[20:25),0.10635451505016723
2048.0,1,Female,[25:30),0.17235997919195423
2048.0,0,Female,[25:30),0.17235997919195423
2048.0,1,Female,[30:35),0.2206664303438497
2048.0,0,Female,[30:35),0.2206664303438497
2048.0,1,Female,[35:40),0.27738346441588335
2048.0,0,Female,[35:40),0.27738346441588335
2048.0,1,Female,[40:45),0.3227653916956433
2048.0,0,Female,[40:45),0.3227653916956433
2048.0,1,Female,[45:50),0.4054975011358473
2048.0,0,Female,[45:50),0.4054975011358473
2048.0,1,Female,[50:55),0.4889697521037071
2048.0,0,Female,[50:55),0.4889697521037071
2048.0,1,Female,[55:60),0.5579081632653061
2048.0,0,Female,[55:60),0.5579081632653061
2048.0,1,Female,[60:65),0.6425980877019453
2048.0,0,Female,[60:65),0.6425980877019453
2048.0,1,Female,[65:200),0.6078048780487805
2048.0,0,Female,[65:200),0.6078048780487805
2049.0,1,Male,[15:20),0.0044452043084287915
2049.0,0,Male,[15:20),0.0044452043084287915
2049.0,1,Male,[20:25),0.016486261448792672
2049.0,0,Male,[20:25),0.016486261448792672
2049.0,1,Male,[25:30),0.04481792717086835
2049.0,0,Male,[25:30),0.04481792717086835
2049.0,1,Male,[30:35),0.09321566464423607
2049.0,0,Male,[30:35),0.09321566464423607
2049.0,1,Male,[35:40),0.14045686237492921
2049.0,0,Male,[35:40),0.14045686237492921
2049.0,1,Male,[40:45),0.17863175675675674
2049.0,0,Male,[40:45),0.17863175675675674
2049.0,1,Male,[45:50),0.24336069531627233
2049.0,0,Male,[45:50),0.24336069531627233
2049.0,1,Male,[50:55),0.3289738430583501
2049.0,0,Male,[50:55),0.3289738430583501
2049.0,1,Male,[55:60),0.44162582876909773
2049.0,0,Male,[55:60),0.44162582876909773
2049.0,1,Male,[60:65),0.5304765422977465
2049.0,0,Male,[60:65),0.5304765422977465
2049.0,1,Male,[65:200),0.6149120357442055
2049.0,0,Male,[65:200),0.6149120357442055
2049.0,1,Female,[15:20),0.03383645712390115
2049.0,0,Female,[15:20),0.03383645712390115
2049.0,1,Female,[20:25),0.09986617597858816
2049.0,0,Female,[20:25),0.09986617597858816
2049.0,1,Female,[25:30),0.17240186754279785
2049.0,0,Female,[25:30),0.17240186754279785
2049.0,1,Female,[30:35),0.2114414884367936
2049.0,0,Female,[30:35),0.2114414884367936
2049.0,1,Female,[35:40),0.2796369824163358
2049.0,0,Female,[35:40),0.2796369824163358
2049.0,1,Female,[40:45),0.31541437589085725
2049.0,0,Female,[40:45),0.31541437589085725
2049.0,1,Female,[45:50),0.3888642413487134
2049.0,0,Female,[45:50),0.3888642413487134
2049.0,1,Female,[50:55),0.48219618653801977
2049.0,0,Female,[50:55),0.48219618653801977
2049.0,1,Female,[55:60),0.5440737051792829
2049.0,0,Female,[55:60),0.5440737051792829
2049.0,1,Female,[60:65),0.6263190564866542
2049.0,0,Female,[60:65),0.6263190564866542
2049.0,1,Female,[65:200),0.6207404678578007
2049.0,0,Female,[65:200),0.6207404678578007
2050.0,1,Male,[15:20),0.004629629629629629
2050.0,0,Male,[15:20),0.004629629629629629
2050.0,1,Male,[20:25),0.01617205735245082
2050.0,0,Male,[20:25),0.01617205735245082
2050.0,1,Male,[25:30),0.0435390802587865
2050.0,0,Male,[25:30),0.0435390802587865
2050.0,1,Male,[30:35),0.08650707290533188
2050.0,0,Male,[30:35),0.08650707290533188
2050.0,1,Male,[35:40),0.13724384282759916
2050.0,0,Male,[35:40),0.13724384282759916
2050.0,1,Male,[40:45),0.17192622950819672
2050.0,0,Male,[40:45),0.17192622950819672
2050.0,1,Male,[45:50),0.23717026378896883
2050.0,0,Male,[45:50),0.23717026378896883
2050.0,1,Male,[50:55),0.30627871362940273
2050.0,0,Male,[50:55),0.30627871362940273
2050.0,1,Male,[55:60),0.42680874929893436
2050.0,0,Male,[55:60),0.42680874929893436
2050.0,1,Male,[60:65),0.5226480836236934
2050.0,0,Male,[60:65),0.5226480836236934
2050.0,1,Male,[65:200),0.6162263143848412
2050.0,0,Male,[65:200),0.6162263143848412
2050.0,1,Female,[15:20),0.03161534661616993
2050.0,0,Female,[15:20),0.03161534661616993
2050.0,1,Female,[20:25),0.09639564124056998
2050.0,0,Female,[20:25),0.09639564124056998
2050.0,1,Female,[25:30),0.16799722318639362
2050.0,0,Female,[25:30),0.16799722318639362
2050.0,1,Female,[30:35),0.20739466895958727
2050.0,0,Female,[30:35),0.20739466895958727
2050.0,1,Female,[35:40),0.27374833428517037
2050.0,0,Female,[35:40),0.27374833428517037
2050.0,1,Female,[40:45),0.31421249753597474
2050.0,0,Female,[40:45),0.31421249753597474
2050.0,1,Female,[45:50),0.37486457204767065
2050.0,0,Female,[45:50),0.37486457204767065
2050.0,1,Female,[50:55),0.4677942539388322
2050.0,0,Female,[50:55),0.4677942539388322
2050.0,1,Female,[55:60),0.5414622178606477
2050.0,0,Female,[55:60),0.5414622178606477
2050.0,1,Female,[60:65),0.6027843601895735
2050.0,0,Female,[60:65),0.6027843601895735
2050.0,1,Female,[65:200),0.6347659648512267
2050.0,0,Female,[65:200),0.6347659648512267
2011.5,1,Male,[15:20),0.019677621938455098
2011.5,0,Male,[15:20),0.019677621938455098
