Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),5918
2048.0,0,Male,[0:5),5918
2048.0,1,Male,[0:200),67465
2048.0,0,Male,[0:200),67465
2048.0,1,Male,[5:10),5882
2048.0,0,Male,[5:10),5882
2048.0,1,Male,[10:15),6006
2048.0,0,Male,[10:15),6006
2048.0,1,Male,[15:20),5857
2048.0,0,Male,[15:20),5857
2048.0,1,Male,[20:25),5800
2048.0,0,Male,[20:25),5800
2048.0,1,Male,[25:30),5734
2048.0,0,Male,[25:30),5734
2048.0,1,Male,[30:35),5558
2048.0,0,Male,[30:35),5558
2048.0,1,Male,[35:40),4913
2048.0,0,Male,[35:40),4913
2048.0,1,Male,[40:45),4642
2048.0,0,Male,[40:45),4642
2048.0,1,Male,[45:50),4153
2048.0,0,Male,[45:50),4153
2048.0,1,Male,[50:55),3940
2048.0,0,Male,[50:55),3940
2048.0,1,Male,[55:60),3299
2048.0,0,Male,[55:60),3299
2048.0,1,Male,[60:65),2622
2048.0,0,Male,[60:65),2622
2048.0,1,Male,[65:70),1487
2048.0,0,Male,[65:70),1487
2048.0,1,Male,[70:75),848
2048.0,0,Male,[70:75),848
2048.0,1,Male,[75:80),471
2048.0,0,Male,[75:80),471
2048.0,1,Female,[0:5),6112
2048.0,0,Female,[0:5),6112
2048.0,1,Female,[0:200),72031
2048.0,0,Female,[0:200),72031
2048.0,1,Female,[5:10),5920
2048.0,0,Female,[5:10),5920
2048.0,1,Female,[10:15),6191
2048.0,0,Female,[10:15),6191
2048.0,1,Female,[15:20),5958
2048.0,0,Female,[15:20),5958
2048.0,1,Female,[20:25),6008
2048.0,0,Female,[20:25),6008
2048.0,1,Female,[25:30),5656
2048.0,0,Female,[25:30),5656
2048.0,1,Female,[30:35),5525
2048.0,0,Female,[30:35),5525
2048.0,1,Female,[35:40),5213
2048.0,0,Female,[35:40),5213
2048.0,1,Female,[40:45),4806
2048.0,0,Female,[40:45),4806
2048.0,1,Female,[45:50),4362
2048.0,0,Female,[45:50),4362
2048.0,1,Female,[50:55),4277
2048.0,0,Female,[50:55),4277
2048.0,1,Female,[55:60),3912
2048.0,0,Female,[55:60),3912
2048.0,1,Female,[60:65),3047
2048.0,0,Female,[60:65),3047
