Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6428
2048.0,0,Male,[0:5),6428
2048.0,1,Male,[0:200),70522
2048.0,0,Male,[0:200),70522
2048.0,1,Male,[5:10),6104
2048.0,0,Male,[5:10),6104
2048.0,1,Male,[10:15),6230
2048.0,0,Male,[10:15),6230
2048.0,1,Male,[15:20),6084
2048.0,0,Male,[15:20),6084
2048.0,1,Male,[20:25),6146
2048.0,0,Male,[20:25),6146
2048.0,1,Male,[25:30),6010
2048.0,0,Male,[25:30),6010
2048.0,1,Male,[30:35),5837
2048.0,0,Male,[30:35),5837
2048.0,1,Male,[35:40),5291
2048.0,0,Male,[35:40),5291
2048.0,1,Male,[40:45),4764
2048.0,0,Male,[40:45),4764
2048.0,1,Male,[45:50),4201
2048.0,0,Male,[45:50),4201
2048.0,1,Male,[50:55),4025
2048.0,0,Male,[50:55),4025
2048.0,1,Male,[55:60),3429
2048.0,0,Male,[55:60),3429
2048.0,1,Male,[60:65),2550
2048.0,0,Male,[60:65),2550
2048.0,1,Male,[65:70),1698
2048.0,0,Male,[65:70),1698
2048.0,1,Male,[70:75),921
2048.0,0,Male,[70:75),921
2048.0,1,Male,[75:80),507
2048.0,0,Male,[75:80),507
2048.0,1,Female,[0:5),6304
2048.0,0,Female,[0:5),6304
2048.0,1,Female,[0:200),75536
2048.0,0,Female,[0:200),75536
2048.0,1,Female,[5:10),6143
2048.0,0,Female,[5:10),6143
2048.0,1,Female,[10:15),6417
2048.0,0,Female,[10:15),6417
2048.0,1,Female,[15:20),6339
2048.0,0,Female,[15:20),6339
2048.0,1,Female,[20:25),6267
2048.0,0,Female,[20:25),6267
2048.0,1,Female,[25:30),6044
2048.0,0,Female,[25:30),6044
2048.0,1,Female,[30:35),5705
2048.0,0,Female,[30:35),5705
2048.0,1,Female,[35:40),5534
2048.0,0,Female,[35:40),5534
2048.0,1,Female,[40:45),5018
2048.0,0,Female,[40:45),5018
2048.0,1,Female,[45:50),4781
2048.0,0,Female,[45:50),4781
2048.0,1,Female,[50:55),4533
2048.0,0,Female,[50:55),4533
2048.0,1,Female,[55:60),4117
2048.0,0,Female,[55:60),4117
2048.0,1,Female,[60:65),3094
2048.0,0,Female,[60:65),3094
2048.0,1,Female,[65:70),1970
2048.0,0,Female,[65:70),1970
2048.0,1,Female,[70:75),1390
2048.0,0,Female,[70:75),1390
2048.0,1,Female,[75:80),914
2048.0,0,Female,[75:80),914
2049.0,1,Male,[0:5),6404
2049.0,0,Male,[0:5),6404
2049.0,1,Male,[0:200),71214
2049.0,0,Male,[0:200),71214
2049.0,1,Male,[5:10),6139
2049.0,0,Male,[5:10),6139
2049.0,1,Male,[10:15),6285
2049.0,0,Male,[10:15),6285
2049.0,1,Male,[15:20),6083
2049.0,0,Male,[15:20),6083
2049.0,1,Male,[20:25),6075
2049.0,0,Male,[20:25),6075
2049.0,1,Male,[25:30),6039
2049.0,0,Male,[25:30),6039
2049.0,1,Male,[30:35),5945
2049.0,0,Male,[30:35),5945
2049.0,1,Male,[35:40),5291
2049.0,0,Male,[35:40),5291
2049.0,1,Male,[40:45),4880
2049.0,0,Male,[40:45),4880
2049.0,1,Male,[45:50),4245
2049.0,0,Male,[45:50),4245
2049.0,1,Male,[50:55),4039
2049.0,0,Male,[50:55),4039
2049.0,1,Male,[55:60),3500
2049.0,0,Male,[55:60),3500
2049.0,1,Male,[60:65),2676
2049.0,0,Male,[60:65),2676
2049.0,1,Male,[65:70),1808
2049.0,0,Male,[65:70),1808
2049.0,1,Male,[70:75),984
2049.0,0,Male,[70:75),984
2049.0,1,Male,[75:80),499
2049.0,0,Male,[75:80),499
2049.0,1,Female,[0:5),6344
2049.0,0,Female,[0:5),6344
2049.0,1,Female,[0:200),76384
2049.0,0,Female,[0:200),76384
2049.0,1,Female,[5:10),6145
2049.0,0,Female,[5:10),6145
2049.0,1,Female,[10:15),6385
2049.0,0,Female,[10:15),6385
2049.0,1,Female,[15:20),6332
2049.0,0,Female,[15:20),6332
2049.0,1,Female,[20:25),6287
2049.0,0,Female,[20:25),6287
2049.0,1,Female,[25:30),6055
2049.0,0,Female,[25:30),6055
2049.0,1,Female,[30:35),5815
2049.0,0,Female,[30:35),5815
2049.0,1,Female,[35:40),5523
2049.0,0,Female,[35:40),5523
2049.0,1,Female,[40:45),5138
2049.0,0,Female,[40:45),5138
2049.0,1,Female,[45:50),4782
2049.0,0,Female,[45:50),4782
2049.0,1,Female,[50:55),4511
2049.0,0,Female,[50:55),4511
2049.0,1,Female,[55:60),4227
2049.0,0,Female,[55:60),4227
2049.0,1,Female,[60:65),3320
2049.0,0,Female,[60:65),3320
2049.0,1,Female,[65:70),2088
