Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6083
2048.0,0,Male,[0:5),6083
2048.0,1,Male,[0:200),68080
2048.0,0,Male,[0:200),68080
2048.0,1,Male,[5:10),5951
2048.0,0,Male,[5:10),5951
2048.0,1,Male,[10:15),6129
2048.0,0,Male,[10:15),6129
2048.0,1,Male,[15:20),5962
2048.0,0,Male,[15:20),5962
2048.0,1,Male,[20:25),5890
2048.0,0,Male,[20:25),5890
2048.0,1,Male,[25:30),5631
2048.0,0,Male,[25:30),5631
2048.0,1,Male,[30:35),5440
2048.0,0,Male,[30:35),5440
2048.0,1,Male,[35:40),5050
2048.0,0,Male,[35:40),5050
2048.0,1,Male,[40:45),4719
2048.0,0,Male,[40:45),4719
2048.0,1,Male,[45:50),4107
2048.0,0,Male,[45:50),4107
2048.0,1,Male,[50:55),3874
2048.0,0,Male,[50:55),3874
2048.0,1,Male,[55:60),3421
2048.0,0,Male,[55:60),3421
2048.0,1,Male,[60:65),2527
2048.0,0,Male,[60:65),2527
2048.0,1,Male,[65:70),1590
2048.0,0,Male,[65:70),1590
2048.0,1,Male,[70:75),914
2048.0,0,Male,[70:75),914
2048.0,1,Male,[75:80),492
2048.0,0,Male,[75:80),492
2048.0,1,Female,[0:5),6210
2048.0,0,Female,[0:5),6210
2048.0,1,Female,[0:200),73690
2048.0,0,Female,[0:200),73690
2048.0,1,Female,[5:10),6096
2048.0,0,Female,[5:10),6096
2048.0,1,Female,[10:15),6218
2048.0,0,Female,[10:15),6218
2048.0,1,Female,[15:20),6175
2048.0,0,Female,[15:20),6175
2048.0,1,Female,[20:25),6203
2048.0,0,Female,[20:25),6203
2048.0,1,Female,[25:30),5895
2048.0,0,Female,[25:30),5895
2048.0,1,Female,[30:35),5742
2048.0,0,Female,[30:35),5742
2048.0,1,Female,[35:40),5175
2048.0,0,Female,[35:40),5175
2048.0,1,Female,[40:45),4922
2048.0,0,Female,[40:45),4922
2048.0,1,Female,[45:50),4536
2048.0,0,Female,[45:50),4536
2048.0,1,Female,[50:55),4411
2048.0,0,Female,[50:55),4411
2048.0,1,Female,[55:60),3949
2048.0,0,Female,[55:60),3949
2048.0,1,Female,[60:65),2956
2048.0,0,Female,[60:65),2956
