Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6000
2048.0,0,Male,[0:5),6000
2048.0,1,Male,[0:200),68474
2048.0,0,Male,[0:200),68474
2048.0,1,Male,[5:10),5984
2048.0,0,Male,[5:10),5984
2048.0,1,Male,[10:15),6152
2048.0,0,Male,[10:15),6152
2048.0,1,Male,[15:20),5966
2048.0,0,Male,[15:20),5966
2048.0,1,Male,[20:25),6005
2048.0,0,Male,[20:25),6005
2048.0,1,Male,[25:30),5455
2048.0,0,Male,[25:30),5455
2048.0,1,Male,[30:35),5497
2048.0,0,Male,[30:35),5497
2048.0,1,Male,[35:40),5095
2048.0,0,Male,[35:40),5095
2048.0,1,Male,[40:45),4703
2048.0,0,Male,[40:45),4703
2048.0,1,Male,[45:50),4193
2048.0,0,Male,[45:50),4193
2048.0,1,Male,[50:55),3996
2048.0,0,Male,[50:55),3996
2048.0,1,Male,[55:60),3493
2048.0,0,Male,[55:60),3493
2048.0,1,Male,[60:65),2644
2048.0,0,Male,[60:65),2644
2048.0,1,Male,[65:70),1571
2048.0,0,Male,[65:70),1571
2048.0,1,Male,[70:75),923
2048.0,0,Male,[70:75),923
2048.0,1,Male,[75:80),515
2048.0,0,Male,[75:80),515
2048.0,1,Female,[0:5),6059
2048.0,0,Female,[0:5),6059
2048.0,1,Female,[0:200),72196
2048.0,0,Female,[0:200),72196
2048.0,1,Female,[5:10),5878
2048.0,0,Female,[5:10),5878
2048.0,1,Female,[10:15),6196
2048.0,0,Female,[10:15),6196
2048.0,1,Female,[15:20),6012
2048.0,0,Female,[15:20),6012
2048.0,1,Female,[20:25),5932
2048.0,0,Female,[20:25),5932
2048.0,1,Female,[25:30),5770
2048.0,0,Female,[25:30),5770
2048.0,1,Female,[30:35),5526
2048.0,0,Female,[30:35),5526
2048.0,1,Female,[35:40),5256
2048.0,0,Female,[35:40),5256
2048.0,1,Female,[40:45),4867
2048.0,0,Female,[40:45),4867
2048.0,1,Female,[45:50),4355
2048.0,0,Female,[45:50),4355
2048.0,1,Female,[50:55),4281
2048.0,0,Female,[50:55),4281
2048.0,1,Female,[55:60),3967
2048.0,0,Female,[55:60),3967
2048.0,1,Female,[60:65),2968
2048.0,0,Female,[60:65),2968
2048.0,1,Female,[65:70),1977
2048.0,0,Female,[65:70),1977
2048.0,1,Female,[70:75),1271
2048.0,0,Female,[70:75),1271
2048.0,1,Female,[75:80),919
2048.0,0,Female,[75:80),919
2049.0,1,Male,[0:5),5972
2049.0,0,Male,[0:5),5972
2049.0,1,Male,[0:200),69036
2049.0,0,Male,[0:200),69036
2049.0,1,Male,[5:10),5926
2049.0,0,Male,[5:10),5926
2049.0,1,Male,[10:15),6247
2049.0,0,Male,[10:15),6247
2049.0,1,Male,[15:20),5906
2049.0,0,Male,[15:20),5906
2049.0,1,Male,[20:25),5973
2049.0,0,Male,[20:25),5973
2049.0,1,Male,[25:30),5623
2049.0,0,Male,[25:30),5623
2049.0,1,Male,[30:35),5388
2049.0,0,Male,[30:35),5388
2049.0,1,Male,[35:40),5196
2049.0,0,Male,[35:40),5196
2049.0,1,Male,[40:45),4778
2049.0,0,Male,[40:45),4778
2049.0,1,Male,[45:50),4282
2049.0,0,Male,[45:50),4282
2049.0,1,Male,[50:55),4000
2049.0,0,Male,[50:55),4000
2049.0,1,Male,[55:60),3516
2049.0,0,Male,[55:60),3516
2049.0,1,Male,[60:65),2756
2049.0,0,Male,[60:65),2756
2049.0,1,Male,[65:70),1683
2049.0,0,Male,[65:70),1683
2049.0,1,Male,[70:75),939
2049.0,0,Male,[70:75),939
2049.0,1,Male,[75:80),537
2049.0,0,Male,[75:80),537
2049.0,1,Female,[0:5),6033
2049.0,0,Female,[0:5),6033
2049.0,1,Female,[0:200),72968
2049.0,0,Female,[0:200),72968
2049.0,1,Female,[5:10),5902
2049.0,0,Female,[5:10),5902
2049.0,1,Female,[10:15),6182
2049.0,0,Female,[10:15),6182
2049.0,1,Female,[15:20),6022
2049.0,0,Female,[15:20),6022
2049.0,1,Female,[20:25),5954
2049.0,0,Female,[20:25),5954
2049.0,1,Female,[25:30),5741
2049.0,0,Female,[25:30),5741
2049.0,1,Female,[30:35),5577
2049.0,0,Female,[30:35),5577
2049.0,1,Female,[35:40),5285
2049.0,0,Female,[35:40),5285
2049.0,1,Female,[40:45),5021
2049.0,0,Female,[40:45),5021
2049.0,1,Female,[45:50),4360
2049.0,0,Female,[45:50),4360
2049.0,1,Female,[50:55),4336
2049.0,0,Female,[50:55),4336
2049.0,1,Female,[55:60),3978
2049.0,0,Female,[55:60),3978
2049.0,1,Female,[60:65),3194
2049.0,0,Female,[60:65),3194
2049.0,1,Female,[65:70),2102
2049.0,0,Female,[65:70),2102
2049.0,1,Female,[70:75),1354
2049.0,0,Female,[70:75),1354
2049.0,1,Female,[75:80),922
2049.0,0,Female,[75:80),922
2050.0,1,Male,[0:5),5931
2050.0,0,Male,[0:5),5931
2050.0,1,Male,[0:200),69610
2050.0,0,Male,[0:200),69610
2050.0,1,Male,[5:10),5905
2050.0,0,Male,[5:10),5905
2050.0,1,Male,[10:15),6214
2050.0,0,Male,[10:15),6214
2050.0,1,Male,[15:20),5935
2050.0,0,Male,[15:20),5935
2050.0,1,Male,[20:25),5968
2050.0,0,Male,[20:25),5968
2050.0,1,Male,[25:30),5659
2050.0,0,Male,[25:30),5659
2050.0,1,Male,[30:35),5462
2050.0,0,Male,[30:35),5462
2050.0,1,Male,[35:40),5212
2050.0,0,Male,[35:40),5212
2050.0,1,Male,[40:45),4858
2050.0,0,Male,[40:45),4858
2050.0,1,Male,[45:50),4315
2050.0,0,Male,[45:50),4315
2050.0,1,Male,[50:55),4044
2050.0,0,Male,[50:55),4044
2050.0,1,Male,[55:60),3503
2050.0,0,Male,[55:60),3503
2050.0,1,Male,[60:65),2907
2050.0,0,Male,[60:65),2907
2050.0,1,Male,[65:70),1822
2050.0,0,Male,[65:70),1822
2050.0,1,Male,[70:75),992
2050.0,0,Male,[70:75),992
2050.0,1,Male,[75:80),538
2050.0,0,Male,[75:80),538
2050.0,1,Female,[0:5),5971
2050.0,0,Female,[0:5),5971
2050.0,1,Female,[0:200),73725
2050.0,0,Female,[0:200),73725
2050.0,1,Female,[5:10),5883
2050.0,0,Female,[5:10),5883
2050.0,1,Female,[10:15),6168
2050.0,0,Female,[10:15),6168
2050.0,1,Female,[15:20),6058
2050.0,0,Female,[15:20),6058
2050.0,1,Female,[20:25),5966
2050.0,0,Female,[20:25),5966
2050.0,1,Female,[25:30),5749
2050.0,0,Female,[25:30),5749
2050.0,1,Female,[30:35),5641
2050.0,0,Female,[30:35),5641
2050.0,1,Female,[35:40),5328
2050.0,0,Female,[35:40),5328
2050.0,1,Female,[40:45),5101
2050.0,0,Female,[40:45),5101
2050.0,1,Female,[45:50),4479
2050.0,0,Female,[45:50),4479
2050.0,1,Female,[50:55),4276
2050.0,0,Female,[50:55),4276
2050.0,1,Female,[55:60),4012
2050.0,0,Female,[55:60),4012
2050.0,1,Female,[60:65),3436
2050.0,0,Female,[60:65),3436
2050.0,1,Female,[65:70),2252
2050.0,0,Female,[65:70),2252
2050.0,1,Female,[70:75),1426
2050.0,0,Female,[70:75),1426
2050.0,1,Female,[75:80),937
2050.0,0,Female,[75:80),937
2039.0,1,Male,[0:5),6220
2039.0,0,Male,[0:5),6220
2039.0,1,Male,[0:200),62115
2039.0,0,Male,[0:200),62115
2039.0,1,Male,[5:10),5846
2039.0,0,Male,[5:10),5846
2039.0,1,Male,[10:15),6145
2039.0,0,Male,[10:15),6145
2039.0,1,Male,[15:20),5811
2039.0,0,Male,[15:20),5811
2039.0,1,Male,[20:25),5532
2039.0,0,Male,[20:25),5532
2039.0,1,Male,[25:30),5263
2039.0,0,Male,[25:30),5263
2039.0,1,Male,[30:35),4980
2039.0,0,Male,[30:35),4980
2039.0,1,Male,[35:40),4552
2039.0,0,Male,[35:40),4552
2039.0,1,Male,[40:45),4321
2039.0,0,Male,[40:45),4321
2039.0,1,Male,[45:50),4005
2039.0,0,Male,[45:50),4005
2039.0,1,Male,[50:55),3434
2039.0,0,Male,[50:55),3434
2039.0,1,Male,[55:60),2336
2039.0,0,Male,[55:60),2336
2039.0,1,Male,[60:65),1550
2039.0,0,Male,[60:65),1550
2039.0,1,Male,[65:70),1070
2039.0,0,Male,[65:70),1070
2039.0,1,Male,[70:75),601
2039.0,0,Male,[70:75),601
2039.0,1,Male,[75:80),275
2039.0,0,Male,[75:80),275
2039.0,1,Female,[0:5),6135
2039.0,0,Female,[0:5),6135
2039.0,1,Female,[0:200),64511
2039.0,0,Female,[0:200),64511
2039.0,1,Female,[5:10),5980
2039.0,0,Female,[5:10),5980
2039.0,1,Female,[10:15),6135
2039.0,0,Female,[10:15),6135
2039.0,1,Female,[15:20),5892
2039.0,0,Female,[15:20),5892
2039.0,1,Female,[20:25),5666
2039.0,0,Female,[20:25),5666
2039.0,1,Female,[25:30),5251
2039.0,0,Female,[25:30),5251
2039.0,1,Female,[30:35),5100
2039.0,0,Female,[30:35),5100
2039.0,1,Female,[35:40),4465
2039.0,0,Female,[35:40),4465
2039.0,1,Female,[40:45),4467
2039.0,0,Female,[40:45),4467
2039.0,1,Female,[45:50),4227
2039.0,0,Female,[45:50),4227
2039.0,1,Female,[50:55),3571
2039.0,0,Female,[50:55),3571
2039.0,1,Female,[55:60),2415
2039.0,0,Female,[55:60),2415
2039.0,1,Female,[60:65),1681
2039.0,0,Female,[60:65),1681
2039.0,1,Female,[65:70),1293
2039.0,0,Female,[65:70),1293
2039.0,1,Female,[70:75),1081
2039.0,0,Female,[70:75),1081
2039.0,1,Female,[75:80),644
2039.0,0,Female,[75:80),644
2040.0,1,Male,[0:5),6181
2040.0,0,Male,[0:5),6181
2040.0,1,Male,[0:200),62892
2040.0,0,Male,[0:200),62892
2040.0,1,Male,[5:10),5889
2040.0,0,Male,[5:10),5889
2040.0,1,Male,[10:15),6123
2040.0,0,Male,[10:15),6123
2040.0,1,Male,[15:20),5856
2040.0,0,Male,[15:20),5856
2040.0,1,Male,[20:25),5576
2040.0,0,Male,[20:25),5576
2040.0,1,Male,[25:30),5287
2040.0,0,Male,[25:30),5287
2040.0,1,Male,[30:35),5068
2040.0,0,Male,[30:35),5068
2040.0,1,Male,[35:40),4578
2040.0,0,Male,[35:40),4578
2040.0,1,Male,[40:45),4341
2040.0,0,Male,[40:45),4341
2040.0,1,Male,[45:50),4032
2040.0,0,Male,[45:50),4032
2040.0,1,Male,[50:55),3607
2040.0,0,Male,[50:55),3607
2040.0,1,Male,[55:60),2494
2040.0,0,Male,[55:60),2494
2040.0,1,Male,[60:65),1636
2040.0,0,Male,[60:65),1636
2040.0,1,Male,[65:70),1078
2040.0,0,Male,[65:70),1078
2040.0,1,Male,[70:75),671
2040.0,0,Male,[70:75),671
2040.0,1,Male,[75:80),308
2040.0,0,Male,[75:80),308
2040.0,1,Female,[0:5),6107
2040.0,0,Female,[0:5),6107
2040.0,1,Female,[0:200),65447
2040.0,0,Female,[0:200),65447
2040.0,1,Female,[5:10),6026
2040.0,0,Female,[5:10),6026
2040.0,1,Female,[10:15),6129
2040.0,0,Female,[10:15),6129
2040.0,1,Female,[15:20),5895
2040.0,0,Female,[15:20),5895
2040.0,1,Female,[20:25),5715
2040.0,0,Female,[20:25),5715
2040.0,1,Female,[25:30),5327
2040.0,0,Female,[25:30),5327
2040.0,1,Female,[30:35),5168
2040.0,0,Female,[30:35),5168
2040.0,1,Female,[35:40),4586
2040.0,0,Female,[35:40),4586
2040.0,1,Female,[40:45),4386
2040.0,0,Female,[40:45),4386
2040.0,1,Female,[45:50),4281
2040.0,0,Female,[45:50),4281
2040.0,1,Female,[50:55),3826
2040.0,0,Female,[50:55),3826
2040.0,1,Female,[55:60),2575
2040.0,0,Female,[55:60),2575
2040.0,1,Female,[60:65),1775
2040.0,0,Female,[60:65),1775
2040.0,1,Female,[65:70),1330
2040.0,0,Female,[65:70),1330
2040.0,1,Female,[70:75),1081
2040.0,0,Female,[70:75),1081
2040.0,1,Female,[75:80),724
2040.0,0,Female,[75:80),724
2041.0,1,Male,[0:5),6189
2041.0,0,Male,[0:5),6189
2041.0,1,Male,[0:200),63631
2041.0,0,Male,[0:200),63631
2041.0,1,Male,[5:10),5950
2041.0,0,Male,[5:10),5950
2041.0,1,Male,[10:15),6019
2041.0,0,Male,[10:15),6019
2041.0,1,Male,[15:20),5951
2041.0,0,Male,[15:20),5951
2041.0,1,Male,[20:25),5561
2041.0,0,Male,[20:25),5561
2041.0,1,Male,[25:30),5354
2041.0,0,Male,[25:30),5354
2041.0,1,Male,[30:35),5150
2041.0,0,Male,[30:35),5150
2041.0,1,Male,[35:40),4628
2041.0,0,Male,[35:40),4628
2041.0,1,Male,[40:45),4349
2041.0,0,Male,[40:45),4349
2041.0,1,Male,[45:50),4105
2041.0,0,Male,[45:50),4105
2041.0,1,Male,[50:55),3699
2041.0,0,Male,[50:55),3699
2041.0,1,Male,[55:60),2626
2041.0,0,Male,[55:60),2626
2041.0,1,Male,[60:65),1738
2041.0,0,Male,[60:65),1738
2041.0,1,Male,[65:70),1128
2041.0,0,Male,[65:70),1128
2041.0,1,Male,[70:75),681
2041.0,0,Male,[70:75),681
2041.0,1,Male,[75:80),325
2041.0,0,Male,[75:80),325
2041.0,1,Female,[0:5),6090
2041.0,0,Female,[0:5),6090
2041.0,1,Female,[0:200),66345
2041.0,0,Female,[0:200),66345
2041.0,1,Female,[5:10),6016
2041.0,0,Female,[5:10),6016
2041.0,1,Female,[10:15),6120
2041.0,0,Female,[10:15),6120
2041.0,1,Female,[15:20),5912
2041.0,0,Female,[15:20),5912
2041.0,1,Female,[20:25),5822
2041.0,0,Female,[20:25),5822
2041.0,1,Female,[25:30),5373
2041.0,0,Female,[25:30),5373
2041.0,1,Female,[30:35),5228
2041.0,0,Female,[30:35),5228
2041.0,1,Female,[35:40),4697
2041.0,0,Female,[35:40),4697
2041.0,1,Female,[40:45),4352
2041.0,0,Female,[40:45),4352
2041.0,1,Female,[45:50),4268
2041.0,0,Female,[45:50),4268
2041.0,1,Female,[50:55),4017
2041.0,0,Female,[50:55),4017
2041.0,1,Female,[55:60),2774
2041.0,0,Female,[55:60),2774
2041.0,1,Female,[60:65),1899
2041.0,0,Female,[60:65),1899
2041.0,1,Female,[65:70),1367
2041.0,0,Female,[65:70),1367
2041.0,1,Female,[70:75),1095
2041.0,0,Female,[70:75),1095
2041.0,1,Female,[75:80),762
2041.0,0,Female,[75:80),762
2042.0,1,Male,[0:5),6186
2042.0,0,Male,[0:5),6186
2042.0,1,Male,[0:200),64375
2042.0,0,Male,[0:200),64375
2042.0,1,Male,[5:10),5949
2042.0,0,Male,[5:10),5949
2042.0,1,Male,[10:15),6106
2042.0,0,Male,[10:15),6106
2042.0,1,Male,[15:20),5989
2042.0,0,Male,[15:20),5989
2042.0,1,Male,[20:25),5541
2042.0,0,Male,[20:25),5541
2042.0,1,Male,[25:30),5421
2042.0,0,Male,[25:30),5421
2042.0,1,Male,[30:35),5191
2042.0,0,Male,[30:35),5191
2042.0,1,Male,[35:40),4718
2042.0,0,Male,[35:40),4718
2042.0,1,Male,[40:45),4364
2042.0,0,Male,[40:45),4364
2042.0,1,Male,[45:50),4115
2042.0,0,Male,[45:50),4115
2042.0,1,Male,[50:55),3787
2042.0,0,Male,[50:55),3787
2042.0,1,Male,[55:60),2749
2042.0,0,Male,[55:60),2749
2042.0,1,Male,[60:65),1840
2042.0,0,Male,[60:65),1840
2042.0,1,Male,[65:70),1167
2042.0,0,Male,[65:70),1167
2042.0,1,Male,[70:75),723
2042.0,0,Male,[70:75),723
2042.0,1,Male,[75:80),335
2042.0,0,Male,[75:80),335
2042.0,1,Female,[0:5),6082
2042.0,0,Female,[0:5),6082
2042.0,1,Female,[0:200),67215
2042.0,0,Female,[0:200),67215
2042.0,1,Female,[5:10),6028
2042.0,0,Female,[5:10),6028
2042.0,1,Female,[10:15),6108
2042.0,0,Female,[10:15),6108
2042.0,1,Female,[15:20),5976
2042.0,0,Female,[15:20),5976
2042.0,1,Female,[20:25),5834
2042.0,0,Female,[20:25),5834
2042.0,1,Female,[25:30),5419
2042.0,0,Female,[25:30),5419
2042.0,1,Female,[30:35),5252
2042.0,0,Female,[30:35),5252
2042.0,1,Female,[35:40),4833
2042.0,0,Female,[35:40),4833
2042.0,1,Female,[40:45),4382
2042.0,0,Female,[40:45),4382
2042.0,1,Female,[45:50),4343
2042.0,0,Female,[45:50),4343
2042.0,1,Female,[50:55),4070
2042.0,0,Female,[50:55),4070
2042.0,1,Female,[55:60),2937
2042.0,0,Female,[55:60),2937
2042.0,1,Female,[60:65),1996
2042.0,0,Female,[60:65),1996
2042.0,1,Female,[65:70),1403
2042.0,0,Female,[65:70),1403
2042.0,1,Female,[70:75),1147
2042.0,0,Female,[70:75),1147
2042.0,1,Female,[75:80),778
2042.0,0,Female,[75:80),778
2043.0,1,Male,[0:5),6154
2043.0,0,Male,[0:5),6154
2043.0,1,Male,[0:200),65118
2043.0,0,Male,[0:200),65118
2043.0,1,Male,[5:10),5964
2043.0,0,Male,[5:10),5964
2043.0,1,Male,[10:15),6077
2043.0,0,Male,[10:15),6077
2043.0,1,Male,[15:20),6040
2043.0,0,Male,[15:20),6040
2043.0,1,Male,[20:25),5599
2043.0,0,Male,[20:25),5599
2043.0,1,Male,[25:30),5495
2043.0,0,Male,[25:30),5495
2043.0,1,Male,[30:35),5185
2043.0,0,Male,[30:35),5185
2043.0,1,Male,[35:40),4811
2043.0,0,Male,[35:40),4811
2043.0,1,Male,[40:45),4347
2043.0,0,Male,[40:45),4347
2043.0,1,Male,[45:50),4142
2043.0,0,Male,[45:50),4142
2043.0,1,Male,[50:55),3862
2043.0,0,Male,[50:55),3862
2043.0,1,Male,[55:60),2967
2043.0,0,Male,[55:60),2967
2043.0,1,Male,[60:65),1917
2043.0,0,Male,[60:65),1917
2043.0,1,Male,[65:70),1219
2043.0,0,Male,[65:70),1219
2043.0,1,Male,[70:75),780
2043.0,0,Male,[70:75),780
2043.0,1,Male,[75:80),361
2043.0,0,Male,[75:80),361
2043.0,1,Female,[0:5),6016
2043.0,0,Female,[0:5),6016
2043.0,1,Female,[0:200),67993
2043.0,0,Female,[0:200),67993
2043.0,1,Female,[5:10),6007
2043.0,0,Female,[5:10),6007
2043.0,1,Female,[10:15),6148
2043.0,0,Female,[10:15),6148
2043.0,1,Female,[15:20),5964
2043.0,0,Female,[15:20),5964
2043.0,1,Female,[20:25),5890
2043.0,0,Female,[20:25),5890
2043.0,1,Female,[25:30),5481
2043.0,0,Female,[25:30),5481
2043.0,1,Female,[30:35),5286
2043.0,0,Female,[30:35),5286
2043.0,1,Female,[35:40),4910
2043.0,0,Female,[35:40),4910
2043.0,1,Female,[40:45),4412
2043.0,0,Female,[40:45),4412
2043.0,1,Female,[45:50),4347
2043.0,0,Female,[45:50),4347
2043.0,1,Female,[50:55),4184
2043.0,0,Female,[50:55),4184
2043.0,1,Female,[55:60),3124
2043.0,0,Female,[55:60),3124
2043.0,1,Female,[60:65),2143
2043.0,0,Female,[60:65),2143
2043.0,1,Female,[65:70),1469
2043.0,0,Female,[65:70),1469
2043.0,1,Female,[70:75),1129
2043.0,0,Female,[70:75),1129
2043.0,1,Female,[75:80),840
2043.0,0,Female,[75:80),840
2044.0,1,Male,[0:5),6073
2044.0,0,Male,[0:5),6073
2044.0,1,Male,[0:200),65852
2044.0,0,Male,[0:200),65852
2044.0,1,Male,[5:10),6073
2044.0,0,Male,[5:10),6073
2044.0,1,Male,[10:15),6018
2044.0,0,Male,[10:15),6018
2044.0,1,Male,[15:20),6018
2044.0,0,Male,[15:20),6018
2044.0,1,Male,[20:25),5762
2044.0,0,Male,[20:25),5762
2044.0,1,Male,[25:30),5380
2044.0,0,Male,[25:30),5380
2044.0,1,Male,[30:35),5293
2044.0,0,Male,[30:35),5293
2044.0,1,Male,[35:40),4888
2044.0,0,Male,[35:40),4888
2044.0,1,Male,[40:45),4447
2044.0,0,Male,[40:45),4447
2044.0,1,Male,[45:50),4147
2044.0,0,Male,[45:50),4147
2044.0,1,Male,[50:55),3904
2044.0,0,Male,[50:55),3904
2044.0,1,Male,[55:60),3114
2044.0,0,Male,[55:60),3114
2044.0,1,Male,[60:65),2056
2044.0,0,Male,[60:65),2056
2044.0,1,Male,[65:70),1263
2044.0,0,Male,[65:70),1263
2044.0,1,Male,[70:75),811
2044.0,0,Male,[70:75),811
2044.0,1,Male,[75:80),398
2044.0,0,Male,[75:80),398
2044.0,1,Female,[0:5),6020
2044.0,0,Female,[0:5),6020
2044.0,1,Female,[0:200),68868
2044.0,0,Female,[0:200),68868
2044.0,1,Female,[5:10),6011
2044.0,0,Female,[5:10),6011
2044.0,1,Female,[10:15),6169
2044.0,0,Female,[10:15),6169
2044.0,1,Female,[15:20),5983
2044.0,0,Female,[15:20),5983
2044.0,1,Female,[20:25),5872
2044.0,0,Female,[20:25),5872
2044.0,1,Female,[25:30),5527
2044.0,0,Female,[25:30),5527
2044.0,1,Female,[30:35),5322
2044.0,0,Female,[30:35),5322
2044.0,1,Female,[35:40),5061
2044.0,0,Female,[35:40),5061
