Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6048
2048.0,0,Male,[0:5),6048
2048.0,1,Male,[0:200),68927
2048.0,0,Male,[0:200),68927
2048.0,1,Male,[5:10),6030
2048.0,0,Male,[5:10),6030
2048.0,1,Male,[10:15),6198
2048.0,0,Male,[10:15),6198
2048.0,1,Male,[15:20),5987
2048.0,0,Male,[15:20),5987
2048.0,1,Male,[20:25),5994
2048.0,0,Male,[20:25),5994
2048.0,1,Male,[25:30),5711
2048.0,0,Male,[25:30),5711
2048.0,1,Male,[30:35),5565
2048.0,0,Male,[30:35),5565
2048.0,1,Male,[35:40),5048
2048.0,0,Male,[35:40),5048
2048.0,1,Male,[40:45),4755
2048.0,0,Male,[40:45),4755
2048.0,1,Male,[45:50),4351
2048.0,0,Male,[45:50),4351
2048.0,1,Male,[50:55),3963
2048.0,0,Male,[50:55),3963
2048.0,1,Male,[55:60),3522
2048.0,0,Male,[55:60),3522
2048.0,1,Male,[60:65),2547
2048.0,0,Male,[60:65),2547
2048.0,1,Male,[65:70),1563
2048.0,0,Male,[65:70),1563
2048.0,1,Male,[70:75),895
2048.0,0,Male,[70:75),895
2048.0,1,Male,[75:80),454
2048.0,0,Male,[75:80),454
2048.0,1,Female,[0:5),6000
2048.0,0,Female,[0:5),6000
2048.0,1,Female,[0:200),73017
2048.0,0,Female,[0:200),73017
2048.0,1,Female,[5:10),6003
2048.0,0,Female,[5:10),6003
2048.0,1,Female,[10:15),6309
2048.0,0,Female,[10:15),6309
2048.0,1,Female,[15:20),6133
2048.0,0,Female,[15:20),6133
2048.0,1,Female,[20:25),6077
2048.0,0,Female,[20:25),6077
2048.0,1,Female,[25:30),5781
2048.0,0,Female,[25:30),5781
2048.0,1,Female,[30:35),5507
2048.0,0,Female,[30:35),5507
2048.0,1,Female,[35:40),5296
2048.0,0,Female,[35:40),5296
2048.0,1,Female,[40:45),4916
2048.0,0,Female,[40:45),4916
2048.0,1,Female,[45:50),4523
2048.0,0,Female,[45:50),4523
2048.0,1,Female,[50:55),4361
2048.0,0,Female,[50:55),4361
2048.0,1,Female,[55:60),3876
2048.0,0,Female,[55:60),3876
2048.0,1,Female,[60:65),3022
2048.0,0,Female,[60:65),3022
2048.0,1,Female,[65:70),2017
2048.0,0,Female,[65:70),2017
2048.0,1,Female,[70:75),1305
2048.0,0,Female,[70:75),1305
2048.0,1,Female,[75:80),958
2048.0,0,Female,[75:80),958
2049.0,1,Male,[0:5),6109
2049.0,0,Male,[0:5),6109
2049.0,1,Male,[0:200),69589
2049.0,0,Male,[0:200),69589
2049.0,1,Male,[5:10),5944
2049.0,0,Male,[5:10),5944
2049.0,1,Male,[10:15),6161
2049.0,0,Male,[10:15),6161
2049.0,1,Male,[15:20),6071
2049.0,0,Male,[15:20),6071
2049.0,1,Male,[20:25),5992
