Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6203
2048.0,0,Male,[0:5),6203
2048.0,1,Male,[0:200),69464
2048.0,0,Male,[0:200),69464
2048.0,1,Male,[5:10),5990
2048.0,0,Male,[5:10),5990
2048.0,1,Male,[10:15),6315
2048.0,0,Male,[10:15),6315
2048.0,1,Male,[15:20),6094
2048.0,0,Male,[15:20),6094
2048.0,1,Male,[20:25),6017
2048.0,0,Male,[20:25),6017
2048.0,1,Male,[25:30),5834
2048.0,0,Male,[25:30),5834
2048.0,1,Male,[30:35),5589
2048.0,0,Male,[30:35),5589
2048.0,1,Male,[35:40),5294
2048.0,0,Male,[35:40),5294
2048.0,1,Male,[40:45),4665
2048.0,0,Male,[40:45),4665
2048.0,1,Male,[45:50),4244
2048.0,0,Male,[45:50),4244
2048.0,1,Male,[50:55),3984
2048.0,0,Male,[50:55),3984
2048.0,1,Male,[55:60),3286
2048.0,0,Male,[55:60),3286
2048.0,1,Male,[60:65),2601
2048.0,0,Male,[60:65),2601
2048.0,1,Male,[65:70),1640
2048.0,0,Male,[65:70),1640
2048.0,1,Male,[70:75),914
2048.0,0,Male,[70:75),914
2048.0,1,Male,[75:80),497
2048.0,0,Male,[75:80),497
2048.0,1,Female,[0:5),6244
2048.0,0,Female,[0:5),6244
2048.0,1,Female,[0:200),74466
2048.0,0,Female,[0:200),74466
2048.0,1,Female,[5:10),6137
2048.0,0,Female,[5:10),6137
2048.0,1,Female,[10:15),6404
2048.0,0,Female,[10:15),6404
2048.0,1,Female,[15:20),6188
2048.0,0,Female,[15:20),6188
2048.0,1,Female,[20:25),6206
2048.0,0,Female,[20:25),6206
2048.0,1,Female,[25:30),5830
2048.0,0,Female,[25:30),5830
2048.0,1,Female,[30:35),5794
2048.0,0,Female,[30:35),5794
2048.0,1,Female,[35:40),5354
2048.0,0,Female,[35:40),5354
2048.0,1,Female,[40:45),5004
2048.0,0,Female,[40:45),5004
2048.0,1,Female,[45:50),4588
2048.0,0,Female,[45:50),4588
2048.0,1,Female,[50:55),4498
2048.0,0,Female,[50:55),4498
2048.0,1,Female,[55:60),3863
2048.0,0,Female,[55:60),3863
2048.0,1,Female,[60:65),3043
2048.0,0,Female,[60:65),3043
2048.0,1,Female,[65:70),2018
2048.0,0,Female,[65:70),2018
2048.0,1,Female,[70:75),1388
2048.0,0,Female,[70:75),1388
2048.0,1,Female,[75:80),961
2048.0,0,Female,[75:80),961
2049.0,1,Male,[0:5),6236
2049.0,0,Male,[0:5),6236
2049.0,1,Male,[0:200),70171
2049.0,0,Male,[0:200),70171
2049.0,1,Male,[5:10),5979
2049.0,0,Male,[5:10),5979
2049.0,1,Male,[10:15),6331
2049.0,0,Male,[10:15),6331
2049.0,1,Male,[15:20),6090
2049.0,0,Male,[15:20),6090
2049.0,1,Male,[20:25),6004
2049.0,0,Male,[20:25),6004
2049.0,1,Male,[25:30),5897
2049.0,0,Male,[25:30),5897
2049.0,1,Male,[30:35),5595
2049.0,0,Male,[30:35),5595
2049.0,1,Male,[35:40),5357
2049.0,0,Male,[35:40),5357
2049.0,1,Male,[40:45),4812
2049.0,0,Male,[40:45),4812
2049.0,1,Male,[45:50),4246
2049.0,0,Male,[45:50),4246
2049.0,1,Male,[50:55),4016
2049.0,0,Male,[50:55),4016
2049.0,1,Male,[55:60),3405
2049.0,0,Male,[55:60),3405
2049.0,1,Male,[60:65),2638
2049.0,0,Male,[60:65),2638
2049.0,1,Male,[65:70),1758
2049.0,0,Male,[65:70),1758
2049.0,1,Male,[70:75),963
2049.0,0,Male,[70:75),963
2049.0,1,Male,[75:80),521
2049.0,0,Male,[75:80),521
2049.0,1,Female,[0:5),6334
2049.0,0,Female,[0:5),6334
2049.0,1,Female,[0:200),75328
2049.0,0,Female,[0:200),75328
2049.0,1,Female,[5:10),6050
2049.0,0,Female,[5:10),6050
2049.0,1,Female,[10:15),6407
2049.0,0,Female,[10:15),6407
2049.0,1,Female,[15:20),6193
2049.0,0,Female,[15:20),6193
2049.0,1,Female,[20:25),6244
2049.0,0,Female,[20:25),6244
2049.0,1,Female,[25:30),5900
2049.0,0,Female,[25:30),5900
2049.0,1,Female,[30:35),5781
2049.0,0,Female,[30:35),5781
2049.0,1,Female,[35:40),5492
2049.0,0,Female,[35:40),5492
2049.0,1,Female,[40:45),5049
2049.0,0,Female,[40:45),5049
2049.0,1,Female,[45:50),4642
2049.0,0,Female,[45:50),4642
2049.0,1,Female,[50:55),4527
2049.0,0,Female,[50:55),4527
2049.0,1,Female,[55:60),3901
2049.0,0,Female,[55:60),3901
2049.0,1,Female,[60:65),3272
2049.0,0,Female,[60:65),3272
2049.0,1,Female,[65:70),2122
2049.0,0,Female,[65:70),2122
2049.0,1,Female,[70:75),1424
2049.0,0,Female,[70:75),1424
2049.0,1,Female,[75:80),992
2049.0,0,Female,[75:80),992
2050.0,1,Male,[0:5),6213
2050.0,0,Male,[0:5),6213
2050.0,1,Male,[0:200),70814
2050.0,0,Male,[0:200),70814
2050.0,1,Male,[5:10),5974
2050.0,0,Male,[5:10),5974
2050.0,1,Male,[10:15),6286
2050.0,0,Male,[10:15),6286
2050.0,1,Male,[15:20),6143
2050.0,0,Male,[15:20),6143
2050.0,1,Male,[20:25),6016
2050.0,0,Male,[20:25),6016
2050.0,1,Male,[25:30),5868
2050.0,0,Male,[25:30),5868
2050.0,1,Male,[30:35),5685
2050.0,0,Male,[30:35),5685
2050.0,1,Male,[35:40),5390
2050.0,0,Male,[35:40),5390
2050.0,1,Male,[40:45),4869
2050.0,0,Male,[40:45),4869
2050.0,1,Male,[45:50),4367
2050.0,0,Male,[45:50),4367
2050.0,1,Male,[50:55),3980
2050.0,0,Male,[50:55),3980
2050.0,1,Male,[55:60),3511
2050.0,0,Male,[55:60),3511
2050.0,1,Male,[60:65),2722
2050.0,0,Male,[60:65),2722
2050.0,1,Male,[65:70),1901
2050.0,0,Male,[65:70),1901
2050.0,1,Male,[70:75),998
2050.0,0,Male,[70:75),998
2050.0,1,Male,[75:80),543
2050.0,0,Male,[75:80),543
