Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[15:20),0.0034460124712832295
2048.0,0,Male,[15:20),0.0034460124712832295
2048.0,1,Male,[20:25),0.017616752534485625
2048.0,0,Male,[20:25),0.017616752534485625
2048.0,1,Male,[25:30),0.04713747000342818
2048.0,0,Male,[25:30),0.04713747000342818
2048.0,1,Male,[30:35),0.08641975308641975
2048.0,0,Male,[30:35),0.08641975308641975
2048.0,1,Male,[35:40),0.13486966377030601
2048.0,0,Male,[35:40),0.13486966377030601
2048.0,1,Male,[40:45),0.16441586280814577
2048.0,0,Male,[40:45),0.16441586280814577
2048.0,1,Male,[45:50),0.25023562676720074
2048.0,0,Male,[45:50),0.25023562676720074
2048.0,1,Male,[50:55),0.34362449799196787
2048.0,0,Male,[50:55),0.34362449799196787
2048.0,1,Male,[55:60),0.44004869141813757
2048.0,0,Male,[55:60),0.44004869141813757
2048.0,1,Male,[60:65),0.5371011149557863
2048.0,0,Male,[60:65),0.5371011149557863
2048.0,1,Male,[65:200),0.6185782556750299
2048.0,0,Male,[65:200),0.6185782556750299
2048.0,1,Female,[15:20),0.026018099547511313
2048.0,0,Female,[15:20),0.026018099547511313
2048.0,1,Female,[20:25),0.09200773445053174
2048.0,0,Female,[20:25),0.09200773445053174
2048.0,1,Female,[25:30),0.15334476843910805
2048.0,0,Female,[25:30),0.15334476843910805
2048.0,1,Female,[30:35),0.2031411805315844
2048.0,0,Female,[30:35),0.2031411805315844
2048.0,1,Female,[35:40),0.26242062009712364
2048.0,0,Female,[35:40),0.26242062009712364
2048.0,1,Female,[40:45),0.33313349320543567
2048.0,0,Female,[40:45),0.33313349320543567
2048.0,1,Female,[45:50),0.41390584132519614
2048.0,0,Female,[45:50),0.41390584132519614
2048.0,1,Female,[50:55),0.5002223210315696
2048.0,0,Female,[50:55),0.5002223210315696
2048.0,1,Female,[55:60),0.5933212529122444
2048.0,0,Female,[55:60),0.5933212529122444
2048.0,1,Female,[60:65),0.6726914229378902
2048.0,0,Female,[60:65),0.6726914229378902
2048.0,1,Female,[65:200),0.611518915866742
2048.0,0,Female,[65:200),0.611518915866742
2049.0,1,Male,[15:20),0.003284072249589491
2049.0,0,Male,[15:20),0.003284072249589491
2049.0,1,Male,[20:25),0.014656895403064623
2049.0,0,Male,[20:25),0.014656895403064623
2049.0,1,Male,[25:30),0.045446837374936405
2049.0,0,Male,[25:30),0.045446837374936405
2049.0,1,Male,[30:35),0.08203753351206435
2049.0,0,Male,[30:35),0.08203753351206435
2049.0,1,Male,[35:40),0.13160350942691806
2049.0,0,Male,[35:40),0.13160350942691806
2049.0,1,Male,[40:45),0.16230257689110558
2049.0,0,Male,[40:45),0.16230257689110558
2049.0,1,Male,[45:50),0.23834196891191708
2049.0,0,Male,[45:50),0.23834196891191708
2049.0,1,Male,[50:55),0.32943227091633465
2049.0,0,Male,[50:55),0.32943227091633465
2049.0,1,Male,[55:60),0.42672540381791485
2049.0,0,Male,[55:60),0.42672540381791485
2049.0,1,Male,[60:65),0.5288097043214557
2049.0,0,Male,[60:65),0.5288097043214557
2049.0,1,Male,[65:200),0.6185133239831697
2049.0,0,Male,[65:200),0.6185133239831697
2049.0,1,Female,[15:20),0.02486678507992895
2049.0,0,Female,[15:20),0.02486678507992895
2049.0,1,Female,[20:25),0.0877642536835362
2049.0,0,Female,[20:25),0.0877642536835362
2049.0,1,Female,[25:30),0.15220338983050846
2049.0,0,Female,[25:30),0.15220338983050846
2049.0,1,Female,[30:35),0.20238713025428126
2049.0,0,Female,[30:35),0.20238713025428126
2049.0,1,Female,[35:40),0.24927166788055352
2049.0,0,Female,[35:40),0.24927166788055352
2049.0,1,Female,[40:45),0.331352743117449
2049.0,0,Female,[40:45),0.331352743117449
2049.0,1,Female,[45:50),0.3929340801378716
2049.0,0,Female,[45:50),0.3929340801378716
2049.0,1,Female,[50:55),0.4985641705323614
2049.0,0,Female,[50:55),0.4985641705323614
2049.0,1,Female,[55:60),0.5788259420661369
2049.0,0,Female,[55:60),0.5788259420661369
2049.0,1,Female,[60:65),0.6583129584352079
2049.0,0,Female,[60:65),0.6583129584352079
2049.0,1,Female,[65:200),0.6246387283236994
2049.0,0,Female,[65:200),0.6246387283236994
2050.0,1,Male,[15:20),0.003255738238645613
2050.0,0,Male,[15:20),0.003255738238645613
2050.0,1,Male,[20:25),0.014461436170212765
2050.0,0,Male,[20:25),0.014461436170212765
2050.0,1,Male,[25:30),0.041751874573960464
2050.0,0,Male,[25:30),0.041751874573960464
2050.0,1,Male,[30:35),0.08179419525065963
2050.0,0,Male,[30:35),0.08179419525065963
2050.0,1,Male,[35:40),0.13172541743970315
2050.0,0,Male,[35:40),0.13172541743970315
2050.0,1,Male,[40:45),0.16594783323064285
2050.0,0,Male,[40:45),0.16594783323064285
2050.0,1,Male,[45:50),0.21914357682619648
2050.0,0,Male,[45:50),0.21914357682619648
2050.0,1,Male,[50:55),0.3160804020100503
2050.0,0,Male,[50:55),0.3160804020100503
2050.0,1,Male,[55:60),0.41754485901452576
2050.0,0,Male,[55:60),0.41754485901452576
2050.0,1,Male,[60:65),0.5187362233651727
2050.0,0,Male,[60:65),0.5187362233651727
2050.0,1,Male,[65:200),0.6197889182058047
2050.0,0,Male,[65:200),0.6197889182058047
2050.0,1,Female,[15:20),0.026256804354787062
2050.0,0,Female,[15:20),0.026256804354787062
2050.0,1,Female,[20:25),0.0868297424266969
2050.0,0,Female,[20:25),0.0868297424266969
2050.0,1,Female,[25:30),0.14895763281775387
2050.0,0,Female,[25:30),0.14895763281775387
2050.0,1,Female,[30:35),0.2019099590723056
2050.0,0,Female,[30:35),0.2019099590723056
2050.0,1,Female,[35:40),0.24622932945666
2050.0,0,Female,[35:40),0.24622932945666
2050.0,1,Female,[40:45),0.3153486560186989
2050.0,0,Female,[40:45),0.3153486560186989
2050.0,1,Female,[45:50),0.3853347502656748
2050.0,0,Female,[45:50),0.3853347502656748
2050.0,1,Female,[50:55),0.4872077635641817
2050.0,0,Female,[50:55),0.4872077635641817
2050.0,1,Female,[55:60),0.5620437956204379
2050.0,0,Female,[55:60),0.5620437956204379
2050.0,1,Female,[60:65),0.647178002894356
2050.0,0,Female,[60:65),0.647178002894356
2050.0,1,Female,[65:200),0.6337448559670782
2050.0,0,Female,[65:200),0.6337448559670782
2011.5,1,Male,[15:20),0.017006802721088437
2011.5,0,Male,[15:20),0.017006802721088437
2011.5,1,Male,[20:25),0.08354968137833373
2011.5,0,Male,[20:25),0.08354968137833373
2011.5,1,Male,[25:30),0.2229748035762666
2011.5,0,Male,[25:30),0.2229748035762666
2011.5,1,Male,[30:35),0.3518324607329843
2011.5,0,Male,[30:35),0.3518324607329843
