Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[15:20),0.0039324922169424875
2048.0,0,Male,[15:20),0.0039324922169424875
2048.0,1,Male,[20:25),0.017736486486486486
2048.0,0,Male,[20:25),0.017736486486486486
2048.0,1,Male,[25:30),0.04965662968832541
2048.0,0,Male,[25:30),0.04965662968832541
2048.0,1,Male,[30:35),0.08316614991792814
2048.0,0,Male,[30:35),0.08316614991792814
2048.0,1,Male,[35:40),0.1332542506919731
2048.0,0,Male,[35:40),0.1332542506919731
2048.0,1,Male,[40:45),0.1851528384279476
2048.0,0,Male,[40:45),0.1851528384279476
2048.0,1,Male,[45:50),0.2459136374725543
2048.0,0,Male,[45:50),0.2459136374725543
2048.0,1,Male,[50:55),0.33636363636363636
2048.0,0,Male,[50:55),0.33636363636363636
2048.0,1,Male,[55:60),0.43089190785587717
2048.0,0,Male,[55:60),0.43089190785587717
2048.0,1,Male,[60:65),0.5446215139442231
2048.0,0,Male,[60:65),0.5446215139442231
2048.0,1,Male,[65:200),0.6103735720901513
2048.0,0,Male,[65:200),0.6103735720901513
2048.0,1,Female,[15:20),0.029231024746719812
2048.0,0,Female,[15:20),0.029231024746719812
2048.0,1,Female,[20:25),0.09364435429344152
2048.0,0,Female,[20:25),0.09364435429344152
2048.0,1,Female,[25:30),0.1537300922045264
2048.0,0,Female,[25:30),0.1537300922045264
2048.0,1,Female,[30:35),0.21057284299858559
2048.0,0,Female,[30:35),0.21057284299858559
2048.0,1,Female,[35:40),0.280794701986755
2048.0,0,Female,[35:40),0.280794701986755
2048.0,1,Female,[40:45),0.3351851851851852
2048.0,0,Female,[40:45),0.3351851851851852
2048.0,1,Female,[45:50),0.4023342876018498
2048.0,0,Female,[45:50),0.4023342876018498
2048.0,1,Female,[50:55),0.46649484536082475
2048.0,0,Female,[50:55),0.46649484536082475
2048.0,1,Female,[55:60),0.5485017775520569
2048.0,0,Female,[55:60),0.5485017775520569
2048.0,1,Female,[60:65),0.643492586490939
2048.0,0,Female,[60:65),0.643492586490939
2048.0,1,Female,[65:200),0.6171539961013646
2048.0,0,Female,[65:200),0.6171539961013646
2049.0,1,Male,[15:20),0.005496335776149234
2049.0,0,Male,[15:20),0.005496335776149234
2049.0,1,Male,[20:25),0.01591556374602111
2049.0,0,Male,[20:25),0.01591556374602111
2049.0,1,Male,[25:30),0.0483083362399721
2049.0,0,Male,[25:30),0.0483083362399721
2049.0,1,Male,[30:35),0.08125795309943647
2049.0,0,Male,[30:35),0.08125795309943647
2049.0,1,Male,[35:40),0.1286993769470405
2049.0,0,Male,[35:40),0.1286993769470405
2049.0,1,Male,[40:45),0.18226495726495726
2049.0,0,Male,[40:45),0.18226495726495726
2049.0,1,Male,[45:50),0.24161877394636017
2049.0,0,Male,[45:50),0.24161877394636017
2049.0,1,Male,[50:55),0.3214649033570702
2049.0,0,Male,[50:55),0.3214649033570702
2049.0,1,Male,[55:60),0.4212815308785155
2049.0,0,Male,[55:60),0.4212815308785155
2049.0,1,Male,[60:65),0.525314046440807
2049.0,0,Male,[60:65),0.525314046440807
2049.0,1,Male,[65:200),0.6173529411764705
2049.0,0,Male,[65:200),0.6173529411764705
2049.0,1,Female,[15:20),0.028576148001321442
2049.0,0,Female,[15:20),0.028576148001321442
2049.0,1,Female,[20:25),0.09443879281112241
2049.0,0,Female,[20:25),0.09443879281112241
2049.0,1,Female,[25:30),0.14857815917886588
2049.0,0,Female,[25:30),0.14857815917886588
2049.0,1,Female,[30:35),0.21203190013869624
2049.0,0,Female,[30:35),0.21203190013869624
2049.0,1,Female,[35:40),0.2664783427495292
2049.0,0,Female,[35:40),0.2664783427495292
2049.0,1,Female,[40:45),0.3367635189669088
2049.0,0,Female,[40:45),0.3367635189669088
2049.0,1,Female,[45:50),0.3905286343612335
2049.0,0,Female,[45:50),0.3905286343612335
2049.0,1,Female,[50:55),0.4567929759704251
2049.0,0,Female,[50:55),0.4567929759704251
2049.0,1,Female,[55:60),0.5360979265550837
2049.0,0,Female,[55:60),0.5360979265550837
2049.0,1,Female,[60:65),0.6214374225526642
2049.0,0,Female,[60:65),0.6214374225526642
2049.0,1,Female,[65:200),0.6314328026656794
2049.0,0,Female,[65:200),0.6314328026656794
2050.0,1,Male,[15:20),0.003848728246318608
2050.0,0,Male,[15:20),0.003848728246318608
2050.0,1,Male,[20:25),0.015286410213337813
2050.0,0,Male,[20:25),0.015286410213337813
2050.0,1,Male,[25:30),0.04524807826694619
2050.0,0,Male,[25:30),0.04524807826694619
2050.0,1,Male,[30:35),0.07958784864096642
2050.0,0,Male,[30:35),0.07958784864096642
2050.0,1,Male,[35:40),0.12396215485614984
2050.0,0,Male,[35:40),0.12396215485614984
2050.0,1,Male,[40:45),0.18320926385442515
2050.0,0,Male,[40:45),0.18320926385442515
2050.0,1,Male,[45:50),0.22642874367012297
2050.0,0,Male,[45:50),0.22642874367012297
2050.0,1,Male,[50:55),0.3139208173690932
2050.0,0,Male,[50:55),0.3139208173690932
2050.0,1,Male,[55:60),0.4102346621430591
2050.0,0,Male,[55:60),0.4102346621430591
2050.0,1,Male,[60:65),0.5098039215686274
2050.0,0,Male,[60:65),0.5098039215686274
2050.0,1,Male,[65:200),0.6158285243198681
2050.0,0,Male,[65:200),0.6158285243198681
2050.0,1,Female,[15:20),0.028637261356155366
2050.0,0,Female,[15:20),0.028637261356155366
2050.0,1,Female,[20:25),0.0871559633027523
2050.0,0,Female,[20:25),0.0871559633027523
2050.0,1,Female,[25:30),0.14844941535332995
2050.0,0,Female,[25:30),0.14844941535332995
2050.0,1,Female,[30:35),0.20812009553053565
2050.0,0,Female,[30:35),0.20812009553053565
2050.0,1,Female,[35:40),0.25926615757124233
2050.0,0,Female,[35:40),0.25926615757124233
2050.0,1,Female,[40:45),0.32485988791032827
2050.0,0,Female,[40:45),0.32485988791032827
2050.0,1,Female,[45:50),0.38397910317805833
2050.0,0,Female,[45:50),0.38397910317805833
2050.0,1,Female,[50:55),0.4450787851107559
2050.0,0,Female,[50:55),0.4450787851107559
2050.0,1,Female,[55:60),0.525049115913556
2050.0,0,Female,[55:60),0.525049115913556
2050.0,1,Female,[60:65),0.61094761624485
2050.0,0,Female,[60:65),0.61094761624485
2050.0,1,Female,[65:200),0.6411795867914533
2050.0,0,Female,[65:200),0.6411795867914533
2011.5,1,Male,[15:20),0.01725644386194845
2011.5,0,Male,[15:20),0.01725644386194845
