Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6220
2048.0,0,Male,[0:5),6220
2048.0,1,Male,[0:200),69255
2048.0,0,Male,[0:200),69255
2048.0,1,Male,[5:10),6028
2048.0,0,Male,[5:10),6028
2048.0,1,Male,[10:15),6195
2048.0,0,Male,[10:15),6195
2048.0,1,Male,[15:20),6084
2048.0,0,Male,[15:20),6084
2048.0,1,Male,[20:25),6026
2048.0,0,Male,[20:25),6026
2048.0,1,Male,[25:30),5682
2048.0,0,Male,[25:30),5682
2048.0,1,Male,[30:35),5478
2048.0,0,Male,[30:35),5478
2048.0,1,Male,[35:40),5160
2048.0,0,Male,[35:40),5160
2048.0,1,Male,[40:45),4793
2048.0,0,Male,[40:45),4793
2048.0,1,Male,[45:50),4212
2048.0,0,Male,[45:50),4212
2048.0,1,Male,[50:55),4002
2048.0,0,Male,[50:55),4002
2048.0,1,Male,[55:60),3492
2048.0,0,Male,[55:60),3492
2048.0,1,Male,[60:65),2598
2048.0,0,Male,[60:65),2598
2048.0,1,Male,[65:70),1641
2048.0,0,Male,[65:70),1641
2048.0,1,Male,[70:75),878
2048.0,0,Male,[70:75),878
2048.0,1,Male,[75:80),488
2048.0,0,Male,[75:80),488
2048.0,1,Female,[0:5),6297
2048.0,0,Female,[0:5),6297
2048.0,1,Female,[0:200),74600
2048.0,0,Female,[0:200),74600
2048.0,1,Female,[5:10),6217
2048.0,0,Female,[5:10),6217
2048.0,1,Female,[10:15),6319
2048.0,0,Female,[10:15),6319
2048.0,1,Female,[15:20),6179
2048.0,0,Female,[15:20),6179
2048.0,1,Female,[20:25),5944
2048.0,0,Female,[20:25),5944
2048.0,1,Female,[25:30),5951
2048.0,0,Female,[25:30),5951
2048.0,1,Female,[30:35),5808
2048.0,0,Female,[30:35),5808
2048.0,1,Female,[35:40),5515
2048.0,0,Female,[35:40),5515
2048.0,1,Female,[40:45),5060
2048.0,0,Female,[40:45),5060
2048.0,1,Female,[45:50),4582
2048.0,0,Female,[45:50),4582
2048.0,1,Female,[50:55),4338
2048.0,0,Female,[50:55),4338
2048.0,1,Female,[55:60),3989
2048.0,0,Female,[55:60),3989
2048.0,1,Female,[60:65),3109
2048.0,0,Female,[60:65),3109
2048.0,1,Female,[65:70),2089
2048.0,0,Female,[65:70),2089
2048.0,1,Female,[70:75),1333
2048.0,0,Female,[70:75),1333
2048.0,1,Female,[75:80),938
2048.0,0,Female,[75:80),938
2049.0,1,Male,[0:5),6163
2049.0,0,Male,[0:5),6163
2049.0,1,Male,[0:200),69955
2049.0,0,Male,[0:200),69955
2049.0,1,Male,[5:10),6077
2049.0,0,Male,[5:10),6077
2049.0,1,Male,[10:15),6203
2049.0,0,Male,[10:15),6203
2049.0,1,Male,[15:20),6091
2049.0,0,Male,[15:20),6091
2049.0,1,Male,[20:25),6063
2049.0,0,Male,[20:25),6063
2049.0,1,Male,[25:30),5626
2049.0,0,Male,[25:30),5626
2049.0,1,Male,[30:35),5606
2049.0,0,Male,[30:35),5606
2049.0,1,Male,[35:40),5207
2049.0,0,Male,[35:40),5207
2049.0,1,Male,[40:45),4892
2049.0,0,Male,[40:45),4892
2049.0,1,Male,[45:50),4252
2049.0,0,Male,[45:50),4252
2049.0,1,Male,[50:55),4060
2049.0,0,Male,[50:55),4060
2049.0,1,Male,[55:60),3513
2049.0,0,Male,[55:60),3513
2049.0,1,Male,[60:65),2723
2049.0,0,Male,[60:65),2723
2049.0,1,Male,[65:70),1745
2049.0,0,Male,[65:70),1745
2049.0,1,Male,[70:75),925
2049.0,0,Male,[70:75),925
2049.0,1,Male,[75:80),511
2049.0,0,Male,[75:80),511
2049.0,1,Female,[0:5),6280
2049.0,0,Female,[0:5),6280
2049.0,1,Female,[0:200),75405
2049.0,0,Female,[0:200),75405
2049.0,1,Female,[5:10),6163
2049.0,0,Female,[5:10),6163
2049.0,1,Female,[10:15),6414
2049.0,0,Female,[10:15),6414
2049.0,1,Female,[15:20),6188
2049.0,0,Female,[15:20),6188
2049.0,1,Female,[20:25),5970
2049.0,0,Female,[20:25),5970
2049.0,1,Female,[25:30),5942
2049.0,0,Female,[25:30),5942
2049.0,1,Female,[30:35),5784
2049.0,0,Female,[30:35),5784
2049.0,1,Female,[35:40),5623
2049.0,0,Female,[35:40),5623
2049.0,1,Female,[40:45),5149
2049.0,0,Female,[40:45),5149
2049.0,1,Female,[45:50),4641
2049.0,0,Female,[45:50),4641
2049.0,1,Female,[50:55),4346
2049.0,0,Female,[50:55),4346
2049.0,1,Female,[55:60),4029
2049.0,0,Female,[55:60),4029
2049.0,1,Female,[60:65),3290
2049.0,0,Female,[60:65),3290
2049.0,1,Female,[65:70),2269
2049.0,0,Female,[65:70),2269
2049.0,1,Female,[70:75),1375
2049.0,0,Female,[70:75),1375
2049.0,1,Female,[75:80),977
2049.0,0,Female,[75:80),977
2050.0,1,Male,[0:5),6090
2050.0,0,Male,[0:5),6090
2050.0,1,Male,[0:200),70557
2050.0,0,Male,[0:200),70557
2050.0,1,Male,[5:10),6095
2050.0,0,Male,[5:10),6095
2050.0,1,Male,[10:15),6189
2050.0,0,Male,[10:15),6189
2050.0,1,Male,[15:20),6100
2050.0,0,Male,[15:20),6100
2050.0,1,Male,[20:25),6077
2050.0,0,Male,[20:25),6077
2050.0,1,Male,[25:30),5644
2050.0,0,Male,[25:30),5644
2050.0,1,Male,[30:35),5662
2050.0,0,Male,[30:35),5662
2050.0,1,Male,[35:40),5289
2050.0,0,Male,[35:40),5289
2050.0,1,Male,[40:45),4875
2050.0,0,Male,[40:45),4875
2050.0,1,Male,[45:50),4406
2050.0,0,Male,[45:50),4406
2050.0,1,Male,[50:55),4045
2050.0,0,Male,[50:55),4045
2050.0,1,Male,[55:60),3512
2050.0,0,Male,[55:60),3512
2050.0,1,Male,[60:65),2895
2050.0,0,Male,[60:65),2895
2050.0,1,Male,[65:70),1844
2050.0,0,Male,[65:70),1844
2050.0,1,Male,[70:75),1005
2050.0,0,Male,[70:75),1005
2050.0,1,Male,[75:80),508
2050.0,0,Male,[75:80),508
2050.0,1,Female,[0:5),6245
2050.0,0,Female,[0:5),6245
2050.0,1,Female,[0:200),76164
2050.0,0,Female,[0:200),76164
2050.0,1,Female,[5:10),6136
2050.0,0,Female,[5:10),6136
2050.0,1,Female,[10:15),6402
2050.0,0,Female,[10:15),6402
2050.0,1,Female,[15:20),6186
2050.0,0,Female,[15:20),6186
2050.0,1,Female,[20:25),6082
2050.0,0,Female,[20:25),6082
2050.0,1,Female,[25:30),5883
2050.0,0,Female,[25:30),5883
2050.0,1,Female,[30:35),5810
2050.0,0,Female,[30:35),5810
2050.0,1,Female,[35:40),5667
2050.0,0,Female,[35:40),5667
2050.0,1,Female,[40:45),5271
2050.0,0,Female,[40:45),5271
2050.0,1,Female,[45:50),4704
2050.0,0,Female,[45:50),4704
2050.0,1,Female,[50:55),4375
2050.0,0,Female,[50:55),4375
2050.0,1,Female,[55:60),4099
2050.0,0,Female,[55:60),4099
2050.0,1,Female,[60:65),3405
2050.0,0,Female,[60:65),3405
2050.0,1,Female,[65:70),2414
2050.0,0,Female,[65:70),2414
2050.0,1,Female,[70:75),1487
2050.0,0,Female,[70:75),1487
2050.0,1,Female,[75:80),1014
2050.0,0,Female,[75:80),1014
2039.0,1,Male,[0:5),6190
2039.0,0,Male,[0:5),6190
2039.0,1,Male,[0:200),62397
2039.0,0,Male,[0:200),62397
2039.0,1,Male,[5:10),6033
2039.0,0,Male,[5:10),6033
2039.0,1,Male,[10:15),6257
2039.0,0,Male,[10:15),6257
2039.0,1,Male,[15:20),5808
2039.0,0,Male,[15:20),5808
2039.0,1,Male,[20:25),5692
2039.0,0,Male,[20:25),5692
2039.0,1,Male,[25:30),5274
2039.0,0,Male,[25:30),5274
2039.0,1,Male,[30:35),5072
2039.0,0,Male,[30:35),5072
2039.0,1,Male,[35:40),4500
2039.0,0,Male,[35:40),4500
2039.0,1,Male,[40:45),4330
2039.0,0,Male,[40:45),4330
2039.0,1,Male,[45:50),4014
2039.0,0,Male,[45:50),4014
2039.0,1,Male,[50:55),3372
2039.0,0,Male,[50:55),3372
2039.0,1,Male,[55:60),2328
2039.0,0,Male,[55:60),2328
2039.0,1,Male,[60:65),1507
2039.0,0,Male,[60:65),1507
2039.0,1,Male,[65:70),980
2039.0,0,Male,[65:70),980
2039.0,1,Male,[70:75),589
2039.0,0,Male,[70:75),589
2039.0,1,Male,[75:80),298
2039.0,0,Male,[75:80),298
2039.0,1,Female,[0:5),6360
2039.0,0,Female,[0:5),6360
2039.0,1,Female,[0:200),66487
2039.0,0,Female,[0:200),66487
2039.0,1,Female,[5:10),6112
2039.0,0,Female,[5:10),6112
2039.0,1,Female,[10:15),6166
2039.0,0,Female,[10:15),6166
2039.0,1,Female,[15:20),6104
2039.0,0,Female,[15:20),6104
2039.0,1,Female,[20:25),5851
2039.0,0,Female,[20:25),5851
2039.0,1,Female,[25:30),5611
2039.0,0,Female,[25:30),5611
2039.0,1,Female,[30:35),5246
2039.0,0,Female,[30:35),5246
2039.0,1,Female,[35:40),4765
2039.0,0,Female,[35:40),4765
2039.0,1,Female,[40:45),4491
2039.0,0,Female,[40:45),4491
2039.0,1,Female,[45:50),4271
2039.0,0,Female,[45:50),4271
2039.0,1,Female,[50:55),3640
2039.0,0,Female,[50:55),3640
2039.0,1,Female,[55:60),2600
