Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[15:20),0.004273504273504274
2048.0,0,Male,[15:20),0.004273504273504274
2048.0,1,Male,[20:25),0.011450381679389313
2048.0,0,Male,[20:25),0.011450381679389313
2048.0,1,Male,[25:30),0.039950721576909536
2048.0,0,Male,[25:30),0.039950721576909536
2048.0,1,Male,[30:35),0.07776560788608981
2048.0,0,Male,[30:35),0.07776560788608981
2048.0,1,Male,[35:40),0.12228682170542636
2048.0,0,Male,[35:40),0.12228682170542636
2048.0,1,Male,[40:45),0.1689964531608596
2048.0,0,Male,[40:45),0.1689964531608596
2048.0,1,Male,[45:50),0.2288698955365622
2048.0,0,Male,[45:50),0.2288698955365622
2048.0,1,Male,[50:55),0.3275862068965517
2048.0,0,Male,[50:55),0.3275862068965517
2048.0,1,Male,[55:60),0.4392898052691867
2048.0,0,Male,[55:60),0.4392898052691867
2048.0,1,Male,[60:65),0.5446497305619707
2048.0,0,Male,[60:65),0.5446497305619707
2048.0,1,Male,[65:200),0.6066971080669711
2048.0,0,Male,[65:200),0.6066971080669711
2048.0,1,Female,[15:20),0.026055996115876355
2048.0,0,Female,[15:20),0.026055996115876355
2048.0,1,Female,[20:25),0.0797442799461642
2048.0,0,Female,[20:25),0.0797442799461642
2048.0,1,Female,[25:30),0.1218282641572845
2048.0,0,Female,[25:30),0.1218282641572845
2048.0,1,Female,[30:35),0.20161845730027547
2048.0,0,Female,[30:35),0.20161845730027547
2048.0,1,Female,[35:40),0.257479601087942
2048.0,0,Female,[35:40),0.257479601087942
2048.0,1,Female,[40:45),0.32055335968379445
2048.0,0,Female,[40:45),0.32055335968379445
2048.0,1,Female,[45:50),0.39196857267568747
2048.0,0,Female,[45:50),0.39196857267568747
2048.0,1,Female,[50:55),0.48570769940064545
2048.0,0,Female,[50:55),0.48570769940064545
2048.0,1,Female,[55:60),0.5688142391576836
2048.0,0,Female,[55:60),0.5688142391576836
2048.0,1,Female,[60:65),0.6275329688002573
2048.0,0,Female,[60:65),0.6275329688002573
2048.0,1,Female,[65:200),0.6169690098261527
2048.0,0,Female,[65:200),0.6169690098261527
2049.0,1,Male,[15:20),0.004925299622393696
2049.0,0,Male,[15:20),0.004925299622393696
2049.0,1,Male,[20:25),0.011545439551377205
2049.0,0,Male,[20:25),0.011545439551377205
2049.0,1,Male,[25:30),0.03963739779594739
2049.0,0,Male,[25:30),0.03963739779594739
2049.0,1,Male,[30:35),0.07759543346414556
2049.0,0,Male,[30:35),0.07759543346414556
2049.0,1,Male,[35:40),0.11695794123295564
2049.0,0,Male,[35:40),0.11695794123295564
2049.0,1,Male,[40:45),0.16578086672117742
2049.0,0,Male,[40:45),0.16578086672117742
2049.0,1,Male,[45:50),0.22036688617121356
2049.0,0,Male,[45:50),0.22036688617121356
2049.0,1,Male,[50:55),0.32241379310344825
2049.0,0,Male,[50:55),0.32241379310344825
2049.0,1,Male,[55:60),0.41417591801878734
2049.0,0,Male,[55:60),0.41417591801878734
2049.0,1,Male,[60:65),0.5468233565919941
2049.0,0,Male,[60:65),0.5468233565919941
2049.0,1,Male,[65:200),0.6004599022707675
2049.0,0,Male,[65:200),0.6004599022707675
2049.0,1,Female,[15:20),0.025856496444731737
2049.0,0,Female,[15:20),0.025856496444731737
2049.0,1,Female,[20:25),0.07872696817420435
2049.0,0,Female,[20:25),0.07872696817420435
2049.0,1,Female,[25:30),0.12453719286435544
2049.0,0,Female,[25:30),0.12453719286435544
2049.0,1,Female,[30:35),0.18827800829875518
2049.0,0,Female,[30:35),0.18827800829875518
2049.0,1,Female,[35:40),0.25217855237417747
2049.0,0,Female,[35:40),0.25217855237417747
2049.0,1,Female,[40:45),0.3146241988735677
2049.0,0,Female,[40:45),0.3146241988735677
2049.0,1,Female,[45:50),0.38526179702650293
2049.0,0,Female,[45:50),0.38526179702650293
2049.0,1,Female,[50:55),0.4742291762540267
2049.0,0,Female,[50:55),0.4742291762540267
2049.0,1,Female,[55:60),0.5455448001985604
2049.0,0,Female,[55:60),0.5455448001985604
2049.0,1,Female,[60:65),0.6258358662613982
2049.0,0,Female,[60:65),0.6258358662613982
2049.0,1,Female,[65:200),0.6231650554958825
2049.0,0,Female,[65:200),0.6231650554958825
2050.0,1,Male,[15:20),0.004426229508196721
2050.0,0,Male,[15:20),0.004426229508196721
2050.0,1,Male,[20:25),0.011189731775547145
2050.0,0,Male,[20:25),0.011189731775547145
2050.0,1,Male,[25:30),0.039688164422395464
2050.0,0,Male,[25:30),0.039688164422395464
2050.0,1,Male,[30:35),0.07400211939244083
