Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6072
2048.0,0,Male,[0:5),6072
2048.0,1,Male,[0:200),68541
2048.0,0,Male,[0:200),68541
2048.0,1,Male,[5:10),6029
2048.0,0,Male,[5:10),6029
2048.0,1,Male,[10:15),6363
2048.0,0,Male,[10:15),6363
2048.0,1,Male,[15:20),6036
2048.0,0,Male,[15:20),6036
2048.0,1,Male,[20:25),5949
2048.0,0,Male,[20:25),5949
2048.0,1,Male,[25:30),5746
2048.0,0,Male,[25:30),5746
2048.0,1,Male,[30:35),5422
2048.0,0,Male,[30:35),5422
2048.0,1,Male,[35:40),5076
2048.0,0,Male,[35:40),5076
2048.0,1,Male,[40:45),4597
2048.0,0,Male,[40:45),4597
2048.0,1,Male,[45:50),4203
2048.0,0,Male,[45:50),4203
2048.0,1,Male,[50:55),3848
2048.0,0,Male,[50:55),3848
2048.0,1,Male,[55:60),3475
2048.0,0,Male,[55:60),3475
2048.0,1,Male,[60:65),2486
2048.0,0,Male,[60:65),2486
2048.0,1,Male,[65:70),1587
2048.0,0,Male,[65:70),1587
2048.0,1,Male,[70:75),833
2048.0,0,Male,[70:75),833
2048.0,1,Male,[75:80),514
2048.0,0,Male,[75:80),514
2048.0,1,Female,[0:5),6206
2048.0,0,Female,[0:5),6206
2048.0,1,Female,[0:200),73389
2048.0,0,Female,[0:200),73389
2048.0,1,Female,[5:10),6043
2048.0,0,Female,[5:10),6043
2048.0,1,Female,[10:15),6347
2048.0,0,Female,[10:15),6347
2048.0,1,Female,[15:20),6077
2048.0,0,Female,[15:20),6077
2048.0,1,Female,[20:25),5963
2048.0,0,Female,[20:25),5963
2048.0,1,Female,[25:30),5851
2048.0,0,Female,[25:30),5851
2048.0,1,Female,[30:35),5663
2048.0,0,Female,[30:35),5663
2048.0,1,Female,[35:40),5292
2048.0,0,Female,[35:40),5292
2048.0,1,Female,[40:45),4986
2048.0,0,Female,[40:45),4986
2048.0,1,Female,[45:50),4545
2048.0,0,Female,[45:50),4545
2048.0,1,Female,[50:55),4299
2048.0,0,Female,[50:55),4299
2048.0,1,Female,[55:60),3880
2048.0,0,Female,[55:60),3880
2048.0,1,Female,[60:65),3029
2048.0,0,Female,[60:65),3029
2048.0,1,Female,[65:70),2043
2048.0,0,Female,[65:70),2043
2048.0,1,Female,[70:75),1325
2048.0,0,Female,[70:75),1325
2048.0,1,Female,[75:80),910
2048.0,0,Female,[75:80),910
2049.0,1,Male,[0:5),6112
2049.0,0,Male,[0:5),6112
2049.0,1,Male,[0:200),69238
2049.0,0,Male,[0:200),69238
2049.0,1,Male,[5:10),6018
2049.0,0,Male,[5:10),6018
2049.0,1,Male,[10:15),6330
2049.0,0,Male,[10:15),6330
2049.0,1,Male,[15:20),6023
2049.0,0,Male,[15:20),6023
2049.0,1,Male,[20:25),6026
2049.0,0,Male,[20:25),6026
2049.0,1,Male,[25:30),5714
2049.0,0,Male,[25:30),5714
2049.0,1,Male,[30:35),5527
2049.0,0,Male,[30:35),5527
2049.0,1,Male,[35:40),5108
2049.0,0,Male,[35:40),5108
2049.0,1,Male,[40:45),4718
2049.0,0,Male,[40:45),4718
2049.0,1,Male,[45:50),4212
2049.0,0,Male,[45:50),4212
2049.0,1,Male,[50:55),3911
2049.0,0,Male,[50:55),3911
2049.0,1,Male,[55:60),3496
2049.0,0,Male,[55:60),3496
2049.0,1,Male,[60:65),2595
2049.0,0,Male,[60:65),2595
2049.0,1,Male,[65:70),1712
2049.0,0,Male,[65:70),1712
2049.0,1,Male,[70:75),875
2049.0,0,Male,[70:75),875
2049.0,1,Male,[75:80),520
2049.0,0,Male,[75:80),520
2049.0,1,Female,[0:5),6191
2049.0,0,Female,[0:5),6191
2049.0,1,Female,[0:200),74168
2049.0,0,Female,[0:200),74168
2049.0,1,Female,[5:10),6045
2049.0,0,Female,[5:10),6045
2049.0,1,Female,[10:15),6356
2049.0,0,Female,[10:15),6356
2049.0,1,Female,[15:20),6097
2049.0,0,Female,[15:20),6097
2049.0,1,Female,[20:25),5993
2049.0,0,Female,[20:25),5993
2049.0,1,Female,[25:30),5878
2049.0,0,Female,[25:30),5878
2049.0,1,Female,[30:35),5673
2049.0,0,Female,[30:35),5673
2049.0,1,Female,[35:40),5354
2049.0,0,Female,[35:40),5354
2049.0,1,Female,[40:45),5044
2049.0,0,Female,[40:45),5044
2049.0,1,Female,[45:50),4643
2049.0,0,Female,[45:50),4643
2049.0,1,Female,[50:55),4346
2049.0,0,Female,[50:55),4346
2049.0,1,Female,[55:60),3903
2049.0,0,Female,[55:60),3903
2049.0,1,Female,[60:65),3178
2049.0,0,Female,[60:65),3178
2049.0,1,Female,[65:70),2150
2049.0,0,Female,[65:70),2150
2049.0,1,Female,[70:75),1410
2049.0,0,Female,[70:75),1410
2049.0,1,Female,[75:80),944
2049.0,0,Female,[75:80),944
2050.0,1,Male,[0:5),6052
2050.0,0,Male,[0:5),6052
2050.0,1,Male,[0:200),69811
2050.0,0,Male,[0:200),69811
2050.0,1,Male,[5:10),6035
2050.0,0,Male,[5:10),6035
2050.0,1,Male,[10:15),6279
2050.0,0,Male,[10:15),6279
2050.0,1,Male,[15:20),6049
2050.0,0,Male,[15:20),6049
2050.0,1,Male,[20:25),6045
