Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6207
2048.0,0,Male,[0:5),6207
2048.0,1,Male,[0:200),69128
2048.0,0,Male,[0:200),69128
2048.0,1,Male,[5:10),6089
2048.0,0,Male,[5:10),6089
2048.0,1,Male,[10:15),6199
2048.0,0,Male,[10:15),6199
2048.0,1,Male,[15:20),6067
2048.0,0,Male,[15:20),6067
2048.0,1,Male,[20:25),5878
2048.0,0,Male,[20:25),5878
2048.0,1,Male,[25:30),5724
2048.0,0,Male,[25:30),5724
2048.0,1,Male,[30:35),5636
2048.0,0,Male,[30:35),5636
2048.0,1,Male,[35:40),5119
2048.0,0,Male,[35:40),5119
2048.0,1,Male,[40:45),4661
2048.0,0,Male,[40:45),4661
2048.0,1,Male,[45:50),4250
2048.0,0,Male,[45:50),4250
2048.0,1,Male,[50:55),4049
2048.0,0,Male,[50:55),4049
2048.0,1,Male,[55:60),3423
2048.0,0,Male,[55:60),3423
2048.0,1,Male,[60:65),2537
2048.0,0,Male,[60:65),2537
2048.0,1,Male,[65:70),1577
2048.0,0,Male,[65:70),1577
2048.0,1,Male,[70:75),915
2048.0,0,Male,[70:75),915
2048.0,1,Male,[75:80),502
2048.0,0,Male,[75:80),502
2048.0,1,Female,[0:5),6292
2048.0,0,Female,[0:5),6292
2048.0,1,Female,[0:200),73907
2048.0,0,Female,[0:200),73907
2048.0,1,Female,[5:10),6131
2048.0,0,Female,[5:10),6131
2048.0,1,Female,[10:15),6135
2048.0,0,Female,[10:15),6135
2048.0,1,Female,[15:20),6128
2048.0,0,Female,[15:20),6128
2048.0,1,Female,[20:25),6091
2048.0,0,Female,[20:25),6091
2048.0,1,Female,[25:30),5802
2048.0,0,Female,[25:30),5802
2048.0,1,Female,[30:35),5832
2048.0,0,Female,[30:35),5832
2048.0,1,Female,[35:40),5390
2048.0,0,Female,[35:40),5390
2048.0,1,Female,[40:45),4883
2048.0,0,Female,[40:45),4883
2048.0,1,Female,[45:50),4456
2048.0,0,Female,[45:50),4456
2048.0,1,Female,[50:55),4350
2048.0,0,Female,[50:55),4350
2048.0,1,Female,[55:60),4015
2048.0,0,Female,[55:60),4015
2048.0,1,Female,[60:65),3141
2048.0,0,Female,[60:65),3141
2048.0,1,Female,[65:70),2087
2048.0,0,Female,[65:70),2087
2048.0,1,Female,[70:75),1336
2048.0,0,Female,[70:75),1336
2048.0,1,Female,[75:80),895
2048.0,0,Female,[75:80),895
2049.0,1,Male,[0:5),6139
2049.0,0,Male,[0:5),6139
2049.0,1,Male,[0:200),69722
2049.0,0,Male,[0:200),69722
2049.0,1,Male,[5:10),6128
2049.0,0,Male,[5:10),6128
2049.0,1,Male,[10:15),6115
2049.0,0,Male,[10:15),6115
2049.0,1,Male,[15:20),6030
2049.0,0,Male,[15:20),6030
2049.0,1,Male,[20:25),6054
2049.0,0,Male,[20:25),6054
2049.0,1,Male,[25:30),5676
2049.0,0,Male,[25:30),5676
2049.0,1,Male,[30:35),5665
2049.0,0,Male,[30:35),5665
2049.0,1,Male,[35:40),5190
2049.0,0,Male,[35:40),5190
2049.0,1,Male,[40:45),4736
2049.0,0,Male,[40:45),4736
2049.0,1,Male,[45:50),4257
2049.0,0,Male,[45:50),4257
2049.0,1,Male,[50:55),4115
2049.0,0,Male,[50:55),4115
2049.0,1,Male,[55:60),3457
2049.0,0,Male,[55:60),3457
2049.0,1,Male,[60:65),2697
2049.0,0,Male,[60:65),2697
2049.0,1,Male,[65:70),1670
2049.0,0,Male,[65:70),1670
2049.0,1,Male,[70:75),965
2049.0,0,Male,[70:75),965
2049.0,1,Male,[75:80),513
2049.0,0,Male,[75:80),513
2049.0,1,Female,[0:5),6223
2049.0,0,Female,[0:5),6223
2049.0,1,Female,[0:200),74755
2049.0,0,Female,[0:200),74755
2049.0,1,Female,[5:10),6207
2049.0,0,Female,[5:10),6207
2049.0,1,Female,[10:15),6159
2049.0,0,Female,[10:15),6159
2049.0,1,Female,[15:20),6114
2049.0,0,Female,[15:20),6114
2049.0,1,Female,[20:25),6103
2049.0,0,Female,[20:25),6103
2049.0,1,Female,[25:30),5817
2049.0,0,Female,[25:30),5817
2049.0,1,Female,[30:35),5849
2049.0,0,Female,[30:35),5849
2049.0,1,Female,[35:40),5438
2049.0,0,Female,[35:40),5438
2049.0,1,Female,[40:45),4987
2049.0,0,Female,[40:45),4987
2049.0,1,Female,[45:50),4556
2049.0,0,Female,[45:50),4556
2049.0,1,Female,[50:55),4320
2049.0,0,Female,[50:55),4320
2049.0,1,Female,[55:60),4088
2049.0,0,Female,[55:60),4088
2049.0,1,Female,[60:65),3320
2049.0,0,Female,[60:65),3320
2049.0,1,Female,[65:70),2230
2049.0,0,Female,[65:70),2230
2049.0,1,Female,[70:75),1385
2049.0,0,Female,[70:75),1385
2049.0,1,Female,[75:80),985
2049.0,0,Female,[75:80),985
2050.0,1,Male,[0:5),6137
2050.0,0,Male,[0:5),6137
2050.0,1,Male,[0:200),70364
2050.0,0,Male,[0:200),70364
2050.0,1,Male,[5:10),6108
2050.0,0,Male,[5:10),6108
2050.0,1,Male,[10:15),6212
2050.0,0,Male,[10:15),6212
2050.0,1,Male,[15:20),5957
2050.0,0,Male,[15:20),5957
2050.0,1,Male,[20:25),6072
2050.0,0,Male,[20:25),6072
2050.0,1,Male,[25:30),5654
2050.0,0,Male,[25:30),5654
2050.0,1,Male,[30:35),5756
2050.0,0,Male,[30:35),5756
2050.0,1,Male,[35:40),5216
2050.0,0,Male,[35:40),5216
2050.0,1,Male,[40:45),4884
2050.0,0,Male,[40:45),4884
2050.0,1,Male,[45:50),4251
2050.0,0,Male,[45:50),4251
2050.0,1,Male,[50:55),4090
2050.0,0,Male,[50:55),4090
2050.0,1,Male,[55:60),3541
2050.0,0,Male,[55:60),3541
2050.0,1,Male,[60:65),2830
2050.0,0,Male,[60:65),2830
2050.0,1,Male,[65:70),1753
2050.0,0,Male,[65:70),1753
2050.0,1,Male,[70:75),1020
2050.0,0,Male,[70:75),1020
2050.0,1,Male,[75:80),551
2050.0,0,Male,[75:80),551
2050.0,1,Female,[0:5),6227
2050.0,0,Female,[0:5),6227
2050.0,1,Female,[0:200),75530
2050.0,0,Female,[0:200),75530
2050.0,1,Female,[5:10),6158
2050.0,0,Female,[5:10),6158
2050.0,1,Female,[10:15),6229
2050.0,0,Female,[10:15),6229
2050.0,1,Female,[15:20),6053
2050.0,0,Female,[15:20),6053
2050.0,1,Female,[20:25),6149
2050.0,0,Female,[20:25),6149
2050.0,1,Female,[25:30),5816
2050.0,0,Female,[25:30),5816
2050.0,1,Female,[30:35),5848
2050.0,0,Female,[30:35),5848
2050.0,1,Female,[35:40),5551
2050.0,0,Female,[35:40),5551
2050.0,1,Female,[40:45),5139
2050.0,0,Female,[40:45),5139
