Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[15:20),0.0029668699522004283
2048.0,0,Male,[15:20),0.0029668699522004283
2048.0,1,Male,[20:25),0.015991833957128276
2048.0,0,Male,[20:25),0.015991833957128276
2048.0,1,Male,[25:30),0.04385045422781272
2048.0,0,Male,[25:30),0.04385045422781272
2048.0,1,Male,[30:35),0.08321504613200852
2048.0,0,Male,[30:35),0.08321504613200852
2048.0,1,Male,[35:40),0.1170150420003907
2048.0,0,Male,[35:40),0.1170150420003907
2048.0,1,Male,[40:45),0.1686333404848745
2048.0,0,Male,[40:45),0.1686333404848745
2048.0,1,Male,[45:50),0.2303529411764706
2048.0,0,Male,[45:50),0.2303529411764706
2048.0,1,Male,[50:55),0.33069893800938505
2048.0,0,Male,[50:55),0.33069893800938505
2048.0,1,Male,[55:60),0.42448144902132634
2048.0,0,Male,[55:60),0.42448144902132634
2048.0,1,Male,[60:65),0.5309420575482854
2048.0,0,Male,[60:65),0.5309420575482854
2048.0,1,Male,[65:200),0.5968379446640316
2048.0,0,Male,[65:200),0.5968379446640316
2048.0,1,Female,[15:20),0.028557441253263708
2048.0,0,Female,[15:20),0.028557441253263708
2048.0,1,Female,[20:25),0.09817763913971433
2048.0,0,Female,[20:25),0.09817763913971433
2048.0,1,Female,[25:30),0.15046535677352638
2048.0,0,Female,[25:30),0.15046535677352638
2048.0,1,Female,[30:35),0.20438957475994513
2048.0,0,Female,[30:35),0.20438957475994513
2048.0,1,Female,[35:40),0.24953617810760667
2048.0,0,Female,[35:40),0.24953617810760667
2048.0,1,Female,[40:45),0.3219332377636699
2048.0,0,Female,[40:45),0.3219332377636699
2048.0,1,Female,[45:50),0.40798922800718135
2048.0,0,Female,[45:50),0.40798922800718135
2048.0,1,Female,[50:55),0.48528735632183906
2048.0,0,Female,[50:55),0.48528735632183906
2048.0,1,Female,[55:60),0.5576587795765878
2048.0,0,Female,[55:60),0.5576587795765878
2048.0,1,Female,[60:65),0.6405603311047438
2048.0,0,Female,[60:65),0.6405603311047438
2048.0,1,Female,[65:200),0.6141417981372362
2048.0,0,Female,[65:200),0.6141417981372362
2049.0,1,Male,[15:20),0.001990049751243781
2049.0,0,Male,[15:20),0.001990049751243781
2049.0,1,Male,[20:25),0.016518004625041296
2049.0,0,Male,[20:25),0.016518004625041296
2049.0,1,Male,[25:30),0.040169133192389
2049.0,0,Male,[25:30),0.040169133192389
2049.0,1,Male,[30:35),0.07766990291262135
2049.0,0,Male,[30:35),0.07766990291262135
2049.0,1,Male,[35:40),0.1161849710982659
2049.0,0,Male,[35:40),0.1161849710982659
2049.0,1,Male,[40:45),0.15920608108108109
2049.0,0,Male,[40:45),0.15920608108108109
2049.0,1,Male,[45:50),0.22973925299506695
