Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6077
2048.0,0,Male,[0:5),6077
2048.0,1,Male,[0:200),68010
2048.0,0,Male,[0:200),68010
2048.0,1,Male,[5:10),6010
2048.0,0,Male,[5:10),6010
2048.0,1,Male,[10:15),5986
2048.0,0,Male,[10:15),5986
2048.0,1,Male,[15:20),5854
2048.0,0,Male,[15:20),5854
2048.0,1,Male,[20:25),5863
2048.0,0,Male,[20:25),5863
2048.0,1,Male,[25:30),5791
2048.0,0,Male,[25:30),5791
2048.0,1,Male,[30:35),5409
2048.0,0,Male,[30:35),5409
2048.0,1,Male,[35:40),5069
2048.0,0,Male,[35:40),5069
2048.0,1,Male,[40:45),4761
2048.0,0,Male,[40:45),4761
2048.0,1,Male,[45:50),4246
2048.0,0,Male,[45:50),4246
2048.0,1,Male,[50:55),3767
2048.0,0,Male,[50:55),3767
2048.0,1,Male,[55:60),3298
2048.0,0,Male,[55:60),3298
2048.0,1,Male,[60:65),2556
2048.0,0,Male,[60:65),2556
2048.0,1,Male,[65:70),1674
2048.0,0,Male,[65:70),1674
2048.0,1,Male,[70:75),941
2048.0,0,Male,[70:75),941
2048.0,1,Male,[75:80),446
2048.0,0,Male,[75:80),446
2048.0,1,Female,[0:5),6236
2048.0,0,Female,[0:5),6236
2048.0,1,Female,[0:200),72796
2048.0,0,Female,[0:200),72796
2048.0,1,Female,[5:10),6013
2048.0,0,Female,[5:10),6013
2048.0,1,Female,[10:15),6118
2048.0,0,Female,[10:15),6118
2048.0,1,Female,[15:20),5950
2048.0,0,Female,[15:20),5950
2048.0,1,Female,[20:25),6004
2048.0,0,Female,[20:25),6004
2048.0,1,Female,[25:30),5820
2048.0,0,Female,[25:30),5820
2048.0,1,Female,[30:35),5738
2048.0,0,Female,[30:35),5738
2048.0,1,Female,[35:40),5247
2048.0,0,Female,[35:40),5247
2048.0,1,Female,[40:45),4658
2048.0,0,Female,[40:45),4658
2048.0,1,Female,[45:50),4500
2048.0,0,Female,[45:50),4500
2048.0,1,Female,[50:55),4441
2048.0,0,Female,[50:55),4441
2048.0,1,Female,[55:60),3937
2048.0,0,Female,[55:60),3937
2048.0,1,Female,[60:65),3074
2048.0,0,Female,[60:65),3074
2048.0,1,Female,[65:70),1976
2048.0,0,Female,[65:70),1976
2048.0,1,Female,[70:75),1325
2048.0,0,Female,[70:75),1325
2048.0,1,Female,[75:80),880
2048.0,0,Female,[75:80),880
2049.0,1,Male,[0:5),6092
2049.0,0,Male,[0:5),6092
2049.0,1,Male,[0:200),68633
2049.0,0,Male,[0:200),68633
2049.0,1,Male,[5:10),5936
2049.0,0,Male,[5:10),5936
2049.0,1,Male,[10:15),6058
2049.0,0,Male,[10:15),6058
2049.0,1,Male,[15:20),5797
2049.0,0,Male,[15:20),5797
2049.0,1,Male,[20:25),5922
2049.0,0,Male,[20:25),5922
2049.0,1,Male,[25:30),5807
2049.0,0,Male,[25:30),5807
2049.0,1,Male,[30:35),5510
2049.0,0,Male,[30:35),5510
2049.0,1,Male,[35:40),5035
2049.0,0,Male,[35:40),5035
2049.0,1,Male,[40:45),4866
2049.0,0,Male,[40:45),4866
2049.0,1,Male,[45:50),4265
2049.0,0,Male,[45:50),4265
2049.0,1,Male,[50:55),3829
2049.0,0,Male,[50:55),3829
2049.0,1,Male,[55:60),3365
2049.0,0,Male,[55:60),3365
2049.0,1,Male,[60:65),2665
2049.0,0,Male,[60:65),2665
2049.0,1,Male,[65:70),1741
2049.0,0,Male,[65:70),1741
2049.0,1,Male,[70:75),1011
2049.0,0,Male,[70:75),1011
2049.0,1,Male,[75:80),465
2049.0,0,Male,[75:80),465
2049.0,1,Female,[0:5),6211
2049.0,0,Female,[0:5),6211
2049.0,1,Female,[0:200),73579
2049.0,0,Female,[0:200),73579
2049.0,1,Female,[5:10),5998
2049.0,0,Female,[5:10),5998
2049.0,1,Female,[10:15),6138
2049.0,0,Female,[10:15),6138
2049.0,1,Female,[15:20),5997
2049.0,0,Female,[15:20),5997
2049.0,1,Female,[20:25),5976
2049.0,0,Female,[20:25),5976
2049.0,1,Female,[25:30),5858
2049.0,0,Female,[25:30),5858
2049.0,1,Female,[30:35),5741
2049.0,0,Female,[30:35),5741
2049.0,1,Female,[35:40),5389
2049.0,0,Female,[35:40),5389
2049.0,1,Female,[40:45),4782
2049.0,0,Female,[40:45),4782
2049.0,1,Female,[45:50),4451
2049.0,0,Female,[45:50),4451
2049.0,1,Female,[50:55),4444
2049.0,0,Female,[50:55),4444
2049.0,1,Female,[55:60),3981
2049.0,0,Female,[55:60),3981
2049.0,1,Female,[60:65),3254
2049.0,0,Female,[60:65),3254
2049.0,1,Female,[65:70),2136
2049.0,0,Female,[65:70),2136
2049.0,1,Female,[70:75),1389
2049.0,0,Female,[70:75),1389
2049.0,1,Female,[75:80),916
2049.0,0,Female,[75:80),916
2050.0,1,Male,[0:5),6089
2050.0,0,Male,[0:5),6089
2050.0,1,Male,[0:200),69358
2050.0,0,Male,[0:200),69358
2050.0,1,Male,[5:10),5953
2050.0,0,Male,[5:10),5953
2050.0,1,Male,[10:15),6110
2050.0,0,Male,[10:15),6110
2050.0,1,Male,[15:20),5790
2050.0,0,Male,[15:20),5790
2050.0,1,Male,[20:25),5932
2050.0,0,Male,[20:25),5932
2050.0,1,Male,[25:30),5790
2050.0,0,Male,[25:30),5790
2050.0,1,Male,[30:35),5647
2050.0,0,Male,[30:35),5647
2050.0,1,Male,[35:40),5024
2050.0,0,Male,[35:40),5024
2050.0,1,Male,[40:45),4959
2050.0,0,Male,[40:45),4959
2050.0,1,Male,[45:50),4309
2050.0,0,Male,[45:50),4309
2050.0,1,Male,[50:55),3878
2050.0,0,Male,[50:55),3878
2050.0,1,Male,[55:60),3401
2050.0,0,Male,[55:60),3401
2050.0,1,Male,[60:65),2780
2050.0,0,Male,[60:65),2780
2050.0,1,Male,[65:70),1819
2050.0,0,Male,[65:70),1819
2050.0,1,Male,[70:75),1073
2050.0,0,Male,[70:75),1073
2050.0,1,Male,[75:80),507
2050.0,0,Male,[75:80),507
2050.0,1,Female,[0:5),6171
2050.0,0,Female,[0:5),6171
2050.0,1,Female,[0:200),74346
2050.0,0,Female,[0:200),74346
2050.0,1,Female,[5:10),5985
2050.0,0,Female,[5:10),5985
2050.0,1,Female,[10:15),6192
2050.0,0,Female,[10:15),6192
2050.0,1,Female,[15:20),5998
2050.0,0,Female,[15:20),5998
2050.0,1,Female,[20:25),5948
2050.0,0,Female,[20:25),5948
2050.0,1,Female,[25:30),5883
2050.0,0,Female,[25:30),5883
2050.0,1,Female,[30:35),5787
