Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6158
2048.0,0,Male,[0:5),6158
2048.0,1,Male,[0:200),69132
2048.0,0,Male,[0:200),69132
2048.0,1,Male,[5:10),5971
2048.0,0,Male,[5:10),5971
2048.0,1,Male,[10:15),6230
2048.0,0,Male,[10:15),6230
2048.0,1,Male,[15:20),5940
2048.0,0,Male,[15:20),5940
2048.0,1,Male,[20:25),6061
2048.0,0,Male,[20:25),6061
2048.0,1,Male,[25:30),5731
2048.0,0,Male,[25:30),5731
2048.0,1,Male,[30:35),5642
2048.0,0,Male,[30:35),5642
2048.0,1,Male,[35:40),5242
2048.0,0,Male,[35:40),5242
2048.0,1,Male,[40:45),4735
2048.0,0,Male,[40:45),4735
2048.0,1,Male,[45:50),4199
2048.0,0,Male,[45:50),4199
2048.0,1,Male,[50:55),3897
2048.0,0,Male,[50:55),3897
2048.0,1,Male,[55:60),3478
2048.0,0,Male,[55:60),3478
2048.0,1,Male,[60:65),2629
2048.0,0,Male,[60:65),2629
2048.0,1,Male,[65:70),1588
2048.0,0,Male,[65:70),1588
2048.0,1,Male,[70:75),889
2048.0,0,Male,[70:75),889
2048.0,1,Male,[75:80),478
2048.0,0,Male,[75:80),478
2048.0,1,Female,[0:5),6181
2048.0,0,Female,[0:5),6181
2048.0,1,Female,[0:200),73861
2048.0,0,Female,[0:200),73861
2048.0,1,Female,[5:10),6197
2048.0,0,Female,[5:10),6197
2048.0,1,Female,[10:15),6205
2048.0,0,Female,[10:15),6205
2048.0,1,Female,[15:20),6057
2048.0,0,Female,[15:20),6057
2048.0,1,Female,[20:25),6125
2048.0,0,Female,[20:25),6125
2048.0,1,Female,[25:30),5916
2048.0,0,Female,[25:30),5916
2048.0,1,Female,[30:35),5767
2048.0,0,Female,[30:35),5767
2048.0,1,Female,[35:40),5356
2048.0,0,Female,[35:40),5356
2048.0,1,Female,[40:45),4862
2048.0,0,Female,[40:45),4862
2048.0,1,Female,[45:50),4450
2048.0,0,Female,[45:50),4450
2048.0,1,Female,[50:55),4430
2048.0,0,Female,[50:55),4430
2048.0,1,Female,[55:60),4050
2048.0,0,Female,[55:60),4050
2048.0,1,Female,[60:65),3141
2048.0,0,Female,[60:65),3141
2048.0,1,Female,[65:70),2067
2048.0,0,Female,[65:70),2067
2048.0,1,Female,[70:75),1249
2048.0,0,Female,[70:75),1249
2048.0,1,Female,[75:80),933
2048.0,0,Female,[75:80),933
2049.0,1,Male,[0:5),6216
2049.0,0,Male,[0:5),6216
2049.0,1,Male,[0:200),69814
2049.0,0,Male,[0:200),69814
2049.0,1,Male,[5:10),5881
2049.0,0,Male,[5:10),5881
2049.0,1,Male,[10:15),6265
2049.0,0,Male,[10:15),6265
2049.0,1,Male,[15:20),5959
2049.0,0,Male,[15:20),5959
2049.0,1,Male,[20:25),6018
2049.0,0,Male,[20:25),6018
2049.0,1,Male,[25:30),5756
2049.0,0,Male,[25:30),5756
2049.0,1,Male,[30:35),5746
2049.0,0,Male,[30:35),5746
2049.0,1,Male,[35:40),5304
2049.0,0,Male,[35:40),5304
2049.0,1,Male,[40:45),4834
2049.0,0,Male,[40:45),4834
2049.0,1,Male,[45:50),4250
2049.0,0,Male,[45:50),4250
2049.0,1,Male,[50:55),3875
2049.0,0,Male,[50:55),3875
2049.0,1,Male,[55:60),3485
2049.0,0,Male,[55:60),3485
2049.0,1,Male,[60:65),2790
2049.0,0,Male,[60:65),2790
2049.0,1,Male,[65:70),1723
2049.0,0,Male,[65:70),1723
2049.0,1,Male,[70:75),929
2049.0,0,Male,[70:75),929
2049.0,1,Male,[75:80),485
2049.0,0,Male,[75:80),485
2049.0,1,Female,[0:5),6118
2049.0,0,Female,[0:5),6118
2049.0,1,Female,[0:200),74640
2049.0,0,Female,[0:200),74640
2049.0,1,Female,[5:10),6179
2049.0,0,Female,[5:10),6179
2049.0,1,Female,[10:15),6242
2049.0,0,Female,[10:15),6242
2049.0,1,Female,[15:20),6054
2049.0,0,Female,[15:20),6054
2049.0,1,Female,[20:25),6151
2049.0,0,Female,[20:25),6151
2049.0,1,Female,[25:30),5880
2049.0,0,Female,[25:30),5880
2049.0,1,Female,[30:35),5863
2049.0,0,Female,[30:35),5863
2049.0,1,Female,[35:40),5420
2049.0,0,Female,[35:40),5420
2049.0,1,Female,[40:45),4933
2049.0,0,Female,[40:45),4933
2049.0,1,Female,[45:50),4508
2049.0,0,Female,[45:50),4508
2049.0,1,Female,[50:55),4343
2049.0,0,Female,[50:55),4343
2049.0,1,Female,[55:60),4182
2049.0,0,Female,[55:60),4182
2049.0,1,Female,[60:65),3331
2049.0,0,Female,[60:65),3331
2049.0,1,Female,[65:70),2188
2049.0,0,Female,[65:70),2188
2049.0,1,Female,[70:75),1375
2049.0,0,Female,[70:75),1375
2049.0,1,Female,[75:80),932
2049.0,0,Female,[75:80),932
2050.0,1,Male,[0:5),6143
2050.0,0,Male,[0:5),6143
2050.0,1,Male,[0:200),70440
2050.0,0,Male,[0:200),70440
2050.0,1,Male,[5:10),5912
2050.0,0,Male,[5:10),5912
2050.0,1,Male,[10:15),6255
2050.0,0,Male,[10:15),6255
2050.0,1,Male,[15:20),6025
2050.0,0,Male,[15:20),6025
2050.0,1,Male,[20:25),5961
2050.0,0,Male,[20:25),5961
2050.0,1,Male,[25:30),5813
2050.0,0,Male,[25:30),5813
2050.0,1,Male,[30:35),5795
2050.0,0,Male,[30:35),5795
2050.0,1,Male,[35:40),5333
2050.0,0,Male,[35:40),5333
2050.0,1,Male,[40:45),4878
2050.0,0,Male,[40:45),4878
2050.0,1,Male,[45:50),4325
2050.0,0,Male,[45:50),4325
2050.0,1,Male,[50:55),3937
2050.0,0,Male,[50:55),3937
2050.0,1,Male,[55:60),3486
2050.0,0,Male,[55:60),3486
2050.0,1,Male,[60:65),2898
2050.0,0,Male,[60:65),2898
2050.0,1,Male,[65:70),1879
2050.0,0,Male,[65:70),1879
2050.0,1,Male,[70:75),988
