Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),5937
2048.0,0,Male,[0:5),5937
2048.0,1,Male,[0:200),68235
2048.0,0,Male,[0:200),68235
2048.0,1,Male,[5:10),5796
2048.0,0,Male,[5:10),5796
2048.0,1,Male,[10:15),6043
2048.0,0,Male,[10:15),6043
2048.0,1,Male,[15:20),5835
2048.0,0,Male,[15:20),5835
2048.0,1,Male,[20:25),5909
2048.0,0,Male,[20:25),5909
2048.0,1,Male,[25:30),5892
2048.0,0,Male,[25:30),5892
2048.0,1,Male,[30:35),5473
2048.0,0,Male,[30:35),5473
2048.0,1,Male,[35:40),5005
2048.0,0,Male,[35:40),5005
2048.0,1,Male,[40:45),4567
2048.0,0,Male,[40:45),4567
2048.0,1,Male,[45:50),4279
2048.0,0,Male,[45:50),4279
2048.0,1,Male,[50:55),3993
2048.0,0,Male,[50:55),3993
2048.0,1,Male,[55:60),3489
2048.0,0,Male,[55:60),3489
2048.0,1,Male,[60:65),2632
2048.0,0,Male,[60:65),2632
2048.0,1,Male,[65:70),1670
2048.0,0,Male,[65:70),1670
2048.0,1,Male,[70:75),901
2048.0,0,Male,[70:75),901
2048.0,1,Male,[75:80),492
2048.0,0,Male,[75:80),492
2048.0,1,Female,[0:5),5975
2048.0,0,Female,[0:5),5975
2048.0,1,Female,[0:200),72483
2048.0,0,Female,[0:200),72483
2048.0,1,Female,[5:10),5997
2048.0,0,Female,[5:10),5997
2048.0,1,Female,[10:15),6242
2048.0,0,Female,[10:15),6242
2048.0,1,Female,[15:20),6006
2048.0,0,Female,[15:20),6006
2048.0,1,Female,[20:25),5951
2048.0,0,Female,[20:25),5951
2048.0,1,Female,[25:30),5641
2048.0,0,Female,[25:30),5641
2048.0,1,Female,[30:35),5541
2048.0,0,Female,[30:35),5541
2048.0,1,Female,[35:40),5295
2048.0,0,Female,[35:40),5295
2048.0,1,Female,[40:45),4956
2048.0,0,Female,[40:45),4956
2048.0,1,Female,[45:50),4446
2048.0,0,Female,[45:50),4446
2048.0,1,Female,[50:55),4282
2048.0,0,Female,[50:55),4282
2048.0,1,Female,[55:60),4017
2048.0,0,Female,[55:60),4017
2048.0,1,Female,[60:65),2959
2048.0,0,Female,[60:65),2959
2048.0,1,Female,[65:70),1907
2048.0,0,Female,[65:70),1907
2048.0,1,Female,[70:75),1375
2048.0,0,Female,[70:75),1375
2048.0,1,Female,[75:80),932
2048.0,0,Female,[75:80),932
2049.0,1,Male,[0:5),5851
2049.0,0,Male,[0:5),5851
2049.0,1,Male,[0:200),68853
2049.0,0,Male,[0:200),68853
2049.0,1,Male,[5:10),5897
2049.0,0,Male,[5:10),5897
2049.0,1,Male,[10:15),6011
2049.0,0,Male,[10:15),6011
2049.0,1,Male,[15:20),5813
2049.0,0,Male,[15:20),5813
2049.0,1,Male,[20:25),5894
2049.0,0,Male,[20:25),5894
2049.0,1,Male,[25:30),5823
2049.0,0,Male,[25:30),5823
2049.0,1,Male,[30:35),5593
2049.0,0,Male,[30:35),5593
2049.0,1,Male,[35:40),5142
2049.0,0,Male,[35:40),5142
2049.0,1,Male,[40:45),4642
2049.0,0,Male,[40:45),4642
2049.0,1,Male,[45:50),4289
2049.0,0,Male,[45:50),4289
2049.0,1,Male,[50:55),3995
2049.0,0,Male,[50:55),3995
2049.0,1,Male,[55:60),3525
2049.0,0,Male,[55:60),3525
2049.0,1,Male,[60:65),2787
2049.0,0,Male,[60:65),2787
2049.0,1,Male,[65:70),1771
2049.0,0,Male,[65:70),1771
2049.0,1,Male,[70:75),962
2049.0,0,Male,[70:75),962
2049.0,1,Male,[75:80),508
2049.0,0,Male,[75:80),508
2049.0,1,Female,[0:5),6005
2049.0,0,Female,[0:5),6005
2049.0,1,Female,[0:200),73252
2049.0,0,Female,[0:200),73252
2049.0,1,Female,[5:10),5958
2049.0,0,Female,[5:10),5958
2049.0,1,Female,[10:15),6203
2049.0,0,Female,[10:15),6203
2049.0,1,Female,[15:20),6016
2049.0,0,Female,[15:20),6016
2049.0,1,Female,[20:25),6007
2049.0,0,Female,[20:25),6007
2049.0,1,Female,[25:30),5651
2049.0,0,Female,[25:30),5651
2049.0,1,Female,[30:35),5578
2049.0,0,Female,[30:35),5578
2049.0,1,Female,[35:40),5306
2049.0,0,Female,[35:40),5306
2049.0,1,Female,[40:45),5079
2049.0,0,Female,[40:45),5079
2049.0,1,Female,[45:50),4521
2049.0,0,Female,[45:50),4521
2049.0,1,Female,[50:55),4206
2049.0,0,Female,[50:55),4206
2049.0,1,Female,[55:60),4111
2049.0,0,Female,[55:60),4111
2049.0,1,Female,[60:65),3136
2049.0,0,Female,[60:65),3136
2049.0,1,Female,[65:70),2092
2049.0,0,Female,[65:70),2092
2049.0,1,Female,[70:75),1417
2049.0,0,Female,[70:75),1417
2049.0,1,Female,[75:80),957
2049.0,0,Female,[75:80),957
2050.0,1,Male,[0:5),5860
2050.0,0,Male,[0:5),5860
2050.0,1,Male,[0:200),69474
2050.0,0,Male,[0:200),69474
2050.0,1,Male,[5:10),5889
2050.0,0,Male,[5:10),5889
2050.0,1,Male,[10:15),5937
2050.0,0,Male,[10:15),5937
2050.0,1,Male,[15:20),5876
2050.0,0,Male,[15:20),5876
2050.0,1,Male,[20:25),5871
2050.0,0,Male,[20:25),5871
2050.0,1,Male,[25:30),5813
2050.0,0,Male,[25:30),5813
2050.0,1,Male,[30:35),5690
2050.0,0,Male,[30:35),5690
2050.0,1,Male,[35:40),5184
2050.0,0,Male,[35:40),5184
2050.0,1,Male,[40:45),4795
2050.0,0,Male,[40:45),4795
2050.0,1,Male,[45:50),4241
2050.0,0,Male,[45:50),4241
2050.0,1,Male,[50:55),3995
2050.0,0,Male,[50:55),3995
