Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[15:20),0.004970008568980291
2048.0,0,Male,[15:20),0.004970008568980291
2048.0,1,Male,[20:25),0.018107970891859875
2048.0,0,Male,[20:25),0.018107970891859875
2048.0,1,Male,[25:30),0.04599456890699253
2048.0,0,Male,[25:30),0.04599456890699253
2048.0,1,Male,[30:35),0.09263657957244656
2048.0,0,Male,[30:35),0.09263657957244656
2048.0,1,Male,[35:40),0.13326673326673327
2048.0,0,Male,[35:40),0.13326673326673327
2048.0,1,Male,[40:45),0.17889205167506023
2048.0,0,Male,[40:45),0.17889205167506023
2048.0,1,Male,[45:50),0.23229726571628886
2048.0,0,Male,[45:50),0.23229726571628886
2048.0,1,Male,[50:55),0.3338342098672677
2048.0,0,Male,[50:55),0.3338342098672677
2048.0,1,Male,[55:60),0.44253367727142445
2048.0,0,Male,[55:60),0.44253367727142445
2048.0,1,Male,[60:65),0.537613981762918
2048.0,0,Male,[60:65),0.537613981762918
2048.0,1,Male,[65:200),0.583751846381093
2048.0,0,Male,[65:200),0.583751846381093
2048.0,1,Female,[15:20),0.037462537462537464
2048.0,0,Female,[15:20),0.037462537462537464
2048.0,1,Female,[20:25),0.11157788606956814
2048.0,0,Female,[20:25),0.11157788606956814
2048.0,1,Female,[25:30),0.16752348874313064
2048.0,0,Female,[25:30),0.16752348874313064
2048.0,1,Female,[30:35),0.2218011189316008
2048.0,0,Female,[30:35),0.2218011189316008
2048.0,1,Female,[35:40),0.2615675165250236
2048.0,0,Female,[35:40),0.2615675165250236
2048.0,1,Female,[40:45),0.3163841807909605
2048.0,0,Female,[40:45),0.3163841807909605
2048.0,1,Female,[45:50),0.3974358974358974
2048.0,0,Female,[45:50),0.3974358974358974
2048.0,1,Female,[50:55),0.46637085474077533
2048.0,0,Female,[50:55),0.46637085474077533
2048.0,1,Female,[55:60),0.5623599701269604
2048.0,0,Female,[55:60),0.5623599701269604
2048.0,1,Female,[60:65),0.6160865157147685
2048.0,0,Female,[60:65),0.6160865157147685
2048.0,1,Female,[65:200),0.5735265700483092
2048.0,0,Female,[65:200),0.5735265700483092
2049.0,1,Male,[15:20),0.0039566488904180285
2049.0,0,Male,[15:20),0.0039566488904180285
2049.0,1,Male,[20:25),0.017984390906006106
2049.0,0,Male,[20:25),0.017984390906006106
2049.0,1,Male,[25:30),0.04636785162287481
2049.0,0,Male,[25:30),0.04636785162287481
2049.0,1,Male,[30:35),0.08760951188986232
2049.0,0,Male,[30:35),0.08760951188986232
2049.0,1,Male,[35:40),0.13166083236094905
2049.0,0,Male,[35:40),0.13166083236094905
2049.0,1,Male,[40:45),0.17750969409737183
2049.0,0,Male,[40:45),0.17750969409737183
2049.0,1,Male,[45:50),0.22196316157612497
2049.0,0,Male,[45:50),0.22196316157612497
2049.0,1,Male,[50:55),0.32115143929912393
2049.0,0,Male,[50:55),0.32115143929912393
2049.0,1,Male,[55:60),0.43546099290780144
2049.0,0,Male,[55:60),0.43546099290780144
2049.0,1,Male,[60:65),0.5267312522425547
2049.0,0,Male,[60:65),0.5267312522425547
2049.0,1,Male,[65:200),0.5842383737120579
2049.0,0,Male,[65:200),0.5842383737120579
2049.0,1,Female,[15:20),0.0390625
2049.0,0,Female,[15:20),0.0390625
2049.0,1,Female,[20:25),0.10720825703346096
2049.0,0,Female,[20:25),0.10720825703346096
2049.0,1,Female,[25:30),0.16563440099097504
2049.0,0,Female,[25:30),0.16563440099097504
2049.0,1,Female,[30:35),0.21728217999282898
2049.0,0,Female,[30:35),0.21728217999282898
2049.0,1,Female,[35:40),0.26535996984545795
2049.0,0,Female,[35:40),0.26535996984545795
2049.0,1,Female,[40:45),0.31285686158692655
2049.0,0,Female,[40:45),0.31285686158692655
2049.0,1,Female,[45:50),0.3831010838310108
2049.0,0,Female,[45:50),0.3831010838310108
2049.0,1,Female,[50:55),0.4574417498811222
2049.0,0,Female,[50:55),0.4574417498811222
2049.0,1,Female,[55:60),0.5419605935295548
2049.0,0,Female,[55:60),0.5419605935295548
2049.0,1,Female,[60:65),0.607780612244898
2049.0,0,Female,[60:65),0.607780612244898
2049.0,1,Female,[65:200),0.5910502283105022
2049.0,0,Female,[65:200),0.5910502283105022
2050.0,1,Male,[15:20),0.003914227365554799
2050.0,0,Male,[15:20),0.003914227365554799
2050.0,1,Male,[20:25),0.01771418838358031
2050.0,0,Male,[20:25),0.01771418838358031
2050.0,1,Male,[25:30),0.04438327885773267
2050.0,0,Male,[25:30),0.04438327885773267
2050.0,1,Male,[30:35),0.08611599297012303
2050.0,0,Male,[30:35),0.08611599297012303
2050.0,1,Male,[35:40),0.12866512345679013
2050.0,0,Male,[35:40),0.12866512345679013
2050.0,1,Male,[40:45),0.17872784150156412
2050.0,0,Male,[40:45),0.17872784150156412
2050.0,1,Male,[45:50),0.22282480547040792
2050.0,0,Male,[45:50),0.22282480547040792
2050.0,1,Male,[50:55),0.295369211514393
2050.0,0,Male,[50:55),0.295369211514393
2050.0,1,Male,[55:60),0.42165321458391314
2050.0,0,Male,[55:60),0.42165321458391314
2050.0,1,Male,[60:65),0.5046343975283213
2050.0,0,Male,[60:65),0.5046343975283213
2050.0,1,Male,[65:200),0.5923500130992926
2050.0,0,Male,[65:200),0.5923500130992926
2050.0,1,Female,[15:20),0.03745193111519813
2050.0,0,Female,[15:20),0.03745193111519813
2050.0,1,Female,[20:25),0.10787414682869985
2050.0,0,Female,[20:25),0.10787414682869985
2050.0,1,Female,[25:30),0.16637508747375787
2050.0,0,Female,[25:30),0.16637508747375787
2050.0,1,Female,[30:35),0.21245356447903768
2050.0,0,Female,[30:35),0.21245356447903768
2050.0,1,Female,[35:40),0.2626109956546382
2050.0,0,Female,[35:40),0.2626109956546382
2050.0,1,Female,[40:45),0.30690388706246374
2050.0,0,Female,[40:45),0.30690388706246374
2050.0,1,Female,[45:50),0.36433428383417416
2050.0,0,Female,[45:50),0.36433428383417416
2050.0,1,Female,[50:55),0.4496597042947665
2050.0,0,Female,[50:55),0.4496597042947665
2050.0,1,Female,[55:60),0.5285855101034993
2050.0,0,Female,[55:60),0.5285855101034993
2050.0,1,Female,[60:65),0.6004140786749482
2050.0,0,Female,[60:65),0.6004140786749482
2050.0,1,Female,[65:200),0.5978052604075945
2050.0,0,Female,[65:200),0.5978052604075945
