Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),5865
2048.0,0,Male,[0:5),5865
2048.0,1,Male,[0:200),67186
2048.0,0,Male,[0:200),67186
2048.0,1,Male,[5:10),5876
2048.0,0,Male,[5:10),5876
2048.0,1,Male,[10:15),6064
2048.0,0,Male,[10:15),6064
2048.0,1,Male,[15:20),5913
2048.0,0,Male,[15:20),5913
2048.0,1,Male,[20:25),5766
2048.0,0,Male,[20:25),5766
2048.0,1,Male,[25:30),5616
2048.0,0,Male,[25:30),5616
2048.0,1,Male,[30:35),5288
2048.0,0,Male,[30:35),5288
2048.0,1,Male,[35:40),5059
2048.0,0,Male,[35:40),5059
2048.0,1,Male,[40:45),4556
2048.0,0,Male,[40:45),4556
2048.0,1,Male,[45:50),4183
2048.0,0,Male,[45:50),4183
2048.0,1,Male,[50:55),3904
2048.0,0,Male,[50:55),3904
2048.0,1,Male,[55:60),3393
2048.0,0,Male,[55:60),3393
2048.0,1,Male,[60:65),2512
2048.0,0,Male,[60:65),2512
2048.0,1,Male,[65:70),1530
2048.0,0,Male,[65:70),1530
2048.0,1,Male,[70:75),867
2048.0,0,Male,[70:75),867
2048.0,1,Male,[75:80),493
2048.0,0,Male,[75:80),493
2048.0,1,Female,[0:5),5910
2048.0,0,Female,[0:5),5910
2048.0,1,Female,[0:200),71524
2048.0,0,Female,[0:200),71524
2048.0,1,Female,[5:10),5881
2048.0,0,Female,[5:10),5881
2048.0,1,Female,[10:15),6090
2048.0,0,Female,[10:15),6090
2048.0,1,Female,[15:20),6057
2048.0,0,Female,[15:20),6057
2048.0,1,Female,[20:25),5937
2048.0,0,Female,[20:25),5937
2048.0,1,Female,[25:30),5624
2048.0,0,Female,[25:30),5624
2048.0,1,Female,[30:35),5567
2048.0,0,Female,[30:35),5567
2048.0,1,Female,[35:40),5264
2048.0,0,Female,[35:40),5264
2048.0,1,Female,[40:45),4750
2048.0,0,Female,[40:45),4750
2048.0,1,Female,[45:50),4351
2048.0,0,Female,[45:50),4351
2048.0,1,Female,[50:55),4236
2048.0,0,Female,[50:55),4236
2048.0,1,Female,[55:60),3828
2048.0,0,Female,[55:60),3828
2048.0,1,Female,[60:65),2928
2048.0,0,Female,[60:65),2928
2048.0,1,Female,[65:70),1889
2048.0,0,Female,[65:70),1889
2048.0,1,Female,[70:75),1309
2048.0,0,Female,[70:75),1309
2048.0,1,Female,[75:80),933
2048.0,0,Female,[75:80),933
2049.0,1,Male,[0:5),5785
2049.0,0,Male,[0:5),5785
2049.0,1,Male,[0:200),67746
2049.0,0,Male,[0:200),67746
2049.0,1,Male,[5:10),5962
2049.0,0,Male,[5:10),5962
2049.0,1,Male,[10:15),5994
2049.0,0,Male,[10:15),5994
2049.0,1,Male,[15:20),5889
2049.0,0,Male,[15:20),5889
2049.0,1,Male,[20:25),5812
2049.0,0,Male,[20:25),5812
2049.0,1,Male,[25:30),5597
2049.0,0,Male,[25:30),5597
2049.0,1,Male,[30:35),5423
2049.0,0,Male,[30:35),5423
2049.0,1,Male,[35:40),5096
2049.0,0,Male,[35:40),5096
2049.0,1,Male,[40:45),4602
2049.0,0,Male,[40:45),4602
2049.0,1,Male,[45:50),4210
2049.0,0,Male,[45:50),4210
2049.0,1,Male,[50:55),3964
2049.0,0,Male,[50:55),3964
2049.0,1,Male,[55:60),3405
2049.0,0,Male,[55:60),3405
2049.0,1,Male,[60:65),2614
2049.0,0,Male,[60:65),2614
2049.0,1,Male,[65:70),1664
2049.0,0,Male,[65:70),1664
2049.0,1,Male,[70:75),897
2049.0,0,Male,[70:75),897
2049.0,1,Male,[75:80),512
2049.0,0,Male,[75:80),512
2049.0,1,Female,[0:5),5844
2049.0,0,Female,[0:5),5844
2049.0,1,Female,[0:200),72285
2049.0,0,Female,[0:200),72285
2049.0,1,Female,[5:10),5850
