Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6080
2048.0,0,Male,[0:5),6080
2048.0,1,Male,[0:200),68578
2048.0,0,Male,[0:200),68578
2048.0,1,Male,[5:10),5920
2048.0,0,Male,[5:10),5920
2048.0,1,Male,[10:15),6219
2048.0,0,Male,[10:15),6219
2048.0,1,Male,[15:20),6124
2048.0,0,Male,[15:20),6124
2048.0,1,Male,[20:25),5863
2048.0,0,Male,[20:25),5863
2048.0,1,Male,[25:30),5703
2048.0,0,Male,[25:30),5703
2048.0,1,Male,[30:35),5435
2048.0,0,Male,[30:35),5435
2048.0,1,Male,[35:40),5060
2048.0,0,Male,[35:40),5060
2048.0,1,Male,[40:45),4614
2048.0,0,Male,[40:45),4614
2048.0,1,Male,[45:50),4387
2048.0,0,Male,[45:50),4387
2048.0,1,Male,[50:55),3946
2048.0,0,Male,[50:55),3946
2048.0,1,Male,[55:60),3403
2048.0,0,Male,[55:60),3403
2048.0,1,Male,[60:65),2558
2048.0,0,Male,[60:65),2558
2048.0,1,Male,[65:70),1584
2048.0,0,Male,[65:70),1584
2048.0,1,Male,[70:75),873
2048.0,0,Male,[70:75),873
2048.0,1,Male,[75:80),495
2048.0,0,Male,[75:80),495
2048.0,1,Female,[0:5),6143
2048.0,0,Female,[0:5),6143
2048.0,1,Female,[0:200),73047
2048.0,0,Female,[0:200),73047
2048.0,1,Female,[5:10),6019
2048.0,0,Female,[5:10),6019
2048.0,1,Female,[10:15),6271
2048.0,0,Female,[10:15),6271
2048.0,1,Female,[15:20),6141
2048.0,0,Female,[15:20),6141
2048.0,1,Female,[20:25),6007
2048.0,0,Female,[20:25),6007
2048.0,1,Female,[25:30),5763
2048.0,0,Female,[25:30),5763
2048.0,1,Female,[30:35),5676
2048.0,0,Female,[30:35),5676
2048.0,1,Female,[35:40),5337
2048.0,0,Female,[35:40),5337
2048.0,1,Female,[40:45),4894
2048.0,0,Female,[40:45),4894
2048.0,1,Female,[45:50),4433
2048.0,0,Female,[45:50),4433
2048.0,1,Female,[50:55),4350
2048.0,0,Female,[50:55),4350
2048.0,1,Female,[55:60),3815
2048.0,0,Female,[55:60),3815
2048.0,1,Female,[60:65),3013
2048.0,0,Female,[60:65),3013
2048.0,1,Female,[65:70),2046
2048.0,0,Female,[65:70),2046
2048.0,1,Female,[70:75),1320
2048.0,0,Female,[70:75),1320
2048.0,1,Female,[75:80),925
2048.0,0,Female,[75:80),925
2049.0,1,Male,[0:5),6065
2049.0,0,Male,[0:5),6065
2049.0,1,Male,[0:200),69219
2049.0,0,Male,[0:200),69219
2049.0,1,Male,[5:10),5969
2049.0,0,Male,[5:10),5969
2049.0,1,Male,[10:15),6121
2049.0,0,Male,[10:15),6121
2049.0,1,Male,[15:20),6138
2049.0,0,Male,[15:20),6138
2049.0,1,Male,[20:25),5948
2049.0,0,Male,[20:25),5948
2049.0,1,Male,[25:30),5719
2049.0,0,Male,[25:30),5719
2049.0,1,Male,[30:35),5507
2049.0,0,Male,[30:35),5507
2049.0,1,Male,[35:40),5074
2049.0,0,Male,[35:40),5074
2049.0,1,Male,[40:45),4693
2049.0,0,Male,[40:45),4693
2049.0,1,Male,[45:50),4411
2049.0,0,Male,[45:50),4411
2049.0,1,Male,[50:55),4036
2049.0,0,Male,[50:55),4036
2049.0,1,Male,[55:60),3421
2049.0,0,Male,[55:60),3421
2049.0,1,Male,[60:65),2671
2049.0,0,Male,[60:65),2671
2049.0,1,Male,[65:70),1684
2049.0,0,Male,[65:70),1684
2049.0,1,Male,[70:75),934
2049.0,0,Male,[70:75),934
2049.0,1,Male,[75:80),499
2049.0,0,Male,[75:80),499
2049.0,1,Female,[0:5),6224
