Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6121
2048.0,0,Male,[0:5),6121
2048.0,1,Male,[0:200),67917
2048.0,0,Male,[0:200),67917
2048.0,1,Male,[5:10),5902
2048.0,0,Male,[5:10),5902
2048.0,1,Male,[10:15),6144
2048.0,0,Male,[10:15),6144
2048.0,1,Male,[15:20),6029
2048.0,0,Male,[15:20),6029
2048.0,1,Male,[20:25),5900
2048.0,0,Male,[20:25),5900
2048.0,1,Male,[25:30),5579
2048.0,0,Male,[25:30),5579
2048.0,1,Male,[30:35),5283
2048.0,0,Male,[30:35),5283
2048.0,1,Male,[35:40),5016
2048.0,0,Male,[35:40),5016
2048.0,1,Male,[40:45),4632
2048.0,0,Male,[40:45),4632
2048.0,1,Male,[45:50),4132
2048.0,0,Male,[45:50),4132
2048.0,1,Male,[50:55),3905
2048.0,0,Male,[50:55),3905
2048.0,1,Male,[55:60),3353
2048.0,0,Male,[55:60),3353
2048.0,1,Male,[60:65),2538
2048.0,0,Male,[60:65),2538
2048.0,1,Male,[65:70),1619
2048.0,0,Male,[65:70),1619
2048.0,1,Male,[70:75),957
2048.0,0,Male,[70:75),957
2048.0,1,Male,[75:80),514
2048.0,0,Male,[75:80),514
2048.0,1,Female,[0:5),6054
2048.0,0,Female,[0:5),6054
2048.0,1,Female,[0:200),72792
2048.0,0,Female,[0:200),72792
2048.0,1,Female,[5:10),6146
2048.0,0,Female,[5:10),6146
2048.0,1,Female,[10:15),6247
2048.0,0,Female,[10:15),6247
2048.0,1,Female,[15:20),6060
2048.0,0,Female,[15:20),6060
2048.0,1,Female,[20:25),5923
2048.0,0,Female,[20:25),5923
2048.0,1,Female,[25:30),5709
2048.0,0,Female,[25:30),5709
2048.0,1,Female,[30:35),5622
2048.0,0,Female,[30:35),5622
2048.0,1,Female,[35:40),5278
2048.0,0,Female,[35:40),5278
2048.0,1,Female,[40:45),4915
2048.0,0,Female,[40:45),4915
2048.0,1,Female,[45:50),4588
2048.0,0,Female,[45:50),4588
2048.0,1,Female,[50:55),4248
2048.0,0,Female,[50:55),4248
2048.0,1,Female,[55:60),3856
2048.0,0,Female,[55:60),3856
2048.0,1,Female,[60:65),2972
2048.0,0,Female,[60:65),2972
2048.0,1,Female,[65:70),1965
2048.0,0,Female,[65:70),1965
2048.0,1,Female,[70:75),1359
2048.0,0,Female,[70:75),1359
2048.0,1,Female,[75:80),940
2048.0,0,Female,[75:80),940
2049.0,1,Male,[0:5),6097
2049.0,0,Male,[0:5),6097
2049.0,1,Male,[0:200),68480
2049.0,0,Male,[0:200),68480
2049.0,1,Male,[5:10),5972
2049.0,0,Male,[5:10),5972
2049.0,1,Male,[10:15),6040
2049.0,0,Male,[10:15),6040
2049.0,1,Male,[15:20),6012
2049.0,0,Male,[15:20),6012
2049.0,1,Male,[20:25),5947
2049.0,0,Male,[20:25),5947
2049.0,1,Male,[25:30),5703
2049.0,0,Male,[25:30),5703
2049.0,1,Male,[30:35),5271
2049.0,0,Male,[30:35),5271
2049.0,1,Male,[35:40),5038
2049.0,0,Male,[35:40),5038
2049.0,1,Male,[40:45),4690
2049.0,0,Male,[40:45),4690
2049.0,1,Male,[45:50),4238
2049.0,0,Male,[45:50),4238
2049.0,1,Male,[50:55),3870
2049.0,0,Male,[50:55),3870
2049.0,1,Male,[55:60),3398
2049.0,0,Male,[55:60),3398
2049.0,1,Male,[60:65),2652
2049.0,0,Male,[60:65),2652
2049.0,1,Male,[65:70),1720
2049.0,0,Male,[65:70),1720
2049.0,1,Male,[70:75),990
2049.0,0,Male,[70:75),990
2049.0,1,Male,[75:80),513
2049.0,0,Male,[75:80),513
2049.0,1,Female,[0:5),6034
2049.0,0,Female,[0:5),6034
2049.0,1,Female,[0:200),73547
2049.0,0,Female,[0:200),73547
2049.0,1,Female,[5:10),6119
2049.0,0,Female,[5:10),6119
2049.0,1,Female,[10:15),6248
2049.0,0,Female,[10:15),6248
2049.0,1,Female,[15:20),6047
2049.0,0,Female,[15:20),6047
2049.0,1,Female,[20:25),5901
2049.0,0,Female,[20:25),5901
2049.0,1,Female,[25:30),5810
2049.0,0,Female,[25:30),5810
2049.0,1,Female,[30:35),5609
2049.0,0,Female,[30:35),5609
2049.0,1,Female,[35:40),5355
2049.0,0,Female,[35:40),5355
2049.0,1,Female,[40:45),4990
2049.0,0,Female,[40:45),4990
2049.0,1,Female,[45:50),4627
2049.0,0,Female,[45:50),4627
2049.0,1,Female,[50:55),4299
2049.0,0,Female,[50:55),4299
2049.0,1,Female,[55:60),3895
2049.0,0,Female,[55:60),3895
2049.0,1,Female,[60:65),3156
2049.0,0,Female,[60:65),3156
2049.0,1,Female,[65:70),2145
2049.0,0,Female,[65:70),2145
2049.0,1,Female,[70:75),1391
2049.0,0,Female,[70:75),1391
2049.0,1,Female,[75:80),970
2049.0,0,Female,[75:80),970
2050.0,1,Male,[0:5),6053
2050.0,0,Male,[0:5),6053
2050.0,1,Male,[0:200),69120
2050.0,0,Male,[0:200),69120
2050.0,1,Male,[5:10),5991
2050.0,0,Male,[5:10),5991
2050.0,1,Male,[10:15),6026
2050.0,0,Male,[10:15),6026
2050.0,1,Male,[15:20),6057
2050.0,0,Male,[15:20),6057
2050.0,1,Male,[20:25),5978
2050.0,0,Male,[20:25),5978
2050.0,1,Male,[25:30),5680
2050.0,0,Male,[25:30),5680
2050.0,1,Male,[30:35),5392
2050.0,0,Male,[30:35),5392
2050.0,1,Male,[35:40),5045
2050.0,0,Male,[35:40),5045
2050.0,1,Male,[40:45),4754
2050.0,0,Male,[40:45),4754
2050.0,1,Male,[45:50),4314
2050.0,0,Male,[45:50),4314
2050.0,1,Male,[50:55),3833
2050.0,0,Male,[50:55),3833
2050.0,1,Male,[55:60),3495
2050.0,0,Male,[55:60),3495
2050.0,1,Male,[60:65),2695
2050.0,0,Male,[60:65),2695
2050.0,1,Male,[65:70),1869
2050.0,0,Male,[65:70),1869
2050.0,1,Male,[70:75),1032
2050.0,0,Male,[70:75),1032
2050.0,1,Male,[75:80),548
2050.0,0,Male,[75:80),548
2050.0,1,Female,[0:5),6037
2050.0,0,Female,[0:5),6037
2050.0,1,Female,[0:200),74293
2050.0,0,Female,[0:200),74293
2050.0,1,Female,[5:10),6018
2050.0,0,Female,[5:10),6018
2050.0,1,Female,[10:15),6237
2050.0,0,Female,[10:15),6237
2050.0,1,Female,[15:20),6119
2050.0,0,Female,[15:20),6119
2050.0,1,Female,[20:25),5935
2050.0,0,Female,[20:25),5935
2050.0,1,Female,[25:30),5778
2050.0,0,Female,[25:30),5778
2050.0,1,Female,[30:35),5681
2050.0,0,Female,[30:35),5681
