Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[15:20),0.0036490296898324765
2048.0,0,Male,[15:20),0.0036490296898324765
2048.0,1,Male,[20:25),0.01694915254237288
2048.0,0,Male,[20:25),0.01694915254237288
2048.0,1,Male,[25:30),0.05072593654776842
2048.0,0,Male,[25:30),0.05072593654776842
2048.0,1,Male,[30:35),0.08782888510316109
2048.0,0,Male,[30:35),0.08782888510316109
2048.0,1,Male,[35:40),0.13576555023923445
2048.0,0,Male,[35:40),0.13576555023923445
2048.0,1,Male,[40:45),0.17271157167530224
2048.0,0,Male,[40:45),0.17271157167530224
2048.0,1,Male,[45:50),0.2415295256534366
2048.0,0,Male,[45:50),0.2415295256534366
2048.0,1,Male,[50:55),0.3477592829705506
2048.0,0,Male,[50:55),0.3477592829705506
2048.0,1,Male,[55:60),0.4297643900984193
2048.0,0,Male,[55:60),0.4297643900984193
2048.0,1,Male,[60:65),0.5437352245862884
2048.0,0,Male,[60:65),0.5437352245862884
2048.0,1,Male,[65:200),0.6047886491279929
2048.0,0,Male,[65:200),0.6047886491279929
2048.0,1,Female,[15:20),0.02920792079207921
2048.0,0,Female,[15:20),0.02920792079207921
2048.0,1,Female,[20:25),0.09049468174911363
2048.0,0,Female,[20:25),0.09049468174911363
2048.0,1,Female,[25:30),0.15519355403748467
2048.0,0,Female,[25:30),0.15519355403748467
2048.0,1,Female,[30:35),0.2008182141586624
2048.0,0,Female,[30:35),0.2008182141586624
2048.0,1,Female,[35:40),0.26373626373626374
2048.0,0,Female,[35:40),0.26373626373626374
2048.0,1,Female,[40:45),0.3298067141403866
2048.0,0,Female,[40:45),0.3298067141403866
2048.0,1,Female,[45:50),0.4075850043591979
2048.0,0,Female,[45:50),0.4075850043591979
2048.0,1,Female,[50:55),0.4788135593220339
2048.0,0,Female,[50:55),0.4788135593220339
2048.0,1,Female,[55:60),0.5713174273858921
2048.0,0,Female,[55:60),0.5713174273858921
2048.0,1,Female,[60:65),0.6578061911170928
2048.0,0,Female,[60:65),0.6578061911170928
2048.0,1,Female,[65:200),0.5974101275608813
2048.0,0,Female,[65:200),0.5974101275608813
2049.0,1,Male,[15:20),0.0038256819693945443
2049.0,0,Male,[15:20),0.0038256819693945443
2049.0,1,Male,[20:25),0.013788464772154027
2049.0,0,Male,[20:25),0.013788464772154027
2049.0,1,Male,[25:30),0.04734350341925302
2049.0,0,Male,[25:30),0.04734350341925302
2049.0,1,Male,[30:35),0.08821855435401252
2049.0,0,Male,[30:35),0.08821855435401252
2049.0,1,Male,[35:40),0.1317983326716951
2049.0,0,Male,[35:40),0.1317983326716951
2049.0,1,Male,[40:45),0.16886993603411513
2049.0,0,Male,[40:45),0.16886993603411513
2049.0,1,Male,[45:50),0.23737612081170364
2049.0,0,Male,[45:50),0.23737612081170364
2049.0,1,Male,[50:55),0.32558139534883723
