Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6087
2048.0,0,Male,[0:5),6087
2048.0,1,Male,[0:200),68652
2048.0,0,Male,[0:200),68652
2048.0,1,Male,[5:10),6004
2048.0,0,Male,[5:10),6004
2048.0,1,Male,[10:15),6239
2048.0,0,Male,[10:15),6239
2048.0,1,Male,[15:20),6008
2048.0,0,Male,[15:20),6008
2048.0,1,Male,[20:25),5917
2048.0,0,Male,[20:25),5917
2048.0,1,Male,[25:30),5678
2048.0,0,Male,[25:30),5678
2048.0,1,Male,[30:35),5568
2048.0,0,Male,[30:35),5568
2048.0,1,Male,[35:40),5054
2048.0,0,Male,[35:40),5054
2048.0,1,Male,[40:45),4674
2048.0,0,Male,[40:45),4674
2048.0,1,Male,[45:50),4283
2048.0,0,Male,[45:50),4283
2048.0,1,Male,[50:55),3884
2048.0,0,Male,[50:55),3884
2048.0,1,Male,[55:60),3427
2048.0,0,Male,[55:60),3427
2048.0,1,Male,[60:65),2642
2048.0,0,Male,[60:65),2642
2048.0,1,Male,[65:70),1588
2048.0,0,Male,[65:70),1588
2048.0,1,Male,[70:75),855
2048.0,0,Male,[70:75),855
2048.0,1,Male,[75:80),449
2048.0,0,Male,[75:80),449
2048.0,1,Female,[0:5),6220
2048.0,0,Female,[0:5),6220
2048.0,1,Female,[0:200),73368
2048.0,0,Female,[0:200),73368
2048.0,1,Female,[5:10),6037
2048.0,0,Female,[5:10),6037
2048.0,1,Female,[10:15),6186
2048.0,0,Female,[10:15),6186
2048.0,1,Female,[15:20),6020
2048.0,0,Female,[15:20),6020
2048.0,1,Female,[20:25),6094
2048.0,0,Female,[20:25),6094
2048.0,1,Female,[25:30),5840
2048.0,0,Female,[25:30),5840
2048.0,1,Female,[30:35),5766
2048.0,0,Female,[30:35),5766
2048.0,1,Female,[35:40),5363
2048.0,0,Female,[35:40),5363
2048.0,1,Female,[40:45),4753
2048.0,0,Female,[40:45),4753
2048.0,1,Female,[45:50),4548
2048.0,0,Female,[45:50),4548
2048.0,1,Female,[50:55),4424
2048.0,0,Female,[50:55),4424
