Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[15:20),0.003828229027962716
2048.0,0,Male,[15:20),0.003828229027962716
2048.0,1,Male,[20:25),0.018083488254182864
2048.0,0,Male,[20:25),0.018083488254182864
2048.0,1,Male,[25:30),0.05230715040507221
2048.0,0,Male,[25:30),0.05230715040507221
2048.0,1,Male,[30:35),0.08764367816091954
2048.0,0,Male,[30:35),0.08764367816091954
2048.0,1,Male,[35:40),0.12702809655718242
2048.0,0,Male,[35:40),0.12702809655718242
2048.0,1,Male,[40:45),0.1857081728712024
2048.0,0,Male,[40:45),0.1857081728712024
2048.0,1,Male,[45:50),0.253327107167873
2048.0,0,Male,[45:50),0.253327107167873
2048.0,1,Male,[50:55),0.3568486096807415
2048.0,0,Male,[50:55),0.3568486096807415
2048.0,1,Male,[55:60),0.45083163116428365
2048.0,0,Male,[55:60),0.45083163116428365
2048.0,1,Male,[60:65),0.5333080999242997
2048.0,0,Male,[60:65),0.5333080999242997
2048.0,1,Male,[65:200),0.5977408220897396
2048.0,0,Male,[65:200),0.5977408220897396
2048.0,1,Female,[15:20),0.03189368770764119
2048.0,0,Female,[15:20),0.03189368770764119
2048.0,1,Female,[20:25),0.09484739087627174
2048.0,0,Female,[20:25),0.09484739087627174
2048.0,1,Female,[25:30),0.16404109589041097
2048.0,0,Female,[25:30),0.16404109589041097
2048.0,1,Female,[30:35),0.20933055844606313
2048.0,0,Female,[30:35),0.20933055844606313
2048.0,1,Female,[35:40),0.27465970538877493
2048.0,0,Female,[35:40),0.27465970538877493
2048.0,1,Female,[40:45),0.32737218598779716
2048.0,0,Female,[40:45),0.32737218598779716
2048.0,1,Female,[45:50),0.40127528583992966
2048.0,0,Female,[45:50),0.40127528583992966
2048.0,1,Female,[50:55),0.48982820976491864
2048.0,0,Female,[50:55),0.48982820976491864
2048.0,1,Female,[55:60),0.5564598168870803
2048.0,0,Female,[55:60),0.5564598168870803
2048.0,1,Female,[60:65),0.6418157720344599
2048.0,0,Female,[60:65),0.6418157720344599
2048.0,1,Female,[65:200),0.6018966518289143
2048.0,0,Female,[65:200),0.6018966518289143
2049.0,1,Male,[15:20),0.003468208092485549
2049.0,0,Male,[15:20),0.003468208092485549
2049.0,1,Male,[20:25),0.0187636119953091
2049.0,0,Male,[20:25),0.0187636119953091
2049.0,1,Male,[25:30),0.04924174843889385
2049.0,0,Male,[25:30),0.04924174843889385
2049.0,1,Male,[30:35),0.08817354793561931
2049.0,0,Male,[30:35),0.08817354793561931
2049.0,1,Male,[35:40),0.12451209992193599
2049.0,0,Male,[35:40),0.12451209992193599
2049.0,1,Male,[40:45),0.18170293682653707
2049.0,0,Male,[40:45),0.18170293682653707
2049.0,1,Male,[45:50),0.2454865181711606
2049.0,0,Male,[45:50),0.2454865181711606
2049.0,1,Male,[50:55),0.3421985815602837
2049.0,0,Male,[50:55),0.3421985815602837
2049.0,1,Male,[55:60),0.4460202604920405
2049.0,0,Male,[55:60),0.4460202604920405
2049.0,1,Male,[60:65),0.5173547679941541
2049.0,0,Male,[60:65),0.5173547679941541
2049.0,1,Male,[65:200),0.602242549424609
2049.0,0,Male,[65:200),0.602242549424609
2049.0,1,Female,[15:20),0.031120675384870053
2049.0,0,Female,[15:20),0.031120675384870053
2049.0,1,Female,[20:25),0.09474377986488713
2049.0,0,Female,[20:25),0.09474377986488713
2049.0,1,Female,[25:30),0.15750169721656485
2049.0,0,Female,[25:30),0.15750169721656485
2049.0,1,Female,[30:35),0.21335646140503037
2049.0,0,Female,[30:35),0.21335646140503037
2049.0,1,Female,[35:40),0.2635332845647403
2049.0,0,Female,[35:40),0.2635332845647403
2049.0,1,Female,[40:45),0.3236911794662864
2049.0,0,Female,[40:45),0.3236911794662864
2049.0,1,Female,[45:50),0.3878005342831701
2049.0,0,Female,[45:50),0.3878005342831701
2049.0,1,Female,[50:55),0.4783486650213148
2049.0,0,Female,[50:55),0.4783486650213148
2049.0,1,Female,[55:60),0.5409023301933564
2049.0,0,Female,[55:60),0.5409023301933564
2049.0,1,Female,[60:65),0.6295376977970835
2049.0,0,Female,[60:65),0.6295376977970835
2049.0,1,Female,[65:200),0.6106292673925079
2049.0,0,Female,[65:200),0.6106292673925079
2050.0,1,Male,[15:20),0.004130865829477859
2050.0,0,Male,[15:20),0.004130865829477859
2050.0,1,Male,[20:25),0.01682085786375105
2050.0,0,Male,[20:25),0.01682085786375105
2050.0,1,Male,[25:30),0.048720644935155974
2050.0,0,Male,[25:30),0.048720644935155974
2050.0,1,Male,[30:35),0.09067131647776809
2050.0,0,Male,[30:35),0.09067131647776809
2050.0,1,Male,[35:40),0.12555448408871744
2050.0,0,Male,[35:40),0.12555448408871744
2050.0,1,Male,[40:45),0.17230576441102757
2050.0,0,Male,[40:45),0.17230576441102757
2050.0,1,Male,[45:50),0.23722118959107807
2050.0,0,Male,[45:50),0.23722118959107807
2050.0,1,Male,[50:55),0.33200696344192987
2050.0,0,Male,[50:55),0.33200696344192987
2050.0,1,Male,[55:60),0.4294496487119438
2050.0,0,Male,[55:60),0.4294496487119438
2050.0,1,Male,[60:65),0.510146955913226
2050.0,0,Male,[60:65),0.510146955913226
2050.0,1,Male,[65:200),0.5997241379310345
2050.0,0,Male,[65:200),0.5997241379310345
2050.0,1,Female,[15:20),0.034425686858656074
2050.0,0,Female,[15:20),0.034425686858656074
2050.0,1,Female,[20:25),0.09231024196221412
2050.0,0,Female,[20:25),0.09231024196221412
2050.0,1,Female,[25:30),0.1586635325721961
2050.0,0,Female,[25:30),0.1586635325721961
2050.0,1,Female,[30:35),0.20477518299058906
2050.0,0,Female,[30:35),0.20477518299058906
2050.0,1,Female,[35:40),0.2589641434262948
2050.0,0,Female,[35:40),0.2589641434262948
2050.0,1,Female,[40:45),0.3150438946528332
2050.0,0,Female,[40:45),0.3150438946528332
2050.0,1,Female,[45:50),0.38285340314136124
2050.0,0,Female,[45:50),0.38285340314136124
2050.0,1,Female,[50:55),0.46602160216021604
2050.0,0,Female,[50:55),0.46602160216021604
2050.0,1,Female,[55:60),0.5317947458875522
2050.0,0,Female,[55:60),0.5317947458875522
2050.0,1,Female,[60:65),0.6145284124194493
2050.0,0,Female,[60:65),0.6145284124194493
2050.0,1,Female,[65:200),0.6183206106870229
2050.0,0,Female,[65:200),0.6183206106870229
2011.5,1,Male,[15:20),0.02609262883235486
2011.5,0,Male,[15:20),0.02609262883235486
2011.5,1,Male,[20:25),0.09072535369413878
2011.5,0,Male,[20:25),0.09072535369413878
2011.5,1,Male,[25:30),0.23430616740088106
2011.5,0,Male,[25:30),0.23430616740088106
2011.5,1,Male,[30:35),0.3617021276595745
2011.5,0,Male,[30:35),0.3617021276595745
2011.5,1,Male,[35:40),0.44171483622350677
2011.5,0,Male,[35:40),0.44171483622350677
2011.5,1,Male,[40:45),0.464264619019492
2011.5,0,Male,[40:45),0.464264619019492
2011.5,1,Male,[45:50),0.3981264637002342
2011.5,0,Male,[45:50),0.3981264637002342
2011.5,1,Male,[50:55),0.2895148669796557
2011.5,0,Male,[50:55),0.2895148669796557
2011.5,1,Male,[55:60),0.21764705882352942
2011.5,0,Male,[55:60),0.21764705882352942
2011.5,1,Male,[60:65),0.1223529411764706
2011.5,0,Male,[60:65),0.1223529411764706
2011.5,1,Male,[65:200),0.09202453987730061
2011.5,0,Male,[65:200),0.09202453987730061
2011.5,1,Female,[15:20),0.11347816916262392
2011.5,0,Female,[15:20),0.11347816916262392
2011.5,1,Female,[20:25),0.2904826341903473
2011.5,0,Female,[20:25),0.2904826341903473
2011.5,1,Female,[25:30),0.44491645426224863
2011.5,0,Female,[25:30),0.44491645426224863
2011.5,1,Female,[30:35),0.5081188118811881
2011.5,0,Female,[30:35),0.5081188118811881
2011.5,1,Female,[35:40),0.4950727358047865
2011.5,0,Female,[35:40),0.4950727358047865
2011.5,1,Female,[40:45),0.4279123414071511
2011.5,0,Female,[40:45),0.4279123414071511
2011.5,1,Female,[45:50),0.34203655352480417
2011.5,0,Female,[45:50),0.34203655352480417
2011.5,1,Female,[50:55),0.25966183574879226
2011.5,0,Female,[50:55),0.25966183574879226
2011.5,1,Female,[55:60),0.1624790619765494
2011.5,0,Female,[55:60),0.1624790619765494
2011.5,1,Female,[60:65),0.0779436152570481
2011.5,0,Female,[60:65),0.0779436152570481
2011.5,1,Female,[65:200),0.08207934336525308
2011.5,0,Female,[65:200),0.08207934336525308
2016.5,1,Male,[15:20),0.02378964941569282
2016.5,0,Male,[15:20),0.02378964941569282
2016.5,1,Male,[20:25),0.07106598984771574
2016.5,0,Male,[20:25),0.07106598984771574
2016.5,1,Male,[25:30),0.18122525040764034
2016.5,0,Male,[25:30),0.18122525040764034
2016.5,1,Male,[30:35),0.30284900284900285
2016.5,0,Male,[30:35),0.30284900284900285
2016.5,1,Male,[35:40),0.40776310524209686
2016.5,0,Male,[35:40),0.40776310524209686
2016.5,1,Male,[40:45),0.4722075172048703
2016.5,0,Male,[40:45),0.4722075172048703
2016.5,1,Male,[45:50),0.4618501012829169
2016.5,0,Male,[45:50),0.4618501012829169
2016.5,1,Male,[50:55),0.3770053475935829
2016.5,0,Male,[50:55),0.3770053475935829
2016.5,1,Male,[55:60),0.2553191489361702
2016.5,0,Male,[55:60),0.2553191489361702
2016.5,1,Male,[60:65),0.23917995444191345
2016.5,0,Male,[60:65),0.23917995444191345
2016.5,1,Male,[65:200),0.10739856801909307
2016.5,0,Male,[65:200),0.10739856801909307
2016.5,1,Female,[15:20),0.09474768280123584
2016.5,0,Female,[15:20),0.09474768280123584
2016.5,1,Female,[20:25),0.26332691072575465
2016.5,0,Female,[20:25),0.26332691072575465
2016.5,1,Female,[25:30),0.3975448536355052
2016.5,0,Female,[25:30),0.3975448536355052
2016.5,1,Female,[30:35),0.49453148093408217
2016.5,0,Female,[30:35),0.49453148093408217
2016.5,1,Female,[35:40),0.5412017167381974
2016.5,0,Female,[35:40),0.5412017167381974
2016.5,1,Female,[40:45),0.5276381909547738
2016.5,0,Female,[40:45),0.5276381909547738
2016.5,1,Female,[45:50),0.4478450968144909
2016.5,0,Female,[45:50),0.4478450968144909
2016.5,1,Female,[50:55),0.32647267565649396
2016.5,0,Female,[50:55),0.32647267565649396
2016.5,1,Female,[55:60),0.2506811989100817
2016.5,0,Female,[55:60),0.2506811989100817
2016.5,1,Female,[60:65),0.15818181818181817
2016.5,0,Female,[60:65),0.15818181818181817
2016.5,1,Female,[65:200),0.07156673114119923
2016.5,0,Female,[65:200),0.07156673114119923
2021.5,1,Male,[15:20),0.024113475177304965
2021.5,0,Male,[15:20),0.024113475177304965
2021.5,1,Male,[20:25),0.049873203719357564
2021.5,0,Male,[20:25),0.049873203719357564
2021.5,1,Male,[25:30),0.12671546203110703
2021.5,0,Male,[25:30),0.12671546203110703
2021.5,1,Male,[30:35),0.23862296628153737
2021.5,0,Male,[30:35),0.23862296628153737
2021.5,1,Male,[35:40),0.3469872365687148
2021.5,0,Male,[35:40),0.3469872365687148
2021.5,1,Male,[40:45),0.45044285111767185
2021.5,0,Male,[40:45),0.45044285111767185
2021.5,1,Male,[45:50),0.4928774928774929
2021.5,0,Male,[45:50),0.4928774928774929
2021.5,1,Male,[50:55),0.48542274052478135
2021.5,0,Male,[50:55),0.48542274052478135
2021.5,1,Male,[55:60),0.38883349950149554
2021.5,0,Male,[55:60),0.38883349950149554
2021.5,1,Male,[60:65),0.2751677852348993
2021.5,0,Male,[60:65),0.2751677852348993
2021.5,1,Male,[65:200),0.1871345029239766
2021.5,0,Male,[65:200),0.1871345029239766
2021.5,1,Female,[15:20),0.07221318144833198
2021.5,0,Female,[15:20),0.07221318144833198
2021.5,1,Female,[20:25),0.19600499375780275
2021.5,0,Female,[20:25),0.19600499375780275
2021.5,1,Female,[25:30),0.34118942731277535
2021.5,0,Female,[25:30),0.34118942731277535
2021.5,1,Female,[30:35),0.4428235294117647
2021.5,0,Female,[30:35),0.4428235294117647
2021.5,1,Female,[35:40),0.5444108761329305
2021.5,0,Female,[35:40),0.5444108761329305
2021.5,1,Female,[40:45),0.5792494481236203
2021.5,0,Female,[40:45),0.5792494481236203
2021.5,1,Female,[45:50),0.553878188443519
2021.5,0,Female,[45:50),0.553878188443519
2021.5,1,Female,[50:55),0.45980707395498394
2021.5,0,Female,[50:55),0.45980707395498394
2021.5,1,Female,[55:60),0.33001531393568145
2021.5,0,Female,[55:60),0.33001531393568145
2021.5,1,Female,[60:65),0.24629080118694363
2021.5,0,Female,[60:65),0.24629080118694363
2021.5,1,Female,[65:200),0.10631644777986242
2021.5,0,Female,[65:200),0.10631644777986242
2007.5,1,Male,[15:20),0.019637462235649546
2007.5,0,Male,[15:20),0.019637462235649546
2007.5,1,Male,[20:25),0.10279187817258884
2007.5,0,Male,[20:25),0.10279187817258884
2007.5,1,Male,[25:30),0.2531477799867462
