Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6186
2048.0,0,Male,[0:5),6186
2048.0,1,Male,[0:200),69872
2048.0,0,Male,[0:200),69872
2048.0,1,Male,[5:10),6076
2048.0,0,Male,[5:10),6076
2048.0,1,Male,[10:15),6041
2048.0,0,Male,[10:15),6041
2048.0,1,Male,[15:20),6082
2048.0,0,Male,[15:20),6082
2048.0,1,Male,[20:25),6110
2048.0,0,Male,[20:25),6110
2048.0,1,Male,[25:30),5811
2048.0,0,Male,[25:30),5811
2048.0,1,Male,[30:35),5601
2048.0,0,Male,[30:35),5601
2048.0,1,Male,[35:40),5149
2048.0,0,Male,[35:40),5149
2048.0,1,Male,[40:45),4792
2048.0,0,Male,[40:45),4792
2048.0,1,Male,[45:50),4408
2048.0,0,Male,[45:50),4408
2048.0,1,Male,[50:55),4084
2048.0,0,Male,[50:55),4084
2048.0,1,Male,[55:60),3527
2048.0,0,Male,[55:60),3527
2048.0,1,Male,[60:65),2628
2048.0,0,Male,[60:65),2628
2048.0,1,Male,[65:70),1654
2048.0,0,Male,[65:70),1654
2048.0,1,Male,[70:75),905
2048.0,0,Male,[70:75),905
2048.0,1,Male,[75:80),504
2048.0,0,Male,[75:80),504
2048.0,1,Female,[0:5),6344
2048.0,0,Female,[0:5),6344
2048.0,1,Female,[0:200),74430
2048.0,0,Female,[0:200),74430
2048.0,1,Female,[5:10),6178
2048.0,0,Female,[5:10),6178
2048.0,1,Female,[10:15),6223
2048.0,0,Female,[10:15),6223
2048.0,1,Female,[15:20),6180
2048.0,0,Female,[15:20),6180
2048.0,1,Female,[20:25),6138
2048.0,0,Female,[20:25),6138
2048.0,1,Female,[25:30),5930
2048.0,0,Female,[25:30),5930
2048.0,1,Female,[30:35),5686
2048.0,0,Female,[30:35),5686
2048.0,1,Female,[35:40),5297
2048.0,0,Female,[35:40),5297
2048.0,1,Female,[40:45),5037
2048.0,0,Female,[40:45),5037
2048.0,1,Female,[45:50),4570
2048.0,0,Female,[45:50),4570
2048.0,1,Female,[50:55),4349
2048.0,0,Female,[50:55),4349
2048.0,1,Female,[55:60),4020
2048.0,0,Female,[55:60),4020
2048.0,1,Female,[60:65),3140
2048.0,0,Female,[60:65),3140
2048.0,1,Female,[65:70),2037
2048.0,0,Female,[65:70),2037
2048.0,1,Female,[70:75),1386
2048.0,0,Female,[70:75),1386
2048.0,1,Female,[75:80),977
2048.0,0,Female,[75:80),977
2049.0,1,Male,[0:5),6112
2049.0,0,Male,[0:5),6112
2049.0,1,Male,[0:200),70533
2049.0,0,Male,[0:200),70533
2049.0,1,Male,[5:10),6161
2049.0,0,Male,[5:10),6161
2049.0,1,Male,[10:15),6060
2049.0,0,Male,[10:15),6060
2049.0,1,Male,[15:20),6006
2049.0,0,Male,[15:20),6006
2049.0,1,Male,[20:25),6143
2049.0,0,Male,[20:25),6143
2049.0,1,Male,[25:30),5818
2049.0,0,Male,[25:30),5818
2049.0,1,Male,[30:35),5660
2049.0,0,Male,[30:35),5660
2049.0,1,Male,[35:40),5234
2049.0,0,Male,[35:40),5234
2049.0,1,Male,[40:45),4904
2049.0,0,Male,[40:45),4904
2049.0,1,Male,[45:50),4404
2049.0,0,Male,[45:50),4404
2049.0,1,Male,[50:55),4092
2049.0,0,Male,[50:55),4092
2049.0,1,Male,[55:60),3620
2049.0,0,Male,[55:60),3620
2049.0,1,Male,[60:65),2711
2049.0,0,Male,[60:65),2711
2049.0,1,Male,[65:70),1773
2049.0,0,Male,[65:70),1773
2049.0,1,Male,[70:75),998
2049.0,0,Male,[70:75),998
2049.0,1,Male,[75:80),506
2049.0,0,Male,[75:80),506
2049.0,1,Female,[0:5),6323
2049.0,0,Female,[0:5),6323
2049.0,1,Female,[0:200),75220
2049.0,0,Female,[0:200),75220
2049.0,1,Female,[5:10),6138
2049.0,0,Female,[5:10),6138
2049.0,1,Female,[10:15),6250
2049.0,0,Female,[10:15),6250
2049.0,1,Female,[15:20),6133
2049.0,0,Female,[15:20),6133
2049.0,1,Female,[20:25),6180
2049.0,0,Female,[20:25),6180
2049.0,1,Female,[25:30),5915
2049.0,0,Female,[25:30),5915
2049.0,1,Female,[30:35),5802
2049.0,0,Female,[30:35),5802
2049.0,1,Female,[35:40),5427
2049.0,0,Female,[35:40),5427
2049.0,1,Female,[40:45),4991
2049.0,0,Female,[40:45),4991
2049.0,1,Female,[45:50),4702
2049.0,0,Female,[45:50),4702
2049.0,1,Female,[50:55),4325
2049.0,0,Female,[50:55),4325
2049.0,1,Female,[55:60),4112
2049.0,0,Female,[55:60),4112
2049.0,1,Female,[60:65),3313
2049.0,0,Female,[60:65),3313
2049.0,1,Female,[65:70),2176
2049.0,0,Female,[65:70),2176
2049.0,1,Female,[70:75),1426
2049.0,0,Female,[70:75),1426
2049.0,1,Female,[75:80),1016
2049.0,0,Female,[75:80),1016
2050.0,1,Male,[0:5),6096
2050.0,0,Male,[0:5),6096
2050.0,1,Male,[0:200),71158
2050.0,0,Male,[0:200),71158
2050.0,1,Male,[5:10),6138
2050.0,0,Male,[5:10),6138
2050.0,1,Male,[10:15),6075
2050.0,0,Male,[10:15),6075
2050.0,1,Male,[15:20),5957
2050.0,0,Male,[15:20),5957
2050.0,1,Male,[20:25),6225
2050.0,0,Male,[20:25),6225
2050.0,1,Male,[25:30),5812
2050.0,0,Male,[25:30),5812
2050.0,1,Male,[30:35),5696
2050.0,0,Male,[30:35),5696
2050.0,1,Male,[35:40),5288
2050.0,0,Male,[35:40),5288
2050.0,1,Male,[40:45),4962
2050.0,0,Male,[40:45),4962
2050.0,1,Male,[45:50),4464
2050.0,0,Male,[45:50),4464
2050.0,1,Male,[50:55),4092
2050.0,0,Male,[50:55),4092
2050.0,1,Male,[55:60),3725
2050.0,0,Male,[55:60),3725
2050.0,1,Male,[60:65),2795
2050.0,0,Male,[60:65),2795
2050.0,1,Male,[65:70),1893
2050.0,0,Male,[65:70),1893
2050.0,1,Male,[70:75),1050
2050.0,0,Male,[70:75),1050
2050.0,1,Male,[75:80),544
2050.0,0,Male,[75:80),544
2050.0,1,Female,[0:5),6227
2050.0,0,Female,[0:5),6227
2050.0,1,Female,[0:200),76022
2050.0,0,Female,[0:200),76022
2050.0,1,Female,[5:10),6162
2050.0,0,Female,[5:10),6162
2050.0,1,Female,[10:15),6327
2050.0,0,Female,[10:15),6327
2050.0,1,Female,[15:20),6150
2050.0,0,Female,[15:20),6150
2050.0,1,Female,[20:25),6133
2050.0,0,Female,[20:25),6133
2050.0,1,Female,[25:30),5966
2050.0,0,Female,[25:30),5966
2050.0,1,Female,[30:35),5819
2050.0,0,Female,[30:35),5819
2050.0,1,Female,[35:40),5514
2050.0,0,Female,[35:40),5514
2050.0,1,Female,[40:45),5097
2050.0,0,Female,[40:45),5097
2050.0,1,Female,[45:50),4709
2050.0,0,Female,[45:50),4709
2050.0,1,Female,[50:55),4351
2050.0,0,Female,[50:55),4351
2050.0,1,Female,[55:60),4135
2050.0,0,Female,[55:60),4135
2050.0,1,Female,[60:65),3553
2050.0,0,Female,[60:65),3553
2050.0,1,Female,[65:70),2322
2050.0,0,Female,[65:70),2322
2050.0,1,Female,[70:75),1477
2050.0,0,Female,[70:75),1477
2050.0,1,Female,[75:80),1019
2050.0,0,Female,[75:80),1019
2039.0,1,Male,[0:5),6051
2039.0,0,Male,[0:5),6051
2039.0,1,Male,[0:200),63242
2039.0,0,Male,[0:200),63242
2039.0,1,Male,[5:10),5941
2039.0,0,Male,[5:10),5941
2039.0,1,Male,[10:15),6324
2039.0,0,Male,[10:15),6324
2039.0,1,Male,[15:20),6027
2039.0,0,Male,[15:20),6027
2039.0,1,Male,[20:25),5738
2039.0,0,Male,[20:25),5738
2039.0,1,Male,[25:30),5303
2039.0,0,Male,[25:30),5303
2039.0,1,Male,[30:35),5101
2039.0,0,Male,[30:35),5101
2039.0,1,Male,[35:40),4654
2039.0,0,Male,[35:40),4654
2039.0,1,Male,[40:45),4400
2039.0,0,Male,[40:45),4400
2039.0,1,Male,[45:50),4139
2039.0,0,Male,[45:50),4139
2039.0,1,Male,[50:55),3349
2039.0,0,Male,[50:55),3349
2039.0,1,Male,[55:60),2453
2039.0,0,Male,[55:60),2453
2039.0,1,Male,[60:65),1578
2039.0,0,Male,[60:65),1578
2039.0,1,Male,[65:70),1069
2039.0,0,Male,[65:70),1069
2039.0,1,Male,[70:75),645
2039.0,0,Male,[70:75),645
2039.0,1,Male,[75:80),315
2039.0,0,Male,[75:80),315
2039.0,1,Female,[0:5),6200
2039.0,0,Female,[0:5),6200
2039.0,1,Female,[0:200),66388
2039.0,0,Female,[0:200),66388
2039.0,1,Female,[5:10),6087
2039.0,0,Female,[5:10),6087
2039.0,1,Female,[10:15),6334
2039.0,0,Female,[10:15),6334
2039.0,1,Female,[15:20),6059
2039.0,0,Female,[15:20),6059
2039.0,1,Female,[20:25),5886
2039.0,0,Female,[20:25),5886
2039.0,1,Female,[25:30),5408
2039.0,0,Female,[25:30),5408
2039.0,1,Female,[30:35),5100
2039.0,0,Female,[30:35),5100
2039.0,1,Female,[35:40),4836
2039.0,0,Female,[35:40),4836
2039.0,1,Female,[40:45),4405
2039.0,0,Female,[40:45),4405
2039.0,1,Female,[45:50),4394
2039.0,0,Female,[45:50),4394
2039.0,1,Female,[50:55),3698
2039.0,0,Female,[50:55),3698
2039.0,1,Female,[55:60),2500
2039.0,0,Female,[55:60),2500
2039.0,1,Female,[60:65),1783
2039.0,0,Female,[60:65),1783
2039.0,1,Female,[65:70),1432
2039.0,0,Female,[65:70),1432
2039.0,1,Female,[70:75),1089
2039.0,0,Female,[70:75),1089
2039.0,1,Female,[75:80),665
2039.0,0,Female,[75:80),665
2040.0,1,Male,[0:5),6053
2040.0,0,Male,[0:5),6053
2040.0,1,Male,[0:200),64025
2040.0,0,Male,[0:200),64025
2040.0,1,Male,[5:10),5903
2040.0,0,Male,[5:10),5903
