Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[15:20),0.0046037487668530086
2048.0,0,Male,[15:20),0.0046037487668530086
2048.0,1,Male,[20:25),0.015220949263502455
2048.0,0,Male,[20:25),0.015220949263502455
2048.0,1,Male,[25:30),0.035105833763551884
2048.0,0,Male,[25:30),0.035105833763551884
2048.0,1,Male,[30:35),0.080878414568827
2048.0,0,Male,[30:35),0.080878414568827
2048.0,1,Male,[35:40),0.10895319479510585
2048.0,0,Male,[35:40),0.10895319479510585
2048.0,1,Male,[40:45),0.17007512520868112
2048.0,0,Male,[40:45),0.17007512520868112
2048.0,1,Male,[45:50),0.2366152450090744
2048.0,0,Male,[45:50),0.2366152450090744
2048.0,1,Male,[50:55),0.3420666013712047
2048.0,0,Male,[50:55),0.3420666013712047
2048.0,1,Male,[55:60),0.4221718174085625
2048.0,0,Male,[55:60),0.4221718174085625
2048.0,1,Male,[60:65),0.5254946727549468
2048.0,0,Male,[60:65),0.5254946727549468
2048.0,1,Male,[65:200),0.5836541308854012
2048.0,0,Male,[65:200),0.5836541308854012
2048.0,1,Female,[15:20),0.028802588996763755
2048.0,0,Female,[15:20),0.028802588996763755
2048.0,1,Female,[20:25),0.07950472466601499
2048.0,0,Female,[20:25),0.07950472466601499
2048.0,1,Female,[25:30),0.1266441821247892
2048.0,0,Female,[25:30),0.1266441821247892
2048.0,1,Female,[30:35),0.18325712275765038
2048.0,0,Female,[30:35),0.18325712275765038
2048.0,1,Female,[35:40),0.2380592788370776
2048.0,0,Female,[35:40),0.2380592788370776
2048.0,1,Female,[40:45),0.32062735755409966
2048.0,0,Female,[40:45),0.32062735755409966
2048.0,1,Female,[45:50),0.3800875273522976
2048.0,0,Female,[45:50),0.3800875273522976
2048.0,1,Female,[50:55),0.4614853989422856
2048.0,0,Female,[50:55),0.4614853989422856
2048.0,1,Female,[55:60),0.5492537313432836
2048.0,0,Female,[55:60),0.5492537313432836
2048.0,1,Female,[60:65),0.6292993630573248
2048.0,0,Female,[60:65),0.6292993630573248
2048.0,1,Female,[65:200),0.5788684900711877
2048.0,0,Female,[65:200),0.5788684900711877
2049.0,1,Male,[15:20),0.004162504162504163
2049.0,0,Male,[15:20),0.004162504162504163
2049.0,1,Male,[20:25),0.01692983884095719
2049.0,0,Male,[20:25),0.01692983884095719
2049.0,1,Male,[25:30),0.0357511172224132
2049.0,0,Male,[25:30),0.0357511172224132
2049.0,1,Male,[30:35),0.07756183745583038
2049.0,0,Male,[30:35),0.07756183745583038
2049.0,1,Male,[35:40),0.11176920137562094
2049.0,0,Male,[35:40),0.11176920137562094
2049.0,1,Male,[40:45),0.1657830342577488
2049.0,0,Male,[40:45),0.1657830342577488
2049.0,1,Male,[45:50),0.22524977293369663
2049.0,0,Male,[45:50),0.22524977293369663
2049.0,1,Male,[50:55),0.33235581622678395
2049.0,0,Male,[50:55),0.33235581622678395
2049.0,1,Male,[55:60),0.4102209944751381
2049.0,0,Male,[55:60),0.4102209944751381
2049.0,1,Male,[60:65),0.5123570638140907
2049.0,0,Male,[60:65),0.5123570638140907
2049.0,1,Male,[65:200),0.5842572062084257
2049.0,0,Male,[65:200),0.5842572062084257
2049.0,1,Female,[15:20),0.028208054785586172
2049.0,0,Female,[15:20),0.028208054785586172
2049.0,1,Female,[20:25),0.08155339805825243
2049.0,0,Female,[20:25),0.08155339805825243
2049.0,1,Female,[25:30),0.12358410819949281
2049.0,0,Female,[25:30),0.12358410819949281
2049.0,1,Female,[30:35),0.17735263702171664
2049.0,0,Female,[30:35),0.17735263702171664
2049.0,1,Female,[35:40),0.2283029297954671
2049.0,0,Female,[35:40),0.2283029297954671
2049.0,1,Female,[40:45),0.31596874373872974
2049.0,0,Female,[40:45),0.31596874373872974
2049.0,1,Female,[45:50),0.37367077839217355
2049.0,0,Female,[45:50),0.37367077839217355
2049.0,1,Female,[50:55),0.4561849710982659
2049.0,0,Female,[50:55),0.4561849710982659
2049.0,1,Female,[55:60),0.5306420233463035
2049.0,0,Female,[55:60),0.5306420233463035
2049.0,1,Female,[60:65),0.6251131904618171
2049.0,0,Female,[60:65),0.6251131904618171
2049.0,1,Female,[65:200),0.5899447316812266
2049.0,0,Female,[65:200),0.5899447316812266
2050.0,1,Male,[15:20),0.0020144367970454926
2050.0,0,Male,[15:20),0.0020144367970454926
2050.0,1,Male,[20:25),0.01751004016064257
2050.0,0,Male,[20:25),0.01751004016064257
2050.0,1,Male,[25:30),0.03974535443909154
2050.0,0,Male,[25:30),0.03974535443909154
2050.0,1,Male,[30:35),0.07443820224719101
2050.0,0,Male,[30:35),0.07443820224719101
2050.0,1,Male,[35:40),0.11327534039334342
2050.0,0,Male,[35:40),0.11327534039334342
2050.0,1,Male,[40:45),0.16102378073357518
2050.0,0,Male,[40:45),0.16102378073357518
2050.0,1,Male,[45:50),0.2168458781362007
2050.0,0,Male,[45:50),0.2168458781362007
2050.0,1,Male,[50:55),0.3154936461388074
2050.0,0,Male,[50:55),0.3154936461388074
2050.0,1,Male,[55:60),0.40456375838926173
2050.0,0,Male,[55:60),0.40456375838926173
2050.0,1,Male,[60:65),0.49230769230769234
2050.0,0,Male,[60:65),0.49230769230769234
2050.0,1,Male,[65:200),0.5810070440907905
2050.0,0,Male,[65:200),0.5810070440907905
2050.0,1,Female,[15:20),0.028455284552845527
2050.0,0,Female,[15:20),0.028455284552845527
2050.0,1,Female,[20:25),0.08217837925974238
2050.0,0,Female,[20:25),0.08217837925974238
2050.0,1,Female,[25:30),0.12185719074756957
2050.0,0,Female,[25:30),0.12185719074756957
2050.0,1,Female,[30:35),0.17666265681388554
2050.0,0,Female,[30:35),0.17666265681388554
2050.0,1,Female,[35:40),0.22216177003989845
2050.0,0,Female,[35:40),0.22216177003989845
2050.0,1,Female,[40:45),0.30311948204826367
2050.0,0,Female,[40:45),0.30311948204826367
2050.0,1,Female,[45:50),0.3635591420683797
2050.0,0,Female,[45:50),0.3635591420683797
2050.0,1,Female,[50:55),0.44380602160422894
2050.0,0,Female,[50:55),0.44380602160422894
