Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6106
2048.0,0,Male,[0:5),6106
2048.0,1,Male,[0:200),68449
2048.0,0,Male,[0:200),68449
2048.0,1,Male,[5:10),6071
2048.0,0,Male,[5:10),6071
2048.0,1,Male,[10:15),6167
2048.0,0,Male,[10:15),6167
2048.0,1,Male,[15:20),5943
2048.0,0,Male,[15:20),5943
2048.0,1,Male,[20:25),6031
2048.0,0,Male,[20:25),6031
2048.0,1,Male,[25:30),5664
2048.0,0,Male,[25:30),5664
2048.0,1,Male,[30:35),5522
2048.0,0,Male,[30:35),5522
2048.0,1,Male,[35:40),5111
2048.0,0,Male,[35:40),5111
2048.0,1,Male,[40:45),4595
2048.0,0,Male,[40:45),4595
2048.0,1,Male,[45:50),4237
2048.0,0,Male,[45:50),4237
2048.0,1,Male,[50:55),3845
2048.0,0,Male,[50:55),3845
2048.0,1,Male,[55:60),3348
2048.0,0,Male,[55:60),3348
2048.0,1,Male,[60:65),2592
2048.0,0,Male,[60:65),2592
2048.0,1,Male,[65:70),1579
2048.0,0,Male,[65:70),1579
2048.0,1,Male,[70:75),892
2048.0,0,Male,[70:75),892
2048.0,1,Male,[75:80),474
2048.0,0,Male,[75:80),474
2048.0,1,Female,[0:5),6238
2048.0,0,Female,[0:5),6238
2048.0,1,Female,[0:200),73287
2048.0,0,Female,[0:200),73287
2048.0,1,Female,[5:10),5976
2048.0,0,Female,[5:10),5976
2048.0,1,Female,[10:15),6257
2048.0,0,Female,[10:15),6257
2048.0,1,Female,[15:20),6107
2048.0,0,Female,[15:20),6107
2048.0,1,Female,[20:25),6127
2048.0,0,Female,[20:25),6127
2048.0,1,Female,[25:30),5722
2048.0,0,Female,[25:30),5722
2048.0,1,Female,[30:35),5774
2048.0,0,Female,[30:35),5774
2048.0,1,Female,[35:40),5311
2048.0,0,Female,[35:40),5311
2048.0,1,Female,[40:45),4905
2048.0,0,Female,[40:45),4905
2048.0,1,Female,[45:50),4525
2048.0,0,Female,[45:50),4525
2048.0,1,Female,[50:55),4365
2048.0,0,Female,[50:55),4365
2048.0,1,Female,[55:60),3896
2048.0,0,Female,[55:60),3896
2048.0,1,Female,[60:65),3034
2048.0,0,Female,[60:65),3034
2048.0,1,Female,[65:70),2004
2048.0,0,Female,[65:70),2004
2048.0,1,Female,[70:75),1279
2048.0,0,Female,[70:75),1279
2048.0,1,Female,[75:80),880
2048.0,0,Female,[75:80),880
2049.0,1,Male,[0:5),6157
2049.0,0,Male,[0:5),6157
2049.0,1,Male,[0:200),69159
2049.0,0,Male,[0:200),69159
2049.0,1,Male,[5:10),6078
2049.0,0,Male,[5:10),6078
2049.0,1,Male,[10:15),6181
2049.0,0,Male,[10:15),6181
2049.0,1,Male,[15:20),5924
2049.0,0,Male,[15:20),5924
2049.0,1,Male,[20:25),6045
2049.0,0,Male,[20:25),6045
2049.0,1,Male,[25:30),5691
2049.0,0,Male,[25:30),5691
2049.0,1,Male,[30:35),5597
2049.0,0,Male,[30:35),5597
2049.0,1,Male,[35:40),5179
2049.0,0,Male,[35:40),5179
2049.0,1,Male,[40:45),4654
2049.0,0,Male,[40:45),4654
2049.0,1,Male,[45:50),4245
2049.0,0,Male,[45:50),4245
2049.0,1,Male,[50:55),3881
2049.0,0,Male,[50:55),3881
2049.0,1,Male,[55:60),3441
2049.0,0,Male,[55:60),3441
2049.0,1,Male,[60:65),2640
2049.0,0,Male,[60:65),2640
2049.0,1,Male,[65:70),1715
2049.0,0,Male,[65:70),1715
2049.0,1,Male,[70:75),950
2049.0,0,Male,[70:75),950
2049.0,1,Male,[75:80),472
