Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6048
2048.0,0,Male,[0:5),6048
2048.0,1,Male,[0:200),67821
2048.0,0,Male,[0:200),67821
2048.0,1,Male,[5:10),5949
2048.0,0,Male,[5:10),5949
2048.0,1,Male,[10:15),5993
2048.0,0,Male,[10:15),5993
2048.0,1,Male,[15:20),5897
2048.0,0,Male,[15:20),5897
2048.0,1,Male,[20:25),5920
2048.0,0,Male,[20:25),5920
2048.0,1,Male,[25:30),5822
2048.0,0,Male,[25:30),5822
2048.0,1,Male,[30:35),5533
2048.0,0,Male,[30:35),5533
2048.0,1,Male,[35:40),4945
2048.0,0,Male,[35:40),4945
2048.0,1,Male,[40:45),4549
2048.0,0,Male,[40:45),4549
2048.0,1,Male,[45:50),4091
2048.0,0,Male,[45:50),4091
2048.0,1,Male,[50:55),3965
2048.0,0,Male,[50:55),3965
2048.0,1,Male,[55:60),3365
2048.0,0,Male,[55:60),3365
2048.0,1,Male,[60:65),2496
2048.0,0,Male,[60:65),2496
2048.0,1,Male,[65:70),1581
2048.0,0,Male,[65:70),1581
2048.0,1,Male,[70:75),869
2048.0,0,Male,[70:75),869
2048.0,1,Male,[75:80),517
2048.0,0,Male,[75:80),517
2048.0,1,Female,[0:5),6018
2048.0,0,Female,[0:5),6018
2048.0,1,Female,[0:200),72516
2048.0,0,Female,[0:200),72516
2048.0,1,Female,[5:10),5935
2048.0,0,Female,[5:10),5935
2048.0,1,Female,[10:15),6181
2048.0,0,Female,[10:15),6181
2048.0,1,Female,[15:20),6042
2048.0,0,Female,[15:20),6042
2048.0,1,Female,[20:25),6003
2048.0,0,Female,[20:25),6003
2048.0,1,Female,[25:30),5898
2048.0,0,Female,[25:30),5898
2048.0,1,Female,[30:35),5509
2048.0,0,Female,[30:35),5509
2048.0,1,Female,[35:40),5213
2048.0,0,Female,[35:40),5213
2048.0,1,Female,[40:45),4851
2048.0,0,Female,[40:45),4851
2048.0,1,Female,[45:50),4455
2048.0,0,Female,[45:50),4455
2048.0,1,Female,[50:55),4362
2048.0,0,Female,[50:55),4362
2048.0,1,Female,[55:60),3944
2048.0,0,Female,[55:60),3944
2048.0,1,Female,[60:65),2990
2048.0,0,Female,[60:65),2990
2048.0,1,Female,[65:70),1928
2048.0,0,Female,[65:70),1928
2048.0,1,Female,[70:75),1286
2048.0,0,Female,[70:75),1286
2048.0,1,Female,[75:80),946
2048.0,0,Female,[75:80),946
2049.0,1,Male,[0:5),6036
2049.0,0,Male,[0:5),6036
2049.0,1,Male,[0:200),68523
2049.0,0,Male,[0:200),68523
2049.0,1,Male,[5:10),6005
2049.0,0,Male,[5:10),6005
2049.0,1,Male,[10:15),6006
2049.0,0,Male,[10:15),6006
2049.0,1,Male,[15:20),5831
2049.0,0,Male,[15:20),5831
2049.0,1,Male,[20:25),5932
