Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6321
2048.0,0,Male,[0:5),6321
2048.0,1,Male,[0:200),70131
2048.0,0,Male,[0:200),70131
2048.0,1,Male,[5:10),6213
2048.0,0,Male,[5:10),6213
2048.0,1,Male,[10:15),6285
2048.0,0,Male,[10:15),6285
2048.0,1,Male,[15:20),6066
2048.0,0,Male,[15:20),6066
2048.0,1,Male,[20:25),6070
2048.0,0,Male,[20:25),6070
2048.0,1,Male,[25:30),5965
2048.0,0,Male,[25:30),5965
2048.0,1,Male,[30:35),5599
2048.0,0,Male,[30:35),5599
2048.0,1,Male,[35:40),5175
2048.0,0,Male,[35:40),5175
2048.0,1,Male,[40:45),4827
2048.0,0,Male,[40:45),4827
2048.0,1,Male,[45:50),4278
2048.0,0,Male,[45:50),4278
2048.0,1,Male,[50:55),3997
2048.0,0,Male,[50:55),3997
2048.0,1,Male,[55:60),3529
2048.0,0,Male,[55:60),3529
2048.0,1,Male,[60:65),2539
2048.0,0,Male,[60:65),2539
2048.0,1,Male,[65:70),1613
2048.0,0,Male,[65:70),1613
2048.0,1,Male,[70:75),870
2048.0,0,Male,[70:75),870
2048.0,1,Male,[75:80),482
2048.0,0,Male,[75:80),482
2048.0,1,Female,[0:5),6435
2048.0,0,Female,[0:5),6435
2048.0,1,Female,[0:200),75773
2048.0,0,Female,[0:200),75773
2048.0,1,Female,[5:10),6375
2048.0,0,Female,[5:10),6375
2048.0,1,Female,[10:15),6389
2048.0,0,Female,[10:15),6389
2048.0,1,Female,[15:20),6371
2048.0,0,Female,[15:20),6371
2048.0,1,Female,[20:25),6279
2048.0,0,Female,[20:25),6279
2048.0,1,Female,[25:30),6069
2048.0,0,Female,[25:30),6069
2048.0,1,Female,[30:35),5800
2048.0,0,Female,[30:35),5800
2048.0,1,Female,[35:40),5420
2048.0,0,Female,[35:40),5420
2048.0,1,Female,[40:45),5052
2048.0,0,Female,[40:45),5052
2048.0,1,Female,[45:50),4625
2048.0,0,Female,[45:50),4625
2048.0,1,Female,[50:55),4522
2048.0,0,Female,[50:55),4522
2048.0,1,Female,[55:60),4014
2048.0,0,Female,[55:60),4014
2048.0,1,Female,[60:65),3097
2048.0,0,Female,[60:65),3097
2048.0,1,Female,[65:70),2075
2048.0,0,Female,[65:70),2075
2048.0,1,Female,[70:75),1371
2048.0,0,Female,[70:75),1371
2048.0,1,Female,[75:80),950
2048.0,0,Female,[75:80),950
2049.0,1,Male,[0:5),6319
2049.0,0,Male,[0:5),6319
2049.0,1,Male,[0:200),70801
2049.0,0,Male,[0:200),70801
2049.0,1,Male,[5:10),6223
2049.0,0,Male,[5:10),6223
2049.0,1,Male,[10:15),6280
2049.0,0,Male,[10:15),6280
2049.0,1,Male,[15:20),6066
2049.0,0,Male,[15:20),6066
2049.0,1,Male,[20:25),6136
2049.0,0,Male,[20:25),6136
2049.0,1,Male,[25:30),5859
2049.0,0,Male,[25:30),5859
2049.0,1,Male,[30:35),5735
2049.0,0,Male,[30:35),5735
2049.0,1,Male,[35:40),5245
2049.0,0,Male,[35:40),5245
2049.0,1,Male,[40:45),4863
2049.0,0,Male,[40:45),4863
2049.0,1,Male,[45:50),4337
2049.0,0,Male,[45:50),4337
2049.0,1,Male,[50:55),4041
2049.0,0,Male,[50:55),4041
2049.0,1,Male,[55:60),3598
2049.0,0,Male,[55:60),3598
2049.0,1,Male,[60:65),2649
2049.0,0,Male,[60:65),2649
2049.0,1,Male,[65:70),1708
2049.0,0,Male,[65:70),1708
2049.0,1,Male,[70:75),909
2049.0,0,Male,[70:75),909
2049.0,1,Male,[75:80),518
2049.0,0,Male,[75:80),518
2049.0,1,Female,[0:5),6430
2049.0,0,Female,[0:5),6430
2049.0,1,Female,[0:200),76618
2049.0,0,Female,[0:200),76618
2049.0,1,Female,[5:10),6307
2049.0,0,Female,[5:10),6307
2049.0,1,Female,[10:15),6484
2049.0,0,Female,[10:15),6484
2049.0,1,Female,[15:20),6250
2049.0,0,Female,[15:20),6250
2049.0,1,Female,[20:25),6344
2049.0,0,Female,[20:25),6344
2049.0,1,Female,[25:30),6107
2049.0,0,Female,[25:30),6107
2049.0,1,Female,[30:35),5871
2049.0,0,Female,[30:35),5871
2049.0,1,Female,[35:40),5478
2049.0,0,Female,[35:40),5478
2049.0,1,Female,[40:45),5129
2049.0,0,Female,[40:45),5129
2049.0,1,Female,[45:50),4693
2049.0,0,Female,[45:50),4693
2049.0,1,Female,[50:55),4532
2049.0,0,Female,[50:55),4532
2049.0,1,Female,[55:60),4067
2049.0,0,Female,[55:60),4067
2049.0,1,Female,[60:65),3303
2049.0,0,Female,[60:65),3303
2049.0,1,Female,[65:70),2235
2049.0,0,Female,[65:70),2235
2049.0,1,Female,[70:75),1424
2049.0,0,Female,[70:75),1424
2049.0,1,Female,[75:80),989
2049.0,0,Female,[75:80),989
2050.0,1,Male,[0:5),6352
2050.0,0,Male,[0:5),6352
2050.0,1,Male,[0:200),71465
2050.0,0,Male,[0:200),71465
2050.0,1,Male,[5:10),6124
2050.0,0,Male,[5:10),6124
2050.0,1,Male,[10:15),6393
