Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[15:20),0.004780745136828223
2048.0,0,Male,[15:20),0.004780745136828223
2048.0,1,Male,[20:25),0.019934102141680395
2048.0,0,Male,[20:25),0.019934102141680395
2048.0,1,Male,[25:30),0.049622799664710816
2048.0,0,Male,[25:30),0.049622799664710816
2048.0,1,Male,[30:35),0.08626540453652438
2048.0,0,Male,[30:35),0.08626540453652438
2048.0,1,Male,[35:40),0.12966183574879228
2048.0,0,Male,[35:40),0.12966183574879228
2048.0,1,Male,[40:45),0.1709136109384711
2048.0,0,Male,[40:45),0.1709136109384711
2048.0,1,Male,[45:50),0.23445535296867695
2048.0,0,Male,[45:50),0.23445535296867695
2048.0,1,Male,[50:55),0.3164873655241431
2048.0,0,Male,[50:55),0.3164873655241431
2048.0,1,Male,[55:60),0.4052139416265231
2048.0,0,Male,[55:60),0.4052139416265231
2048.0,1,Male,[60:65),0.5088617565970854
2048.0,0,Male,[60:65),0.5088617565970854
2048.0,1,Male,[65:200),0.578818487909397
2048.0,0,Male,[65:200),0.578818487909397
2048.0,1,Female,[15:20),0.0309213624234814
2048.0,0,Female,[15:20),0.0309213624234814
2048.0,1,Female,[20:25),0.09380474597865902
2048.0,0,Female,[20:25),0.09380474597865902
2048.0,1,Female,[25:30),0.14780029658922392
2048.0,0,Female,[25:30),0.14780029658922392
2048.0,1,Female,[30:35),0.20379310344827586
2048.0,0,Female,[30:35),0.20379310344827586
2048.0,1,Female,[35:40),0.24686346863468633
2048.0,0,Female,[35:40),0.24686346863468633
2048.0,1,Female,[40:45),0.2998812351543943
2048.0,0,Female,[40:45),0.2998812351543943
2048.0,1,Female,[45:50),0.3565405405405405
2048.0,0,Female,[45:50),0.3565405405405405
2048.0,1,Female,[50:55),0.4398496240601504
2048.0,0,Female,[50:55),0.4398496240601504
2048.0,1,Female,[55:60),0.5316392625809666
2048.0,0,Female,[55:60),0.5316392625809666
2048.0,1,Female,[60:65),0.6038101388440427
2048.0,0,Female,[60:65),0.6038101388440427
2048.0,1,Female,[65:200),0.5851643192488263
2048.0,0,Female,[65:200),0.5851643192488263
2049.0,1,Male,[15:20),0.0037916254533465216
2049.0,0,Male,[15:20),0.0037916254533465216
2049.0,1,Male,[20:25),0.022327249022164278
2049.0,0,Male,[20:25),0.022327249022164278
2049.0,1,Male,[25:30),0.04727769243898276
2049.0,0,Male,[25:30),0.04727769243898276
2049.0,1,Male,[30:35),0.08230165649520488
2049.0,0,Male,[30:35),0.08230165649520488
2049.0,1,Male,[35:40),0.12831267874165872
2049.0,0,Male,[35:40),0.12831267874165872
2049.0,1,Male,[40:45),0.16964836520666254
2049.0,0,Male,[40:45),0.16964836520666254
2049.0,1,Male,[45:50),0.22527092460225961
2049.0,0,Male,[45:50),0.22527092460225961
2049.0,1,Male,[50:55),0.30438010393466963
2049.0,0,Male,[50:55),0.30438010393466963
2049.0,1,Male,[55:60),0.3968871595330739
2049.0,0,Male,[55:60),0.3968871595330739
2049.0,1,Male,[60:65),0.49188372970932426
2049.0,0,Male,[60:65),0.49188372970932426
2049.0,1,Male,[65:200),0.5808695652173913
2049.0,0,Male,[65:200),0.5808695652173913
2049.0,1,Female,[15:20),0.03152
2049.0,0,Female,[15:20),0.03152
2049.0,1,Female,[20:25),0.09489281210592686
2049.0,0,Female,[20:25),0.09489281210592686
2049.0,1,Female,[25:30),0.14589814966431963
2049.0,0,Female,[25:30),0.14589814966431963
2049.0,1,Female,[30:35),0.2003065917220235
2049.0,0,Female,[30:35),0.2003065917220235
2049.0,1,Female,[35:40),0.24826579043446514
2049.0,0,Female,[35:40),0.24826579043446514
2049.0,1,Female,[40:45),0.29342951842464415
2049.0,0,Female,[40:45),0.29342951842464415
2049.0,1,Female,[45:50),0.3522267206477733
2049.0,0,Female,[45:50),0.3522267206477733
2049.0,1,Female,[50:55),0.42475728155339804
2049.0,0,Female,[50:55),0.42475728155339804
2049.0,1,Female,[55:60),0.5102040816326531
2049.0,0,Female,[55:60),0.5102040816326531
2049.0,1,Female,[60:65),0.5997577959430821
2049.0,0,Female,[60:65),0.5997577959430821
2049.0,1,Female,[65:200),0.5916770407255914
2049.0,0,Female,[65:200),0.5916770407255914
2050.0,1,Male,[15:20),0.004791012720964811
2050.0,0,Male,[15:20),0.004791012720964811
2050.0,1,Male,[20:25),0.020130932896890344
2050.0,0,Male,[20:25),0.020130932896890344
2050.0,1,Male,[25:30),0.04924502402196294
2050.0,0,Male,[25:30),0.04924502402196294
2050.0,1,Male,[30:35),0.07938931297709924
2050.0,0,Male,[30:35),0.07938931297709924
2050.0,1,Male,[35:40),0.12731791244503918
2050.0,0,Male,[35:40),0.12731791244503918
2050.0,1,Male,[40:45),0.1704017767009893
2050.0,0,Male,[40:45),0.1704017767009893
2050.0,1,Male,[45:50),0.21425359712230216
2050.0,0,Male,[45:50),0.21425359712230216
2050.0,1,Male,[50:55),0.29526184538653366
2050.0,0,Male,[50:55),0.29526184538653366
2050.0,1,Male,[55:60),0.3890719384953322
2050.0,0,Male,[55:60),0.3890719384953322
2050.0,1,Male,[60:65),0.47180585296216987
2050.0,0,Male,[60:65),0.47180585296216987
2050.0,1,Male,[65:200),0.5783664459161147
2050.0,0,Male,[65:200),0.5783664459161147
2050.0,1,Female,[15:20),0.030582988212806625
2050.0,0,Female,[15:20),0.030582988212806625
2050.0,1,Female,[20:25),0.09691211401425179
2050.0,0,Female,[20:25),0.09691211401425179
2050.0,1,Female,[25:30),0.14627399934917018
2050.0,0,Female,[25:30),0.14627399934917018
2050.0,1,Female,[30:35),0.18909825033647376
2050.0,0,Female,[30:35),0.18909825033647376
2050.0,1,Female,[35:40),0.25049809817062124
2050.0,0,Female,[35:40),0.25049809817062124
2050.0,1,Female,[40:45),0.2823913879277201
2050.0,0,Female,[40:45),0.2823913879277201
2050.0,1,Female,[45:50),0.3504983388704319
2050.0,0,Female,[45:50),0.3504983388704319
2050.0,1,Female,[50:55),0.4160746003552398
2050.0,0,Female,[50:55),0.4160746003552398
2050.0,1,Female,[55:60),0.48972188633615477
2050.0,0,Female,[55:60),0.48972188633615477
2050.0,1,Female,[60:65),0.5911330049261084
2050.0,0,Female,[60:65),0.5911330049261084
2050.0,1,Female,[65:200),0.6019841937111149
2050.0,0,Female,[65:200),0.6019841937111149
2011.5,1,Male,[15:20),0.017849553761155972
2011.5,0,Male,[15:20),0.017849553761155972
2011.5,1,Male,[20:25),0.08268676568388383
2011.5,0,Male,[20:25),0.08268676568388383
2011.5,1,Male,[25:30),0.21772151898734177
2011.5,0,Male,[25:30),0.21772151898734177
2011.5,1,Male,[30:35),0.33813747228381374
2011.5,0,Male,[30:35),0.33813747228381374
2011.5,1,Male,[35:40),0.3978889398806792
2011.5,0,Male,[35:40),0.3978889398806792
2011.5,1,Male,[40:45),0.43753700414446417
2011.5,0,Male,[40:45),0.43753700414446417
2011.5,1,Male,[45:50),0.3697996918335901
2011.5,0,Male,[45:50),0.3697996918335901
2011.5,1,Male,[50:55),0.2792511700468019
2011.5,0,Male,[50:55),0.2792511700468019
2011.5,1,Male,[55:60),0.19098712446351931
2011.5,0,Male,[55:60),0.19098712446351931
2011.5,1,Male,[60:65),0.14898989898989898
2011.5,0,Male,[60:65),0.14898989898989898
2011.5,1,Male,[65:200),0.10505836575875487
2011.5,0,Male,[65:200),0.10505836575875487
2011.5,1,Female,[15:20),0.09620200333889817
2011.5,0,Female,[15:20),0.09620200333889817
2011.5,1,Female,[20:25),0.2760845383759733
2011.5,0,Female,[20:25),0.2760845383759733
2011.5,1,Female,[25:30),0.4204255319148936
2011.5,0,Female,[25:30),0.4204255319148936
2011.5,1,Female,[30:35),0.5059568131049889
2011.5,0,Female,[30:35),0.5059568131049889
2011.5,1,Female,[35:40),0.4929378531073446
2011.5,0,Female,[35:40),0.4929378531073446
2011.5,1,Female,[40:45),0.40978077571669475
2011.5,0,Female,[40:45),0.40978077571669475
2011.5,1,Female,[45:50),0.30414120841819414
2011.5,0,Female,[45:50),0.30414120841819414
2011.5,1,Female,[50:55),0.23246753246753246
2011.5,0,Female,[50:55),0.23246753246753246
2011.5,1,Female,[55:60),0.1632996632996633
2011.5,0,Female,[55:60),0.1632996632996633
2011.5,1,Female,[60:65),0.11942959001782531
2011.5,0,Female,[60:65),0.11942959001782531
2011.5,1,Female,[65:200),0.06400550584996559
2011.5,0,Female,[65:200),0.06400550584996559
2016.5,1,Male,[15:20),0.022123893805309734
2016.5,0,Male,[15:20),0.022123893805309734
2016.5,1,Male,[20:25),0.05581896551724138
2016.5,0,Male,[20:25),0.05581896551724138
2016.5,1,Male,[25:30),0.1556581986143187
2016.5,0,Male,[25:30),0.1556581986143187
2016.5,1,Male,[30:35),0.28274067649609713
2016.5,0,Male,[30:35),0.28274067649609713
2016.5,1,Male,[35:40),0.375497215592681
2016.5,0,Male,[35:40),0.375497215592681
2016.5,1,Male,[40:45),0.4265232974910394
2016.5,0,Male,[40:45),0.4265232974910394
2016.5,1,Male,[45:50),0.4366485013623978
2016.5,0,Male,[45:50),0.4366485013623978
2016.5,1,Male,[50:55),0.3685589519650655
2016.5,0,Male,[50:55),0.3685589519650655
2016.5,1,Male,[55:60),0.26704545454545453
2016.5,0,Male,[55:60),0.26704545454545453
2016.5,1,Male,[60:65),0.20844327176781002
2016.5,0,Male,[60:65),0.20844327176781002
2016.5,1,Male,[65:200),0.11923076923076924
2016.5,0,Male,[65:200),0.11923076923076924
2016.5,1,Female,[15:20),0.08331631611190525
2016.5,0,Female,[15:20),0.08331631611190525
2016.5,1,Female,[20:25),0.21738211038274477
2016.5,0,Female,[20:25),0.21738211038274477
2016.5,1,Female,[25:30),0.37322467986030267
2016.5,0,Female,[25:30),0.37322467986030267
2016.5,1,Female,[30:35),0.4820647419072616
2016.5,0,Female,[30:35),0.4820647419072616
2016.5,1,Female,[35:40),0.5308592174263816
2016.5,0,Female,[35:40),0.5308592174263816
2016.5,1,Female,[40:45),0.5015416238437821
2016.5,0,Female,[40:45),0.5015416238437821
2016.5,1,Female,[45:50),0.423500611995104
2016.5,0,Female,[45:50),0.423500611995104
2016.5,1,Female,[50:55),0.30456852791878175
2016.5,0,Female,[50:55),0.30456852791878175
2016.5,1,Female,[55:60),0.21720116618075802
2016.5,0,Female,[55:60),0.21720116618075802
2016.5,1,Female,[60:65),0.15779467680608364
2016.5,0,Female,[60:65),0.15779467680608364
2016.5,1,Female,[65:200),0.0899165061014772
2016.5,0,Female,[65:200),0.0899165061014772
2021.5,1,Male,[15:20),0.025266482431898933
2021.5,0,Male,[15:20),0.025266482431898933
2021.5,1,Male,[20:25),0.038733147870746845
2021.5,0,Male,[20:25),0.038733147870746845
2021.5,1,Male,[25:30),0.10425484517709957
2021.5,0,Male,[25:30),0.10425484517709957
2021.5,1,Male,[30:35),0.20723226703755215
2021.5,0,Male,[30:35),0.20723226703755215
2021.5,1,Male,[35:40),0.3219674109837055
2021.5,0,Male,[35:40),0.3219674109837055
2021.5,1,Male,[40:45),0.4180672268907563
2021.5,0,Male,[40:45),0.4180672268907563
2021.5,1,Male,[45:50),0.4510989010989011
2021.5,0,Male,[45:50),0.4510989010989011
2021.5,1,Male,[50:55),0.4514243973703433
2021.5,0,Male,[50:55),0.4514243973703433
2021.5,1,Male,[55:60),0.3824110671936759
2021.5,0,Male,[55:60),0.3824110671936759
2021.5,1,Male,[60:65),0.288135593220339
2021.5,0,Male,[60:65),0.288135593220339
2021.5,1,Male,[65:200),0.15829145728643215
2021.5,0,Male,[65:200),0.15829145728643215
2021.5,1,Female,[15:20),0.06644711352189074
2021.5,0,Female,[15:20),0.06644711352189074
2021.5,1,Female,[20:25),0.1708273158654838
2021.5,0,Female,[20:25),0.1708273158654838
2021.5,1,Female,[25:30),0.2938368055555556
2021.5,0,Female,[25:30),0.2938368055555556
2021.5,1,Female,[30:35),0.4223776223776224
2021.5,0,Female,[30:35),0.4223776223776224
2021.5,1,Female,[35:40),0.5141748731721874
2021.5,0,Female,[35:40),0.5141748731721874
2021.5,1,Female,[40:45),0.5631709331131296
2021.5,0,Female,[40:45),0.5631709331131296
2021.5,1,Female,[45:50),0.5235546038543897
2021.5,0,Female,[45:50),0.5235546038543897
2021.5,1,Female,[50:55),0.44409547738693467
2021.5,0,Female,[50:55),0.44409547738693467
2021.5,1,Female,[55:60),0.30745341614906835
2021.5,0,Female,[55:60),0.30745341614906835
2021.5,1,Female,[60:65),0.22397476340694006
2021.5,0,Female,[60:65),0.22397476340694006
2021.5,1,Female,[65:200),0.12578222778473092
2021.5,0,Female,[65:200),0.12578222778473092
2007.5,1,Male,[15:20),0.022595222724338282
2007.5,0,Male,[15:20),0.022595222724338282
2007.5,1,Male,[20:25),0.09382209689823122
2007.5,0,Male,[20:25),0.09382209689823122
2007.5,1,Male,[25:30),0.23286290322580644
2007.5,0,Male,[25:30),0.23286290322580644
2007.5,1,Male,[30:35),0.3529650690495532
2007.5,0,Male,[30:35),0.3529650690495532
2007.5,1,Male,[35:40),0.3770573566084788
2007.5,0,Male,[35:40),0.3770573566084788
2007.5,1,Male,[40:45),0.4044803982576229
2007.5,0,Male,[40:45),0.4044803982576229
2007.5,1,Male,[45:50),0.3344226579520697
2007.5,0,Male,[45:50),0.3344226579520697
2007.5,1,Male,[50:55),0.25618374558303886
2007.5,0,Male,[50:55),0.25618374558303886
2007.5,1,Male,[55:60),0.17755102040816326
2007.5,0,Male,[55:60),0.17755102040816326
2007.5,1,Male,[60:65),0.1400862068965517
2007.5,0,Male,[60:65),0.1400862068965517
2007.5,1,Male,[65:200),0.09187749667110519
2007.5,0,Male,[65:200),0.09187749667110519
2007.5,1,Female,[15:20),0.1036624544870422
2007.5,0,Female,[15:20),0.1036624544870422
2007.5,1,Female,[20:25),0.28512820512820514
2007.5,0,Female,[20:25),0.28512820512820514
2007.5,1,Female,[25:30),0.427341939755048
2007.5,0,Female,[25:30),0.427341939755048
2007.5,1,Female,[30:35),0.47526358475263586
2007.5,0,Female,[30:35),0.47526358475263586
2007.5,1,Female,[35:40),0.4344422700587084
2007.5,0,Female,[35:40),0.4344422700587084
2007.5,1,Female,[40:45),0.32899943470887505
2007.5,0,Female,[40:45),0.32899943470887505
2007.5,1,Female,[45:50),0.275390625
2007.5,0,Female,[45:50),0.275390625
2007.5,1,Female,[50:55),0.203757225433526
2007.5,0,Female,[50:55),0.203757225433526
2007.5,1,Female,[55:60),0.1281645569620253
2007.5,0,Female,[55:60),0.1281645569620253
2007.5,1,Female,[60:65),0.10465116279069768
2007.5,0,Female,[60:65),0.10465116279069768
2007.5,1,Female,[65:200),0.06291148500365765
2007.5,0,Female,[65:200),0.06291148500365765
1981.0,1,Male,[15:20),0.0
1981.0,0,Male,[15:20),0.0
1981.0,1,Male,[20:25),0.0
1981.0,0,Male,[20:25),0.0
1981.0,1,Male,[25:30),0.0
1981.0,0,Male,[25:30),0.0
1981.0,1,Male,[30:35),0.0
1981.0,0,Male,[30:35),0.0
1981.0,1,Male,[35:40),0.0
1981.0,0,Male,[35:40),0.0
1981.0,1,Male,[40:45),0.0
1981.0,0,Male,[40:45),0.0
1981.0,1,Male,[45:50),0.0
1981.0,0,Male,[45:50),0.0
1981.0,1,Male,[50:55),0.0
1981.0,0,Male,[50:55),0.0
1981.0,1,Male,[55:60),0.0
1981.0,0,Male,[55:60),0.0
1981.0,1,Male,[60:65),0.0
1981.0,0,Male,[60:65),0.0
1981.0,1,Male,[65:200),0.0
1981.0,0,Male,[65:200),0.0
1981.0,1,Female,[15:20),0.0
1981.0,0,Female,[15:20),0.0
1981.0,1,Female,[20:25),0.0
1981.0,0,Female,[20:25),0.0
1981.0,1,Female,[25:30),0.0
1981.0,0,Female,[25:30),0.0
1981.0,1,Female,[30:35),0.0
1981.0,0,Female,[30:35),0.0
1981.0,1,Female,[35:40),0.0
1981.0,0,Female,[35:40),0.0
1981.0,1,Female,[40:45),0.0
1981.0,0,Female,[40:45),0.0
1981.0,1,Female,[45:50),0.0
1981.0,0,Female,[45:50),0.0
1981.0,1,Female,[50:55),0.0
1981.0,0,Female,[50:55),0.0
1981.0,1,Female,[55:60),0.0
1981.0,0,Female,[55:60),0.0
1981.0,1,Female,[60:65),0.0
1981.0,0,Female,[60:65),0.0
1981.0,1,Female,[65:200),0.0
1981.0,0,Female,[65:200),0.0
1982.0,1,Male,[15:20),0.0
