Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6390
2048.0,0,Male,[0:5),6390
2048.0,1,Male,[0:200),69965
2048.0,0,Male,[0:200),69965
2048.0,1,Male,[5:10),5998
2048.0,0,Male,[5:10),5998
2048.0,1,Male,[10:15),6236
2048.0,0,Male,[10:15),6236
2048.0,1,Male,[15:20),6090
2048.0,0,Male,[15:20),6090
2048.0,1,Male,[20:25),6128
2048.0,0,Male,[20:25),6128
2048.0,1,Male,[25:30),5799
2048.0,0,Male,[25:30),5799
2048.0,1,Male,[30:35),5629
2048.0,0,Male,[30:35),5629
2048.0,1,Male,[35:40),5320
2048.0,0,Male,[35:40),5320
2048.0,1,Male,[40:45),4711
2048.0,0,Male,[40:45),4711
2048.0,1,Male,[45:50),4357
2048.0,0,Male,[45:50),4357
2048.0,1,Male,[50:55),4021
2048.0,0,Male,[50:55),4021
2048.0,1,Male,[55:60),3412
2048.0,0,Male,[55:60),3412
2048.0,1,Male,[60:65),2516
2048.0,0,Male,[60:65),2516
2048.0,1,Male,[65:70),1578
2048.0,0,Male,[65:70),1578
2048.0,1,Male,[70:75),977
2048.0,0,Male,[70:75),977
2048.0,1,Male,[75:80),506
2048.0,0,Male,[75:80),506
2048.0,1,Female,[0:5),6340
2048.0,0,Female,[0:5),6340
2048.0,1,Female,[0:200),75143
2048.0,0,Female,[0:200),75143
2048.0,1,Female,[5:10),6310
2048.0,0,Female,[5:10),6310
2048.0,1,Female,[10:15),6395
2048.0,0,Female,[10:15),6395
2048.0,1,Female,[15:20),6383
2048.0,0,Female,[15:20),6383
2048.0,1,Female,[20:25),6121
2048.0,0,Female,[20:25),6121
2048.0,1,Female,[25:30),5963
2048.0,0,Female,[25:30),5963
2048.0,1,Female,[30:35),5740
2048.0,0,Female,[30:35),5740
2048.0,1,Female,[35:40),5509
2048.0,0,Female,[35:40),5509
2048.0,1,Female,[40:45),5099
2048.0,0,Female,[40:45),5099
2048.0,1,Female,[45:50),4621
2048.0,0,Female,[45:50),4621
2048.0,1,Female,[50:55),4451
2048.0,0,Female,[50:55),4451
2048.0,1,Female,[55:60),3936
2048.0,0,Female,[55:60),3936
2048.0,1,Female,[60:65),3102
2048.0,0,Female,[60:65),3102
2048.0,1,Female,[65:70),1987
2048.0,0,Female,[65:70),1987
