Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6077
2048.0,0,Male,[0:5),6077
2048.0,1,Male,[0:200),68729
2048.0,0,Male,[0:200),68729
2048.0,1,Male,[5:10),6026
2048.0,0,Male,[5:10),6026
2048.0,1,Male,[10:15),6015
2048.0,0,Male,[10:15),6015
2048.0,1,Male,[15:20),5836
2048.0,0,Male,[15:20),5836
2048.0,1,Male,[20:25),6077
2048.0,0,Male,[20:25),6077
2048.0,1,Male,[25:30),5713
2048.0,0,Male,[25:30),5713
2048.0,1,Male,[30:35),5656
2048.0,0,Male,[30:35),5656
2048.0,1,Male,[35:40),5218
2048.0,0,Male,[35:40),5218
2048.0,1,Male,[40:45),4657
2048.0,0,Male,[40:45),4657
2048.0,1,Male,[45:50),4278
2048.0,0,Male,[45:50),4278
2048.0,1,Male,[50:55),3943
2048.0,0,Male,[50:55),3943
2048.0,1,Male,[55:60),3418
2048.0,0,Male,[55:60),3418
2048.0,1,Male,[60:65),2575
2048.0,0,Male,[60:65),2575
2048.0,1,Male,[65:70),1573
2048.0,0,Male,[65:70),1573
2048.0,1,Male,[70:75),902
2048.0,0,Male,[70:75),902
2048.0,1,Male,[75:80),471
2048.0,0,Male,[75:80),471
2048.0,1,Female,[0:5),6215
2048.0,0,Female,[0:5),6215
2048.0,1,Female,[0:200),73245
2048.0,0,Female,[0:200),73245
2048.0,1,Female,[5:10),5955
2048.0,0,Female,[5:10),5955
2048.0,1,Female,[10:15),6075
2048.0,0,Female,[10:15),6075
2048.0,1,Female,[15:20),6093
2048.0,0,Female,[15:20),6093
2048.0,1,Female,[20:25),6083
2048.0,0,Female,[20:25),6083
2048.0,1,Female,[25:30),5884
2048.0,0,Female,[25:30),5884
2048.0,1,Female,[30:35),5658
2048.0,0,Female,[30:35),5658
2048.0,1,Female,[35:40),5351
2048.0,0,Female,[35:40),5351
2048.0,1,Female,[40:45),4719
2048.0,0,Female,[40:45),4719
2048.0,1,Female,[45:50),4587
2048.0,0,Female,[45:50),4587
2048.0,1,Female,[50:55),4475
2048.0,0,Female,[50:55),4475
2048.0,1,Female,[55:60),3926
2048.0,0,Female,[55:60),3926
2048.0,1,Female,[60:65),3000
2048.0,0,Female,[60:65),3000
2048.0,1,Female,[65:70),2042
2048.0,0,Female,[65:70),2042
2048.0,1,Female,[70:75),1308
2048.0,0,Female,[70:75),1308
2048.0,1,Female,[75:80),912
2048.0,0,Female,[75:80),912
2049.0,1,Male,[0:5),6022
2049.0,0,Male,[0:5),6022
2049.0,1,Male,[0:200),69311
2049.0,0,Male,[0:200),69311
2049.0,1,Male,[5:10),6074
2049.0,0,Male,[5:10),6074
2049.0,1,Male,[10:15),6037
2049.0,0,Male,[10:15),6037
2049.0,1,Male,[15:20),5811
2049.0,0,Male,[15:20),5811
2049.0,1,Male,[20:25),6025
2049.0,0,Male,[20:25),6025
2049.0,1,Male,[25:30),5747
2049.0,0,Male,[25:30),5747
2049.0,1,Male,[30:35),5675
2049.0,0,Male,[30:35),5675
2049.0,1,Male,[35:40),5315
2049.0,0,Male,[35:40),5315
2049.0,1,Male,[40:45),4741
2049.0,0,Male,[40:45),4741
2049.0,1,Male,[45:50),4337
2049.0,0,Male,[45:50),4337
2049.0,1,Male,[50:55),3929
2049.0,0,Male,[50:55),3929
2049.0,1,Male,[55:60),3459
2049.0,0,Male,[55:60),3459
2049.0,1,Male,[60:65),2705
2049.0,0,Male,[60:65),2705
2049.0,1,Male,[65:70),1700
2049.0,0,Male,[65:70),1700
2049.0,1,Male,[70:75),928
2049.0,0,Male,[70:75),928
2049.0,1,Male,[75:80),497
2049.0,0,Male,[75:80),497
2049.0,1,Female,[0:5),6215
2049.0,0,Female,[0:5),6215
2049.0,1,Female,[0:200),74052
2049.0,0,Female,[0:200),74052
2049.0,1,Female,[5:10),5947
2049.0,0,Female,[5:10),5947
2049.0,1,Female,[10:15),6111
2049.0,0,Female,[10:15),6111
2049.0,1,Female,[15:20),6095
2049.0,0,Female,[15:20),6095
2049.0,1,Female,[20:25),5947
2049.0,0,Female,[20:25),5947
2049.0,1,Female,[25:30),6030
2049.0,0,Female,[25:30),6030
2049.0,1,Female,[30:35),5681
2049.0,0,Female,[30:35),5681
2049.0,1,Female,[35:40),5413
2049.0,0,Female,[35:40),5413
2049.0,1,Female,[40:45),4864
2049.0,0,Female,[40:45),4864
2049.0,1,Female,[45:50),4599
2049.0,0,Female,[45:50),4599
2049.0,1,Female,[50:55),4453
2049.0,0,Female,[50:55),4453
2049.0,1,Female,[55:60),4002
2049.0,0,Female,[55:60),4002
2049.0,1,Female,[60:65),3209
2049.0,0,Female,[60:65),3209
2049.0,1,Female,[65:70),2145
2049.0,0,Female,[65:70),2145
2049.0,1,Female,[70:75),1414
2049.0,0,Female,[70:75),1414
2049.0,1,Female,[75:80),914
2049.0,0,Female,[75:80),914
2050.0,1,Male,[0:5),5988
2050.0,0,Male,[0:5),5988
2050.0,1,Male,[0:200),69929
2050.0,0,Male,[0:200),69929
2050.0,1,Male,[5:10),6015
2050.0,0,Male,[5:10),6015
2050.0,1,Male,[10:15),6097
2050.0,0,Male,[10:15),6097
2050.0,1,Male,[15:20),5822
2050.0,0,Male,[15:20),5822
2050.0,1,Male,[20:25),5929
2050.0,0,Male,[20:25),5929
2050.0,1,Male,[25:30),5830
2050.0,0,Male,[25:30),5830
2050.0,1,Male,[30:35),5724
2050.0,0,Male,[30:35),5724
2050.0,1,Male,[35:40),5380
2050.0,0,Male,[35:40),5380
2050.0,1,Male,[40:45),4870
2050.0,0,Male,[40:45),4870
2050.0,1,Male,[45:50),4352
2050.0,0,Male,[45:50),4352
2050.0,1,Male,[50:55),3962
2050.0,0,Male,[50:55),3962
2050.0,1,Male,[55:60),3519
2050.0,0,Male,[55:60),3519
2050.0,1,Male,[60:65),2814
2050.0,0,Male,[60:65),2814
2050.0,1,Male,[65:70),1802
2050.0,0,Male,[65:70),1802
2050.0,1,Male,[70:75),978
2050.0,0,Male,[70:75),978
2050.0,1,Male,[75:80),512
2050.0,0,Male,[75:80),512
2050.0,1,Female,[0:5),6219
2050.0,0,Female,[0:5),6219
2050.0,1,Female,[0:200),74827
2050.0,0,Female,[0:200),74827
2050.0,1,Female,[5:10),5989
2050.0,0,Female,[5:10),5989
2050.0,1,Female,[10:15),6046
2050.0,0,Female,[10:15),6046
2050.0,1,Female,[15:20),6083
2050.0,0,Female,[15:20),6083
2050.0,1,Female,[20:25),5996
2050.0,0,Female,[20:25),5996
2050.0,1,Female,[25:30),6037
2050.0,0,Female,[25:30),6037
2050.0,1,Female,[30:35),5742
