Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6056
2048.0,0,Male,[0:5),6056
2048.0,1,Male,[0:200),68400
2048.0,0,Male,[0:200),68400
2048.0,1,Male,[5:10),6013
2048.0,0,Male,[5:10),6013
2048.0,1,Male,[10:15),6104
2048.0,0,Male,[10:15),6104
2048.0,1,Male,[15:20),6009
2048.0,0,Male,[15:20),6009
2048.0,1,Male,[20:25),5945
2048.0,0,Male,[20:25),5945
2048.0,1,Male,[25:30),5717
2048.0,0,Male,[25:30),5717
2048.0,1,Male,[30:35),5428
2048.0,0,Male,[30:35),5428
2048.0,1,Male,[35:40),5115
2048.0,0,Male,[35:40),5115
2048.0,1,Male,[40:45),4600
2048.0,0,Male,[40:45),4600
2048.0,1,Male,[45:50),4223
2048.0,0,Male,[45:50),4223
2048.0,1,Male,[50:55),4002
2048.0,0,Male,[50:55),4002
2048.0,1,Male,[55:60),3357
2048.0,0,Male,[55:60),3357
2048.0,1,Male,[60:65),2540
2048.0,0,Male,[60:65),2540
2048.0,1,Male,[65:70),1585
2048.0,0,Male,[65:70),1585
2048.0,1,Male,[70:75),902
2048.0,0,Male,[70:75),902
2048.0,1,Male,[75:80),491
2048.0,0,Male,[75:80),491
2048.0,1,Female,[0:5),6136
2048.0,0,Female,[0:5),6136
2048.0,1,Female,[0:200),73236
2048.0,0,Female,[0:200),73236
2048.0,1,Female,[5:10),6152
2048.0,0,Female,[5:10),6152
2048.0,1,Female,[10:15),6176
2048.0,0,Female,[10:15),6176
2048.0,1,Female,[15:20),6012
2048.0,0,Female,[15:20),6012
2048.0,1,Female,[20:25),6064
2048.0,0,Female,[20:25),6064
2048.0,1,Female,[25:30),5861
2048.0,0,Female,[25:30),5861
2048.0,1,Female,[30:35),5488
2048.0,0,Female,[30:35),5488
2048.0,1,Female,[35:40),5358
2048.0,0,Female,[35:40),5358
2048.0,1,Female,[40:45),5017
2048.0,0,Female,[40:45),5017
2048.0,1,Female,[45:50),4476
2048.0,0,Female,[45:50),4476
2048.0,1,Female,[50:55),4304
2048.0,0,Female,[50:55),4304
2048.0,1,Female,[55:60),3865
2048.0,0,Female,[55:60),3865
2048.0,1,Female,[60:65),2898
2048.0,0,Female,[60:65),2898
2048.0,1,Female,[65:70),2117
2048.0,0,Female,[65:70),2117
2048.0,1,Female,[70:75),1349
2048.0,0,Female,[70:75),1349
2048.0,1,Female,[75:80),965
2048.0,0,Female,[75:80),965
2049.0,1,Male,[0:5),5995
2049.0,0,Male,[0:5),5995
2049.0,1,Male,[0:200),69021
2049.0,0,Male,[0:200),69021
2049.0,1,Male,[5:10),6073
2049.0,0,Male,[5:10),6073
2049.0,1,Male,[10:15),6100
2049.0,0,Male,[10:15),6100
2049.0,1,Male,[15:20),5937
2049.0,0,Male,[15:20),5937
2049.0,1,Male,[20:25),5996
2049.0,0,Male,[20:25),5996
2049.0,1,Male,[25:30),5743
2049.0,0,Male,[25:30),5743
2049.0,1,Male,[30:35),5478
2049.0,0,Male,[30:35),5478
2049.0,1,Male,[35:40),5175
2049.0,0,Male,[35:40),5175
2049.0,1,Male,[40:45),4705
2049.0,0,Male,[40:45),4705
2049.0,1,Male,[45:50),4250
2049.0,0,Male,[45:50),4250
2049.0,1,Male,[50:55),3993
2049.0,0,Male,[50:55),3993
2049.0,1,Male,[55:60),3430
2049.0,0,Male,[55:60),3430
2049.0,1,Male,[60:65),2629
2049.0,0,Male,[60:65),2629
2049.0,1,Male,[65:70),1699
2049.0,0,Male,[65:70),1699
2049.0,1,Male,[70:75),971
2049.0,0,Male,[70:75),971
2049.0,1,Male,[75:80),517
2049.0,0,Male,[75:80),517
2049.0,1,Female,[0:5),6136
2049.0,0,Female,[0:5),6136
2049.0,1,Female,[0:200),74036
2049.0,0,Female,[0:200),74036
2049.0,1,Female,[5:10),6076
2049.0,0,Female,[5:10),6076
2049.0,1,Female,[10:15),6215
2049.0,0,Female,[10:15),6215
2049.0,1,Female,[15:20),6114
2049.0,0,Female,[15:20),6114
2049.0,1,Female,[20:25),6018
2049.0,0,Female,[20:25),6018
2049.0,1,Female,[25:30),5797
2049.0,0,Female,[25:30),5797
2049.0,1,Female,[30:35),5608
2049.0,0,Female,[30:35),5608
2049.0,1,Female,[35:40),5402
2049.0,0,Female,[35:40),5402
2049.0,1,Female,[40:45),5062
2049.0,0,Female,[40:45),5062
2049.0,1,Female,[45:50),4533
2049.0,0,Female,[45:50),4533
2049.0,1,Female,[50:55),4382
2049.0,0,Female,[50:55),4382
2049.0,1,Female,[55:60),3902
2049.0,0,Female,[55:60),3902
2049.0,1,Female,[60:65),3103
2049.0,0,Female,[60:65),3103
2049.0,1,Female,[65:70),2237
2049.0,0,Female,[65:70),2237
2049.0,1,Female,[70:75),1416
2049.0,0,Female,[70:75),1416
2049.0,1,Female,[75:80),978
2049.0,0,Female,[75:80),978
2050.0,1,Male,[0:5),5986
2050.0,0,Male,[0:5),5986
2050.0,1,Male,[0:200),69638
2050.0,0,Male,[0:200),69638
2050.0,1,Male,[5:10),6085
2050.0,0,Male,[5:10),6085
2050.0,1,Male,[10:15),6032
2050.0,0,Male,[10:15),6032
2050.0,1,Male,[15:20),5983
2050.0,0,Male,[15:20),5983
2050.0,1,Male,[20:25),6037
2050.0,0,Male,[20:25),6037
2050.0,1,Male,[25:30),5749
2050.0,0,Male,[25:30),5749
2050.0,1,Male,[30:35),5534
2050.0,0,Male,[30:35),5534
2050.0,1,Male,[35:40),5226
2050.0,0,Male,[35:40),5226
2050.0,1,Male,[40:45),4798
2050.0,0,Male,[40:45),4798
2050.0,1,Male,[45:50),4258
2050.0,0,Male,[45:50),4258
2050.0,1,Male,[50:55),4006
2050.0,0,Male,[50:55),4006
2050.0,1,Male,[55:60),3507
2050.0,0,Male,[55:60),3507
2050.0,1,Male,[60:65),2699
2050.0,0,Male,[60:65),2699
2050.0,1,Male,[65:70),1838
2050.0,0,Male,[65:70),1838
2050.0,1,Male,[70:75),1013
2050.0,0,Male,[70:75),1013
2050.0,1,Male,[75:80),564
2050.0,0,Male,[75:80),564
2050.0,1,Female,[0:5),6134
2050.0,0,Female,[0:5),6134
2050.0,1,Female,[0:200),74774
2050.0,0,Female,[0:200),74774
2050.0,1,Female,[5:10),6001
2050.0,0,Female,[5:10),6001
2050.0,1,Female,[10:15),6259
2050.0,0,Female,[10:15),6259
2050.0,1,Female,[15:20),6030
2050.0,0,Female,[15:20),6030
2050.0,1,Female,[20:25),6103
2050.0,0,Female,[20:25),6103
2050.0,1,Female,[25:30),5778
2050.0,0,Female,[25:30),5778
2050.0,1,Female,[30:35),5760
2050.0,0,Female,[30:35),5760
2050.0,1,Female,[35:40),5376
2050.0,0,Female,[35:40),5376
2050.0,1,Female,[40:45),5176
2050.0,0,Female,[40:45),5176
2050.0,1,Female,[45:50),4586
2050.0,0,Female,[45:50),4586
2050.0,1,Female,[50:55),4378
2050.0,0,Female,[50:55),4378
2050.0,1,Female,[55:60),3936
2050.0,0,Female,[55:60),3936
2050.0,1,Female,[60:65),3297
2050.0,0,Female,[60:65),3297
2050.0,1,Female,[65:70),2373
2050.0,0,Female,[65:70),2373
2050.0,1,Female,[70:75),1459
2050.0,0,Female,[70:75),1459
2050.0,1,Female,[75:80),1030
2050.0,0,Female,[75:80),1030
2039.0,1,Male,[0:5),6067
2039.0,0,Male,[0:5),6067
2039.0,1,Male,[0:200),61769
2039.0,0,Male,[0:200),61769
2039.0,1,Male,[5:10),5873
2039.0,0,Male,[5:10),5873
2039.0,1,Male,[10:15),6194
2039.0,0,Male,[10:15),6194
2039.0,1,Male,[15:20),5930
2039.0,0,Male,[15:20),5930
2039.0,1,Male,[20:25),5585
2039.0,0,Male,[20:25),5585
2039.0,1,Male,[25:30),5258
2039.0,0,Male,[25:30),5258
2039.0,1,Male,[30:35),4891
2039.0,0,Male,[30:35),4891
2039.0,1,Male,[35:40),4497
2039.0,0,Male,[35:40),4497
2039.0,1,Male,[40:45),4278
2039.0,0,Male,[40:45),4278
2039.0,1,Male,[45:50),3955
2039.0,0,Male,[45:50),3955
2039.0,1,Male,[50:55),3276
2039.0,0,Male,[50:55),3276
2039.0,1,Male,[55:60),2292
2039.0,0,Male,[55:60),2292
2039.0,1,Male,[60:65),1565
2039.0,0,Male,[60:65),1565
2039.0,1,Male,[65:70),1030
2039.0,0,Male,[65:70),1030
2039.0,1,Male,[70:75),621
2039.0,0,Male,[70:75),621
2039.0,1,Male,[75:80),304
2039.0,0,Male,[75:80),304
2039.0,1,Female,[0:5),6152
2039.0,0,Female,[0:5),6152
2039.0,1,Female,[0:200),65330
2039.0,0,Female,[0:200),65330
2039.0,1,Female,[5:10),6029
2039.0,0,Female,[5:10),6029
2039.0,1,Female,[10:15),6213
2039.0,0,Female,[10:15),6213
2039.0,1,Female,[15:20),5955
2039.0,0,Female,[15:20),5955
2039.0,1,Female,[20:25),5663
2039.0,0,Female,[20:25),5663
2039.0,1,Female,[25:30),5393
2039.0,0,Female,[25:30),5393
2039.0,1,Female,[30:35),5140
2039.0,0,Female,[30:35),5140
2039.0,1,Female,[35:40),4665
2039.0,0,Female,[35:40),4665
2039.0,1,Female,[40:45),4498
