Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6192
2048.0,0,Male,[0:5),6192
2048.0,1,Male,[0:200),69803
2048.0,0,Male,[0:200),69803
2048.0,1,Male,[5:10),6015
2048.0,0,Male,[5:10),6015
2048.0,1,Male,[10:15),6184
2048.0,0,Male,[10:15),6184
2048.0,1,Male,[15:20),6195
2048.0,0,Male,[15:20),6195
2048.0,1,Male,[20:25),6098
2048.0,0,Male,[20:25),6098
2048.0,1,Male,[25:30),5902
2048.0,0,Male,[25:30),5902
2048.0,1,Male,[30:35),5611
2048.0,0,Male,[30:35),5611
2048.0,1,Male,[35:40),5326
2048.0,0,Male,[35:40),5326
2048.0,1,Male,[40:45),4700
2048.0,0,Male,[40:45),4700
2048.0,1,Male,[45:50),4288
2048.0,0,Male,[45:50),4288
2048.0,1,Male,[50:55),3993
2048.0,0,Male,[50:55),3993
2048.0,1,Male,[55:60),3467
2048.0,0,Male,[55:60),3467
2048.0,1,Male,[60:65),2615
2048.0,0,Male,[60:65),2615
2048.0,1,Male,[65:70),1582
2048.0,0,Male,[65:70),1582
2048.0,1,Male,[70:75),877
2048.0,0,Male,[70:75),877
2048.0,1,Male,[75:80),458
2048.0,0,Male,[75:80),458
2048.0,1,Female,[0:5),6248
2048.0,0,Female,[0:5),6248
2048.0,1,Female,[0:200),74514
2048.0,0,Female,[0:200),74514
2048.0,1,Female,[5:10),6086
2048.0,0,Female,[5:10),6086
2048.0,1,Female,[10:15),6418
2048.0,0,Female,[10:15),6418
2048.0,1,Female,[15:20),6190
2048.0,0,Female,[15:20),6190
2048.0,1,Female,[20:25),6069
2048.0,0,Female,[20:25),6069
2048.0,1,Female,[25:30),5915
2048.0,0,Female,[25:30),5915
2048.0,1,Female,[30:35),5843
2048.0,0,Female,[30:35),5843
2048.0,1,Female,[35:40),5337
2048.0,0,Female,[35:40),5337
2048.0,1,Female,[40:45),5011
2048.0,0,Female,[40:45),5011
2048.0,1,Female,[45:50),4587
2048.0,0,Female,[45:50),4587
2048.0,1,Female,[50:55),4476
2048.0,0,Female,[50:55),4476
2048.0,1,Female,[55:60),3963
2048.0,0,Female,[55:60),3963
2048.0,1,Female,[60:65),3137
2048.0,0,Female,[60:65),3137
2048.0,1,Female,[65:70),2039
2048.0,0,Female,[65:70),2039
2048.0,1,Female,[70:75),1291
2048.0,0,Female,[70:75),1291
2048.0,1,Female,[75:80),953
2048.0,0,Female,[75:80),953
2049.0,1,Male,[0:5),6098
2049.0,0,Male,[0:5),6098
2049.0,1,Male,[0:200),70405
2049.0,0,Male,[0:200),70405
2049.0,1,Male,[5:10),6098
2049.0,0,Male,[5:10),6098
2049.0,1,Male,[10:15),6078
2049.0,0,Male,[10:15),6078
2049.0,1,Male,[15:20),6266
2049.0,0,Male,[15:20),6266
2049.0,1,Male,[20:25),6091
2049.0,0,Male,[20:25),6091
2049.0,1,Male,[25:30),5918
2049.0,0,Male,[25:30),5918
2049.0,1,Male,[30:35),5696
2049.0,0,Male,[30:35),5696
2049.0,1,Male,[35:40),5293
2049.0,0,Male,[35:40),5293
2049.0,1,Male,[40:45),4872
2049.0,0,Male,[40:45),4872
2049.0,1,Male,[45:50),4255
2049.0,0,Male,[45:50),4255
2049.0,1,Male,[50:55),4090
2049.0,0,Male,[50:55),4090
2049.0,1,Male,[55:60),3483
2049.0,0,Male,[55:60),3483
2049.0,1,Male,[60:65),2785
2049.0,0,Male,[60:65),2785
2049.0,1,Male,[65:70),1645
2049.0,0,Male,[65:70),1645
