Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[15:20),0.006133979015334947
2048.0,0,Male,[15:20),0.006133979015334947
2048.0,1,Male,[20:25),0.022630370613315843
2048.0,0,Male,[20:25),0.022630370613315843
2048.0,1,Male,[25:30),0.04879701796001355
2048.0,0,Male,[25:30),0.04879701796001355
2048.0,1,Male,[30:35),0.08536802708964535
2048.0,0,Male,[30:35),0.08536802708964535
2048.0,1,Male,[35:40),0.14419827262485918
2048.0,0,Male,[35:40),0.14419827262485918
2048.0,1,Male,[40:45),0.1802127659574468
2048.0,0,Male,[40:45),0.1802127659574468
2048.0,1,Male,[45:50),0.2630597014925373
2048.0,0,Male,[45:50),0.2630597014925373
2048.0,1,Male,[50:55),0.33208114199849736
2048.0,0,Male,[50:55),0.33208114199849736
2048.0,1,Male,[55:60),0.43466974329391406
2048.0,0,Male,[55:60),0.43466974329391406
2048.0,1,Male,[60:65),0.5288718929254302
2048.0,0,Male,[60:65),0.5288718929254302
2048.0,1,Male,[65:200),0.5937208579421822
2048.0,0,Male,[65:200),0.5937208579421822
2048.0,1,Female,[15:20),0.03263327948303716
2048.0,0,Female,[15:20),0.03263327948303716
2048.0,1,Female,[20:25),0.10364145658263306
2048.0,0,Female,[20:25),0.10364145658263306
2048.0,1,Female,[25:30),0.1584108199492815
2048.0,0,Female,[25:30),0.1584108199492815
2048.0,1,Female,[30:35),0.21478692452507273
2048.0,0,Female,[30:35),0.21478692452507273
2048.0,1,Female,[35:40),0.2758103803635001
2048.0,0,Female,[35:40),0.2758103803635001
2048.0,1,Female,[40:45),0.317301935741369
2048.0,0,Female,[40:45),0.317301935741369
2048.0,1,Female,[45:50),0.4024416830172226
2048.0,0,Female,[45:50),0.4024416830172226
2048.0,1,Female,[50:55),0.47073279714030386
2048.0,0,Female,[50:55),0.47073279714030386
2048.0,1,Female,[55:60),0.538228614685844
2048.0,0,Female,[55:60),0.538228614685844
2048.0,1,Female,[60:65),0.6145999362448199
2048.0,0,Female,[60:65),0.6145999362448199
2048.0,1,Female,[65:200),0.5930454719144058
2048.0,0,Female,[65:200),0.5930454719144058
2049.0,1,Male,[15:20),0.0071816150654324925
2049.0,0,Male,[15:20),0.0071816150654324925
2049.0,1,Male,[20:25),0.02331308487933016
2049.0,0,Male,[20:25),0.02331308487933016
2049.0,1,Male,[25:30),0.046806353497803314
2049.0,0,Male,[25:30),0.046806353497803314
2049.0,1,Male,[30:35),0.0840941011235955
2049.0,0,Male,[30:35),0.0840941011235955
2049.0,1,Male,[35:40),0.1358397883997733
2049.0,0,Male,[35:40),0.1358397883997733
2049.0,1,Male,[40:45),0.18308702791461412
2049.0,0,Male,[40:45),0.18308702791461412
2049.0,1,Male,[45:50),0.2528789659224442
2049.0,0,Male,[45:50),0.2528789659224442
2049.0,1,Male,[50:55),0.319559902200489
2049.0,0,Male,[50:55),0.319559902200489
2049.0,1,Male,[55:60),0.42090152167671546
2049.0,0,Male,[55:60),0.42090152167671546
2049.0,1,Male,[60:65),0.510592459605027
2049.0,0,Male,[60:65),0.510592459605027
2049.0,1,Male,[65:200),0.5966883500887049
2049.0,0,Male,[65:200),0.5966883500887049
2049.0,1,Female,[15:20),0.03193357815743254
2049.0,0,Female,[15:20),0.03193357815743254
2049.0,1,Female,[20:25),0.10150189800297078
2049.0,0,Female,[20:25),0.10150189800297078
2049.0,1,Female,[25:30),0.15808080808080807
2049.0,0,Female,[25:30),0.15808080808080807
2049.0,1,Female,[30:35),0.20761186353505914
2049.0,0,Female,[30:35),0.20761186353505914
2049.0,1,Female,[35:40),0.2762115349180026
2049.0,0,Female,[35:40),0.2762115349180026
2049.0,1,Female,[40:45),0.312792511700468
2049.0,0,Female,[40:45),0.312792511700468
2049.0,1,Female,[45:50),0.3868375325803649
2049.0,0,Female,[45:50),0.3868375325803649
2049.0,1,Female,[50:55),0.46482635796972394
2049.0,0,Female,[50:55),0.46482635796972394
2049.0,1,Female,[55:60),0.5305920237800347
2049.0,0,Female,[55:60),0.5305920237800347
2049.0,1,Female,[60:65),0.5978028684772658
2049.0,0,Female,[60:65),0.5978028684772658
