Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6200
2048.0,0,Male,[0:5),6200
2048.0,1,Male,[0:200),70062
2048.0,0,Male,[0:200),70062
2048.0,1,Male,[5:10),6080
2048.0,0,Male,[5:10),6080
2048.0,1,Male,[10:15),6299
2048.0,0,Male,[10:15),6299
2048.0,1,Male,[15:20),6255
2048.0,0,Male,[15:20),6255
2048.0,1,Male,[20:25),6023
2048.0,0,Male,[20:25),6023
2048.0,1,Male,[25:30),5831
2048.0,0,Male,[25:30),5831
2048.0,1,Male,[30:35),5513
2048.0,0,Male,[30:35),5513
2048.0,1,Male,[35:40),5110
2048.0,0,Male,[35:40),5110
2048.0,1,Male,[40:45),4751
2048.0,0,Male,[40:45),4751
2048.0,1,Male,[45:50),4296
2048.0,0,Male,[45:50),4296
2048.0,1,Male,[50:55),4185
2048.0,0,Male,[50:55),4185
2048.0,1,Male,[55:60),3609
2048.0,0,Male,[55:60),3609
2048.0,1,Male,[60:65),2617
2048.0,0,Male,[60:65),2617
2048.0,1,Male,[65:70),1592
2048.0,0,Male,[65:70),1592
2048.0,1,Male,[70:75),924
2048.0,0,Male,[70:75),924
2048.0,1,Male,[75:80),481
2048.0,0,Male,[75:80),481
2048.0,1,Female,[0:5),6366
2048.0,0,Female,[0:5),6366
2048.0,1,Female,[0:200),74588
2048.0,0,Female,[0:200),74588
2048.0,1,Female,[5:10),6211
2048.0,0,Female,[5:10),6211
2048.0,1,Female,[10:15),6375
2048.0,0,Female,[10:15),6375
2048.0,1,Female,[15:20),6100
2048.0,0,Female,[15:20),6100
2048.0,1,Female,[20:25),6131
2048.0,0,Female,[20:25),6131
2048.0,1,Female,[25:30),5930
2048.0,0,Female,[25:30),5930
2048.0,1,Female,[30:35),5726
2048.0,0,Female,[30:35),5726
2048.0,1,Female,[35:40),5352
2048.0,0,Female,[35:40),5352
2048.0,1,Female,[40:45),5077
2048.0,0,Female,[40:45),5077
2048.0,1,Female,[45:50),4587
2048.0,0,Female,[45:50),4587
2048.0,1,Female,[50:55),4432
2048.0,0,Female,[50:55),4432
2048.0,1,Female,[55:60),3911
2048.0,0,Female,[55:60),3911
2048.0,1,Female,[60:65),3050
2048.0,0,Female,[60:65),3050
2048.0,1,Female,[65:70),1991
2048.0,0,Female,[65:70),1991
2048.0,1,Female,[70:75),1406
2048.0,0,Female,[70:75),1406
2048.0,1,Female,[75:80),978
2048.0,0,Female,[75:80),978
2049.0,1,Male,[0:5),6172
2049.0,0,Male,[0:5),6172
2049.0,1,Male,[0:200),70657
2049.0,0,Male,[0:200),70657
2049.0,1,Male,[5:10),6047
2049.0,0,Male,[5:10),6047
2049.0,1,Male,[10:15),6266
2049.0,0,Male,[10:15),6266
2049.0,1,Male,[15:20),6260
2049.0,0,Male,[15:20),6260
2049.0,1,Male,[20:25),6016
2049.0,0,Male,[20:25),6016
2049.0,1,Male,[25:30),5909
2049.0,0,Male,[25:30),5909
2049.0,1,Male,[30:35),5580
2049.0,0,Male,[30:35),5580
2049.0,1,Male,[35:40),5169
2049.0,0,Male,[35:40),5169
2049.0,1,Male,[40:45),4739
2049.0,0,Male,[40:45),4739
2049.0,1,Male,[45:50),4378
2049.0,0,Male,[45:50),4378
2049.0,1,Male,[50:55),4165
2049.0,0,Male,[50:55),4165
2049.0,1,Male,[55:60),3684
2049.0,0,Male,[55:60),3684
2049.0,1,Male,[60:65),2774
2049.0,0,Male,[60:65),2774
2049.0,1,Male,[65:70),1704
2049.0,0,Male,[65:70),1704
2049.0,1,Male,[70:75),974
2049.0,0,Male,[70:75),974
2049.0,1,Male,[75:80),511
2049.0,0,Male,[75:80),511
2049.0,1,Female,[0:5),6293
2049.0,0,Female,[0:5),6293
2049.0,1,Female,[0:200),75419
2049.0,0,Female,[0:200),75419
2049.0,1,Female,[5:10),6220
2049.0,0,Female,[5:10),6220
2049.0,1,Female,[10:15),6436
2049.0,0,Female,[10:15),6436
2049.0,1,Female,[15:20),6160
2049.0,0,Female,[15:20),6160
2049.0,1,Female,[20:25),6026
2049.0,0,Female,[20:25),6026
2049.0,1,Female,[25:30),5912
2049.0,0,Female,[25:30),5912
2049.0,1,Female,[30:35),5871
2049.0,0,Female,[30:35),5871
2049.0,1,Female,[35:40),5405
2049.0,0,Female,[35:40),5405
2049.0,1,Female,[40:45),5147
2049.0,0,Female,[40:45),5147
2049.0,1,Female,[45:50),4665
2049.0,0,Female,[45:50),4665
2049.0,1,Female,[50:55),4449
2049.0,0,Female,[50:55),4449
2049.0,1,Female,[55:60),3930
2049.0,0,Female,[55:60),3930
2049.0,1,Female,[60:65),3264
2049.0,0,Female,[60:65),3264
2049.0,1,Female,[65:70),2122
2049.0,0,Female,[65:70),2122
2049.0,1,Female,[70:75),1490
2049.0,0,Female,[70:75),1490
2049.0,1,Female,[75:80),990
2049.0,0,Female,[75:80),990
2050.0,1,Male,[0:5),6125
2050.0,0,Male,[0:5),6125
2050.0,1,Male,[0:200),71327
2050.0,0,Male,[0:200),71327
2050.0,1,Male,[5:10),6137
2050.0,0,Male,[5:10),6137
2050.0,1,Male,[10:15),6271
2050.0,0,Male,[10:15),6271
2050.0,1,Male,[15:20),6185
2050.0,0,Male,[15:20),6185
2050.0,1,Male,[20:25),6079
2050.0,0,Male,[20:25),6079
2050.0,1,Male,[25:30),5916
2050.0,0,Male,[25:30),5916
2050.0,1,Male,[30:35),5627
2050.0,0,Male,[30:35),5627
2050.0,1,Male,[35:40),5289
2050.0,0,Male,[35:40),5289
2050.0,1,Male,[40:45),4753
2050.0,0,Male,[40:45),4753
2050.0,1,Male,[45:50),4427
2050.0,0,Male,[45:50),4427
2050.0,1,Male,[50:55),4152
2050.0,0,Male,[50:55),4152
2050.0,1,Male,[55:60),3715
2050.0,0,Male,[55:60),3715
2050.0,1,Male,[60:65),2887
2050.0,0,Male,[60:65),2887
2050.0,1,Male,[65:70),1874
2050.0,0,Male,[65:70),1874
2050.0,1,Male,[70:75),1034
2050.0,0,Male,[70:75),1034
2050.0,1,Male,[75:80),511
2050.0,0,Male,[75:80),511
2050.0,1,Female,[0:5),6324
2050.0,0,Female,[0:5),6324
2050.0,1,Female,[0:200),76197
2050.0,0,Female,[0:200),76197
2050.0,1,Female,[5:10),6128
2050.0,0,Female,[5:10),6128
2050.0,1,Female,[10:15),6467
2050.0,0,Female,[10:15),6467
2050.0,1,Female,[15:20),6151
2050.0,0,Female,[15:20),6151
2050.0,1,Female,[20:25),6025
2050.0,0,Female,[20:25),6025
2050.0,1,Female,[25:30),5978
2050.0,0,Female,[25:30),5978
2050.0,1,Female,[30:35),5922
2050.0,0,Female,[30:35),5922
2050.0,1,Female,[35:40),5419
2050.0,0,Female,[35:40),5419
2050.0,1,Female,[40:45),5231
2050.0,0,Female,[40:45),5231
2050.0,1,Female,[45:50),4690
2050.0,0,Female,[45:50),4690
2050.0,1,Female,[50:55),4553
2050.0,0,Female,[50:55),4553
2050.0,1,Female,[55:60),3950
2050.0,0,Female,[55:60),3950
2050.0,1,Female,[60:65),3423
2050.0,0,Female,[60:65),3423
2050.0,1,Female,[65:70),2278
2050.0,0,Female,[65:70),2278
2050.0,1,Female,[70:75),1533
2050.0,0,Female,[70:75),1533
2050.0,1,Female,[75:80),1050
2050.0,0,Female,[75:80),1050
2039.0,1,Male,[0:5),6254
2039.0,0,Male,[0:5),6254
2039.0,1,Male,[0:200),63339
2039.0,0,Male,[0:200),63339
2039.0,1,Male,[5:10),6203
2039.0,0,Male,[5:10),6203
2039.0,1,Male,[10:15),6198
2039.0,0,Male,[10:15),6198
2039.0,1,Male,[15:20),6111
2039.0,0,Male,[15:20),6111
2039.0,1,Male,[20:25),5699
2039.0,0,Male,[20:25),5699
2039.0,1,Male,[25:30),5244
2039.0,0,Male,[25:30),5244
2039.0,1,Male,[30:35),4919
2039.0,0,Male,[30:35),4919
2039.0,1,Male,[35:40),4625
2039.0,0,Male,[35:40),4625
2039.0,1,Male,[40:45),4459
2039.0,0,Male,[40:45),4459
