Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6115
2048.0,0,Male,[0:5),6115
2048.0,1,Male,[0:200),69127
2048.0,0,Male,[0:200),69127
2048.0,1,Male,[5:10),6002
2048.0,0,Male,[5:10),6002
2048.0,1,Male,[10:15),6052
2048.0,0,Male,[10:15),6052
2048.0,1,Male,[15:20),6198
2048.0,0,Male,[15:20),6198
2048.0,1,Male,[20:25),6018
2048.0,0,Male,[20:25),6018
2048.0,1,Male,[25:30),5829
2048.0,0,Male,[25:30),5829
2048.0,1,Male,[30:35),5589
2048.0,0,Male,[30:35),5589
2048.0,1,Male,[35:40),5214
2048.0,0,Male,[35:40),5214
2048.0,1,Male,[40:45),4736
2048.0,0,Male,[40:45),4736
2048.0,1,Male,[45:50),4191
2048.0,0,Male,[45:50),4191
2048.0,1,Male,[50:55),3961
2048.0,0,Male,[50:55),3961
2048.0,1,Male,[55:60),3352
2048.0,0,Male,[55:60),3352
2048.0,1,Male,[60:65),2509
2048.0,0,Male,[60:65),2509
2048.0,1,Male,[65:70),1599
2048.0,0,Male,[65:70),1599
2048.0,1,Male,[70:75),932
2048.0,0,Male,[70:75),932
2048.0,1,Male,[75:80),495
2048.0,0,Male,[75:80),495
2048.0,1,Female,[0:5),6281
2048.0,0,Female,[0:5),6281
2048.0,1,Female,[0:200),74026
2048.0,0,Female,[0:200),74026
2048.0,1,Female,[5:10),6060
2048.0,0,Female,[5:10),6060
2048.0,1,Female,[10:15),6358
2048.0,0,Female,[10:15),6358
2048.0,1,Female,[15:20),6183
2048.0,0,Female,[15:20),6183
2048.0,1,Female,[20:25),5986
2048.0,0,Female,[20:25),5986
2048.0,1,Female,[25:30),5975
2048.0,0,Female,[25:30),5975
2048.0,1,Female,[30:35),5646
2048.0,0,Female,[30:35),5646
2048.0,1,Female,[35:40),5381
2048.0,0,Female,[35:40),5381
2048.0,1,Female,[40:45),4954
2048.0,0,Female,[40:45),4954
2048.0,1,Female,[45:50),4579
2048.0,0,Female,[45:50),4579
2048.0,1,Female,[50:55),4422
2048.0,0,Female,[50:55),4422
2048.0,1,Female,[55:60),3946
2048.0,0,Female,[55:60),3946
2048.0,1,Female,[60:65),3060
2048.0,0,Female,[60:65),3060
2048.0,1,Female,[65:70),2033
2048.0,0,Female,[65:70),2033
2048.0,1,Female,[70:75),1326
2048.0,0,Female,[70:75),1326
2048.0,1,Female,[75:80),907
2048.0,0,Female,[75:80),907
2049.0,1,Male,[0:5),6238
2049.0,0,Male,[0:5),6238
2049.0,1,Male,[0:200),69893
2049.0,0,Male,[0:200),69893
2049.0,1,Male,[5:10),5981
2049.0,0,Male,[5:10),5981
2049.0,1,Male,[10:15),6090
2049.0,0,Male,[10:15),6090
2049.0,1,Male,[15:20),6175
2049.0,0,Male,[15:20),6175
2049.0,1,Male,[20:25),5962
2049.0,0,Male,[20:25),5962
2049.0,1,Male,[25:30),5892
2049.0,0,Male,[25:30),5892
2049.0,1,Male,[30:35),5643
2049.0,0,Male,[30:35),5643
2049.0,1,Male,[35:40),5237
2049.0,0,Male,[35:40),5237
2049.0,1,Male,[40:45),4863
2049.0,0,Male,[40:45),4863
2049.0,1,Male,[45:50),4253
2049.0,0,Male,[45:50),4253
2049.0,1,Male,[50:55),3932
2049.0,0,Male,[50:55),3932
2049.0,1,Male,[55:60),3483
2049.0,0,Male,[55:60),3483
2049.0,1,Male,[60:65),2611
2049.0,0,Male,[60:65),2611
2049.0,1,Male,[65:70),1691
2049.0,0,Male,[65:70),1691
2049.0,1,Male,[70:75),961
2049.0,0,Male,[70:75),961
2049.0,1,Male,[75:80),513
2049.0,0,Male,[75:80),513
2049.0,1,Female,[0:5),6249
2049.0,0,Female,[0:5),6249
2049.0,1,Female,[0:200),74859
2049.0,0,Female,[0:200),74859
2049.0,1,Female,[5:10),6098
2049.0,0,Female,[5:10),6098
2049.0,1,Female,[10:15),6375
2049.0,0,Female,[10:15),6375
2049.0,1,Female,[15:20),6184
2049.0,0,Female,[15:20),6184
2049.0,1,Female,[20:25),5973
2049.0,0,Female,[20:25),5973
2049.0,1,Female,[25:30),5966
2049.0,0,Female,[25:30),5966
2049.0,1,Female,[30:35),5762
2049.0,0,Female,[30:35),5762
2049.0,1,Female,[35:40),5428
2049.0,0,Female,[35:40),5428
2049.0,1,Female,[40:45),5026
2049.0,0,Female,[40:45),5026
2049.0,1,Female,[45:50),4643
2049.0,0,Female,[45:50),4643
2049.0,1,Female,[50:55),4425
2049.0,0,Female,[50:55),4425
2049.0,1,Female,[55:60),3998
2049.0,0,Female,[55:60),3998
2049.0,1,Female,[60:65),3267
2049.0,0,Female,[60:65),3267
2049.0,1,Female,[65:70),2163
2049.0,0,Female,[65:70),2163
2049.0,1,Female,[70:75),1393
2049.0,0,Female,[70:75),1393
2049.0,1,Female,[75:80),931
2049.0,0,Female,[75:80),931
2050.0,1,Male,[0:5),6284
2050.0,0,Male,[0:5),6284
2050.0,1,Male,[0:200),70544
2050.0,0,Male,[0:200),70544
2050.0,1,Male,[5:10),5951
2050.0,0,Male,[5:10),5951
2050.0,1,Male,[10:15),6052
2050.0,0,Male,[10:15),6052
2050.0,1,Male,[15:20),6116
2050.0,0,Male,[15:20),6116
2050.0,1,Male,[20:25),6014
2050.0,0,Male,[20:25),6014
2050.0,1,Male,[25:30),5897
2050.0,0,Male,[25:30),5897
2050.0,1,Male,[30:35),5738
2050.0,0,Male,[30:35),5738
2050.0,1,Male,[35:40),5305
2050.0,0,Male,[35:40),5305
2050.0,1,Male,[40:45),4961
2050.0,0,Male,[40:45),4961
2050.0,1,Male,[45:50),4302
2050.0,0,Male,[45:50),4302
2050.0,1,Male,[50:55),3916
2050.0,0,Male,[50:55),3916
2050.0,1,Male,[55:60),3570
2050.0,0,Male,[55:60),3570
2050.0,1,Male,[60:65),2713
2050.0,0,Male,[60:65),2713
2050.0,1,Male,[65:70),1794
2050.0,0,Male,[65:70),1794
2050.0,1,Male,[70:75),1021
2050.0,0,Male,[70:75),1021
2050.0,1,Male,[75:80),550
2050.0,0,Male,[75:80),550
2050.0,1,Female,[0:5),6208
2050.0,0,Female,[0:5),6208
2050.0,1,Female,[0:200),75686
2050.0,0,Female,[0:200),75686
2050.0,1,Female,[5:10),6117
2050.0,0,Female,[5:10),6117
2050.0,1,Female,[10:15),6365
2050.0,0,Female,[10:15),6365
2050.0,1,Female,[15:20),6231
2050.0,0,Female,[15:20),6231
2050.0,1,Female,[20:25),5972
2050.0,0,Female,[20:25),5972
2050.0,1,Female,[25:30),5965
2050.0,0,Female,[25:30),5965
2050.0,1,Female,[30:35),5833
2050.0,0,Female,[30:35),5833
2050.0,1,Female,[35:40),5439
2050.0,0,Female,[35:40),5439
2050.0,1,Female,[40:45),5156
2050.0,0,Female,[40:45),5156
2050.0,1,Female,[45:50),4630
2050.0,0,Female,[45:50),4630
2050.0,1,Female,[50:55),4472
2050.0,0,Female,[50:55),4472
2050.0,1,Female,[55:60),4094
2050.0,0,Female,[55:60),4094
2050.0,1,Female,[60:65),3421
2050.0,0,Female,[60:65),3421
2050.0,1,Female,[65:70),2327
2050.0,0,Female,[65:70),2327
2050.0,1,Female,[70:75),1475
2050.0,0,Female,[70:75),1475
2050.0,1,Female,[75:80),958
2050.0,0,Female,[75:80),958
2039.0,1,Male,[0:5),6062
2039.0,0,Male,[0:5),6062
2039.0,1,Male,[0:200),62616
2039.0,0,Male,[0:200),62616
2039.0,1,Male,[5:10),6118
2039.0,0,Male,[5:10),6118
2039.0,1,Male,[10:15),6142
2039.0,0,Male,[10:15),6142
2039.0,1,Male,[15:20),6091
2039.0,0,Male,[15:20),6091
2039.0,1,Male,[20:25),5758
2039.0,0,Male,[20:25),5758
2039.0,1,Male,[25:30),5305
2039.0,0,Male,[25:30),5305
2039.0,1,Male,[30:35),5074
2039.0,0,Male,[30:35),5074
2039.0,1,Male,[35:40),4482
2039.0,0,Male,[35:40),4482
2039.0,1,Male,[40:45),4215
2039.0,0,Male,[40:45),4215
2039.0,1,Male,[45:50),4024
2039.0,0,Male,[45:50),4024
2039.0,1,Male,[50:55),3323
2039.0,0,Male,[50:55),3323
2039.0,1,Male,[55:60),2290
2039.0,0,Male,[55:60),2290
2039.0,1,Male,[60:65),1555
2039.0,0,Male,[60:65),1555
2039.0,1,Male,[65:70),1002
2039.0,0,Male,[65:70),1002
2039.0,1,Male,[70:75),671
2039.0,0,Male,[70:75),671
2039.0,1,Male,[75:80),341
