Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[15:20),0.004356243949661181
2048.0,0,Male,[15:20),0.004356243949661181
2048.0,1,Male,[20:25),0.016450648055832504
2048.0,0,Male,[20:25),0.016450648055832504
2048.0,1,Male,[25:30),0.047692571624635444
2048.0,0,Male,[25:30),0.047692571624635444
2048.0,1,Male,[30:35),0.07425299695831097
2048.0,0,Male,[30:35),0.07425299695831097
2048.0,1,Male,[35:40),0.119102416570771
2048.0,0,Male,[35:40),0.119102416570771
2048.0,1,Male,[40:45),0.17820945945945946
2048.0,0,Male,[40:45),0.17820945945945946
2048.0,1,Male,[45:50),0.24695776664280603
2048.0,0,Male,[45:50),0.24695776664280603
2048.0,1,Male,[50:55),0.35268871497096693
2048.0,0,Male,[50:55),0.35268871497096693
2048.0,1,Male,[55:60),0.4331742243436754
2048.0,0,Male,[55:60),0.4331742243436754
2048.0,1,Male,[60:65),0.525707453168593
2048.0,0,Male,[60:65),0.525707453168593
2048.0,1,Male,[65:200),0.59357334126748
2048.0,0,Male,[65:200),0.59357334126748
2048.0,1,Female,[15:20),0.031861555879023125
2048.0,0,Female,[15:20),0.031861555879023125
2048.0,1,Female,[20:25),0.09505512863347812
2048.0,0,Female,[20:25),0.09505512863347812
2048.0,1,Female,[25:30),0.15313807531380752
2048.0,0,Female,[25:30),0.15313807531380752
2048.0,1,Female,[30:35),0.2010272759475735
2048.0,0,Female,[30:35),0.2010272759475735
2048.0,1,Female,[35:40),0.25459951681843523
2048.0,0,Female,[35:40),0.25459951681843523
2048.0,1,Female,[40:45),0.3187323375050464
2048.0,0,Female,[40:45),0.3187323375050464
2048.0,1,Female,[45:50),0.3867656693601223
2048.0,0,Female,[45:50),0.3867656693601223
2048.0,1,Female,[50:55),0.4601990049751244
2048.0,0,Female,[50:55),0.4601990049751244
2048.0,1,Female,[55:60),0.5415610745058287
2048.0,0,Female,[55:60),0.5415610745058287
2048.0,1,Female,[60:65),0.6225490196078431
2048.0,0,Female,[60:65),0.6225490196078431
2048.0,1,Female,[65:200),0.5909528392685275
2048.0,0,Female,[65:200),0.5909528392685275
2049.0,1,Male,[15:20),0.004534412955465587
2049.0,0,Male,[15:20),0.004534412955465587
2049.0,1,Male,[20:25),0.014760147601476014
2049.0,0,Male,[20:25),0.014760147601476014
2049.0,1,Male,[25:30),0.04378818737270876
2049.0,0,Male,[25:30),0.04378818737270876
2049.0,1,Male,[30:35),0.07442849548112707
2049.0,0,Male,[30:35),0.07442849548112707
2049.0,1,Male,[35:40),0.1176245942333397
2049.0,0,Male,[35:40),0.1176245942333397
2049.0,1,Male,[40:45),0.17643429981492906
2049.0,0,Male,[40:45),0.17643429981492906
2049.0,1,Male,[45:50),0.23912532330119915
2049.0,0,Male,[45:50),0.23912532330119915
2049.0,1,Male,[50:55),0.33621566632756866
2049.0,0,Male,[50:55),0.33621566632756866
2049.0,1,Male,[55:60),0.4186046511627907
2049.0,0,Male,[55:60),0.4186046511627907
2049.0,1,Male,[60:65),0.5185752585216392
2049.0,0,Male,[60:65),0.5185752585216392
2049.0,1,Male,[65:200),0.5924143787149732
2049.0,0,Male,[65:200),0.5924143787149732
2049.0,1,Female,[15:20),0.029592496765847347
2049.0,0,Female,[15:20),0.029592496765847347
2049.0,1,Female,[20:25),0.09459233216139293
2049.0,0,Female,[20:25),0.09459233216139293
2049.0,1,Female,[25:30),0.1523633925578277
2049.0,0,Female,[25:30),0.1523633925578277
2049.0,1,Female,[30:35),0.19663311350225615
2049.0,0,Female,[30:35),0.19663311350225615
2049.0,1,Female,[35:40),0.2562638172439204
2049.0,0,Female,[35:40),0.2562638172439204
2049.0,1,Female,[40:45),0.30282530839633903
2049.0,0,Female,[40:45),0.30282530839633903
2049.0,1,Female,[45:50),0.38164979539091104
2049.0,0,Female,[45:50),0.38164979539091104
2049.0,1,Female,[50:55),0.44994350282485873
2049.0,0,Female,[50:55),0.44994350282485873
