Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6175
2048.0,0,Male,[0:5),6175
2048.0,1,Male,[0:200),67747
2048.0,0,Male,[0:200),67747
2048.0,1,Male,[5:10),5923
2048.0,0,Male,[5:10),5923
2048.0,1,Male,[10:15),6092
2048.0,0,Male,[10:15),6092
2048.0,1,Male,[15:20),5902
2048.0,0,Male,[15:20),5902
2048.0,1,Male,[20:25),5895
2048.0,0,Male,[20:25),5895
2048.0,1,Male,[25:30),5568
2048.0,0,Male,[25:30),5568
2048.0,1,Male,[30:35),5434
2048.0,0,Male,[30:35),5434
2048.0,1,Male,[35:40),4998
2048.0,0,Male,[35:40),4998
2048.0,1,Male,[40:45),4615
2048.0,0,Male,[40:45),4615
2048.0,1,Male,[45:50),4122
2048.0,0,Male,[45:50),4122
2048.0,1,Male,[50:55),3922
2048.0,0,Male,[50:55),3922
2048.0,1,Male,[55:60),3339
2048.0,0,Male,[55:60),3339
2048.0,1,Male,[60:65),2467
2048.0,0,Male,[60:65),2467
2048.0,1,Male,[65:70),1588
2048.0,0,Male,[65:70),1588
2048.0,1,Male,[70:75),883
2048.0,0,Male,[70:75),883
2048.0,1,Male,[75:80),472
2048.0,0,Male,[75:80),472
2048.0,1,Female,[0:5),6076
2048.0,0,Female,[0:5),6076
2048.0,1,Female,[0:200),72834
2048.0,0,Female,[0:200),72834
2048.0,1,Female,[5:10),6122
2048.0,0,Female,[5:10),6122
2048.0,1,Female,[10:15),6307
2048.0,0,Female,[10:15),6307
2048.0,1,Female,[15:20),5941
2048.0,0,Female,[15:20),5941
2048.0,1,Female,[20:25),5996
2048.0,0,Female,[20:25),5996
2048.0,1,Female,[25:30),5818
2048.0,0,Female,[25:30),5818
2048.0,1,Female,[30:35),5658
2048.0,0,Female,[30:35),5658
2048.0,1,Female,[35:40),5288
2048.0,0,Female,[35:40),5288
2048.0,1,Female,[40:45),4784
2048.0,0,Female,[40:45),4784
2048.0,1,Female,[45:50),4477
2048.0,0,Female,[45:50),4477
2048.0,1,Female,[50:55),4251
2048.0,0,Female,[50:55),4251
2048.0,1,Female,[55:60),3935
2048.0,0,Female,[55:60),3935
2048.0,1,Female,[60:65),3005
2048.0,0,Female,[60:65),3005
2048.0,1,Female,[65:70),1970
2048.0,0,Female,[65:70),1970
2048.0,1,Female,[70:75),1294
2048.0,0,Female,[70:75),1294
2048.0,1,Female,[75:80),976
2048.0,0,Female,[75:80),976
2049.0,1,Male,[0:5),5990
2049.0,0,Male,[0:5),5990
2049.0,1,Male,[0:200),68307
2049.0,0,Male,[0:200),68307
2049.0,1,Male,[5:10),6029
2049.0,0,Male,[5:10),6029
2049.0,1,Male,[10:15),6061
2049.0,0,Male,[10:15),6061
2049.0,1,Male,[15:20),5949
2049.0,0,Male,[15:20),5949
2049.0,1,Male,[20:25),5932
2049.0,0,Male,[20:25),5932
2049.0,1,Male,[25:30),5554
2049.0,0,Male,[25:30),5554
2049.0,1,Male,[30:35),5512
2049.0,0,Male,[30:35),5512
2049.0,1,Male,[35:40),5055
2049.0,0,Male,[35:40),5055
2049.0,1,Male,[40:45),4671
2049.0,0,Male,[40:45),4671
2049.0,1,Male,[45:50),4174
2049.0,0,Male,[45:50),4174
2049.0,1,Male,[50:55),3957
2049.0,0,Male,[50:55),3957
2049.0,1,Male,[55:60),3381
2049.0,0,Male,[55:60),3381
2049.0,1,Male,[60:65),2601
2049.0,0,Male,[60:65),2601
2049.0,1,Male,[65:70),1649
2049.0,0,Male,[65:70),1649
2049.0,1,Male,[70:75),922
2049.0,0,Male,[70:75),922
2049.0,1,Male,[75:80),498
2049.0,0,Male,[75:80),498
2049.0,1,Female,[0:5),6047
2049.0,0,Female,[0:5),6047
2049.0,1,Female,[0:200),73606
2049.0,0,Female,[0:200),73606
2049.0,1,Female,[5:10),6085
2049.0,0,Female,[5:10),6085
2049.0,1,Female,[10:15),6307
2049.0,0,Female,[10:15),6307
2049.0,1,Female,[15:20),6004
2049.0,0,Female,[15:20),6004
2049.0,1,Female,[20:25),5949
2049.0,0,Female,[20:25),5949
2049.0,1,Female,[25:30),5829
2049.0,0,Female,[25:30),5829
2049.0,1,Female,[30:35),5694
2049.0,0,Female,[30:35),5694
2049.0,1,Female,[35:40),5419
2049.0,0,Female,[35:40),5419
2049.0,1,Female,[40:45),4899
2049.0,0,Female,[40:45),4899
2049.0,1,Female,[45:50),4457
2049.0,0,Female,[45:50),4457
2049.0,1,Female,[50:55),4314
2049.0,0,Female,[50:55),4314
2049.0,1,Female,[55:60),3943
2049.0,0,Female,[55:60),3943
2049.0,1,Female,[60:65),3198
2049.0,0,Female,[60:65),3198
2049.0,1,Female,[65:70),2087
2049.0,0,Female,[65:70),2087
2049.0,1,Female,[70:75),1389
2049.0,0,Female,[70:75),1389
2049.0,1,Female,[75:80),984
2049.0,0,Female,[75:80),984
2050.0,1,Male,[0:5),5983
2050.0,0,Male,[0:5),5983
2050.0,1,Male,[0:200),68980
2050.0,0,Male,[0:200),68980
2050.0,1,Male,[5:10),6037
2050.0,0,Male,[5:10),6037
2050.0,1,Male,[10:15),6094
2050.0,0,Male,[10:15),6094
2050.0,1,Male,[15:20),5882
2050.0,0,Male,[15:20),5882
2050.0,1,Male,[20:25),5946
2050.0,0,Male,[20:25),5946
2050.0,1,Male,[25:30),5643
2050.0,0,Male,[25:30),5643
2050.0,1,Male,[30:35),5516
2050.0,0,Male,[30:35),5516
2050.0,1,Male,[35:40),5133
2050.0,0,Male,[35:40),5133
2050.0,1,Male,[40:45),4745
2050.0,0,Male,[40:45),4745
2050.0,1,Male,[45:50),4253
2050.0,0,Male,[45:50),4253
2050.0,1,Male,[50:55),3945
2050.0,0,Male,[50:55),3945
2050.0,1,Male,[55:60),3436
2050.0,0,Male,[55:60),3436
2050.0,1,Male,[60:65),2719
2050.0,0,Male,[60:65),2719
2050.0,1,Male,[65:70),1781
2050.0,0,Male,[65:70),1781
2050.0,1,Male,[70:75),987
2050.0,0,Male,[70:75),987
2050.0,1,Male,[75:80),503
2050.0,0,Male,[75:80),503
2050.0,1,Female,[0:5),6083
2050.0,0,Female,[0:5),6083
2050.0,1,Female,[0:200),74402
2050.0,0,Female,[0:200),74402
2050.0,1,Female,[5:10),5997
2050.0,0,Female,[5:10),5997
2050.0,1,Female,[10:15),6329
2050.0,0,Female,[10:15),6329
2050.0,1,Female,[15:20),6040
2050.0,0,Female,[15:20),6040
2050.0,1,Female,[20:25),5949
2050.0,0,Female,[20:25),5949
2050.0,1,Female,[25:30),5815
2050.0,0,Female,[25:30),5815
2050.0,1,Female,[30:35),5773
2050.0,0,Female,[30:35),5773
2050.0,1,Female,[35:40),5415
2050.0,0,Female,[35:40),5415
2050.0,1,Female,[40:45),5051
2050.0,0,Female,[40:45),5051
2050.0,1,Female,[45:50),4480
2050.0,0,Female,[45:50),4480
2050.0,1,Female,[50:55),4382
2050.0,0,Female,[50:55),4382
2050.0,1,Female,[55:60),3913
2050.0,0,Female,[55:60),3913
2050.0,1,Female,[60:65),3417
2050.0,0,Female,[60:65),3417
2050.0,1,Female,[65:70),2251
2050.0,0,Female,[65:70),2251
2050.0,1,Female,[70:75),1447
2050.0,0,Female,[70:75),1447
2050.0,1,Female,[75:80),1025
2050.0,0,Female,[75:80),1025
2039.0,1,Male,[0:5),6027
2039.0,0,Male,[0:5),6027
2039.0,1,Male,[0:200),61109
2039.0,0,Male,[0:200),61109
2039.0,1,Male,[5:10),5883
2039.0,0,Male,[5:10),5883
2039.0,1,Male,[10:15),6112
2039.0,0,Male,[10:15),6112
2039.0,1,Male,[15:20),5734
2039.0,0,Male,[15:20),5734
2039.0,1,Male,[20:25),5621
2039.0,0,Male,[20:25),5621
2039.0,1,Male,[25:30),5109
2039.0,0,Male,[25:30),5109
2039.0,1,Male,[30:35),4851
2039.0,0,Male,[30:35),4851
2039.0,1,Male,[35:40),4431
2039.0,0,Male,[35:40),4431
2039.0,1,Male,[40:45),4225
2039.0,0,Male,[40:45),4225
2039.0,1,Male,[45:50),3912
2039.0,0,Male,[45:50),3912
2039.0,1,Male,[50:55),3231
2039.0,0,Male,[50:55),3231
2039.0,1,Male,[55:60),2295
2039.0,0,Male,[55:60),2295
2039.0,1,Male,[60:65),1499
2039.0,0,Male,[60:65),1499
2039.0,1,Male,[65:70),1044
2039.0,0,Male,[65:70),1044
2039.0,1,Male,[70:75),674
2039.0,0,Male,[70:75),674
2039.0,1,Male,[75:80),337
2039.0,0,Male,[75:80),337
2039.0,1,Female,[0:5),6238
2039.0,0,Female,[0:5),6238
2039.0,1,Female,[0:200),64940
2039.0,0,Female,[0:200),64940
2039.0,1,Female,[5:10),5941
