Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),5967
2048.0,0,Male,[0:5),5967
2048.0,1,Male,[0:200),68730
2048.0,0,Male,[0:200),68730
2048.0,1,Male,[5:10),5888
2048.0,0,Male,[5:10),5888
2048.0,1,Male,[10:15),6101
2048.0,0,Male,[10:15),6101
2048.0,1,Male,[15:20),6055
2048.0,0,Male,[15:20),6055
2048.0,1,Male,[20:25),5996
2048.0,0,Male,[20:25),5996
2048.0,1,Male,[25:30),5713
2048.0,0,Male,[25:30),5713
2048.0,1,Male,[30:35),5711
2048.0,0,Male,[30:35),5711
2048.0,1,Male,[35:40),5186
2048.0,0,Male,[35:40),5186
2048.0,1,Male,[40:45),4672
2048.0,0,Male,[40:45),4672
2048.0,1,Male,[45:50),4307
2048.0,0,Male,[45:50),4307
2048.0,1,Male,[50:55),3920
2048.0,0,Male,[50:55),3920
2048.0,1,Male,[55:60),3370
2048.0,0,Male,[55:60),3370
2048.0,1,Male,[60:65),2555
2048.0,0,Male,[60:65),2555
2048.0,1,Male,[65:70),1574
2048.0,0,Male,[65:70),1574
2048.0,1,Male,[70:75),908
2048.0,0,Male,[70:75),908
2048.0,1,Male,[75:80),500
2048.0,0,Male,[75:80),500
2048.0,1,Female,[0:5),5995
2048.0,0,Female,[0:5),5995
2048.0,1,Female,[0:200),72829
2048.0,0,Female,[0:200),72829
2048.0,1,Female,[5:10),6011
2048.0,0,Female,[5:10),6011
2048.0,1,Female,[10:15),6192
2048.0,0,Female,[10:15),6192
2048.0,1,Female,[15:20),6151
2048.0,0,Female,[15:20),6151
2048.0,1,Female,[20:25),5942
2048.0,0,Female,[20:25),5942
2048.0,1,Female,[25:30),5734
2048.0,0,Female,[25:30),5734
2048.0,1,Female,[30:35),5681
2048.0,0,Female,[30:35),5681
2048.0,1,Female,[35:40),5238
2048.0,0,Female,[35:40),5238
2048.0,1,Female,[40:45),4927
2048.0,0,Female,[40:45),4927
2048.0,1,Female,[45:50),4521
2048.0,0,Female,[45:50),4521
2048.0,1,Female,[50:55),4313
2048.0,0,Female,[50:55),4313
2048.0,1,Female,[55:60),3953
2048.0,0,Female,[55:60),3953
2048.0,1,Female,[60:65),3052
2048.0,0,Female,[60:65),3052
2048.0,1,Female,[65:70),2000
2048.0,0,Female,[65:70),2000
2048.0,1,Female,[70:75),1354
2048.0,0,Female,[70:75),1354
2048.0,1,Female,[75:80),887
2048.0,0,Female,[75:80),887
2049.0,1,Male,[0:5),5993
2049.0,0,Male,[0:5),5993
2049.0,1,Male,[0:200),69350
2049.0,0,Male,[0:200),69350
2049.0,1,Male,[5:10),5877
2049.0,0,Male,[5:10),5877
2049.0,1,Male,[10:15),6132
2049.0,0,Male,[10:15),6132
2049.0,1,Male,[15:20),6063
2049.0,0,Male,[15:20),6063
2049.0,1,Male,[20:25),5982
2049.0,0,Male,[20:25),5982
2049.0,1,Male,[25:30),5728
2049.0,0,Male,[25:30),5728
2049.0,1,Male,[30:35),5760
2049.0,0,Male,[30:35),5760
2049.0,1,Male,[35:40),5228
2049.0,0,Male,[35:40),5228
2049.0,1,Male,[40:45),4782
2049.0,0,Male,[40:45),4782
2049.0,1,Male,[45:50),4291
2049.0,0,Male,[45:50),4291
2049.0,1,Male,[50:55),3998
2049.0,0,Male,[50:55),3998
2049.0,1,Male,[55:60),3462
2049.0,0,Male,[55:60),3462
2049.0,1,Male,[60:65),2594
2049.0,0,Male,[60:65),2594
2049.0,1,Male,[65:70),1655
2049.0,0,Male,[65:70),1655
2049.0,1,Male,[70:75),959
2049.0,0,Male,[70:75),959
2049.0,1,Male,[75:80),532
2049.0,0,Male,[75:80),532
2049.0,1,Female,[0:5),5975
2049.0,0,Female,[0:5),5975
2049.0,1,Female,[0:200),73659
2049.0,0,Female,[0:200),73659
2049.0,1,Female,[5:10),6055
2049.0,0,Female,[5:10),6055
2049.0,1,Female,[10:15),6168
2049.0,0,Female,[10:15),6168
2049.0,1,Female,[15:20),6124
2049.0,0,Female,[15:20),6124
2049.0,1,Female,[20:25),5995
