Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6054
2048.0,0,Male,[0:5),6054
2048.0,1,Male,[0:200),68124
2048.0,0,Male,[0:200),68124
2048.0,1,Male,[5:10),5886
2048.0,0,Male,[5:10),5886
2048.0,1,Male,[10:15),6102
2048.0,0,Male,[10:15),6102
2048.0,1,Male,[15:20),5853
2048.0,0,Male,[15:20),5853
2048.0,1,Male,[20:25),5989
2048.0,0,Male,[20:25),5989
2048.0,1,Male,[25:30),5635
2048.0,0,Male,[25:30),5635
2048.0,1,Male,[30:35),5422
2048.0,0,Male,[30:35),5422
2048.0,1,Male,[35:40),5014
2048.0,0,Male,[35:40),5014
2048.0,1,Male,[40:45),4625
2048.0,0,Male,[40:45),4625
2048.0,1,Male,[45:50),4218
2048.0,0,Male,[45:50),4218
2048.0,1,Male,[50:55),4020
2048.0,0,Male,[50:55),4020
2048.0,1,Male,[55:60),3430
2048.0,0,Male,[55:60),3430
2048.0,1,Male,[60:65),2637
2048.0,0,Male,[60:65),2637
2048.0,1,Male,[65:70),1606
2048.0,0,Male,[65:70),1606
2048.0,1,Male,[70:75),851
2048.0,0,Male,[70:75),851
2048.0,1,Male,[75:80),478
2048.0,0,Male,[75:80),478
2048.0,1,Female,[0:5),6137
2048.0,0,Female,[0:5),6137
2048.0,1,Female,[0:200),73085
2048.0,0,Female,[0:200),73085
2048.0,1,Female,[5:10),6103
2048.0,0,Female,[5:10),6103
2048.0,1,Female,[10:15),6165
2048.0,0,Female,[10:15),6165
2048.0,1,Female,[15:20),6009
2048.0,0,Female,[15:20),6009
2048.0,1,Female,[20:25),6111
2048.0,0,Female,[20:25),6111
2048.0,1,Female,[25:30),5778
2048.0,0,Female,[25:30),5778
2048.0,1,Female,[30:35),5651
2048.0,0,Female,[30:35),5651
2048.0,1,Female,[35:40),5237
2048.0,0,Female,[35:40),5237
2048.0,1,Female,[40:45),4964
2048.0,0,Female,[40:45),4964
2048.0,1,Female,[45:50),4428
2048.0,0,Female,[45:50),4428
2048.0,1,Female,[50:55),4313
2048.0,0,Female,[50:55),4313
2048.0,1,Female,[55:60),3975
2048.0,0,Female,[55:60),3975
2048.0,1,Female,[60:65),2984
2048.0,0,Female,[60:65),2984
2048.0,1,Female,[65:70),1984
2048.0,0,Female,[65:70),1984
2048.0,1,Female,[70:75),1290
2048.0,0,Female,[70:75),1290
2048.0,1,Female,[75:80),992
2048.0,0,Female,[75:80),992
2049.0,1,Male,[0:5),5997
2049.0,0,Male,[0:5),5997
2049.0,1,Male,[0:200),68766
2049.0,0,Male,[0:200),68766
2049.0,1,Male,[5:10),5928
2049.0,0,Male,[5:10),5928
2049.0,1,Male,[10:15),6079
2049.0,0,Male,[10:15),6079
2049.0,1,Male,[15:20),5889
2049.0,0,Male,[15:20),5889
2049.0,1,Male,[20:25),5997
2049.0,0,Male,[20:25),5997
2049.0,1,Male,[25:30),5647
2049.0,0,Male,[25:30),5647
2049.0,1,Male,[30:35),5480
2049.0,0,Male,[30:35),5480
2049.0,1,Male,[35:40),5074
2049.0,0,Male,[35:40),5074
2049.0,1,Male,[40:45),4734
2049.0,0,Male,[40:45),4734
2049.0,1,Male,[45:50),4213
2049.0,0,Male,[45:50),4213
2049.0,1,Male,[50:55),4010
2049.0,0,Male,[50:55),4010
2049.0,1,Male,[55:60),3512
2049.0,0,Male,[55:60),3512
2049.0,1,Male,[60:65),2738
2049.0,0,Male,[60:65),2738
2049.0,1,Male,[65:70),1748
2049.0,0,Male,[65:70),1748
2049.0,1,Male,[70:75),903
2049.0,0,Male,[70:75),903
2049.0,1,Male,[75:80),501
2049.0,0,Male,[75:80),501
2049.0,1,Female,[0:5),6189
2049.0,0,Female,[0:5),6189
2049.0,1,Female,[0:200),73940
2049.0,0,Female,[0:200),73940
2049.0,1,Female,[5:10),6053
2049.0,0,Female,[5:10),6053
2049.0,1,Female,[10:15),6242
2049.0,0,Female,[10:15),6242
2049.0,1,Female,[15:20),5976
2049.0,0,Female,[15:20),5976
2049.0,1,Female,[20:25),6102
2049.0,0,Female,[20:25),6102
2049.0,1,Female,[25:30),5803
2049.0,0,Female,[25:30),5803
2049.0,1,Female,[30:35),5727
2049.0,0,Female,[30:35),5727
2049.0,1,Female,[35:40),5304
2049.0,0,Female,[35:40),5304
2049.0,1,Female,[40:45),5018
2049.0,0,Female,[40:45),5018
2049.0,1,Female,[45:50),4469
2049.0,0,Female,[45:50),4469
2049.0,1,Female,[50:55),4335
2049.0,0,Female,[50:55),4335
2049.0,1,Female,[55:60),4041
2049.0,0,Female,[55:60),4041
2049.0,1,Female,[60:65),3178
2049.0,0,Female,[60:65),3178
2049.0,1,Female,[65:70),2107
2049.0,0,Female,[65:70),2107
2049.0,1,Female,[70:75),1350
2049.0,0,Female,[70:75),1350
2049.0,1,Female,[75:80),1013
2049.0,0,Female,[75:80),1013
2050.0,1,Male,[0:5),6005
2050.0,0,Male,[0:5),6005
2050.0,1,Male,[0:200),69395
2050.0,0,Male,[0:200),69395
2050.0,1,Male,[5:10),5906
2050.0,0,Male,[5:10),5906
2050.0,1,Male,[10:15),6041
2050.0,0,Male,[10:15),6041
2050.0,1,Male,[15:20),6004
2050.0,0,Male,[15:20),6004
2050.0,1,Male,[20:25),5902
2050.0,0,Male,[20:25),5902
2050.0,1,Male,[25:30),5700
2050.0,0,Male,[25:30),5700
2050.0,1,Male,[30:35),5536
2050.0,0,Male,[30:35),5536
2050.0,1,Male,[35:40),5170
2050.0,0,Male,[35:40),5170
2050.0,1,Male,[40:45),4743
2050.0,0,Male,[40:45),4743
2050.0,1,Male,[45:50),4304
2050.0,0,Male,[45:50),4304
2050.0,1,Male,[50:55),4014
2050.0,0,Male,[50:55),4014
2050.0,1,Male,[55:60),3558
2050.0,0,Male,[55:60),3558
2050.0,1,Male,[60:65),2845
2050.0,0,Male,[60:65),2845
2050.0,1,Male,[65:70),1860
2050.0,0,Male,[65:70),1860
2050.0,1,Male,[70:75),950
2050.0,0,Male,[70:75),950
2050.0,1,Male,[75:80),520
2050.0,0,Male,[75:80),520
2050.0,1,Female,[0:5),6224
2050.0,0,Female,[0:5),6224
2050.0,1,Female,[0:200),74743
2050.0,0,Female,[0:200),74743
2050.0,1,Female,[5:10),5988
2050.0,0,Female,[5:10),5988
2050.0,1,Female,[10:15),6306
2050.0,0,Female,[10:15),6306
2050.0,1,Female,[15:20),5932
2050.0,0,Female,[15:20),5932
2050.0,1,Female,[20:25),6108
2050.0,0,Female,[20:25),6108
2050.0,1,Female,[25:30),5830
2050.0,0,Female,[25:30),5830
2050.0,1,Female,[30:35),5785
2050.0,0,Female,[30:35),5785
2050.0,1,Female,[35:40),5328
2050.0,0,Female,[35:40),5328
2050.0,1,Female,[40:45),5143
2050.0,0,Female,[40:45),5143
2050.0,1,Female,[45:50),4540
2050.0,0,Female,[45:50),4540
2050.0,1,Female,[50:55),4366
2050.0,0,Female,[50:55),4366
2050.0,1,Female,[55:60),4038
2050.0,0,Female,[55:60),4038
2050.0,1,Female,[60:65),3377
2050.0,0,Female,[60:65),3377
2050.0,1,Female,[65:70),2246
2050.0,0,Female,[65:70),2246
2050.0,1,Female,[70:75),1424
2050.0,0,Female,[70:75),1424
2050.0,1,Female,[75:80),1025
2050.0,0,Female,[75:80),1025
2039.0,1,Male,[0:5),6066
2039.0,0,Male,[0:5),6066
2039.0,1,Male,[0:200),61675
2039.0,0,Male,[0:200),61675
2039.0,1,Male,[5:10),5833
2039.0,0,Male,[5:10),5833
2039.0,1,Male,[10:15),6149
2039.0,0,Male,[10:15),6149
2039.0,1,Male,[15:20),5800
2039.0,0,Male,[15:20),5800
2039.0,1,Male,[20:25),5630
2039.0,0,Male,[20:25),5630
2039.0,1,Male,[25:30),5139
2039.0,0,Male,[25:30),5139
2039.0,1,Male,[30:35),4952
2039.0,0,Male,[30:35),4952
2039.0,1,Male,[35:40),4435
2039.0,0,Male,[35:40),4435
2039.0,1,Male,[40:45),4319
2039.0,0,Male,[40:45),4319
2039.0,1,Male,[45:50),4073
2039.0,0,Male,[45:50),4073
2039.0,1,Male,[50:55),3375
2039.0,0,Male,[50:55),3375
2039.0,1,Male,[55:60),2387
2039.0,0,Male,[55:60),2387
2039.0,1,Male,[60:65),1508
2039.0,0,Male,[60:65),1508
2039.0,1,Male,[65:70),978
2039.0,0,Male,[65:70),978
2039.0,1,Male,[70:75),599
2039.0,0,Male,[70:75),599
2039.0,1,Male,[75:80),298
2039.0,0,Male,[75:80),298
2039.0,1,Female,[0:5),6160
2039.0,0,Female,[0:5),6160
2039.0,1,Female,[0:200),65258
2039.0,0,Female,[0:200),65258
2039.0,1,Female,[5:10),5937
2039.0,0,Female,[5:10),5937
2039.0,1,Female,[10:15),6268
2039.0,0,Female,[10:15),6268
2039.0,1,Female,[15:20),5968
2039.0,0,Female,[15:20),5968
2039.0,1,Female,[20:25),5818
2039.0,0,Female,[20:25),5818
2039.0,1,Female,[25:30),5281
