Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[15:20),0.004271313856142149
2048.0,0,Male,[15:20),0.004271313856142149
2048.0,1,Male,[20:25),0.021873434630155286
2048.0,0,Male,[20:25),0.021873434630155286
2048.0,1,Male,[25:30),0.0518189884649512
2048.0,0,Male,[25:30),0.0518189884649512
2048.0,1,Male,[30:35),0.09609000368867576
2048.0,0,Male,[30:35),0.09609000368867576
2048.0,1,Male,[35:40),0.14220183486238533
2048.0,0,Male,[35:40),0.14220183486238533
2048.0,1,Male,[40:45),0.19913513513513514
2048.0,0,Male,[40:45),0.19913513513513514
2048.0,1,Male,[45:50),0.2671882408724514
2048.0,0,Male,[45:50),0.2671882408724514
2048.0,1,Male,[50:55),0.35124378109452736
2048.0,0,Male,[50:55),0.35124378109452736
2048.0,1,Male,[55:60),0.4536443148688047
2048.0,0,Male,[55:60),0.4536443148688047
2048.0,1,Male,[60:65),0.5551763367463026
2048.0,0,Male,[60:65),0.5551763367463026
2048.0,1,Male,[65:200),0.6137696820006174
2048.0,0,Male,[65:200),0.6137696820006174
2048.0,1,Female,[15:20),0.03378265934431686
2048.0,0,Female,[15:20),0.03378265934431686
2048.0,1,Female,[20:25),0.10571101292750777
2048.0,0,Female,[20:25),0.10571101292750777
2048.0,1,Female,[25:30),0.17670474212530288
2048.0,0,Female,[25:30),0.17670474212530288
2048.0,1,Female,[30:35),0.21111307733144577
2048.0,0,Female,[30:35),0.21111307733144577
2048.0,1,Female,[35:40),0.2778308191712813
2048.0,0,Female,[35:40),0.2778308191712813
2048.0,1,Female,[40:45),0.34810636583400484
2048.0,0,Female,[40:45),0.34810636583400484
2048.0,1,Female,[45:50),0.41395663956639567
2048.0,0,Female,[45:50),0.41395663956639567
2048.0,1,Female,[50:55),0.49130535590076513
2048.0,0,Female,[50:55),0.49130535590076513
2048.0,1,Female,[55:60),0.5627672955974843
2048.0,0,Female,[55:60),0.5627672955974843
2048.0,1,Female,[60:65),0.6337131367292225
2048.0,0,Female,[60:65),0.6337131367292225
2048.0,1,Female,[65:200),0.587189292543021
2048.0,0,Female,[65:200),0.587189292543021
2049.0,1,Male,[15:20),0.003565970453387672
2049.0,0,Male,[15:20),0.003565970453387672
2049.0,1,Male,[20:25),0.020677005169251292
2049.0,0,Male,[20:25),0.020677005169251292
2049.0,1,Male,[25:30),0.05560474588276961
2049.0,0,Male,[25:30),0.05560474588276961
2049.0,1,Male,[30:35),0.09178832116788321
2049.0,0,Male,[30:35),0.09178832116788321
2049.0,1,Male,[35:40),0.1391407173827355
2049.0,0,Male,[35:40),0.1391407173827355
2049.0,1,Male,[40:45),0.19814110688635403
2049.0,0,Male,[40:45),0.19814110688635403
2049.0,1,Male,[45:50),0.253975789223831
2049.0,0,Male,[45:50),0.253975789223831
2049.0,1,Male,[50:55),0.3359102244389027
2049.0,0,Male,[50:55),0.3359102244389027
2049.0,1,Male,[55:60),0.4527334851936219
2049.0,0,Male,[55:60),0.4527334851936219
2049.0,1,Male,[60:65),0.537618699780862
2049.0,0,Male,[60:65),0.537618699780862
2049.0,1,Male,[65:200),0.6176470588235294
2049.0,0,Male,[65:200),0.6176470588235294
2049.0,1,Female,[15:20),0.03413654618473896
2049.0,0,Female,[15:20),0.03413654618473896
2049.0,1,Female,[20:25),0.09947558177646673
2049.0,0,Female,[20:25),0.09947558177646673
2049.0,1,Female,[25:30),0.17542650353265551
2049.0,0,Female,[25:30),0.17542650353265551
2049.0,1,Female,[30:35),0.20761306093940982
2049.0,0,Female,[30:35),0.20761306093940982
2049.0,1,Female,[35:40),0.2730015082956259
2049.0,0,Female,[35:40),0.2730015082956259
2049.0,1,Female,[40:45),0.34555599840573936
2049.0,0,Female,[40:45),0.34555599840573936
2049.0,1,Female,[45:50),0.3998657417766838
2049.0,0,Female,[45:50),0.3998657417766838
2049.0,1,Female,[50:55),0.47797001153402535
2049.0,0,Female,[50:55),0.47797001153402535
2049.0,1,Female,[55:60),0.5550606285572878
2049.0,0,Female,[55:60),0.5550606285572878
2049.0,1,Female,[60:65),0.6249213341724354
2049.0,0,Female,[60:65),0.6249213341724354
2049.0,1,Female,[65:200),0.599491186625477
2049.0,0,Female,[65:200),0.599491186625477
2050.0,1,Male,[15:20),0.0041638907395069955
2050.0,0,Male,[15:20),0.0041638907395069955
2050.0,1,Male,[20:25),0.019484920365977636
2050.0,0,Male,[20:25),0.019484920365977636
2050.0,1,Male,[25:30),0.052456140350877194
2050.0,0,Male,[25:30),0.052456140350877194
2050.0,1,Male,[30:35),0.09429190751445087
2050.0,0,Male,[30:35),0.09429190751445087
2050.0,1,Male,[35:40),0.13694390715667312
2050.0,0,Male,[35:40),0.13694390715667312
2050.0,1,Male,[40:45),0.19333755007379297
2050.0,0,Male,[40:45),0.19333755007379297
2050.0,1,Male,[45:50),0.24976765799256506
2050.0,0,Male,[45:50),0.24976765799256506
2050.0,1,Male,[50:55),0.32336821126058796
2050.0,0,Male,[50:55),0.32336821126058796
2050.0,1,Male,[55:60),0.4376053962900506
2050.0,0,Male,[55:60),0.4376053962900506
2050.0,1,Male,[60:65),0.5272407732864675
2050.0,0,Male,[60:65),0.5272407732864675
2050.0,1,Male,[65:200),0.6111262612489774
2050.0,0,Male,[65:200),0.6111262612489774
2050.0,1,Female,[15:20),0.03287255563047876
2050.0,0,Female,[15:20),0.03287255563047876
2050.0,1,Female,[20:25),0.09708578912901113
2050.0,0,Female,[20:25),0.09708578912901113
2050.0,1,Female,[25:30),0.17015437392795885
2050.0,0,Female,[25:30),0.17015437392795885
2050.0,1,Female,[30:35),0.21123595505617979
2050.0,0,Female,[30:35),0.21123595505617979
2050.0,1,Female,[35:40),0.26933183183183185
2050.0,0,Female,[35:40),0.26933183183183185
2050.0,1,Female,[40:45),0.33171300797200076
2050.0,0,Female,[40:45),0.33171300797200076
2050.0,1,Female,[45:50),0.38898678414096916
2050.0,0,Female,[45:50),0.38898678414096916
2050.0,1,Female,[50:55),0.46770499312872194
2050.0,0,Female,[50:55),0.46770499312872194
2050.0,1,Female,[55:60),0.5453194650817236
2050.0,0,Female,[55:60),0.5453194650817236
2050.0,1,Female,[60:65),0.6156351791530945
2050.0,0,Female,[60:65),0.6156351791530945
2050.0,1,Female,[65:200),0.6107649705780547
2050.0,0,Female,[65:200),0.6107649705780547
2011.5,1,Male,[15:20),0.019210470762085707
2011.5,0,Male,[15:20),0.019210470762085707
