Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6211
2048.0,0,Male,[0:5),6211
2048.0,1,Male,[0:200),70241
2048.0,0,Male,[0:200),70241
2048.0,1,Male,[5:10),6258
2048.0,0,Male,[5:10),6258
2048.0,1,Male,[10:15),6213
2048.0,0,Male,[10:15),6213
2048.0,1,Male,[15:20),6272
2048.0,0,Male,[15:20),6272
2048.0,1,Male,[20:25),6134
2048.0,0,Male,[20:25),6134
2048.0,1,Male,[25:30),5814
2048.0,0,Male,[25:30),5814
2048.0,1,Male,[30:35),5754
2048.0,0,Male,[30:35),5754
2048.0,1,Male,[35:40),5260
2048.0,0,Male,[35:40),5260
2048.0,1,Male,[40:45),4785
2048.0,0,Male,[40:45),4785
2048.0,1,Male,[45:50),4337
2048.0,0,Male,[45:50),4337
2048.0,1,Male,[50:55),4041
2048.0,0,Male,[50:55),4041
2048.0,1,Male,[55:60),3551
2048.0,0,Male,[55:60),3551
2048.0,1,Male,[60:65),2478
2048.0,0,Male,[60:65),2478
2048.0,1,Male,[65:70),1540
2048.0,0,Male,[65:70),1540
2048.0,1,Male,[70:75),816
2048.0,0,Male,[70:75),816
2048.0,1,Male,[75:80),487
2048.0,0,Male,[75:80),487
2048.0,1,Female,[0:5),6356
2048.0,0,Female,[0:5),6356
2048.0,1,Female,[0:200),75362
2048.0,0,Female,[0:200),75362
2048.0,1,Female,[5:10),6260
2048.0,0,Female,[5:10),6260
2048.0,1,Female,[10:15),6323
2048.0,0,Female,[10:15),6323
2048.0,1,Female,[15:20),6211
2048.0,0,Female,[15:20),6211
2048.0,1,Female,[20:25),6165
2048.0,0,Female,[20:25),6165
2048.0,1,Female,[25:30),6167
2048.0,0,Female,[25:30),6167
2048.0,1,Female,[30:35),5793
2048.0,0,Female,[30:35),5793
2048.0,1,Female,[35:40),5468
2048.0,0,Female,[35:40),5468
2048.0,1,Female,[40:45),5127
2048.0,0,Female,[40:45),5127
2048.0,1,Female,[45:50),4584
2048.0,0,Female,[45:50),4584
2048.0,1,Female,[50:55),4417
2048.0,0,Female,[50:55),4417
2048.0,1,Female,[55:60),4072
2048.0,0,Female,[55:60),4072
2048.0,1,Female,[60:65),3165
2048.0,0,Female,[60:65),3165
2048.0,1,Female,[65:70),2039
2048.0,0,Female,[65:70),2039
2048.0,1,Female,[70:75),1336
2048.0,0,Female,[70:75),1336
2048.0,1,Female,[75:80),923
2048.0,0,Female,[75:80),923
2049.0,1,Male,[0:5),6209
2049.0,0,Male,[0:5),6209
2049.0,1,Male,[0:200),70965
2049.0,0,Male,[0:200),70965
2049.0,1,Male,[5:10),6270
2049.0,0,Male,[5:10),6270
2049.0,1,Male,[10:15),6272
2049.0,0,Male,[10:15),6272
2049.0,1,Male,[15:20),6257
2049.0,0,Male,[15:20),6257
2049.0,1,Male,[20:25),6074
2049.0,0,Male,[20:25),6074
2049.0,1,Male,[25:30),5835
2049.0,0,Male,[25:30),5835
2049.0,1,Male,[30:35),5860
2049.0,0,Male,[30:35),5860
2049.0,1,Male,[35:40),5311
2049.0,0,Male,[35:40),5311
2049.0,1,Male,[40:45),4793
2049.0,0,Male,[40:45),4793
2049.0,1,Male,[45:50),4474
2049.0,0,Male,[45:50),4474
2049.0,1,Male,[50:55),4009
2049.0,0,Male,[50:55),4009
2049.0,1,Male,[55:60),3628
2049.0,0,Male,[55:60),3628
2049.0,1,Male,[60:65),2652
2049.0,0,Male,[60:65),2652
2049.0,1,Male,[65:70),1633
2049.0,0,Male,[65:70),1633
2049.0,1,Male,[70:75),868
2049.0,0,Male,[70:75),868
2049.0,1,Male,[75:80),495
2049.0,0,Male,[75:80),495
2049.0,1,Female,[0:5),6330
2049.0,0,Female,[0:5),6330
2049.0,1,Female,[0:200),76164
2049.0,0,Female,[0:200),76164
2049.0,1,Female,[5:10),6184
2049.0,0,Female,[5:10),6184
2049.0,1,Female,[10:15),6404
2049.0,0,Female,[10:15),6404
2049.0,1,Female,[15:20),6179
2049.0,0,Female,[15:20),6179
2049.0,1,Female,[20:25),6141
2049.0,0,Female,[20:25),6141
2049.0,1,Female,[25:30),6189
2049.0,0,Female,[25:30),6189
2049.0,1,Female,[30:35),5839
2049.0,0,Female,[30:35),5839
2049.0,1,Female,[35:40),5551
2049.0,0,Female,[35:40),5551
2049.0,1,Female,[40:45),5225
2049.0,0,Female,[40:45),5225
2049.0,1,Female,[45:50),4652
2049.0,0,Female,[45:50),4652
2049.0,1,Female,[50:55),4413
2049.0,0,Female,[50:55),4413
2049.0,1,Female,[55:60),4117
2049.0,0,Female,[55:60),4117
2049.0,1,Female,[60:65),3378
2049.0,0,Female,[60:65),3378
2049.0,1,Female,[65:70),2204
2049.0,0,Female,[65:70),2204
2049.0,1,Female,[70:75),1384
2049.0,0,Female,[70:75),1384
2049.0,1,Female,[75:80),957
2049.0,0,Female,[75:80),957
2050.0,1,Male,[0:5),6197
2050.0,0,Male,[0:5),6197
2050.0,1,Male,[0:200),71660
2050.0,0,Male,[0:200),71660
2050.0,1,Male,[5:10),6290
2050.0,0,Male,[5:10),6290
2050.0,1,Male,[10:15),6281
2050.0,0,Male,[10:15),6281
2050.0,1,Male,[15:20),6192
2050.0,0,Male,[15:20),6192
2050.0,1,Male,[20:25),6226
2050.0,0,Male,[20:25),6226
2050.0,1,Male,[25:30),5845
2050.0,0,Male,[25:30),5845
2050.0,1,Male,[30:35),5837
2050.0,0,Male,[30:35),5837
2050.0,1,Male,[35:40),5353
2050.0,0,Male,[35:40),5353
2050.0,1,Male,[40:45),4907
2050.0,0,Male,[40:45),4907
2050.0,1,Male,[45:50),4536
2050.0,0,Male,[45:50),4536
2050.0,1,Male,[50:55),4006
2050.0,0,Male,[50:55),4006
2050.0,1,Male,[55:60),3712
2050.0,0,Male,[55:60),3712
2050.0,1,Male,[60:65),2738
2050.0,0,Male,[60:65),2738
2050.0,1,Male,[65:70),1781
2050.0,0,Male,[65:70),1781
2050.0,1,Male,[70:75),909
2050.0,0,Male,[70:75),909
2050.0,1,Male,[75:80),505
2050.0,0,Male,[75:80),505
2050.0,1,Female,[0:5),6278
2050.0,0,Female,[0:5),6278
2050.0,1,Female,[0:200),76989
2050.0,0,Female,[0:200),76989
2050.0,1,Female,[5:10),6264
2050.0,0,Female,[5:10),6264
2050.0,1,Female,[10:15),6396
2050.0,0,Female,[10:15),6396
2050.0,1,Female,[15:20),6152
2050.0,0,Female,[15:20),6152
2050.0,1,Female,[20:25),6178
2050.0,0,Female,[20:25),6178
2050.0,1,Female,[25:30),6098
2050.0,0,Female,[25:30),6098
2050.0,1,Female,[30:35),6014
2050.0,0,Female,[30:35),6014
2050.0,1,Female,[35:40),5545
2050.0,0,Female,[35:40),5545
2050.0,1,Female,[40:45),5324
2050.0,0,Female,[40:45),5324
2050.0,1,Female,[45:50),4716
2050.0,0,Female,[45:50),4716
2050.0,1,Female,[50:55),4374
2050.0,0,Female,[50:55),4374
2050.0,1,Female,[55:60),4209
2050.0,0,Female,[55:60),4209
2050.0,1,Female,[60:65),3561
2050.0,0,Female,[60:65),3561
2050.0,1,Female,[65:70),2385
2050.0,0,Female,[65:70),2385
2050.0,1,Female,[70:75),1469
2050.0,0,Female,[70:75),1469
2050.0,1,Female,[75:80),969
2050.0,0,Female,[75:80),969
2039.0,1,Male,[0:5),6234
2039.0,0,Male,[0:5),6234
2039.0,1,Male,[0:200),63269
2039.0,0,Male,[0:200),63269
2039.0,1,Male,[5:10),6193
2039.0,0,Male,[5:10),6193
2039.0,1,Male,[10:15),6265
2039.0,0,Male,[10:15),6265
2039.0,1,Male,[15:20),6043
2039.0,0,Male,[15:20),6043
2039.0,1,Male,[20:25),5973
2039.0,0,Male,[20:25),5973
2039.0,1,Male,[25:30),5371
2039.0,0,Male,[25:30),5371
2039.0,1,Male,[30:35),4991
2039.0,0,Male,[30:35),4991
2039.0,1,Male,[35:40),4729
2039.0,0,Male,[35:40),4729
2039.0,1,Male,[40:45),4315
2039.0,0,Male,[40:45),4315
2039.0,1,Male,[45:50),4100
2039.0,0,Male,[45:50),4100
2039.0,1,Male,[50:55),3329
2039.0,0,Male,[50:55),3329
2039.0,1,Male,[55:60),2246
2039.0,0,Male,[55:60),2246
2039.0,1,Male,[60:65),1422
2039.0,0,Male,[60:65),1422
2039.0,1,Male,[65:70),1005
2039.0,0,Male,[65:70),1005
2039.0,1,Male,[70:75),625
2039.0,0,Male,[70:75),625
2039.0,1,Male,[75:80),282
2039.0,0,Male,[75:80),282
2039.0,1,Female,[0:5),6329
2039.0,0,Female,[0:5),6329
2039.0,1,Female,[0:200),67142
2039.0,0,Female,[0:200),67142
2039.0,1,Female,[5:10),6134
2039.0,0,Female,[5:10),6134
2039.0,1,Female,[10:15),6310
2039.0,0,Female,[10:15),6310
2039.0,1,Female,[15:20),6343
2039.0,0,Female,[15:20),6343
2039.0,1,Female,[20:25),5906
2039.0,0,Female,[20:25),5906
2039.0,1,Female,[25:30),5535
2039.0,0,Female,[25:30),5535
2039.0,1,Female,[30:35),5337
