Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6303
2048.0,0,Male,[0:5),6303
2048.0,1,Male,[0:200),70468
2048.0,0,Male,[0:200),70468
2048.0,1,Male,[5:10),6105
2048.0,0,Male,[5:10),6105
2048.0,1,Male,[10:15),6351
2048.0,0,Male,[10:15),6351
2048.0,1,Male,[15:20),6345
2048.0,0,Male,[15:20),6345
2048.0,1,Male,[20:25),5961
2048.0,0,Male,[20:25),5961
2048.0,1,Male,[25:30),5819
2048.0,0,Male,[25:30),5819
2048.0,1,Male,[30:35),5638
2048.0,0,Male,[30:35),5638
2048.0,1,Male,[35:40),5258
2048.0,0,Male,[35:40),5258
2048.0,1,Male,[40:45),4797
2048.0,0,Male,[40:45),4797
2048.0,1,Male,[45:50),4253
2048.0,0,Male,[45:50),4253
2048.0,1,Male,[50:55),4091
2048.0,0,Male,[50:55),4091
2048.0,1,Male,[55:60),3510
2048.0,0,Male,[55:60),3510
2048.0,1,Male,[60:65),2715
2048.0,0,Male,[60:65),2715
2048.0,1,Male,[65:70),1637
2048.0,0,Male,[65:70),1637
2048.0,1,Male,[70:75),908
2048.0,0,Male,[70:75),908
2048.0,1,Male,[75:80),482
2048.0,0,Male,[75:80),482
2048.0,1,Female,[0:5),6222
2048.0,0,Female,[0:5),6222
2048.0,1,Female,[0:200),75348
2048.0,0,Female,[0:200),75348
2048.0,1,Female,[5:10),6309
2048.0,0,Female,[5:10),6309
2048.0,1,Female,[10:15),6355
2048.0,0,Female,[10:15),6355
2048.0,1,Female,[15:20),6327
2048.0,0,Female,[15:20),6327
2048.0,1,Female,[20:25),6316
2048.0,0,Female,[20:25),6316
2048.0,1,Female,[25:30),5934
2048.0,0,Female,[25:30),5934
2048.0,1,Female,[30:35),5765
2048.0,0,Female,[30:35),5765
2048.0,1,Female,[35:40),5570
2048.0,0,Female,[35:40),5570
2048.0,1,Female,[40:45),5007
2048.0,0,Female,[40:45),5007
2048.0,1,Female,[45:50),4708
2048.0,0,Female,[45:50),4708
2048.0,1,Female,[50:55),4452
2048.0,0,Female,[50:55),4452
2048.0,1,Female,[55:60),4018
2048.0,0,Female,[55:60),4018
2048.0,1,Female,[60:65),3121
2048.0,0,Female,[60:65),3121
2048.0,1,Female,[65:70),1987
2048.0,0,Female,[65:70),1987
2048.0,1,Female,[70:75),1298
2048.0,0,Female,[70:75),1298
2048.0,1,Female,[75:80),947
2048.0,0,Female,[75:80),947
2049.0,1,Male,[0:5),6319
2049.0,0,Male,[0:5),6319
2049.0,1,Male,[0:200),71107
2049.0,0,Male,[0:200),71107
2049.0,1,Male,[5:10),6094
2049.0,0,Male,[5:10),6094
2049.0,1,Male,[10:15),6387
2049.0,0,Male,[10:15),6387
2049.0,1,Male,[15:20),6238
2049.0,0,Male,[15:20),6238
2049.0,1,Male,[20:25),6061
2049.0,0,Male,[20:25),6061
2049.0,1,Male,[25:30),5763
2049.0,0,Male,[25:30),5763
2049.0,1,Male,[30:35),5758
2049.0,0,Male,[30:35),5758
2049.0,1,Male,[35:40),5232
2049.0,0,Male,[35:40),5232
2049.0,1,Male,[40:45),4939
2049.0,0,Male,[40:45),4939
2049.0,1,Male,[45:50),4344
2049.0,0,Male,[45:50),4344
2049.0,1,Male,[50:55),4046
2049.0,0,Male,[50:55),4046
2049.0,1,Male,[55:60),3592
2049.0,0,Male,[55:60),3592
2049.0,1,Male,[60:65),2851
2049.0,0,Male,[60:65),2851
2049.0,1,Male,[65:70),1731
2049.0,0,Male,[65:70),1731
2049.0,1,Male,[70:75),946
2049.0,0,Male,[70:75),946
2049.0,1,Male,[75:80),506
