Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6064
2048.0,0,Male,[0:5),6064
2048.0,1,Male,[0:200),70262
2048.0,0,Male,[0:200),70262
2048.0,1,Male,[5:10),6124
2048.0,0,Male,[5:10),6124
2048.0,1,Male,[10:15),6320
2048.0,0,Male,[10:15),6320
2048.0,1,Male,[15:20),6104
2048.0,0,Male,[15:20),6104
2048.0,1,Male,[20:25),6069
2048.0,0,Male,[20:25),6069
2048.0,1,Male,[25:30),5991
2048.0,0,Male,[25:30),5991
2048.0,1,Male,[30:35),5650
2048.0,0,Male,[30:35),5650
2048.0,1,Male,[35:40),5347
2048.0,0,Male,[35:40),5347
2048.0,1,Male,[40:45),4844
2048.0,0,Male,[40:45),4844
2048.0,1,Male,[45:50),4300
2048.0,0,Male,[45:50),4300
2048.0,1,Male,[50:55),3981
2048.0,0,Male,[50:55),3981
2048.0,1,Male,[55:60),3402
2048.0,0,Male,[55:60),3402
2048.0,1,Male,[60:65),2696
2048.0,0,Male,[60:65),2696
2048.0,1,Male,[65:70),1648
2048.0,0,Male,[65:70),1648
2048.0,1,Male,[70:75),916
2048.0,0,Male,[70:75),916
2048.0,1,Male,[75:80),509
2048.0,0,Male,[75:80),509
2048.0,1,Female,[0:5),6369
2048.0,0,Female,[0:5),6369
2048.0,1,Female,[0:200),75402
2048.0,0,Female,[0:200),75402
2048.0,1,Female,[5:10),6177
2048.0,0,Female,[5:10),6177
2048.0,1,Female,[10:15),6377
2048.0,0,Female,[10:15),6377
2048.0,1,Female,[15:20),6408
2048.0,0,Female,[15:20),6408
2048.0,1,Female,[20:25),6227
2048.0,0,Female,[20:25),6227
2048.0,1,Female,[25:30),5944
2048.0,0,Female,[25:30),5944
2048.0,1,Female,[30:35),5841
2048.0,0,Female,[30:35),5841
2048.0,1,Female,[35:40),5488
2048.0,0,Female,[35:40),5488
2048.0,1,Female,[40:45),5018
2048.0,0,Female,[40:45),5018
2048.0,1,Female,[45:50),4687
2048.0,0,Female,[45:50),4687
2048.0,1,Female,[50:55),4429
2048.0,0,Female,[50:55),4429
2048.0,1,Female,[55:60),3928
2048.0,0,Female,[55:60),3928
2048.0,1,Female,[60:65),3242
2048.0,0,Female,[60:65),3242
2048.0,1,Female,[65:70),2055
2048.0,0,Female,[65:70),2055
2048.0,1,Female,[70:75),1418
2048.0,0,Female,[70:75),1418
2048.0,1,Female,[75:80),898
2048.0,0,Female,[75:80),898
2049.0,1,Male,[0:5),6151
2049.0,0,Male,[0:5),6151
2049.0,1,Male,[0:200),70922
2049.0,0,Male,[0:200),70922
2049.0,1,Male,[5:10),5999
2049.0,0,Male,[5:10),5999
2049.0,1,Male,[10:15),6432
2049.0,0,Male,[10:15),6432
2049.0,1,Male,[15:20),6054
2049.0,0,Male,[15:20),6054
2049.0,1,Male,[20:25),6046
2049.0,0,Male,[20:25),6046
2049.0,1,Male,[25:30),6009
2049.0,0,Male,[25:30),6009
2049.0,1,Male,[30:35),5743
2049.0,0,Male,[30:35),5743
2049.0,1,Male,[35:40),5369
2049.0,0,Male,[35:40),5369
2049.0,1,Male,[40:45),4911
2049.0,0,Male,[40:45),4911
2049.0,1,Male,[45:50),4392
2049.0,0,Male,[45:50),4392
2049.0,1,Male,[50:55),3992
2049.0,0,Male,[50:55),3992
2049.0,1,Male,[55:60),3484
